,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Bob Pettit,27,72,,40.2,9.3,21.2,0.438,,,,9.3,21.2,0.438,0.438,7.6,10.0,0.753,,,17.0,3.6,,,,2.8,26.1,1960
1,1,2,Cliff Hagan,28,75,,37.3,9.6,20.7,0.464,,,,9.6,20.7,0.464,0.464,5.6,7.0,0.803,,,10.7,4.0,,,,3.6,24.8,1960
2,2,3,Johnny McCarthy,25,75,,31.8,3.2,9.7,0.329,,,,3.2,9.7,0.329,0.329,2.0,3.0,0.659,,,4.0,4.4,,,,3.1,8.4,1960
3,3,4,Dave Piontek,25,25,,28.9,3.0,7.9,0.381,,,,3.0,7.9,0.381,0.381,1.8,3.2,0.563,,,4.8,1.4,,,,2.7,7.8,1960
4,4,5,Clyde Lovellette,30,68,,28.7,8.1,17.3,0.468,,,,8.1,17.3,0.468,0.468,4.6,5.7,0.821,,,10.6,1.9,,,,3.6,20.8,1960
5,5,6,Slater Martin,34,64,,27.4,2.2,6.0,0.371,,,,2.2,6.0,0.371,0.371,1.8,2.4,0.729,,,2.9,5.2,,,,2.7,6.2,1960
6,6,7,Larry Foust,31,25,,22.6,3.5,7.4,0.47,,,,3.5,7.4,0.47,0.47,3.2,4.0,0.8,,,7.3,0.9,,,,2.8,10.2,1960
7,7,8,Al Ferrari,26,71,,22.1,3.0,7.4,0.413,,,,3.0,7.4,0.413,0.413,2.5,3.2,0.782,,,2.3,2.6,,,,2.9,8.6,1960
8,8,9,Si Green,26,70,,19.3,2.3,6.1,0.372,,,,2.3,6.1,0.372,0.372,1.6,2.5,0.634,,,3.7,1.9,,,,2.1,6.1,1960
9,9,10,Chuck Share,32,38,,16.7,1.5,3.9,0.381,,,,1.5,3.9,0.381,0.381,1.4,2.1,0.658,,,5.7,1.6,,,,3.6,4.3,1960
10,10,11,Bob Ferry,22,62,,14.1,2.3,5.5,0.426,,,,2.3,5.5,0.426,0.426,1.2,1.9,0.639,,,3.8,0.6,,,,2.1,5.9,1960
11,11,12,Jack McMahon,31,25,,13.4,1.3,3.7,0.355,,,,1.3,3.7,0.355,0.355,0.6,1.2,0.552,,,1.0,2.0,,,,1.7,3.3,1960
12,12,13,Dave Gambee,22,42,,10.6,1.9,4.7,0.409,,,,1.9,4.7,0.409,0.409,1.1,1.7,0.648,,,3.7,0.7,,,,1.5,5.0,1960
13,13,14,Cal Ramsey,22,4,,8.8,1.8,4.8,0.368,,,,1.8,4.8,0.368,0.368,0.8,1.0,0.75,,,4.8,0.0,,,,1.0,4.3,1960
14,14,15,Hub Reed,23,2,,8.5,0.5,1.5,0.333,,,,0.5,1.5,0.333,0.333,0.0,0.0,,,,1.0,0.0,,,,1.0,1.0,1960
15,0,1,Bob Pettit,28,76,,39.8,10.1,22.6,0.447,,,,10.1,22.6,0.447,0.447,7.7,10.6,0.724,,,20.3,3.4,,,,2.9,27.9,1961
16,1,2,Cliff Hagan,29,77,,35.1,8.6,19.4,0.444,,,,8.6,19.4,0.444,0.444,5.0,6.1,0.82,,,9.3,4.9,,,,3.7,22.1,1961
17,2,3,Johnny McCarthy,26,79,,31.9,3.4,9.4,0.357,,,,3.4,9.4,0.357,0.357,1.5,2.9,0.54,,,4.1,5.4,,,,3.4,8.3,1961
18,3,4,Clyde Lovellette,31,67,,31.5,8.9,19.7,0.453,,,,8.9,19.7,0.453,0.453,4.1,4.9,0.83,,,10.1,2.6,,,,3.7,22.0,1961
19,4,5,Si Green,27,76,,25.9,3.5,9.4,0.366,,,,3.5,9.4,0.366,0.366,2.3,3.3,0.704,,,5.0,3.4,,,,3.1,9.2,1961
