,Unnamed: 0,Rk,Unnamed: 1,Salary,Year
0,0,1,Dikembe Mutombo,"$12,820,249 ",2000
1,1,2,Isaiah Rider,"$5,410,000 ",2000
2,2,3,Alan Henderson,"$5,318,437 ",2000
3,3,4,Lorenzen Wright,"$4,400,000 ",2000
4,4,5,Bimbo Coles,"$2,300,000 ",2000
5,5,6,Chris Crawford,"$2,000,000 ",2000
6,6,7,LaPhonso Ellis,"$1,925,000 ",2000
7,7,8,Jim Jackson,"$1,925,000 ",2000
8,8,9,Duane Ferrell,"$1,625,000 ",2000
9,9,10,Jason Terry,"$1,468,920 ",2000
10,10,11,Scot Pollard,"$1,063,680 ",2000
11,11,12,Cal Bowdler,"$1,025,880 ",2000
12,12,13,Roshown McLeod,"$914,760 ",2000
13,13,14,Dion Glover,"$893,400 ",2000
14,14,15,Efthimi Rentzias,"$658,700 ",2000
15,15,16,Jeffrey Sheppard,"$385,000 ",2000
16,16,17,Brandon Williams,"$35,176 ",2000
17,0,1,Dikembe Mutombo,"$14,400,000 ",2001
18,1,2,Alan Henderson,"$5,910,000 ",2001
19,2,3,Lorenzen Wright,"$4,950,000 ",2001
20,3,4,Jim Jackson,"$2,330,000 ",2001
21,4,5,Chris Crawford,"$2,200,000 ",2001
22,5,6,DerMarr Johnson,"$2,107,200 ",2001
23,6,7,Jason Terry,"$1,579,080 ",2001
24,7,8,Anthony Johnson,"$1,200,000 ",2001
25,8,9,Cal Bowdler,"$1,102,800 ",2001
26,9,10,Roshown McLeod,"$978,600 ",2001
27,10,11,Dion Glover,"$960,480 ",2001
28,11,12,Matt Maloney,"$611,000 ",2001
29,12,13,Larry Robinson,"$611,000 ",2001
30,13,14,Hanno Mottola,"$316,969 ",2001
31,14,15,Anthony Miller,"$40,000 ",2001
32,0,1,Shareef Abdur-Rahim,"$11,250,000 ",2002
33,1,2,Theo Ratliff,"$9,667,969 ",2002
34,2,3,Toni Kukoc,"$7,906,783 ",2002
35,3,4,Alan Henderson,"$6,500,312 ",2002
36,4,5,Nazr Mohammed,"$4,500,000 ",2002
37,5,6,Chris Crawford,"$2,500,000 ",2002
38,6,7,DerMarr Johnson,"$2,265,240 ",2002
39,7,8,Jason Terry,"$1,689,360 ",2002
40,8,9,Cal Bowdler,"$1,179,720 ",2002
41,9,10,Dion Glover,"$1,027,440 ",2002
42,10,11,Emanual Davis,"$715,850 ",2002
43,11,12,Mark Strickland,"$715,850 ",2002
44,12,13,Jacque Vaughn,"$590,850 ",2002
45,13,14,Reggie Slater,"$523,793 ",2002
46,14,15,Hanno Mottola,"$465,850 ",2002
47,15,16,Dickey Simpkins,"$26,190 ",2002
48,0,1,Shareef Abdur-Rahim,"$12,375,000 ",2003
49,1,2,Glenn Robinson,"$9,860,000 ",2003
50,2,3,Theo Ratliff,"$9,375,000 ",2003
51,3,4,Alan Henderson,"$7,091,250 ",2003
52,4,5,Nazr Mohammed,"$4,750,000 ",2003
53,5,6,Chris Crawford,"$2,750,000 ",2003
54,6,7,DerMarr Johnson,"$2,423,280 ",2003
55,7,8,Jason Terry,"$2,153,934 ",2003
56,8,9,Dion Glover,"$1,584,312 ",2003
57,9,10,Emanual Davis,"$824,935 ",2003
58,10,11,Dan Dickau,"$776,880 ",2003
59,11,12,Darvin Ham,"$699,935 ",2003
60,12,13,Ira Newble,"$587,435 ",2003
61,13,14,Matt Maloney,"$170,716 ",2003
62,14,15,Amal McCaskill,"$143,277 ",2003
63,15,16,Antonio Harvey,"$60,361 ",2003
64,16,17,Mike Wilks,"$55,402 ",2003
65,17,18,Paul Shirley,"$29,832 ",2003
66,0,1,Shareef Abdur-Rahim,"$13,500,000 ",2004
67,1,2,Terrell Brandon,"$11,100,000 ",2004
68,2,3,Theo Ratliff,"$10,156,250 ",2004
69,3,4,Jason Terry,"$8,333,333 ",2004
70,4,5,Alan Henderson,"$7,682,188 ",2004
71,5,6,Nazr Mohammed,"$5,000,000 ",2004
72,6,7,Chris Crawford,"$3,000,000 ",2004
73,7,8,Boris Diaw,"$1,021,080 ",2004
74,8,9,Dion Glover,"$1,000,000 ",2004
75,9,10,Stephen Jackson,"$1,000,000 ",2004
76,10,11,Dan Dickau,"$835,200 ",2004
77,11,12,Jacque Vaughn,"$813,679 ",2004
78,12,13,Obinna Ekezie,"$688,679 ",2004
79,13,14,Travis Hansen,"$366,931 ",2004
80,0,1,Antoine Walker,"$14,625,000 ",2005
81,1,2,Al Harrington,"$6,325,000 ",2005
82,2,3,Chris Crawford,"$3,250,000 ",2005
83,3,4,Tony Delk,"$2,700,000 ",2005
84,4,5,Predrag Drobnjak,"$2,550,000 ",2005
85,5,6,Josh Childress,"$2,490,360 ",2005
86,6,7,Jon Barry,"$1,800,000 ",2005
87,7,8,Jason Collier,"$1,500,000 ",2005
88,8,9,Kevin Willis,"$1,300,000 ",2005
89,9,10,Josh Smith,"$1,270,080 ",2005
90,10,11,Kenny Anderson,"$1,100,000 ",2005
91,11,12,Boris Diaw,"$1,097,640 ",2005
92,12,13,Royal Ivey,"$425,000 ",2005
93,13,14,Donta Smith,"$425,000 ",2005
94,14,15,Jelani McCoy,"$167,418 ",2005
95,15,16,Anthony Miller,"$34,118 ",2005
96,0,1,Joe Johnson,"$12,000,000 ",2006
97,1,2,Al Harrington,"$6,957,500 ",2006
98,2,3,Zaza Pachulia,"$4,000,000 ",2006
99,3,4,Marvin Williams,"$3,883,560 ",2006
100,4,5,Tyronn Lue,"$3,500,000 ",2006
101,5,6,Tony Delk,"$3,375,000 ",2006
102,6,7,Josh Childress,"$2,677,200 ",2006
103,7,8,Jason Collier,"$1,650,000 ",2006
104,8,9,Josh Smith,"$1,365,360 ",2006
105,9,10,John Edwards,"$1,000,000 ",2006
106,10,11,Salim Stoudamire,"$675,000 ",2006
107,11,12,Royal Ivey,"$641,748 ",2006
108,12,13,Donta Smith,"$641,748 ",2006
109,13,14,Esteban Batista,"$398,762 ",2006
110,14,15,John Thomas,"$178,675 ",2006
111,0,1,Joe Johnson,"$12,744,189 ",2007
112,1,2,Speedy Claxton,"$6,854,546 ",2007
113,2,3,Marvin Williams,"$4,174,800 ",2007
114,3,4,Zaza Pachulia,"$4,000,000 ",2007
115,4,5,Tyronn Lue,"$3,500,000 ",2007
116,5,6,Lorenzen Wright,"$3,250,000 ",2007
117,6,7,Shelden Williams,"$2,952,840 ",2007
118,7,8,Josh Childress,"$2,863,920 ",2007
119,8,9,Anthony Johnson,"$2,640,000 ",2007
120,9,10,Josh Smith,"$1,460,640 ",2007
121,10,11,Royal Ivey,"$744,551 ",2007
122,11,12,Salim Stoudamire,"$729,000 ",2007
123,12,13,Solomon Jones,"$675,000 ",2007
124,13,14,Esteban Batista,"$664,209 ",2007
125,14,15,Stanislav Medvedenko,"$625,132 ",2007
126,15,16,Cedric Bozeman,"$412,718 ",2007
127,16,17,Matt Freije,"$145,961 ",2007
128,17,18,Dijon Thompson,"$89,101 ",2007
129,18,19,Jeremy Richardson,"$55,365 ",2007
130,0,1,Mike Bibby,"$13,500,000 ",2008
131,1,2,Joe Johnson,"$13,488,377 ",2008
132,2,3,Speedy Claxton,"$6,306,182 ",2008
133,3,4,Marvin Williams,"$4,466,040 ",2008
134,4,5,Zaza Pachulia,"$4,000,000 ",2008
135,5,6,Al Horford,"$3,745,800 ",2008
136,6,7,Josh Childress,"$3,631,449 ",2008
137,7,8,Josh Smith,"$2,243,543 ",2008
138,8,9,Acie Law,"$1,927,080 ",2008
139,9,10,Salim Stoudamire,"$783,000 ",2008
140,10,11,Solomon Jones,"$729,000 ",2008
141,11,12,Mario West,"$427,163 ",2008
142,12,13,Jeremy Richardson,"$253,499 ",2008
143,0,1,Mike Bibby,"$14,983,603 ",2009
144,1,2,Joe Johnson,"$14,232,567 ",2009
145,2,3,Josh Smith,"$10,000,000 ",2009
146,3,4,Speedy Claxton,"$5,757,818 ",2009
147,4,5,Marvin Williams,"$5,636,143 ",2009
148,5,6,Al Horford,"$4,026,720 ",2009
149,6,7,Zaza Pachulia,"$4,000,000 ",2009
150,7,8,Maurice Evans,"$2,500,000 ",2009
151,8,9,Acie Law,"$2,071,680 ",2009
152,9,10,Ronald Murray,"$1,500,000 ",2009
153,10,11,Solomon Jones,"$797,581 ",2009
154,11,12,Randolph Morris,"$797,581 ",2009
155,12,13,Thomas Gardner,"$711,517 ",2009
156,13,14,Mario West,"$711,517 ",2009
157,14,15,Othello Hunter,"$442,114 ",2009
158,0,1,Joe Johnson,"$14,976,754 ",2010
159,1,2,Josh Smith,"$10,800,000 ",2010
160,2,3,Jamal Crawford,"$9,360,000 ",2010
161,3,4,Marvin Williams,"$7,500,000 ",2010
162,4,5,Mike Bibby,"$6,217,617 ",2010
163,5,6,Zaza Pachulia,"$4,750,000 ",2010
164,6,7,Al Horford,"$4,307,640 ",2010
165,7,8,Maurice Evans,"$2,500,000 ",2010
166,8,9,Jeff Teague,"$1,373,880 ",2010
167,9,10,Joe Smith,"$1,306,455 ",2010
168,10,11,Jason Collins,"$1,181,803 ",2010
169,11,12,Randolph Morris,"$855,189 ",2010
170,12,13,Mario West,"$446,740 ",2010
171,13,14,Othello Hunter,"$307,564 ",2010
172,0,1,Joe Johnson,"$16,324,500 ",2011
173,1,2,Josh Smith,"$11,600,000 ",2011
174,2,3,Jamal Crawford,"$10,800,000 ",2011
