,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3179,7580,0.419,2148,2885,0.745,,,5343,1881,1995,8506,1960,,,,,,,,,
1,Team/G,,,42.4,101.1,0.419,28.6,38.5,0.745,,,71.2,25.1,26.6,113.4,1960,,,,,,,,,
2,Lg Rank,,,6,8,2.0,1,1,3.0,,,6,1,7,5,1960,,,,,,,,,
3,Year/Year,,,6.0%,3.7%,0.009,-0.5%,0.5%,-0.007,,,1.7%,15.2%,-1.1%,4.3%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8303,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,110.7,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,1,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,5.4%,1960,,,,,,,,,
0,Team,79.0,,3618,8795,0.411,2147,2921,0.735,,,5994,2136,2135,9383,1961,,,,,,,,,
1,Team/G,,,45.8,111.3,0.411,27.2,37.0,0.735,,,75.9,27.0,27.0,118.8,1961,,,,,,,,,
2,Lg Rank,,,5,3,5.0,4,5,6.0,,,2,1,4,4,1961,,,,,,,,,
3,Year/Year,,,8.0%,10.2%,-0.008,-5.1%,-3.9%,-0.01,,,6.5%,7.8%,1.6%,4.7%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9102,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,115.2,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,3,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,4.1%,1961,,,,,,,,,
0,Team,80.0,,3641,8461,0.43,2226,2939,0.757,,,5557,1996,2166,9508,1962,,,,,,,,,
1,Team/G,,,45.5,105.8,0.43,27.8,36.7,0.757,,,69.5,25.0,27.1,118.9,1962,,,,,,,,,
2,Lg Rank,,,5,5,3.0,5,5,2.0,,,7,4,8,5,1962,,,,,,,,,
3,Year/Year,,,-0.6%,-5.0%,0.019,2.4%,-0.6%,0.022,,,-8.4%,-7.7%,0.2%,0.1%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9770,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,122.1,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,8,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,6.0%,1962,,,,,,,,,
0,Team,80.0,,3355,7780,0.431,2056,2820,0.729,,,5096,1902,2077,8766,1963,,,,,,,,,
1,Team/G,,,41.9,97.3,0.431,25.7,35.3,0.729,,,63.7,23.8,26.0,109.6,1963,,,,,,,,,
2,Lg Rank,,,9,8,7.0,4,6,4.0,,,8,4,4,9,1963,,,,,,,,,
3,Year/Year,,,-7.9%,-8.0%,0.001,-7.6%,-4.0%,-0.028,,,-8.3%,-4.7%,-4.1%,-7.8%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8624,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,107.8,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,1,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-11.7%,1963,,,,,,,,,
0,Team,80.0,,3341,7776,0.43,2115,2795,0.757,,,4959,1901,2266,8797,1964,,,,,,,,,
1,Team/G,,,41.8,97.2,0.43,26.4,34.9,0.757,,,62.0,23.8,28.3,110.0,1964,,,,,,,,,
2,Lg Rank,,,8,7,6.0,4,7,4.0,,,9,2,9,6,1964,,,,,,,,,
3,Year/Year,,,-0.4%,-0.1%,-0.002,2.9%,-0.9%,0.028,,,-2.7%,-0.1%,9.1%,0.4%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8669,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,108.4,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,3,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,0.5%,1964,,,,,,,,,
0,Team,80.0,19225.0,3269,7710,0.424,2168,2947,0.736,,,5208,1691,2069,8706,1965,,,,,,,,,
1,Team/G,,240.3,40.9,96.4,0.424,27.1,36.8,0.736,,,65.1,21.1,25.9,108.8,1965,,,,,,,,,
2,Lg Rank,,9.0,9,8,5.0,5,4,4.0,,,8,4,6,6,1965,,,,,,,,,
3,Year/Year,,,-2.2%,-0.8%,-0.006,2.5%,5.4%,-0.021,,,5.0%,-11.0%,-8.7%,-1.0%,1965,,,,,,,,,
4,Opponent,80.0,19225.0,,,,,,,,,,,,8464,1965,,,,,,,,,
5,Opponent/G,,240.3,,,,,,,,,,,,105.8,1965,,,,,,,,,
6,Lg Rank,,9.0,,,,,,,,,,,,2,1965,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-2.4%,1965,,,,,,,,,
0,Team,80.0,19200,3379,7836,0.431,2155,2870,0.751,,,5167,1782,2179,8913,1966,,,,,,,,,
1,Team/G,,240.0,42.2,98.0,0.431,26.9,35.9,0.751,,,64.6,22.3,27.2,111.4,1966,,,,,,,,,
2,Lg Rank,,8,9,9,6.0,5,7,3.0,,,8,8,7,8,1966,,,,,,,,,
3,Year/Year,,-0.1%,3.4%,1.6%,0.007,-0.6%,-2.6%,0.015,,,-0.8%,5.4%,5.3%,2.4%,1966,,,,,,,,,
4,Opponent,80.0,19200,,,,,,,,,,,,8958,1966,,,,,,,,,
5,Opponent/G,,240.0,,,,,,,,,,,,112.0,1966,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,2,1966,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,5.8%,1966,,,,,,,,,
0,Team,81.0,19540,3547,8004,0.443,2110,2979,0.708,,,5219,1708,2173,9204,1967,,,,,,,,,
1,Team/G,,241.2,43.8,98.8,0.443,26.0,36.8,0.708,,,64.4,21.1,26.8,113.6,1967,,,,,,,,,
2,Lg Rank,,5,9,10,6.0,7,4,9.0,,,8,8,8,8,1967,,,,,,,,,
3,Year/Year,,0.5%,3.7%,0.9%,0.012,-3.3%,2.5%,-0.043,,,-0.2%,-5.3%,-1.5%,2.0%,1967,,,,,,,,,
4,Opponent,81.0,19540,,,,,,,,,,,,9334,1967,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,115.2,1967,,,,,,,,,
6,Lg Rank,,5,,,,,,,,,,,,2,1967,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,2.9%,1967,,,,,,,,,
0,Team,82.0,19880,3504,7765,0.451,2258,3111,0.726,,,5325,1988,2046,9266,1968,,,,,,,,,
1,Team/G,,242.4,42.7,94.7,0.451,27.5,37.9,0.726,,,64.9,24.2,25.0,113.0,1968,,,,,,,,,
2,Lg Rank,,1,11,12,5.0,3,5,6.0,,,8,4,3,10,1968,,,,,,,,,
3,Year/Year,,0.5%,-2.4%,-4.2%,0.008,5.7%,3.2%,0.018,,,0.8%,15.0%,-7.0%,-0.6%,1968,,,,,,,,,
4,Opponent,82.0,19880,,,,,,,,,,,,9042,1968,,,,,,,,,
5,Opponent/G,,242.4,,,,,,,,,,,,110.3,1968,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,1,1968,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,-4.3%,1968,,,,,,,,,
0,Team,82.0,19730,3605,7844,0.46,1913,2785,0.687,,,4599,2069,2082,9123,1969,,,,,,,,,
1,Team/G,,240.6,44.0,95.7,0.46,23.3,34.0,0.687,,,56.1,25.2,25.4,111.3,1969,,,,,,,,,
2,Lg Rank,,12,5,11,3.0,12,9,12.0,,,7,2,6,9,1969,,,,,,,,,
3,Year/Year,,-0.8%,2.9%,1.0%,0.008,-15.3%,-10.5%,-0.039,,,-13.6%,4.1%,1.8%,-1.5%,1969,,,,,,,,,
4,Opponent,82.0,19730,,,,,,,,,,,,8942,1969,,,,,,,,,
5,Opponent/G,,240.6,,,,,,,,,,,,109.0,1969,,,,,,,,,
6,Lg Rank,,12,,,,,,,,,,,,5,1969,,,,,,,,,
7,Year/Year,,-0.8%,,,,,,,,,,,,-1.1%,1969,,,,,,,,,
0,Team,82.0,19780,3817,7907,0.483,2012,2669,0.754,,,4210,2142,2016,9646,1970,,,,,,,,,
1,Team/G,,241.2,46.5,96.4,0.483,24.5,32.5,0.754,,,51.3,26.1,24.6,117.6,1970,,,,,,,,,
2,Lg Rank,,8,5,12,2.0,9,9,7.0,,,9,3,6,6,1970,,,,,,,,,
3,Year/Year,,0.3%,5.9%,0.8%,0.023,5.2%,-4.2%,0.067,,,-8.5%,3.5%,-3.2%,5.7%,1970,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9612,1970,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,117.2,1970,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,8,1970,,,,,,,,,
7,Year/Year,,0.3%,,,,,,,,,,,,7.5%,1970,,,,,,,,,
0,Team,82.0,19755,3614,7779,0.465,2120,2975,0.713,,,4472,1906,1958,9348,1971,,,,,,,,,
