,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Bill Russell,25,74,,42.5,7.5,16.1,0.467,,,,7.5,16.1,0.467,0.467,3.2,5.3,0.612,,,24.0,3.7,,,,2.8,18.2,1960
1,1,2,Bob Cousy,31,75,,34.5,7.6,19.7,0.384,,,,7.6,19.7,0.384,0.384,4.3,5.4,0.792,,,4.7,9.5,,,,1.9,19.4,1960
2,2,3,Tom Heinsohn,25,75,,32.3,9.0,21.2,0.423,,,,9.0,21.2,0.423,0.423,3.8,5.1,0.733,,,10.6,2.3,,,,3.7,21.7,1960
3,3,4,Frank Ramsey,28,73,,27.5,5.8,14.5,0.397,,,,5.8,14.5,0.397,0.397,3.7,4.8,0.787,,,6.9,1.9,,,,3.4,15.3,1960
4,4,5,Bill Sharman,33,71,,27.0,7.9,17.3,0.456,,,,7.9,17.3,0.456,0.456,3.5,4.1,0.866,,,3.7,2.0,,,,2.2,19.3,1960
5,5,6,Sam Jones,26,74,,20.4,4.8,10.6,0.454,,,,4.8,10.6,0.454,0.454,2.3,3.0,0.764,,,5.1,1.7,,,,1.4,11.9,1960
6,6,7,Jim Loscutoff,29,28,,19.1,2.4,7.3,0.322,,,,2.4,7.3,0.322,0.322,0.8,1.3,0.611,,,3.9,0.4,,,,3.9,5.5,1960
7,7,8,Maurice King,24,1,,19.0,5.0,8.0,0.625,,,,5.0,8.0,0.625,0.625,0.0,1.0,0.0,,,4.0,2.0,,,,3.0,10.0,1960
8,8,9,Gene Conley,29,71,,18.7,2.8,7.6,0.373,,,,2.8,7.6,0.373,0.373,1.1,1.6,0.667,,,8.3,0.5,,,,3.8,6.7,1960
9,9,10,K.C. Jones,27,74,,17.2,2.3,5.6,0.408,,,,2.3,5.6,0.408,0.408,1.7,2.3,0.753,,,2.7,2.6,,,,1.5,6.3,1960
10,10,11,John Richter,22,66,,12.2,1.7,5.0,0.34,,,,1.7,5.0,0.34,0.34,0.9,1.8,0.504,,,4.7,0.4,,,,2.4,4.3,1960
11,11,12,Gene Guarilia,22,48,,8.8,1.2,3.2,0.377,,,,1.2,3.2,0.377,0.377,0.6,0.9,0.707,,,1.8,0.4,,,,1.2,3.0,1960
12,0,1,Bill Russell,26,78,,44.3,6.8,16.0,0.426,,,,6.8,16.0,0.426,0.426,3.3,6.0,0.55,,,23.9,3.4,,,,2.0,16.9,1961
13,1,2,Bob Cousy,32,76,,32.5,6.8,18.2,0.371,,,,6.8,18.2,0.371,0.371,4.6,5.9,0.779,,,4.4,7.7,,,,2.6,18.1,1961
14,2,3,Tom Heinsohn,26,74,,30.5,8.5,21.2,0.4,,,,8.5,21.2,0.4,0.4,4.4,5.7,0.767,,,9.9,1.9,,,,3.5,21.3,1961
