,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Bill Russell,25.0,74,,3146.0,555,1189,0.467,,,,555,1189,0.467,0.467,240,392,0.612,,,1778,277,,,,210,1350,1960
1,1,2.0,Bob Cousy,31.0,75,,2588.0,568,1481,0.384,,,,568,1481,0.384,0.384,319,403,0.792,,,352,715,,,,146,1455,1960
2,2,3.0,Tom Heinsohn,25.0,75,,2420.0,673,1590,0.423,,,,673,1590,0.423,0.423,283,386,0.733,,,794,171,,,,275,1629,1960
3,3,4.0,Frank Ramsey,28.0,73,,2009.0,422,1062,0.397,,,,422,1062,0.397,0.397,273,347,0.787,,,506,137,,,,251,1117,1960
4,4,5.0,Bill Sharman,33.0,71,,1916.0,559,1225,0.456,,,,559,1225,0.456,0.456,252,291,0.866,,,262,144,,,,154,1370,1960
5,5,6.0,Sam Jones,26.0,74,,1512.0,355,782,0.454,,,,355,782,0.454,0.454,168,220,0.764,,,375,125,,,,101,878,1960
6,6,7.0,Gene Conley,29.0,71,,1330.0,201,539,0.373,,,,201,539,0.373,0.373,76,114,0.667,,,590,32,,,,270,478,1960
7,7,8.0,K.C. Jones,27.0,74,,1274.0,169,414,0.408,,,,169,414,0.408,0.408,128,170,0.753,,,199,189,,,,109,466,1960
8,8,9.0,John Richter,22.0,66,,808.0,113,332,0.34,,,,113,332,0.34,0.34,59,117,0.504,,,312,27,,,,158,285,1960
9,9,10.0,Jim Loscutoff,29.0,28,,536.0,66,205,0.322,,,,66,205,0.322,0.322,22,36,0.611,,,108,12,,,,108,154,1960
10,10,11.0,Gene Guarilia,22.0,48,,423.0,58,154,0.377,,,,58,154,0.377,0.377,29,41,0.707,,,85,18,,,,57,145,1960
11,11,12.0,Maurice King,24.0,1,,19.0,5,8,0.625,,,,5,8,0.625,0.625,0,1,0.0,,,4,2,,,,3,10,1960
12,0,1.0,Bill Russell,26.0,78,,3458.0,532,1250,0.426,,,,532,1250,0.426,0.426,258,469,0.55,,,1868,268,,,,155,1322,1961
13,1,2.0,Bob Cousy,32.0,76,,2468.0,513,1382,0.371,,,,513,1382,0.371,0.371,352,452,0.779,,,331,587,,,,196,1378,1961
14,2,3.0,Tom Heinsohn,26.0,74,,2256.0,627,1566,0.4,,,,627,1566,0.4,0.4,325,424,0.767,,,732,141,,,,260,1579,1961
15,3,4.0,Sam Jones,27.0,78,,2028.0,480,1069,0.449,,,,480,1069,0.449,0.449,211,268,0.787,,,421,217,,,,148,1171,1961
16,4,5.0,Frank Ramsey,29.0,79,,2019.0,448,1100,0.407,,,,448,1100,0.407,0.407,295,354,0.833,,,431,146,,,,284,1191,1961
17,5,6.0,K.C. Jones,28.0,78,,1605.0,203,601,0.338,,,,203,601,0.338,0.338,186,280,0.664,,,279,253,,,,190,592,1961
18,6,7.0,Bill Sharman,34.0,61,,1538.0,383,908,0.422,,,,383,908,0.422,0.422,210,228,0.921,,,223,146,,,,127,976,1961
19,7,8.0,Gene Conley,30.0,75,,1242.0,183,495,0.37,,,,183,495,0.37,0.37,106,153,0.693,,,550,40,,,,275,472,1961
20,8,9.0,Jim Loscutoff,30.0,76,,1153.0,144,478,0.301,,,,144,478,0.301,0.301,49,76,0.645,,,291,25,,,,238,337,1961
21,9,10.0,Tom Sanders,22.0,68,,1084.0,148,352,0.42,,,,148,352,0.42,0.42,67,100,0.67,,,385,44,,,,131,363,1961
22,10,11.0,Gene Guarilia,23.0,25,,209.0,38,94,0.404,,,,38,94,0.404,0.404,3,10,0.3,,,71,5,,,,28,79,1961
23,0,1.0,Bill Russell,27.0,76,,3433.0,575,1258,0.457,,,,575,1258,0.457,0.457,286,481,0.595,,,1790,341,,,,207,1436,1962
24,1,2.0,Sam Jones,28.0,78,,2388.0,596,1284,0.464,,,,596,1284,0.464,0.464,243,297,0.818,,,458,232,,,,149,1435,1962
25,2,3.0,Tom Heinsohn,27.0,79,,2383.0,692,1613,0.429,,,,692,1613,0.429,0.429,358,437,0.819,,,747,165,,,,280,1742,1962
26,3,4.0,Tom Sanders,23.0,80,,2325.0,350,804,0.435,,,,350,804,0.435,0.435,197,263,0.749,,,762,74,,,,279,897,1962
27,4,5.0,Bob Cousy,33.0,75,,2114.0,462,1181,0.391,,,,462,1181,0.391,0.391,251,333,0.754,,,261,584,,,,135,1175,1962
28,5,6.0,K.C. Jones,29.0,80,,2054.0,294,724,0.406,,,,294,724,0.406,0.406,147,232,0.634,,,298,343,,,,206,735,1962
29,6,7.0,Frank Ramsey,30.0,79,,1913.0,436,1019,0.428,,,,436,1019,0.428,0.428,334,405,0.825,,,387,109,,,,245,1206,1962
30,7,8.0,Jim Loscutoff,31.0,79,,1146.0,188,519,0.362,,,,188,519,0.362,0.362,45,84,0.536,,,329,51,,,,185,421,1962
31,8,9.0,Gary Phillips,22.0,67,,713.0,110,310,0.355,,,,110,310,0.355,0.355,50,86,0.581,,,107,64,,,,109,270,1962
32,9,10.0,Carl Braun,34.0,48,,414.0,78,207,0.377,,,,78,207,0.377,0.377,20,27,0.741,,,50,71,,,,49,176,1962
33,10,11.0,Gene Guarilia,24.0,45,,367.0,61,161,0.379,,,,61,161,0.379,0.379,41,64,0.641,,,124,11,,,,56,163,1962
34,11,12.0,Al Butler,23.0,5,,47.0,13,29,0.448,,,,13,29,0.448,0.448,5,6,0.833,,,13,4,,,,9,31,1962
35,0,1.0,Bill Russell,28.0,78,,3500.0,511,1182,0.432,,,,511,1182,0.432,0.432,287,517,0.555,,,1843,348,,,,189,1309,1963
36,1,2.0,Sam Jones,29.0,76,,2323.0,621,1305,0.476,,,,621,1305,0.476,0.476,257,324,0.793,,,396,241,,,,162,1499,1963
37,2,3.0,John Havlicek,22.0,80,,2200.0,483,1085,0.445,,,,483,1085,0.445,0.445,174,239,0.728,,,534,179,,,,189,1140,1963
38,3,4.0,Tom Sanders,24.0,80,,2148.0,339,744,0.456,,,,339,744,0.456,0.456,186,252,0.738,,,576,95,,,,262,864,1963
39,4,5.0,Tom Heinsohn,28.0,76,,2004.0,550,1300,0.423,,,,550,1300,0.423,0.423,340,407,0.835,,,569,95,,,,270,1440,1963
40,5,6.0,Bob Cousy,34.0,76,,1975.0,392,988,0.397,,,,392,988,0.397,0.397,219,298,0.735,,,193,515,,,,175,1003,1963
41,6,7.0,K.C. Jones,30.0,79,,1945.0,230,591,0.389,,,,230,591,0.389,0.389,112,177,0.633,,,263,317,,,,221,572,1963
42,7,8.0,Frank Ramsey,31.0,77,,1541.0,284,743,0.382,,,,284,743,0.382,0.382,271,332,0.816,,,288,95,,,,259,839,1963
43,8,9.0,Jim Loscutoff,32.0,63,,607.0,94,251,0.375,,,,94,251,0.375,0.375,22,42,0.524,,,157,25,,,,126,210,1963
44,9,10.0,Clyde Lovellette,33.0,61,,568.0,161,376,0.428,,,,161,376,0.428,0.428,73,98,0.745,,,177,27,,,,137,395,1963
45,10,11.0,Dan Swartz,28.0,39,,335.0,57,150,0.38,,,,57,150,0.38,0.38,61,72,0.847,,,88,21,,,,92,175,1963
46,11,12.0,Gene Guarilia,25.0,11,,83.0,11,38,0.289,,,,11,38,0.289,0.289,4,11,0.364,,,14,2,,,,5,26,1963
47,12,13.0,Jack Foley,23.0,5,,46.0,13,26,0.5,,,,13,26,0.5,0.5,6,8,0.75,,,7,0,,,,3,32,1963
48,0,1.0,Bill Russell,29.0,78,,3482.0,466,1077,0.433,,,,466,1077,0.433,0.433,236,429,0.55,,,1930,370,,,,190,1168,1964
49,1,2.0,John Havlicek,23.0,80,,2587.0,640,1535,0.417,,,,640,1535,0.417,0.417,315,422,0.746,,,428,238,,,,227,1595,1964
50,2,3.0,K.C. Jones,31.0,80,,2424.0,283,722,0.392,,,,283,722,0.392,0.392,88,168,0.524,,,372,407,,,,253,654,1964
51,3,4.0,Sam Jones,30.0,76,,2381.0,612,1359,0.45,,,,612,1359,0.45,0.45,249,318,0.783,,,349,202,,,,192,1473,1964
52,4,5.0,Tom Sanders,25.0,80,,2370.0,349,836,0.417,,,,349,836,0.417,0.417,213,280,0.761,,,667,102,,,,277,911,1964
53,5,6.0,Tom Heinsohn,29.0,76,,2040.0,487,1223,0.398,,,,487,1223,0.398,0.398,283,342,0.827,,,460,183,,,,268,1257,1964
54,6,7.0,Willie Naulls,29.0,78,,1409.0,321,769,0.417,,,,321,769,0.417,0.417,125,157,0.796,,,356,64,,,,208,767,1964
55,7,8.0,Frank Ramsey,32.0,75,,1227.0,226,604,0.374,,,,226,604,0.374,0.374,196,233,0.841,,,223,81,,,,245,648,1964
56,8,9.0,Jim Loscutoff,33.0,53,,451.0,56,182,0.308,,,,56,182,0.308,0.308,18,31,0.581,,,131,25,,,,90,130,1964
57,9,10.0,Clyde Lovellette,34.0,45,,437.0,128,305,0.42,,,,128,305,0.42,0.42,45,57,0.789,,,126,24,,,,100,301,1964
58,10,11.0,Larry Siegfried,24.0,31,,261.0,35,110,0.318,,,,35,110,0.318,0.318,31,39,0.795,,,51,40,,,,33,101,1964
59,11,12.0,Johnny McCarthy,29.0,28,,206.0,16,48,0.333,,,,16,48,0.333,0.333,5,13,0.385,,,35,24,,,,42,37,1964
60,0,1.0,Bill Russell,30.0,78,,3466.0,429,980,0.438,,,,429,980,0.438,0.438,244,426,0.573,,,1878,410,,,,204,1102,1965
61,1,2.0,Sam Jones,31.0,80,,2885.0,821,1818,0.452,,,,821,1818,0.452,0.452,428,522,0.82,,,411,223,,,,176,2070,1965
62,2,3.0,Tom Sanders,26.0,80,,2459.0,374,871,0.429,,,,374,871,0.429,0.429,193,259,0.745,,,661,92,,,,318,941,1965
63,3,4.0,K.C. Jones,32.0,78,,2434.0,253,639,0.396,,,,253,639,0.396,0.396,143,227,0.63,,,318,437,,,,263,649,1965
64,4,5.0,John Havlicek,24.0,75,,2169.0,570,1420,0.401,,,,570,1420,0.401,0.401,235,316,0.744,,,371,199,,,,200,1375,1965
65,5,6.0,Tom Heinsohn,30.0,67,,1706.0,365,954,0.383,,,,365,954,0.383,0.383,182,229,0.795,,,399,157,,,,252,912,1965
66,6,7.0,Willie Naulls,30.0,71,,1465.0,302,786,0.384,,,,302,786,0.384,0.384,143,176,0.813,,,336,72,,,,225,747,1965
67,7,8.0,Larry Siegfried,25.0,72,,996.0,173,417,0.415,,,,173,417,0.415,0.415,109,140,0.779,,,134,119,,,,108,455,1965
68,8,9.0,John Thompson,23.0,64,,699.0,84,209,0.402,,,,84,209,0.402,0.402,62,105,0.59,,,230,16,,,,141,230,1965
69,9,10.0,Mel Counts,23.0,54,,572.0,100,272,0.368,,,,100,272,0.368,0.368,58,74,0.784,,,265,19,,,,134,258,1965
70,10,11.0,Ron Bonham,22.0,37,,369.0,91,220,0.414,,,,91,220,0.414,0.414,92,112,0.821,,,78,19,,,,33,274,1965
71,11,12.0,Gerry Ward,23.0,3,,30.0,2,18,0.111,,,,2,18,0.111,0.111,1,1,1.0,,,5,6,,,,6,5,1965
72,12,13.0,Bevo Nordmann,25.0,3,,25.0,3,5,0.6,,,,3,5,0.6,0.6,0,0,,,,8,3,,,,5,6,1965
73,0,1.0,Bill Russell,31.0,78,,3386.0,391,943,0.415,,,,391,943,0.415,0.415,223,405,0.551,,,1779,371,,,,221,1005,1966
74,1,2.0,K.C. Jones,33.0,80,,2710.0,240,619,0.388,,,,240,619,0.388,0.388,209,303,0.69,,,304,503,,,,243,689,1966
75,2,3.0,John Havlicek,25.0,71,,2175.0,530,1328,0.399,,,,530,1328,0.399,0.399,274,349,0.785,,,423,210,,,,158,1334,1966
76,3,4.0,Sam Jones,32.0,67,,2155.0,626,1335,0.469,,,,626,1335,0.469,0.469,325,407,0.799,,,347,216,,,,170,1577,1966
77,4,5.0,Tom Sanders,27.0,72,,1896.0,349,816,0.428,,,,349,816,0.428,0.428,211,276,0.764,,,508,90,,,,317,909,1966
78,5,6.0,Don Nelson,25.0,75,,1765.0,271,618,0.439,,,,271,618,0.439,0.439,223,326,0.684,,,403,79,,,,187,765,1966
79,6,7.0,Larry Siegfried,26.0,71,,1675.0,349,825,0.423,,,,349,825,0.423,0.423,274,311,0.881,,,196,165,,,,157,972,1966
80,7,8.0,Willie Naulls,31.0,71,,1433.0,328,815,0.402,,,,328,815,0.402,0.402,104,131,0.794,,,319,72,,,,197,760,1966
81,8,9.0,Mel Counts,24.0,67,,1021.0,221,549,0.403,,,,221,549,0.403,0.403,120,145,0.828,,,432,50,,,,207,562,1966
