,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3744,8971,0.417,1849,2519,0.734,,,6014,1849,1856,9337,1960,,,,,,,,,
1,Team/G,,,49.9,119.6,0.417,24.7,33.6,0.734,,,80.2,24.7,24.7,124.5,1960,,,,,,,,,
2,Lg Rank,,,1,1,3.0,7,8,4.0,,,1,2,3,1,1960,,,,,,,,,
3,Year/Year,,,12.0%,6.1%,0.022,-9.6%,-5.6%,-0.032,,,3.1%,13.2%,0.7%,7.0%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8713,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,116.2,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,5,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,5.7%,1960,,,,,,,,,
0,Team,79.0,,3699,9295,0.398,2062,2804,0.735,,,6131,1872,2032,9460,1961,,,,,,,,,
1,Team/G,,,46.8,117.7,0.398,26.1,35.5,0.735,,,77.6,23.7,25.7,119.7,1961,,,,,,,,,
2,Lg Rank,,,2,1,8.0,6,7,5.0,,,1,4,2,3,1961,,,,,,,,,
3,Year/Year,,,-6.2%,-1.6%,-0.019,5.9%,5.7%,0.001,,,-3.2%,-3.9%,3.9%,-3.8%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9013,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,114.1,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,2,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-1.8%,1961,,,,,,,,,
0,Team,80.0,,3855,9109,0.423,1977,2715,0.728,,,6080,2049,1909,9687,1962,,,,,,,,,
1,Team/G,,,48.2,113.9,0.423,24.7,33.9,0.728,,,76.0,25.6,23.9,121.1,1962,,,,,,,,,
2,Lg Rank,,,2,1,5.0,7,8,6.0,,,1,3,1,3,1962,,,,,,,,,
3,Year/Year,,,2.9%,-3.2%,0.025,-5.3%,-4.4%,-0.007,,,-2.1%,8.1%,-7.2%,1.1%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8948,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,111.9,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,1,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-2.0%,1962,,,,,,,,,
0,Team,80.0,,3746,8779,0.427,2012,2777,0.725,,,5818,1960,2090,9504,1963,,,,,,,,,
1,Team/G,,,46.8,109.7,0.427,25.2,34.7,0.725,,,72.7,24.5,26.1,118.8,1963,,,,,,,,,
2,Lg Rank,,,2,1,9.0,7,9,5.0,,,1,1,5,3,1963,,,,,,,,,
3,Year/Year,,,-2.8%,-3.6%,0.003,1.8%,2.3%,-0.004,,,-4.3%,-4.3%,9.5%,-1.9%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8930,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,111.6,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,2,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-0.2%,1963,,,,,,,,,
0,Team,80.0,,3619,8770,0.413,1804,2489,0.725,,,5736,1760,2125,9042,1964,,,,,,,,,
1,Team/G,,,45.2,109.6,0.413,22.6,31.1,0.725,,,71.7,22.0,26.6,113.0,1964,,,,,,,,,
2,Lg Rank,,,1,1,9.0,8,9,5.0,,,1,4,4,2,1964,,,,,,,,,
3,Year/Year,,,-3.4%,-0.1%,-0.014,-10.3%,-10.4%,0.0,,,-1.4%,-10.2%,1.7%,-4.9%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8410,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,105.1,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,2,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-5.8%,1964,,,,,,,,,
0,Team,80.0,19275.0,3567,8609,0.414,1890,2587,0.731,,,5748,1772,2065,9024,1965,,,,,,,,,
1,Team/G,,240.9,44.6,107.6,0.414,23.6,32.3,0.731,,,71.9,22.2,25.8,112.8,1965,,,,,,,,,
2,Lg Rank,,7.0,1,1,8.0,7,8,5.0,,,1,2,5,3,1965,,,,,,,,,
3,Year/Year,,,-1.4%,-1.8%,0.002,4.8%,3.9%,0.006,,,0.2%,0.7%,-2.8%,-0.2%,1965,,,,,,,,,
4,Opponent,80.0,19275.0,,,,,,,,,,,,8351,1965,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,104.4,1965,,,,,,,,,
6,Lg Rank,,7.0,,,,,,,,,,,,1,1965,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-0.7%,1965,,,,,,,,,
0,Team,80.0,19225,3488,8367,0.417,2038,2758,0.739,,,5591,1795,2012,9014,1966,,,,,,,,,
1,Team/G,,240.3,43.6,104.6,0.417,25.5,34.5,0.739,,,69.9,22.4,25.2,112.7,1966,,,,,,,,,
2,Lg Rank,,6,7,3,8.0,8,8,5.0,,,3,7,1,7,1966,,,,,,,,,
3,Year/Year,,-0.3%,-2.2%,-2.8%,0.003,7.8%,6.6%,0.008,,,-2.7%,1.3%,-2.6%,-0.1%,1966,,,,,,,,,
4,Opponent,80.0,19225,,,,,,,,,,,,8623,1966,,,,,,,,,
5,Opponent/G,,240.3,,,,,,,,,,,,107.8,1966,,,,,,,,,
6,Lg Rank,,6,,,,,,,,,,,,1,1966,,,,,,,,,
7,Year/Year,,-0.3%,,,,,,,,,,,,3.3%,1966,,,,,,,,,
0,Team,81.0,19615,3724,8325,0.447,2216,2963,0.748,,,5703,1962,2138,9664,1967,,,,,,,,,
1,Team/G,,242.2,46.0,102.8,0.447,27.4,36.6,0.748,,,70.4,24.2,26.4,119.3,1967,,,,,,,,,
2,Lg Rank,,1,4,6,4.0,3,5,4.0,,,2,2,5,4,1967,,,,,,,,,
3,Year/Year,,0.8%,5.4%,-1.7%,0.03,7.4%,6.1%,0.009,,,0.7%,8.0%,5.0%,5.9%,1967,,,,,,,,,
4,Opponent,81.0,19615,,,,,,,,,,,,9012,1967,,,,,,,,,
5,Opponent/G,,242.2,,,,,,,,,,,,111.3,1967,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,1,1967,,,,,,,,,
7,Year/Year,,0.8%,,,,,,,,,,,,3.2%,1967,,,,,,,,,
0,Team,82.0,19705,3686,8371,0.44,2151,2983,0.721,,,5666,1798,2147,9523,1968,,,,,,,,,
1,Team/G,,240.3,45.0,102.1,0.44,26.2,36.4,0.721,,,69.1,21.9,26.2,116.1,1968,,,,,,,,,
2,Lg Rank,,12,6,7,7.0,9,9,7.0,,,3,9,6,8,1968,,,,,,,,,
3,Year/Year,,-0.8%,-2.2%,-0.7%,-0.007,-4.1%,-0.6%,-0.027,,,-1.9%,-9.5%,-0.8%,-2.7%,1968,,,,,,,,,
4,Opponent,82.0,19705,,,,,,,,,,,,9186,1968,,,,,,,,,
5,Opponent/G,,240.3,,,,,,,,,,,,112.0,1968,,,,,,,,,
6,Lg Rank,,12,,,,,,,,,,,,2,1968,,,,,,,,,
7,Year/Year,,-0.8%,,,,,,,,,,,,0.7%,1968,,,,,,,,,
0,Team,82.0,19830,3583,8316,0.431,1936,2657,0.729,,,4840,1953,2073,9102,1969,,,,,,,,,
1,Team/G,,241.8,43.7,101.4,0.431,23.6,32.4,0.729,,,59.0,23.8,25.3,111.0,1969,,,,,,,,,
2,Lg Rank,,3,7,3,9.0,11,11,5.0,,,4,5,5,10,1969,,,,,,,,,
3,Year/Year,,0.6%,-2.8%,-0.7%,-0.009,-10.0%,-10.9%,0.008,,,-14.6%,8.6%,-3.4%,-4.4%,1969,,,,,,,,,
