,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Kelly Tripucka,29,71,65,32.4,8.0,17.1,0.467,0.4,1.2,0.357,7.6,15.9,0.476,0.48,6.2,7.2,0.866,1.1,2.6,3.8,3.2,1.2,0.2,3.3,2.8,22.6,1989
1,1,2,Kurt Rambis,30,75,75,29.8,4.3,8.4,0.518,0.0,0.0,0.0,4.3,8.3,0.521,0.518,2.4,3.3,0.734,3.6,5.8,9.4,2.1,1.3,0.8,2.0,2.8,11.1,1989
2,2,3,Rex Chapman,21,75,44,29.6,7.0,16.9,0.414,0.8,2.5,0.314,6.2,14.4,0.431,0.437,2.1,2.6,0.795,1.0,1.5,2.5,2.3,0.9,0.3,1.5,2.2,16.9,1989
3,3,4,Robert Reid,33,82,54,26.2,6.3,14.8,0.428,0.2,0.6,0.327,6.1,14.2,0.432,0.435,1.9,2.4,0.776,1.0,2.7,3.7,1.9,0.6,0.2,1.3,2.9,14.7,1989
4,4,5,Michael Holton,27,67,60,25.3,3.2,7.5,0.427,0.0,0.2,0.214,3.2,7.3,0.433,0.43,1.8,2.1,0.839,0.4,1.1,1.6,6.3,1.0,0.2,1.8,2.5,8.3,1989
5,5,6,Earl Cureton,31,82,41,25.0,2.8,5.7,0.501,0.0,0.0,0.0,2.8,5.7,0.502,0.501,0.8,1.5,0.537,2.3,3.7,6.0,1.6,0.6,0.7,1.4,2.8,6.5,1989
6,6,7,Muggsy Bogues,24,79,21,22.2,2.3,5.3,0.426,0.0,0.2,0.077,2.2,5.1,0.437,0.427,0.8,1.1,0.75,0.7,1.4,2.1,7.8,1.4,0.1,1.6,1.8,5.4,1989
7,7,8,Dave Hoppen,24,77,36,18.4,2.6,4.6,0.564,0.0,0.0,0.5,2.6,4.6,0.564,0.565,1.3,1.8,0.727,1.6,3.4,5.0,0.7,0.3,0.3,1.0,3.1,6.5,1989
8,8,9,Sidney Lowe,29,14,0,17.9,0.6,1.8,0.32,0.0,0.1,0.0,0.6,1.6,0.348,0.32,0.5,0.8,0.636,0.4,2.0,2.4,6.6,1.0,0.0,0.6,2.0,1.6,1989
9,9,10,Greg Kite,27,12,12,17.8,1.3,2.5,0.533,0.0,0.0,,1.3,2.5,0.533,0.533,0.5,0.8,0.6,1.3,3.2,4.4,0.6,0.3,0.7,1.0,3.6,3.2,1989
10,10,11,Tim Kempton,25,79,0,17.0,2.2,4.2,0.51,0.0,0.0,0.0,2.2,4.2,0.512,0.51,1.8,2.6,0.686,1.2,2.7,3.8,1.3,0.5,0.2,1.5,2.7,6.1,1989
11,11,12,Dell Curry,24,48,0,16.9,5.3,10.9,0.491,0.4,1.1,0.345,4.9,9.7,0.509,0.51,0.8,1.0,0.87,0.5,1.6,2.2,1.0,0.9,0.1,0.9,1.4,11.9,1989
12,12,13,Brian Rowsom,23,34,0,15.2,2.4,4.8,0.494,0.0,0.0,1.0,2.3,4.7,0.491,0.497,1.9,2.4,0.802,1.6,2.4,4.0,0.7,0.3,0.4,0.5,2.0,6.6,1989
13,13,14,Rickey Green,34,33,2,11.2,1.7,4.0,0.432,0.0,0.2,0.2,1.7,3.8,0.441,0.436,0.4,0.4,0.929,0.1,0.6,0.7,2.5,0.5,0.0,0.8,0.5,3.9,1989
14,14,15,Tom Tolbert,23,14,0,8.4,1.2,2.6,0.459,0.0,0.2,0.0,1.2,2.4,0.5,0.459,0.4,0.9,0.5,0.5,1.0,1.5,0.5,0.1,0.3,0.1,1.4,2.9,1989
15,15,16,Ralph Lewis,25,42,0,8.0,1.4,2.9,0.479,0.0,0.1,0.333,1.4,2.8,0.483,0.483,0.5,0.9,0.487,0.8,0.6,1.5,0.4,0.3,0.1,0.6,0.7,3.2,1989
16,0,1,Armen Gilliam,25,60,59,36.0,7.2,13.7,0.527,0.0,0.0,0.0,7.2,13.6,0.529,0.527,4.4,6.1,0.727,3.1,5.7,8.8,1.5,1.1,0.8,2.8,3.1,18.8,1990
17,1,2,Muggsy Bogues,25,81,65,33.9,4.0,8.2,0.491,0.1,0.3,0.192,4.0,7.9,0.503,0.495,1.3,1.7,0.791,0.6,2.0,2.6,10.7,2.0,0.0,1.8,2.1,9.4,1990
18,2,3,J.R. Reid,21,82,82,33.6,4.4,9.9,0.44,0.0,0.1,0.0,4.4,9.9,0.443,0.44,2.3,3.5,0.664,2.4,6.0,8.4,1.2,1.1,0.7,2.1,3.6,11.1,1990
19,3,4,Rex Chapman,22,54,52,32.6,7.0,17.1,0.408,0.9,2.6,0.331,6.1,14.5,0.422,0.433,2.7,3.6,0.75,1.0,2.4,3.3,2.4,0.9,0.1,1.9,2.1,17.5,1990
20,4,5,Kelly Tripucka,30,79,73,30.4,5.6,13.0,0.43,0.5,1.3,0.365,5.1,11.7,0.437,0.448,3.9,4.4,0.883,1.0,3.0,4.1,2.8,0.9,0.2,2.2,2.8,15.6,1990
21,5,6,Kurt Rambis,31,16,16,28.0,3.6,7.3,0.5,0.0,0.1,0.0,3.6,7.2,0.504,0.5,1.9,3.4,0.545,3.0,4.5,7.5,1.8,2.0,0.6,1.8,2.8,9.1,1990
22,6,7,Dell Curry,25,67,13,27.8,6.9,14.8,0.466,0.8,2.2,0.354,6.1,12.6,0.485,0.492,1.4,1.6,0.923,0.5,2.0,2.5,2.4,1.5,0.4,1.5,2.2,16.0,1990
23,7,8,Randolph Keys,23,32,5,22.6,4.4,10.0,0.445,0.4,1.0,0.364,4.1,8.9,0.455,0.464,1.3,1.8,0.69,1.5,2.1,3.6,1.5,0.9,0.2,1.2,3.3,10.5,1990
24,8,9,Robert Reid,34,60,27,18.6,2.7,6.9,0.391,0.2,0.5,0.31,2.6,6.4,0.397,0.402,0.8,1.3,0.641,0.6,1.8,2.4,1.4,0.6,0.2,0.7,2.3,6.4,1990
25,9,10,Kenny Gattison,25,63,2,14.9,2.3,4.3,0.55,0.0,0.0,1.0,2.3,4.3,0.549,0.552,1.2,1.7,0.682,1.2,1.9,3.1,0.6,0.6,0.5,1.1,2.4,5.9,1990
26,10,11,Jerry Sichting,33,34,8,13.8,1.5,3.5,0.42,0.1,0.4,0.25,1.4,3.1,0.439,0.433,0.4,0.5,0.833,0.1,0.5,0.6,2.7,0.5,0.1,0.6,1.1,3.5,1990
27,11,12,Micheal Williams,23,22,1,13.8,2.6,5.0,0.532,0.0,0.1,0.0,2.6,4.8,0.547,0.532,1.6,2.0,0.795,0.5,0.9,1.4,3.5,1.0,0.0,1.3,1.8,6.9,1990
28,12,13,Dave Hoppen,25,10,2,13.5,1.6,4.1,0.39,0.0,0.0,,1.6,4.1,0.39,0.39,0.8,1.0,0.8,1.9,1.7,3.6,0.6,0.2,0.1,0.8,2.6,4.0,1990
29,13,14,Brian Rowsom,24,44,2,12.7,1.8,4.1,0.436,0.0,0.0,0.5,1.8,4.0,0.435,0.439,1.5,1.9,0.819,1.0,2.0,3.0,0.5,0.4,0.3,0.6,1.3,5.1,1990
30,14,15,Stuart Gray,26,39,1,11.9,1.0,2.1,0.463,0.0,0.1,0.0,1.0,2.1,0.475,0.463,0.6,1.0,0.641,1.0,2.4,3.4,0.4,0.3,0.6,0.5,1.6,2.6,1990
31,15,16,Richard Anderson,29,54,2,11.2,1.6,3.9,0.417,0.7,1.9,0.37,0.9,2.1,0.459,0.505,0.3,0.4,0.783,0.6,1.7,2.4,1.0,0.4,0.2,0.5,1.2,4.3,1990
32,16,17,Andre Turner,25,8,0,10.5,1.1,3.1,0.36,0.0,0.1,0.0,1.1,3.0,0.375,0.36,0.5,0.5,1.0,0.1,0.3,0.4,2.5,0.9,0.0,1.0,0.6,2.8,1990
33,17,18,Terry Dozier,23,9,0,10.2,1.0,3.0,0.333,0.0,0.1,0.0,1.0,2.9,0.346,0.333,0.4,0.9,0.5,0.8,0.9,1.7,0.3,0.7,0.2,0.8,1.1,2.4,1990
34,18,19,Michael Holton,28,16,0,6.8,0.9,1.6,0.538,0.0,0.0,,0.9,1.6,0.538,0.538,0.1,0.1,0.5,0.1,0.1,0.1,1.0,0.1,0.0,0.8,1.2,1.8,1990
35,19,20,Ralph Lewis,26,3,0,6.7,1.3,2.0,0.667,0.0,0.0,,1.3,2.0,0.667,0.667,0.7,0.7,1.0,1.3,0.7,2.0,0.0,0.3,0.0,0.3,0.7,3.3,1990
36,0,1,Armen Gilliam,26,25,25,38.0,7.8,15.2,0.513,0.0,0.0,,7.8,15.2,0.513,0.513,4.2,5.1,0.813,3.4,5.9,9.4,1.1,1.4,0.8,2.6,2.6,19.8,1991
