Unnamed: 1,Salary,Year
Kelly Tripucka,"$980,000 ",1989
Rex Chapman,"$675,000 ",1989
Kurt Rambis,"$625,000 ",1989
Robert Reid,"$475,000 ",1989
Muggsy Bogues,"$350,000 ",1989
Rickey Green,"$300,000 ",1989
Dell Curry,"$285,000 ",1989
Dave Hoppen,"$200,000 ",1989
Earl Cureton,"$180,000 ",1989
Ralph Lewis,"$175,000 ",1989
Mike Holton,"$150,000 ",1989
Tom Tolbert,"$150,000 ",1989
Tim Kempton,"$125,000 ",1989
Brian Rowsom,"$100,000 ",1989
J.R. Reid,"$1,200,000 ",1990
Armen Gilliam,"$1,100,000 ",1990
Kelly Tripucka,"$1,000,000 ",1990
Mike Gminski,"$1,650,000 ",1991
Kendall Gill,"$1,500,000 ",1991
J.R. Reid,"$1,250,000 ",1991
Johnny Newman,"$1,200,000 ",1991
Kelly Tripucka,"$1,000,000 ",1991
Dell Curry,"$900,000 ",1991
Muggsy Bogues,"$805,000 ",1991
Rex Chapman,"$675,000 ",1991
Eric Leckner,"$485,000 ",1991
Kenny Gattison,"$355,000 ",1991
Randolph Keys,"$322,000 ",1991
Steve Scheffler,"$200,000 ",1991
Scott Haffner,"$75,000 ",1991
Larry Johnson,"$1,955,000 ",1992
Kendall Gill,"$1,908,000 ",1992
Mike Gminski,"$1,850,000 ",1992
J.R. Reid,"$1,250,000 ",1992
Johnny Newman,"$1,206,000 ",1992
Dell Curry,"$1,006,000 ",1992
Rex Chapman,"$940,000 ",1992
Muggsy Bogues,"$906,000 ",1992
Eric Leckner,"$618,000 ",1992
Kenny Gattison,"$456,000 ",1992
Mike Holton,"$400,000 ",1992
Anthony Frederick,"$130,000 ",1992
Larry Johnson,"$2,540,000 ",1993
Alonzo Mourning,"$2,400,000 ",1993
Kendall Gill,"$1,908,000 ",1993
Mike Gminski,"$1,415,000 ",1993
Sidney Green,"$1,288,000 ",1993
Johnny Newman,"$1,175,000 ",1993
Tom Hammonds,"$850,000 ",1993
Dell Curry,"$750,000 ",1993
Muggsy Bogues,"$700,000 ",1993
Kenny Gattison,"$598,000 ",1993
Kevin Lynch,"$250,000 ",1993
Tony Bennett,"$140,000 ",1993
David Wingate,"$129,000 ",1993
Lorenzo Williams,"$7,000 ",1993
Larry Johnson,"$3,125,000 ",1994
Alonzo Mourning,"$3,120,000 ",1994
Hersey Hawkins,"$2,400,000 ",1994
Mike Gminski,"$1,850,000 ",1994
Kenny Gattison,"$1,250,000 ",1994
Rumeal Robinson,"$1,240,000 ",1994
Eddie Johnson,"$1,150,000 ",1994
Dell Curry,"$1,040,000 ",1994
Muggsy Bogues,"$900,000 ",1994
Scott Burrell,"$650,000 ",1994
David Wingate,"$570,000 ",1994
Kevin Lynch,"$325,000 ",1994
Tony Bennett,"$182,000 ",1994
LeRon Ellis,"$150,000 ",1994
Alonzo Mourning,"$3,840,000 ",1995
Larry Johnson,"$3,710,000 ",1995
Hersey Hawkins,"$2,500,000 ",1995
Robert Parish,"$1,925,000 ",1995
Dell Curry,"$1,340,000 ",1995
Kenny Gattison,"$1,250,000 ",1995
Michael Adams,"$1,240,000 ",1995
Muggsy Bogues,"$1,125,000 ",1995
Scott Burrell,"$845,000 ",1995
David Wingate,"$570,000 ",1995
Tom Tolbert,"$325,000 ",1995
Tony Bennett,"$224,000 ",1995
Darrin Hancock,"$150,000 ",1995
Joe Wolf,"$150,000 ",1995
Greg Sutton,"$139,500 ",1995
