,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Kelly Tripucka,29.0,71,65.0,2302,568,1215,0.467,30,84,0.357,538,1131,0.476,0.48,440,508,0.866,79,188,267,224,88,16,236,196,1606,1989
1,1,2.0,Kurt Rambis,30.0,75,75.0,2233,325,627,0.518,0,3,0.0,325,624,0.521,0.518,182,248,0.734,269,434,703,159,100,57,148,208,832,1989
2,2,3.0,Rex Chapman,21.0,75,44.0,2219,526,1271,0.414,60,191,0.314,466,1080,0.431,0.437,155,195,0.795,74,113,187,176,70,25,113,167,1267,1989
3,3,4.0,Robert Reid,33.0,82,54.0,2152,519,1214,0.428,17,52,0.327,502,1162,0.432,0.435,152,196,0.776,82,220,302,153,53,20,106,235,1207,1989
4,4,5.0,Earl Cureton,31.0,82,41.0,2047,233,465,0.501,0,1,0.0,233,464,0.502,0.501,66,123,0.537,188,300,488,130,50,61,114,230,532,1989
5,5,6.0,Muggsy Bogues,24.0,79,21.0,1755,178,418,0.426,1,13,0.077,177,405,0.437,0.427,66,88,0.75,53,112,165,620,111,7,124,141,423,1989
6,6,7.0,Michael Holton,27.0,67,60.0,1696,215,504,0.427,3,14,0.214,212,490,0.433,0.43,120,143,0.839,30,75,105,424,66,12,119,165,553,1989
7,7,8.0,Dave Hoppen,24.0,77,36.0,1419,199,353,0.564,1,2,0.5,198,351,0.564,0.565,101,139,0.727,123,261,384,57,25,21,77,239,500,1989
8,8,9.0,Tim Kempton,25.0,79,0.0,1341,171,335,0.51,0,1,0.0,171,334,0.512,0.51,142,207,0.686,91,213,304,102,41,14,121,215,484,1989
9,9,10.0,Dell Curry,24.0,48,0.0,813,256,521,0.491,19,55,0.345,237,466,0.509,0.51,40,46,0.87,26,78,104,50,42,4,44,68,571,1989
10,10,11.0,Brian Rowsom,23.0,34,0.0,517,80,162,0.494,1,1,1.0,79,161,0.491,0.497,65,81,0.802,56,81,137,24,10,12,18,69,226,1989
11,11,12.0,Rickey Green,34.0,33,2.0,370,57,132,0.432,1,5,0.2,56,127,0.441,0.436,13,14,0.929,4,19,23,82,18,0,28,16,128,1989
12,12,13.0,Ralph Lewis,25.0,42,0.0,336,58,121,0.479,1,3,0.333,57,118,0.483,0.483,19,39,0.487,35,26,61,15,11,3,24,28,136,1989
13,13,14.0,Sidney Lowe,29.0,14,0.0,250,8,25,0.32,0,2,0.0,8,23,0.348,0.32,7,11,0.636,6,28,34,93,14,0,9,28,23,1989
14,14,15.0,Greg Kite,27.0,12,12.0,213,16,30,0.533,0,0,,16,30,0.533,0.533,6,10,0.6,15,38,53,7,4,8,12,43,38,1989
15,15,16.0,Tom Tolbert,23.0,14,0.0,117,17,37,0.459,0,3,0.0,17,34,0.5,0.459,6,12,0.5,7,14,21,7,2,4,2,20,40,1989
16,0,1.0,J.R. Reid,21.0,82,82.0,2757,358,814,0.44,0,5,0.0,358,809,0.443,0.44,192,289,0.664,199,492,691,101,92,54,172,292,908,1990
17,1,2.0,Muggsy Bogues,25.0,81,65.0,2743,326,664,0.491,5,26,0.192,321,638,0.503,0.495,106,134,0.791,48,159,207,867,166,3,146,168,763,1990
18,2,3.0,Kelly Tripucka,30.0,79,73.0,2404,442,1029,0.43,38,104,0.365,404,925,0.437,0.448,310,351,0.883,82,240,322,224,75,16,176,220,1232,1990
19,3,4.0,Armen Gilliam,25.0,60,59.0,2159,432,819,0.527,0,2,0.0,432,817,0.529,0.527,264,363,0.727,185,344,529,91,63,46,166,184,1128,1990
20,4,5.0,Dell Curry,25.0,67,13.0,1860,461,990,0.466,52,147,0.354,409,843,0.485,0.492,96,104,0.923,31,137,168,159,98,26,100,148,1070,1990
21,5,6.0,Rex Chapman,22.0,54,52.0,1762,377,924,0.408,47,142,0.331,330,782,0.422,0.433,144,192,0.75,52,127,179,132,46,6,100,113,945,1990
22,6,7.0,Robert Reid,34.0,60,27.0,1117,162,414,0.391,9,29,0.31,153,385,0.397,0.402,50,78,0.641,33,110,143,82,36,14,44,136,383,1990
23,7,8.0,Kenny Gattison,25.0,63,2.0,941,148,269,0.55,1,1,1.0,147,268,0.549,0.552,75,110,0.682,75,122,197,39,35,31,67,150,372,1990
24,8,9.0,Randolph Keys,23.0,32,5.0,723,142,319,0.445,12,33,0.364,130,286,0.455,0.464,40,58,0.69,48,68,116,49,30,6,37,107,336,1990
25,9,10.0,Richard Anderson,29.0,54,2.0,604,88,211,0.417,37,100,0.37,51,111,0.459,0.505,18,23,0.783,33,94,127,55,20,9,26,64,231,1990
26,10,11.0,Brian Rowsom,24.0,44,2.0,559,78,179,0.436,1,2,0.5,77,177,0.435,0.439,68,83,0.819,44,87,131,22,18,11,25,58,225,1990
27,11,12.0,Jerry Sichting,33.0,34,8.0,469,50,119,0.42,3,12,0.25,47,107,0.439,0.433,15,18,0.833,3,16,19,92,16,2,22,39,118,1990
28,12,13.0,Stuart Gray,26.0,39,1.0,466,38,82,0.463,0,2,0.0,38,80,0.475,0.463,25,39,0.641,38,93,131,17,12,24,19,64,101,1990
29,13,14.0,Kurt Rambis,31.0,16,16.0,448,58,116,0.5,0,1,0.0,58,115,0.504,0.5,30,55,0.545,48,72,120,28,32,10,29,45,146,1990
30,14,15.0,Micheal Williams,23.0,22,1.0,303,58,109,0.532,0,3,0.0,58,106,0.547,0.532,35,44,0.795,11,20,31,77,22,1,28,39,151,1990
31,15,16.0,Dave Hoppen,25.0,10,2.0,135,16,41,0.39,0,0,,16,41,0.39,0.39,8,10,0.8,19,17,36,6,2,1,8,26,40,1990
32,16,17.0,Michael Holton,28.0,16,0.0,109,14,26,0.538,0,0,,14,26,0.538,0.538,1,2,0.5,1,1,2,16,1,0,13,19,29,1990
33,17,18.0,Terry Dozier,23.0,9,0.0,92,9,27,0.333,0,1,0.0,9,26,0.346,0.333,4,8,0.5,7,8,15,3,6,2,7,10,22,1990
34,18,19.0,Andre Turner,25.0,8,0.0,84,9,25,0.36,0,1,0.0,9,24,0.375,0.36,4,4,1.0,1,2,3,20,7,0,8,5,22,1990
35,19,20.0,Ralph Lewis,26.0,3,0.0,20,4,6,0.667,0,0,,4,6,0.667,0.667,2,2,1.0,4,2,6,0,1,0,1,2,10,1990
36,0,1.0,Johnny Newman,27.0,81,81.0,2477,478,1017,0.47,30,84,0.357,448,933,0.48,0.485,385,476,0.809,94,160,254,188,100,17,189,278,1371,1991
37,1,2.0,J.R. Reid,22.0,80,80.0,2467,360,773,0.466,0,2,0.0,360,771,0.467,0.466,182,259,0.703,154,348,502,89,87,47,153,286,902,1991
38,2,3.0,Muggsy Bogues,26.0,81,46.0,2299,241,524,0.46,0,12,0.0,241,512,0.471,0.46,86,108,0.796,58,158,216,669,137,3,120,160,568,1991
39,3,4.0,Rex Chapman,23.0,70,68.0,2100,410,922,0.445,48,148,0.324,362,774,0.468,0.471,234,282,0.83,45,146,191,250,73,16,131,167,1102,1991
40,4,5.0,Kendall Gill,22.0,82,36.0,1944,376,836,0.45,2,14,0.143,374,822,0.455,0.451,152,182,0.835,105,158,263,303,104,39,163,186,906,1991
41,5,6.0,Kenny Gattison,26.0,72,6.0,1552,243,457,0.532,0,2,0.0,243,455,0.534,0.532,164,248,0.661,136,243,379,44,48,67,102,211,650,1991
