,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19780.0,3426.0,7430.0,0.461,134.0,430.0,0.312,3292.0,7000.0,0.47,1580.0,2060.0,0.767,1138.0,2200.0,3338.0,2323.0,705.0,264.0,1318.0,2068.0,8566.0,1989
1,Team/G,,241.2,41.8,90.6,0.461,1.6,5.2,0.312,40.1,85.4,0.47,19.3,25.1,0.767,13.9,26.8,40.7,28.3,8.6,3.2,16.1,25.2,104.5,1989
2,Lg Rank,,14.0,15.0,8.0,23.0,17.0,17.0,16.0,14.0,8.0,23.0,24.0,25.0,16.0,17.0,24.0,25.0,1.0,17.0,25.0,8.0,21.0,22.0,1989
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1989
4,Opponent,82.0,19780.0,3555.0,7113.0,0.5,115.0,399.0,0.288,3440.0,6714.0,0.512,2040.0,2629.0,0.776,1191.0,2621.0,3812.0,2061.0,710.0,441.0,1425.0,1791.0,9265.0,1989
5,Opponent/G,,241.2,43.4,86.7,0.5,1.4,4.9,0.288,42.0,81.9,0.512,24.9,32.1,0.776,14.5,32.0,46.5,25.1,8.7,5.4,17.4,21.8,113.0,1989
6,Lg Rank,,14.0,16.0,6.0,24.0,1.0,1.0,4.0,21.0,10.0,24.0,24.0,23.0,21.0,15.0,23.0,22.0,8.0,12.0,15.0,13.0,24.0,21.0,1989
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1989
0,Team,82.0,19755,3270,7183,0.455,205,611,0.336,3065,6572,0.466,1487,1967,0.756,962,2211,3173,2080,778,262,1226,1889,8232,1990
1,Team/G,,240.9,39.9,87.6,0.455,2.5,7.5,0.336,37.4,80.1,0.466,18.1,24.0,0.756,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4,1990
2,Lg Rank,,20,23,10,25.0,12,12,10.0,24,15,25.0,26,26,15.0,23,25,27,12,8,27,5,12,25,1990
3,Year/Year,,-0.1%,-4.6%,-3.3%,-0.006,53.0%,42.1%,0.024,-6.9%,-6.1%,-0.004,-5.9%,-4.5%,-0.011,-15.5%,0.5%,-4.9%,-10.5%,10.4%,-0.8%,-7.0%,-8.7%,-3.9%,1990
4,Opponent,82.0,19755,3438,6922,0.497,132,421,0.314,3306,6501,0.509,1865,2380,0.784,1063,2723,3786,2066,638,384,1376,1754,8873,1990
5,Opponent/G,,240.9,41.9,84.4,0.497,1.6,5.1,0.314,40.3,79.3,0.509,22.7,29.0,0.784,13.0,33.2,46.2,25.2,7.8,4.7,16.8,21.4,108.2,1990
6,Lg Rank,,20,18,6,26.0,2,3,6.0,20,10,25.0,18,15,25.0,7,26,25,15,6,7,10,24,21,1990
7,Year/Year,,-0.1%,-3.3%,-2.7%,-0.003,14.8%,5.5%,0.025,-3.9%,-3.2%,-0.004,-8.6%,-9.5%,0.008,-10.7%,3.9%,-0.7%,0.2%,-10.1%,-12.9%,-3.4%,-2.1%,-4.2%,1990
0,Team,82.0,19805,3286,7033,0.467,131,417,0.314,3155,6616,0.477,1725,2214,0.779,1027,2200,3227,2019,759,304,1290,1946,8428,1991
