Unnamed: 1,Salary,Year
Will Perdue,"$5,300,000 ",2000
Hersey Hawkins,"$4,164,100 ",2000
John Starks,"$4,000,000 ",2000
Elton Brand,"$3,375,960 ",2000
Dickey Simpkins,"$1,500,000 ",2000
Randy Brown,"$1,200,000 ",2000
Chris Anstey,"$1,113,720 ",2000
Metta World Peace,"$1,079,760 ",2000
Fred Hoiberg,"$800,000 ",2000
Keith Booth,"$776,880 ",2000
Corey Benjamin,"$696,000 ",2000
Matt Maloney,"$600,000 ",2000
B.J. Armstrong,"$510,000 ",2000
Bruce Bowen,"$510,000 ",2000
James Cotton,"$460,000 ",2000
Michael Ruffin,"$401,875 ",2000
Kornel David,"$175,882 ",2000
Dedric Willoughby,"$134,956 ",2000
Lari Ketner,"$92,338 ",2000
Rusty LaRue,"$40,588 ",2000
Khalid Reeves,"$30,309 ",2000
Chris Carr,"$30,000 ",2000
Maceo Baston,"$20,000 ",2000
Brett Robisch,"$20,000 ",2000
Ron Mercer,"$5,520,000 ",2001
Brad Miller,"$4,000,000 ",2001
Elton Brand,"$3,629,160 ",2001
Hersey Hawkins,"$3,560,000 ",2001
Marcus Fizer,"$2,562,000 ",2001
Dragan Tarlac,"$2,500,000 ",2001
Jamal Crawford,"$1,762,320 ",2001
Bryce Drew,"$1,182,600 ",2001
Metta World Peace,"$1,160,760 ",2001
Fred Hoiberg,"$880,000 ",2001
Dalibor Bagaric,"$795,000 ",2001
Corey Benjamin,"$749,160 ",2001
Michael Ruffin,"$440,000 ",2001
Khalid El-Amin,"$316,969 ",2001
A.J. Guyton,"$316,969 ",2001
Jake Voskuhl,"$316,969 ",2001
Ron Mercer,"$6,750,000 ",2002
Charles Oakley,"$6,545,000 ",2002
Eddie Robinson,"$5,170,000 ",2002
Brad Miller,"$4,400,000 ",2002
Tyson Chandler,"$3,308,160 ",2002
Greg Anthony,"$3,000,000 ",2002
Marcus Fizer,"$2,754,120 ",2002
Eddy Curry,"$2,678,400 ",2002
Jamal Crawford,"$1,894,560 ",2002
Fred Hoiberg,"$1,600,000 ",2002
Metta World Peace,"$1,241,760 ",2002
Dalibor Bagaric,"$854,640 ",2002
