,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Guy Rodgers,31.0,81,,3063,538,1377,0.391,,,,538,1377,0.391,0.391,383,475,0.806,,,346,908,,,,243,1459,1967
1,1,2.0,Jerry Sloan,24.0,80,,2942,525,1214,0.432,,,,525,1214,0.432,0.432,340,427,0.796,,,726,170,,,,293,1390,1967
2,2,3.0,Bob Boozer,29.0,80,,2451,538,1104,0.487,,,,538,1104,0.487,0.487,360,461,0.781,,,679,90,,,,212,1436,1967
3,3,4.0,Erwin Mueller,22.0,80,,2136,422,957,0.441,,,,422,957,0.441,0.441,171,260,0.658,,,497,131,,,,223,1015,1967
4,4,5.0,Don Kojis,28.0,78,,1655,329,773,0.426,,,,329,773,0.426,0.426,134,222,0.604,,,479,70,,,,204,792,1967
5,5,6.0,Jim Washington,23.0,77,,1475,252,604,0.417,,,,252,604,0.417,0.417,88,159,0.553,,,468,56,,,,181,592,1967
6,6,7.0,Keith Erickson,22.0,76,,1454,235,641,0.367,,,,235,641,0.367,0.367,117,159,0.736,,,339,119,,,,199,587,1967
7,7,8.0,McCoy McLemore,24.0,79,,1382,258,670,0.385,,,,258,670,0.385,0.385,210,272,0.772,,,374,62,,,,189,726,1967
8,8,9.0,Gerry Ward,25.0,76,,1042,117,307,0.381,,,,117,307,0.381,0.381,87,138,0.63,,,179,130,,,,169,321,1967
9,9,10.0,Barry Clemens,23.0,60,,986,186,444,0.419,,,,186,444,0.419,0.419,68,90,0.756,,,201,39,,,,143,440,1967
10,10,11.0,George Wilson,24.0,43,,448,77,193,0.399,,,,77,193,0.399,0.399,45,70,0.643,,,163,15,,,,73,199,1967
11,11,12.0,Dave Schellhase,22.0,31,,212,40,111,0.36,,,,40,111,0.36,0.36,14,22,0.636,,,29,23,,,,27,94,1967
12,12,13.0,Len Chappell,26.0,19,,179,40,89,0.449,,,,40,89,0.449,0.449,14,21,0.667,,,38,12,,,,31,94,1967
13,13,14.0,Nate Bowman,23.0,9,,65,8,21,0.381,,,,8,21,0.381,0.381,6,8,0.75,,,28,2,,,,18,22,1967
14,0,1.0,Bob Boozer,30.0,77,,2988,622,1265,0.492,,,,622,1265,0.492,0.492,411,535,0.768,,,756,121,,,,229,1655,1968
15,1,2.0,Jim Washington,24.0,82,,2525,418,915,0.457,,,,418,915,0.457,0.457,187,274,0.682,,,825,113,,,,233,1023,1968
16,2,3.0,Jerry Sloan,25.0,77,,2454,369,959,0.385,,,,369,959,0.385,0.385,289,386,0.749,,,591,229,,,,291,1027,1968
17,3,4.0,Keith Erickson,23.0,78,,2257,377,940,0.401,,,,377,940,0.401,0.401,194,257,0.755,,,423,267,,,,276,948,1968
18,4,5.0,McCoy McLemore,25.0,76,,2100,374,940,0.398,,,,374,940,0.398,0.398,215,276,0.779,,,430,130,,,,219,963,1968
19,5,6.0,Flynn Robinson,26.0,73,,2030,441,1000,0.441,,,,441,1000,0.441,0.441,285,344,0.828,,,268,214,,,,180,1167,1968
20,6,7.0,Barry Clemens,24.0,78,,1631,301,670,0.449,,,,301,670,0.449,0.449,123,170,0.724,,,375,98,,,,223,725,1968
21,7,8.0,Clem Haskins,24.0,76,,1477,273,650,0.42,,,,273,650,0.42,0.42,133,202,0.658,,,227,165,,,,175,679,1968
22,8,9.0,Erwin Mueller,23.0,35,,815,91,235,0.387,,,,91,235,0.387,0.387,46,82,0.561,,,167,76,,,,78,228,1968
23,9,10.0,Jim Barnes,26.0,37,,712,120,264,0.455,,,,120,264,0.455,0.455,74,103,0.718,,,204,28,,,,128,314,1968
24,10,11.0,Reggie Harding,25.0,14,,305,24,71,0.338,,,,24,71,0.338,0.338,17,33,0.515,,,94,18,,,,35,65,1968
25,11,12.0,Dave Schellhase,23.0,42,,301,47,138,0.341,,,,47,138,0.341,0.341,20,38,0.526,,,47,37,,,,43,114,1968
26,12,13.0,Guy Rodgers,32.0,4,,129,16,54,0.296,,,,16,54,0.296,0.296,9,11,0.818,,,14,28,,,,11,41,1968
27,13,14.0,Craig Spitzer,22.0,10,,44,8,21,0.381,,,,8,21,0.381,0.381,2,3,0.667,,,24,0,,,,4,18,1968
28,14,15.0,Ken Wilburn,23.0,3,,26,5,9,0.556,,,,5,9,0.556,0.556,1,4,0.25,,,10,2,,,,4,11,1968
29,15,16.0,Jim Burns,22.0,3,,11,2,7,0.286,,,,2,7,0.286,0.286,0,0,,,,2,1,,,,1,4,1968
30,0,1.0,Jerry Sloan,26.0,78,,2939,488,1170,0.417,,,,488,1170,0.417,0.417,333,447,0.745,,,619,276,,,,313,1309,1969
31,1,2.0,Clem Haskins,25.0,79,,2874,537,1275,0.421,,,,537,1275,0.421,0.421,282,361,0.781,,,359,306,,,,230,1356,1969
32,2,3.0,Bob Boozer,31.0,79,,2872,661,1375,0.481,,,,661,1375,0.481,0.481,394,489,0.806,,,614,156,,,,218,1716,1969
33,3,4.0,Jim Washington,25.0,80,,2705,440,1023,0.43,,,,440,1023,0.43,0.43,241,356,0.677,,,847,104,,,,226,1121,1969
34,4,5.0,Tom Boerwinkle,23.0,80,,2365,318,831,0.383,,,,318,831,0.383,0.383,145,222,0.653,,,889,178,,,,317,781,1969
35,5,6.0,Barry Clemens,25.0,75,,1444,235,628,0.374,,,,235,628,0.374,0.374,82,125,0.656,,,318,125,,,,163,552,1969
36,6,7.0,Bob Weiss,26.0,62,,1236,153,385,0.397,,,,153,385,0.397,0.397,101,126,0.802,,,135,172,,,,150,407,1969
37,7,8.0,Dave Newmark,22.0,81,,1159,185,475,0.389,,,,185,475,0.389,0.389,86,139,0.619,,,347,58,,,,205,456,1969
38,8,9.0,Erwin Mueller,24.0,52,,872,75,224,0.335,,,,75,224,0.335,0.335,46,90,0.511,,,193,124,,,,98,196,1969
39,9,10.0,Flynn Robinson,27.0,18,,550,124,293,0.423,,,,124,293,0.423,0.423,95,114,0.833,,,69,57,,,,52,343,1969
40,10,11.0,Bob Love,26.0,35,,315,69,166,0.416,,,,69,166,0.416,0.416,42,58,0.724,,,86,14,,,,37,180,1969
41,11,12.0,Loy Petersen,23.0,38,,299,44,109,0.404,,,,44,109,0.404,0.404,19,27,0.704,,,41,25,,,,39,107,1969
42,12,13.0,Jim Barnes,27.0,10,,111,23,59,0.39,,,,23,59,0.39,0.39,10,19,0.526,,,30,1,,,,15,56,1969
43,13,14.0,Ken Wilburn,24.0,4,,14,3,8,0.375,,,,3,8,0.375,0.375,1,4,0.25,,,3,1,,,,1,7,1969
44,0,1.0,Clem Haskins,26.0,82,,3214,668,1486,0.45,,,,668,1486,0.45,0.45,332,424,0.783,,,378,624,,,,237,1668,1970
45,1,2.0,Bob Love,27.0,82,,3123,640,1373,0.466,,,,640,1373,0.466,0.466,442,525,0.842,,,712,148,,,,260,1722,1970
46,2,3.0,Chet Walker,29.0,78,,2726,596,1249,0.477,,,,596,1249,0.477,0.477,483,568,0.85,,,604,192,,,,203,1675,1970
47,3,4.0,Bob Weiss,27.0,82,,2544,365,855,0.427,,,,365,855,0.427,0.427,213,253,0.842,,,227,474,,,,206,943,1970
48,4,5.0,Tom Boerwinkle,24.0,81,,2335,348,775,0.449,,,,348,775,0.449,0.449,150,226,0.664,,,1016,229,,,,255,846,1970
49,5,6.0,Jerry Sloan,27.0,53,,1822,310,737,0.421,,,,310,737,0.421,0.421,207,318,0.651,,,372,165,,,,179,827,1970
50,6,7.0,Walt Wesley,25.0,72,,1407,270,648,0.417,,,,270,648,0.417,0.417,145,219,0.662,,,455,68,,,,184,685,1970
51,7,8.0,Bob Kauffman,23.0,64,,775,94,221,0.425,,,,94,221,0.425,0.425,88,123,0.715,,,211,76,,,,117,276,1970
52,8,9.0,Ed Manning,26.0,38,,616,87,255,0.341,,,,87,255,0.341,0.341,37,48,0.771,,,197,34,,,,89,211,1970
53,9,10.0,Al Tucker,26.0,33,,557,97,189,0.513,,,,97,189,0.513,0.513,37,45,0.822,,,113,31,,,,52,231,1970
54,10,11.0,Shaler Halimon,24.0,38,,517,96,244,0.393,,,,96,244,0.393,0.393,49,73,0.671,,,68,69,,,,58,241,1970
55,11,12.0,Loy Petersen,24.0,31,,231,33,90,0.367,,,,33,90,0.367,0.367,26,39,0.667,,,26,23,,,,22,92,1970
56,12,13.0,Johnny Baum,23.0,3,,13,3,11,0.273,,,,3,11,0.273,0.273,0,0,,,,4,0,,,,1,6,1970
