,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Guy Rodgers,31,81,,37.8,6.6,17.0,0.391,,,,6.6,17.0,0.391,0.391,4.7,5.9,0.806,,,4.3,11.2,,,,3.0,18.0,1967
1,2,Jerry Sloan,24,80,,36.8,6.6,15.2,0.432,,,,6.6,15.2,0.432,0.432,4.3,5.3,0.796,,,9.1,2.1,,,,3.7,17.4,1967
2,3,Bob Boozer,29,80,,30.6,6.7,13.8,0.487,,,,6.7,13.8,0.487,0.487,4.5,5.8,0.781,,,8.5,1.1,,,,2.7,18.0,1967
3,4,Erwin Mueller,22,80,,26.7,5.3,12.0,0.441,,,,5.3,12.0,0.441,0.441,2.1,3.3,0.658,,,6.2,1.6,,,,2.8,12.7,1967
4,5,Don Kojis,28,78,,21.2,4.2,9.9,0.426,,,,4.2,9.9,0.426,0.426,1.7,2.8,0.604,,,6.1,0.9,,,,2.6,10.2,1967
5,6,Jim Washington,23,77,,19.2,3.3,7.8,0.417,,,,3.3,7.8,0.417,0.417,1.1,2.1,0.553,,,6.1,0.7,,,,2.4,7.7,1967
6,7,Keith Erickson,22,76,,19.1,3.1,8.4,0.367,,,,3.1,8.4,0.367,0.367,1.5,2.1,0.736,,,4.5,1.6,,,,2.6,7.7,1967
7,8,McCoy McLemore,24,79,,17.5,3.3,8.5,0.385,,,,3.3,8.5,0.385,0.385,2.7,3.4,0.772,,,4.7,0.8,,,,2.4,9.2,1967
8,9,Barry Clemens,23,60,,16.4,3.1,7.4,0.419,,,,3.1,7.4,0.419,0.419,1.1,1.5,0.756,,,3.4,0.7,,,,2.4,7.3,1967
9,10,Gerry Ward,25,76,,13.7,1.5,4.0,0.381,,,,1.5,4.0,0.381,0.381,1.1,1.8,0.63,,,2.4,1.7,,,,2.2,4.2,1967
10,11,George Wilson,24,43,,10.4,1.8,4.5,0.399,,,,1.8,4.5,0.399,0.399,1.0,1.6,0.643,,,3.8,0.3,,,,1.7,4.6,1967
11,12,Len Chappell,26,19,,9.4,2.1,4.7,0.449,,,,2.1,4.7,0.449,0.449,0.7,1.1,0.667,,,2.0,0.6,,,,1.6,4.9,1967
12,13,Nate Bowman,23,9,,7.2,0.9,2.3,0.381,,,,0.9,2.3,0.381,0.381,0.7,0.9,0.75,,,3.1,0.2,,,,2.0,2.4,1967
13,14,Dave Schellhase,22,31,,6.8,1.3,3.6,0.36,,,,1.3,3.6,0.36,0.36,0.5,0.7,0.636,,,0.9,0.7,,,,0.9,3.0,1967
0,1,Bob Boozer,30,77,,38.8,8.1,16.4,0.492,,,,8.1,16.4,0.492,0.492,5.3,6.9,0.768,,,9.8,1.6,,,,3.0,21.5,1968
1,2,Guy Rodgers,32,4,,32.3,4.0,13.5,0.296,,,,4.0,13.5,0.296,0.296,2.3,2.8,0.818,,,3.5,7.0,,,,2.8,10.3,1968
2,3,Jerry Sloan,25,77,,31.9,4.8,12.5,0.385,,,,4.8,12.5,0.385,0.385,3.8,5.0,0.749,,,7.7,3.0,,,,3.8,13.3,1968
3,4,Jim Washington,24,82,,30.8,5.1,11.2,0.457,,,,5.1,11.2,0.457,0.457,2.3,3.3,0.682,,,10.1,1.4,,,,2.8,12.5,1968
4,5,Keith Erickson,23,78,,28.9,4.8,12.1,0.401,,,,4.8,12.1,0.401,0.401,2.5,3.3,0.755,,,5.4,3.4,,,,3.5,12.2,1968
5,6,Flynn Robinson,26,73,,27.8,6.0,13.7,0.441,,,,6.0,13.7,0.441,0.441,3.9,4.7,0.828,,,3.7,2.9,,,,2.5,16.0,1968
6,7,McCoy McLemore,25,76,,27.6,4.9,12.4,0.398,,,,4.9,12.4,0.398,0.398,2.8,3.6,0.779,,,5.7,1.7,,,,2.9,12.7,1968
7,8,Erwin Mueller,23,35,,23.3,2.6,6.7,0.387,,,,2.6,6.7,0.387,0.387,1.3,2.3,0.561,,,4.8,2.2,,,,2.2,6.5,1968
8,9,Reggie Harding,25,14,,21.8,1.7,5.1,0.338,,,,1.7,5.1,0.338,0.338,1.2,2.4,0.515,,,6.7,1.3,,,,2.5,4.6,1968
9,10,Barry Clemens,24,78,,20.9,3.9,8.6,0.449,,,,3.9,8.6,0.449,0.449,1.6,2.2,0.724,,,4.8,1.3,,,,2.9,9.3,1968
10,11,Clem Haskins,24,76,,19.4,3.6,8.6,0.42,,,,3.6,8.6,0.42,0.42,1.8,2.7,0.658,,,3.0,2.2,,,,2.3,8.9,1968
11,12,Jim Barnes,26,37,,19.2,3.2,7.1,0.455,,,,3.2,7.1,0.455,0.455,2.0,2.8,0.718,,,5.5,0.8,,,,3.5,8.5,1968
12,13,Ken Wilburn,23,3,,8.7,1.7,3.0,0.556,,,,1.7,3.0,0.556,0.556,0.3,1.3,0.25,,,3.3,0.7,,,,1.3,3.7,1968
13,14,Dave Schellhase,23,42,,7.2,1.1,3.3,0.341,,,,1.1,3.3,0.341,0.341,0.5,0.9,0.526,,,1.1,0.9,,,,1.0,2.7,1968
14,15,Craig Spitzer,22,10,,4.4,0.8,2.1,0.381,,,,0.8,2.1,0.381,0.381,0.2,0.3,0.667,,,2.4,0.0,,,,0.4,1.8,1968
15,16,Jim Burns,22,3,,3.7,0.7,2.3,0.286,,,,0.7,2.3,0.286,0.286,0.0,0.0,,,,0.7,0.3,,,,0.3,1.3,1968
0,1,Jerry Sloan,26,78,,37.7,6.3,15.0,0.417,,,,6.3,15.0,0.417,0.417,4.3,5.7,0.745,,,7.9,3.5,,,,4.0,16.8,1969
1,2,Bob Boozer,31,79,,36.4,8.4,17.4,0.481,,,,8.4,17.4,0.481,0.481,5.0,6.2,0.806,,,7.8,2.0,,,,2.8,21.7,1969
2,3,Clem Haskins,25,79,,36.4,6.8,16.1,0.421,,,,6.8,16.1,0.421,0.421,3.6,4.6,0.781,,,4.5,3.9,,,,2.9,17.2,1969
3,4,Jim Washington,25,80,,33.8,5.5,12.8,0.43,,,,5.5,12.8,0.43,0.43,3.0,4.5,0.677,,,10.6,1.3,,,,2.8,14.0,1969
4,5,Flynn Robinson,27,18,,30.6,6.9,16.3,0.423,,,,6.9,16.3,0.423,0.423,5.3,6.3,0.833,,,3.8,3.2,,,,2.9,19.1,1969
5,6,Tom Boerwinkle,23,80,,29.6,4.0,10.4,0.383,,,,4.0,10.4,0.383,0.383,1.8,2.8,0.653,,,11.1,2.2,,,,4.0,9.8,1969
6,7,Bob Weiss,26,62,,19.9,2.5,6.2,0.397,,,,2.5,6.2,0.397,0.397,1.6,2.0,0.802,,,2.2,2.8,,,,2.4,6.6,1969
7,8,Barry Clemens,25,75,,19.3,3.1,8.4,0.374,,,,3.1,8.4,0.374,0.374,1.1,1.7,0.656,,,4.2,1.7,,,,2.2,7.4,1969
8,9,Erwin Mueller,24,52,,16.8,1.4,4.3,0.335,,,,1.4,4.3,0.335,0.335,0.9,1.7,0.511,,,3.7,2.4,,,,1.9,3.8,1969
9,10,Dave Newmark,22,81,,14.3,2.3,5.9,0.389,,,,2.3,5.9,0.389,0.389,1.1,1.7,0.619,,,4.3,0.7,,,,2.5,5.6,1969
10,11,Jim Barnes,27,10,,11.1,2.3,5.9,0.39,,,,2.3,5.9,0.39,0.39,1.0,1.9,0.526,,,3.0,0.1,,,,1.5,5.6,1969
11,12,Bob Love,26,35,,9.0,2.0,4.7,0.416,,,,2.0,4.7,0.416,0.416,1.2,1.7,0.724,,,2.5,0.4,,,,1.1,5.1,1969
12,13,Loy Petersen,23,38,,7.9,1.2,2.9,0.404,,,,1.2,2.9,0.404,0.404,0.5,0.7,0.704,,,1.1,0.7,,,,1.0,2.8,1969
13,14,Ken Wilburn,24,4,,3.5,0.8,2.0,0.375,,,,0.8,2.0,0.375,0.375,0.3,1.0,0.25,,,0.8,0.3,,,,0.3,1.8,1969
0,1,Clem Haskins,26,82,,39.2,8.1,18.1,0.45,,,,8.1,18.1,0.45,0.45,4.0,5.2,0.783,,,4.6,7.6,,,,2.9,20.3,1970
1,2,Bob Love,27,82,,38.1,7.8,16.7,0.466,,,,7.8,16.7,0.466,0.466,5.4,6.4,0.842,,,8.7,1.8,,,,3.2,21.0,1970
2,3,Chet Walker,29,78,,34.9,7.6,16.0,0.477,,,,7.6,16.0,0.477,0.477,6.2,7.3,0.85,,,7.7,2.5,,,,2.6,21.5,1970
3,4,Jerry Sloan,27,53,,34.4,5.8,13.9,0.421,,,,5.8,13.9,0.421,0.421,3.9,6.0,0.651,,,7.0,3.1,,,,3.4,15.6,1970
4,5,Bob Weiss,27,82,,31.0,4.5,10.4,0.427,,,,4.5,10.4,0.427,0.427,2.6,3.1,0.842,,,2.8,5.8,,,,2.5,11.5,1970
5,6,Tom Boerwinkle,24,81,,28.8,4.3,9.6,0.449,,,,4.3,9.6,0.449,0.449,1.9,2.8,0.664,,,12.5,2.8,,,,3.1,10.4,1970
6,7,Walt Wesley,25,72,,19.5,3.8,9.0,0.417,,,,3.8,9.0,0.417,0.417,2.0,3.0,0.662,,,6.3,0.9,,,,2.6,9.5,1970
7,8,Al Tucker,26,33,,16.9,2.9,5.7,0.513,,,,2.9,5.7,0.513,0.513,1.1,1.4,0.822,,,3.4,0.9,,,,1.6,7.0,1970
8,9,Ed Manning,26,38,,16.2,2.3,6.7,0.341,,,,2.3,6.7,0.341,0.341,1.0,1.3,0.771,,,5.2,0.9,,,,2.3,5.6,1970
9,10,Shaler Halimon,24,38,,13.6,2.5,6.4,0.393,,,,2.5,6.4,0.393,0.393,1.3,1.9,0.671,,,1.8,1.8,,,,1.5,6.3,1970
10,11,Bob Kauffman,23,64,,12.1,1.5,3.5,0.425,,,,1.5,3.5,0.425,0.425,1.4,1.9,0.715,,,3.3,1.2,,,,1.8,4.3,1970
11,12,Loy Petersen,24,31,,7.5,1.1,2.9,0.367,,,,1.1,2.9,0.367,0.367,0.8,1.3,0.667,,,0.8,0.7,,,,0.7,3.0,1970
12,13,Johnny Baum,23,3,,4.3,1.0,3.7,0.273,,,,1.0,3.7,0.273,0.273,0.0,0.0,,,,1.3,0.0,,,,0.3,2.0,1970
0,1,Bob Love,28,81,,43.0,9.4,21.1,0.447,,,,9.4,21.1,0.447,0.447,6.3,7.6,0.829,,,8.5,2.3,,,,3.2,25.2,1971
1,2,Jerry Sloan,28,80,,39.3,7.4,16.8,0.441,,,,7.4,16.8,0.441,0.441,3.5,4.9,0.715,,,8.8,3.5,,,,3.6,18.3,1971
2,3,Chet Walker,30,81,,36.1,8.0,17.3,0.465,,,,8.0,17.3,0.465,0.465,5.9,6.9,0.859,,,7.3,2.2,,,,2.3,22.0,1971
3,4,Tom Boerwinkle,25,82,,28.9,4.4,9.0,0.485,,,,4.4,9.0,0.485,0.485,2.0,2.8,0.724,,,13.8,4.8,,,,3.4,10.8,1971
