Unnamed: 1,Salary,Year
Shawn Kemp,"$10,780,000 ",2000
Zydrunas Ilgauskas,"$9,000,000 ",2000
Wesley Person,"$4,900,000 ",2000
Danny Ferry,"$4,000,000 ",2000
Bob Sura,"$3,760,000 ",2000
Lamond Murray,"$3,000,000 ",2000
Cedric Henderson,"$2,400,000 ",2000
Mark Bryant,"$2,000,000 ",2000
Andre Miller,"$1,682,280 ",2000
Andrew DeClercq,"$1,680,000 ",2000
Trajan Langdon,"$1,394,280 ",2000
Brevin Knight,"$1,234,080 ",2000
Ryan Stack,"$385,000 ",2000
Benoit Benjamin,"$123,529 ",2000
A.J. Bramlett,"$118,974 ",2000
Mark Hendrickson,"$62,764 ",2000
Kornel David,"$27,059 ",2000
Zydrunas Ilgauskas,"$10,130,000 ",2001
Wesley Person,"$5,600,000 ",2001
Chris Gatling,"$5,550,000 ",2001
Brevin Knight,"$4,250,000 ",2001
Lamond Murray,"$3,380,000 ",2001
Cedric Henderson,"$2,700,000 ",2001
Bimbo Coles,"$2,250,000 ",2001
Robert Traylor,"$2,203,080 ",2001
Mark Bryant,"$2,200,000 ",2001
J.R. Reid,"$2,200,000 ",2001
Clarence Weatherspoon,"$2,100,000 ",2001
Chris Mihm,"$1,923,600 ",2001
Andre Miller,"$1,808,400 ",2001
Trajan Langdon,"$1,500,120 ",2001
Matt Harpring,"$1,244,880 ",2001
Michael Hawkins,"$423,500 ",2001
Gary Grant,"$316,969 ",2001
Zydrunas Ilgauskas,"$11,250,000 ",2002
Tyrone Hill,"$6,600,000 ",2002
Wesley Person,"$6,300,000 ",2002
Lamond Murray,"$3,750,000 ",2002
Bimbo Coles,"$2,200,000 ",2002
Chris Mihm,"$2,067,960 ",2002
Michael Doleac,"$2,000,856 ",2002
Bryant Stith,"$2,000,000 ",2002
Andre Miller,"$1,934,520 ",2002
DeSagana Diop,"$1,842,480 ",2002
Trajan Langdon,"$1,604,880 ",2002
Ricky Davis,"$1,496,400 ",2002
Brian Skinner,"$1,483,461 ",2002
Jumaine Jones,"$786,600 ",2002
Jeff Trepagnier,"$332,817 ",2002
Zydrunas Ilgauskas,"$12,375,000 ",2003
Tyrone Hill,"$6,600,000 ",2003
Nick Anderson,"$6,101,906 ",2003
Ricky Davis,"$4,546,000 ",2003
Michael Stewart,"$4,160,000 ",2003
Darius Miles,"$3,267,960 ",2003
Bimbo Coles,"$2,400,000 ",2003
Dajuan Wagner,"$2,298,840 ",2003
Chris Mihm,"$2,212,200 ",2003
DeSagana Diop,"$1,980,600 ",2003
Jumaine Jones,"$1,419,026 ",2003
J.R. Reid,"$800,000 ",2003
Milt Palacio,"$750,000 ",2003
Carlos Boozer,"$349,458 ",2003
Smush Parker,"$349,458 ",2003
Zydrunas Ilgauskas,"$13,500,000 ",2004
Eric Williams,"$5,540,000 ",2004
Tony Battie,"$4,400,000 ",2004
Darius Miles,"$4,130,701 ",2004
LeBron James,"$4,018,920 ",2004
Dajuan Wagner,"$2,471,280 ",2004
Ira Newble,"$2,458,500 ",2004
Kevin Ollie,"$2,458,500 ",2004
DeSagana Diop,"$2,118,840 ",2004
Kedrick Brown,"$1,757,640 ",2004
