,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,John Warren,23.0,82,,2610,380,899,0.423,,,,380,899,0.423,0.423,180,217,0.829,,,344,347,,,,299,940,1971
1,1,2.0,Walt Wesley,26.0,82,,2425,565,1241,0.455,,,,565,1241,0.455,0.455,325,473,0.687,,,713,83,,,,295,1455,1971
2,2,3.0,Bingo Smith,24.0,77,,2332,495,1106,0.448,,,,495,1106,0.448,0.448,178,234,0.761,,,429,258,,,,175,1168,1971
3,3,4.0,John Johnson,23.0,67,,2310,435,1032,0.422,,,,435,1032,0.422,0.422,240,298,0.805,,,453,323,,,,251,1110,1971
4,4,5.0,Dave Sorenson,22.0,79,,1940,353,794,0.445,,,,353,794,0.445,0.445,184,229,0.803,,,486,163,,,,181,890,1971
5,5,6.0,Bobby Lewis,25.0,79,,1852,179,484,0.37,,,,179,484,0.37,0.37,109,152,0.717,,,206,244,,,,176,467,1971
6,6,7.0,McCoy McLemore,28.0,58,,1839,254,654,0.388,,,,254,654,0.388,0.388,170,220,0.773,,,463,176,,,,169,678,1971
7,7,8.0,Luther Rackley,24.0,74,,1434,219,470,0.466,,,,219,470,0.466,0.466,121,190,0.637,,,394,66,,,,186,559,1971
8,8,9.0,Bobby Washington,23.0,47,,823,123,310,0.397,,,,123,310,0.397,0.397,104,140,0.743,,,105,190,,,,105,350,1971
9,9,10.0,Joe Cooke,22.0,73,,725,134,341,0.393,,,,134,341,0.393,0.393,48,59,0.814,,,114,93,,,,135,316,1971
10,10,11.0,Larry Mikan,22.0,53,,536,62,186,0.333,,,,62,186,0.333,0.333,34,55,0.618,,,139,41,,,,56,158,1971
11,11,12.0,Johnny Egan,32.0,26,,410,40,98,0.408,,,,40,98,0.408,0.408,25,28,0.893,,,32,58,,,,31,105,1971
12,12,13.0,Cliff Anderson,26.0,23,,171,19,59,0.322,,,,19,59,0.322,0.322,41,60,0.683,,,37,16,,,,22,79,1971
13,13,14.0,Gary Suiter,26.0,30,,140,19,54,0.352,,,,19,54,0.352,0.352,4,9,0.444,,,41,2,,,,20,42,1971
