,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19680.0,3299.0,7778.0,0.424,1775.0,2380.0,0.746,,,3982.0,2065.0,2114.0,8373.0,1971,,,,,,,,,
1,Team/G,,240.0,40.2,94.9,0.424,21.6,29.0,0.746,,,48.6,25.2,25.8,102.1,1971,,,,,,,,,
2,Lg Rank,,17.0,17.0,14.0,16.0,15.0,15.0,9.0,,,16.0,5.0,11.0,17.0,1971,,,,,,,,,
3,Year/Year,,,,,,,,,,,,,,,1971,,,,,,,,,
4,Opponent,82.0,19680.0,3476.0,7480.0,0.465,2337.0,3024.0,0.773,,,4175.0,2307.0,1899.0,9289.0,1971,,,,,,,,,
5,Opponent/G,,240.0,42.4,91.2,0.465,28.5,36.9,0.773,,,50.9,28.1,23.2,113.3,1971,,,,,,,,,
6,Lg Rank,,17.0,2.0,1.0,14.0,17.0,16.0,17.0,,,5.0,17.0,13.0,11.0,1971,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,,1971,,,,,,,,,
0,Team,82.0,19755,3458,8074,0.428,1758,2390,0.736,,,4098,2060,1936,8674,1972,,,,,,,,,
1,Team/G,,240.9,42.2,98.5,0.428,21.4,29.1,0.736,,,50.0,25.1,23.6,105.8,1972,,,,,,,,,
2,Lg Rank,,11,15,3,17.0,15,13,14.0,,,11,6,8,16,1972,,,,,,,,,
3,Year/Year,,0.4%,4.8%,3.8%,0.004,-1.0%,0.4%,-0.01,,,2.9%,-0.2%,-8.4%,3.6%,1972,,,,,,,,,
4,Opponent,82.0,19755,3653,7537,0.485,1994,2611,0.764,,,4034,2322,1937,9300,1972,,,,,,,,,
5,Opponent/G,,240.9,44.5,91.9,0.485,24.3,31.8,0.764,,,49.2,28.3,23.6,113.4,1972,,,,,,,,,
6,Lg Rank,,11,14,3,16.0,12,10,16.0,,,5,17,9,14,1972,,,,,,,,,
7,Year/Year,,0.4%,5.1%,0.8%,0.02,-14.7%,-13.7%,-0.009,,,-3.4%,0.7%,2.0%,0.1%,1972,,,,,,,,,
0,Team,82.0,19830,3431,7884,0.435,1556,2084,0.747,,,4063,2106,1941,8418,1973,,,,,,,,,
1,Team/G,,241.8,41.8,96.1,0.435,19.0,25.4,0.747,,,49.5,25.7,23.7,102.7,1973,,,,,,,,,
2,Lg Rank,,1,17,8,16.0,11,8,11.0,,,11,7,11,17,1973,,,,,,,,,
3,Year/Year,,0.4%,-0.8%,-2.4%,0.007,-11.5%,-12.8%,0.011,,,-0.9%,2.2%,0.3%,-3.0%,1973,,,,,,,,,
4,Opponent,82.0,19830,3465,7673,0.452,1707,2230,0.765,,,4115,2311,1932,8637,1973,,,,,,,,,
5,Opponent/G,,241.8,42.3,93.6,0.452,20.8,27.2,0.765,,,50.2,28.2,23.6,105.3,1973,,,,,,,,,
6,Lg Rank,,1,4,4,7.0,12,12,13.0,,,8,16,5,7,1973,,,,,,,,,
7,Year/Year,,0.4%,-5.1%,1.8%,-0.033,-14.4%,-14.6%,0.002,,,2.0%,-0.5%,-0.3%,-7.1%,1973,,,,,,,,,
