Player,Salary,Year
Shawn Bradley,"$7,560,000 ",2000
Michael Finley,"$7,200,000 ",2000
Steve Nash,"$5,500,000 ",2000
Robert Pack,"$4,050,000 ",2000
Cedric Ceballos,"$3,500,000 ",2000
Erick Strickland,"$2,240,000 ",2000
Gary Trent,"$2,000,000 ",2000
Hot Rod Williams,"$1,925,000 ",2000
Sean Rooks,"$1,920,000 ",2000
Dirk Nowitzki,"$1,583,040 ",2000
Hubert Davis,"$752,500 ",2000
Ansu Sesay,"$535,000 ",2000
Leon Smith,"$449,920 ",2000
Bruno Sundov,"$385,000 ",2000
Randell Jackson,"$115,500 ",2000
Rick Hughes,"$115,423 ",2000
Damon Jones,"$106,441 ",2000
Greg Buckner,"$47,647 ",2000
Kebu Stewart,"$18,941 ",2000
Ira Bowman,"$4,529 ",2000
Kevin Ollie,"$2,853 ",2000
Jason Sasser,"$2,706 ",2000
Michael Finley,"$8,400,000 ",2001
Shawn Bradley,"$8,370,000 ",2001
Christian Laettner,"$6,625,000 ",2001
Steve Nash,"$5,500,000 ",2001
Loy Vaught,"$4,812,025 ",2001
Howard Eisley,"$4,250,000 ",2001
Gary Trent,"$2,400,000 ",2001
Hubert Davis,"$2,100,000 ",2001
Dirk Nowitzki,"$1,693,560 ",2001
Terry Mills,"$1,400,000 ",2001
Etan Thomas,"$1,388,880 ",2001
Courtney Alexander,"$1,319,400 ",2001
Greg Buckner,"$1,100,000 ",2001
Donnell Harvey,"$862,560 ",2001
Leon Smith,"$483,680 ",2001
Bill Curley,"$423,500 ",2001
Eduardo Najera,"$316,969 ",2001
Juwan Howard,"$18,750,000 ",2002
Michael Finley,"$10,625,000 ",2002
Steve Nash,"$5,750,000 ",2002
Shawn Bradley,"$4,500,000 ",2002
Tim Hardaway,"$3,360,390 ",2002
Evan Eschmeyer,"$3,038,000 ",2002
Dirk Nowitzki,"$2,157,595 ",2002
Muggsy Bogues,"$1,520,860 ",2002
Danny Manning,"$1,500,000 ",2002
Greg Buckner,"$1,200,000 ",2002
Johnny Newman,"$1,000,000 ",2002
Donnell Harvey,"$927,360 ",2002
Darrick Martin,"$778,350 ",2002
Adrian Griffin,"$565,850 ",2002
Leon Smith,"$517,360 ",2002
Khalid El-Amin,"$465,850 ",2002
Eduardo Najera,"$465,850 ",2002
Wang Zhizhi,"$465,850 ",2002
Omar Cook,"$292,230 ",2002
Ruben Wolkowyski,"$79,535 ",2002
Michael Finley,"$11,953,125 ",2003
Nick Van Exel,"$11,061,234 ",2003
Dirk Nowitzki,"$10,067,750 ",2003
Raef LaFrentz,"$7,270,000 ",2003
Steve Nash,"$5,750,000 ",2003
Tariq Abdul-Wahad,"$5,625,000 ",2003
Avery Johnson,"$4,991,800 ",2003
Shawn Bradley,"$4,000,000 ",2003
Evan Eschmeyer,"$3,103,800 ",2003
Eduardo Najera,"$3,047,620 ",2003
Muggsy Bogues,"$1,659,120 ",2003
Popeye Jones,"$1,030,000 ",2003
Walt Williams,"$1,030,000 ",2003
Danny Manning,"$900,000 ",2003
Adrian Griffin,"$637,435 ",2003
Raja Bell,"$612,435 ",2003
Adam Harrington,"$140,636 ",2003
Mark Strickland,"$60,361 ",2003
Antoine Walker,"$13,500,000 ",2004
Michael Finley,"$13,281,250 ",2004
Antawn Jamison,"$11,326,219 ",2004
Dirk Nowitzki,"$11,326,219 ",2004
Tariq Abdul-Wahad,"$6,187,500 ",2004
Steve Nash,"$5,750,000 ",2004
Danny Fortson,"$5,428,602 ",2004
Shawn Bradley,"$3,500,000 ",2004
Eduardo Najera,"$3,428,572 ",2004
Tony Delk,"$2,925,000 ",2004
Travis Best,"$938,679 ",2004
Josh Howard,"$773,400 ",2004
Muggsy Bogues,"$437,420 ",2004
Marquis Daniels,"$366,931 ",2004
Jon Stefansson,"$366,931 ",2004
Michael Finley,"$14,609,375 ",2005
Dirk Nowitzki,"$12,584,688 ",2005
Alan Henderson,"$8,273,125 ",2005
Erick Dampier,"$7,700,000 ",2005
Jason Terry,"$7,500,000 ",2005
Jerry Stackhouse,"$7,437,500 ",2005
Tariq Abdul-Wahad,"$6,750,000 ",2005
Calvin Booth,"$5,900,700 ",2005
Marquis Daniels,"$4,903,000 ",2005
Shawn Bradley,"$4,000,000 ",2005
Evan Eschmeyer,"$3,407,655 ",2005
Devin Harris,"$2,741,880 ",2005
Darrell Armstrong,"$2,275,000 ",2005
Avery Johnson,"$1,100,000 ",2005
Pavel Podkolzin,"$1,061,880 ",2005
Josh Howard,"$863,640 ",2005
Didier Ilunga-Mbenga,"$800,000 ",2005
Michael Finley,"$15,937,500 ",2006
Keith Van Horn,"$15,694,250 ",2006
Dirk Nowitzki,"$13,843,156 ",2006
Erick Dampier,"$8,662,500 ",2006
Jerry Stackhouse,"$8,367,187 ",2006
Jason Terry,"$6,666,667 ",2006
Marquis Daniels,"$5,393,300 ",2006
Shawn Bradley,"$4,500,000 ",2006
Evan Eschmeyer,"$3,711,400 ",2006
Tariq Abdul-Wahad,"$3,656,250 ",2006
Devin Harris,"$2,947,440 ",2006
DeSagana Diop,"$1,850,000 ",2006
Doug Christie,"$1,575,000 ",2006
Pavel Podkolzin,"$1,141,560 ",2006
Darrell Armstrong,"$1,138,500 ",2006
Josh Howard,"$923,880 ",2006
Didier Ilunga-Mbenga,"$880,000 ",2006
Adrian Griffin,"$768,718 ",2006
Rawle Marshall,"$398,762 ",2006
Josh Powell,"$398,762 ",2006
Michael Finley,"$16,141,999 ",2007
Dirk Nowitzki,"$15,101,625 ",2007
Erick Dampier,"$9,628,000 ",2007
Jerry Stackhouse,"$9,296,874 ",2007
Jason Terry,"$8,100,000 ",2007
Austin Croshere,"$7,300,000 ",2007
Shawn Bradley,"$4,800,000 ",2007
Greg Buckner,"$3,240,741 ",2007
Devin Harris,"$3,153,120 ",2007
DeSagana Diop,"$1,998,000 ",2007
Devean George,"$1,974,259 ",2007
Tariq Abdul-Wahad,"$1,968,750 ",2007
Josh Howard,"$1,667,603 ",2007
Didier Ilunga-Mbenga,"$1,628,959 ",2007
Maurice Ager,"$906,480 ",2007
Pavel Podkolzin,"$600,000 ",2007
Jose Barea,"$412,718 ",2007
Pops Mensah-Bonsu,"$412,718 ",2007
Pat Carroll,"$110,000 ",2007
Ndudi Ebi,"$90,000 ",2007
Jason Kidd,"$19,728,000 ",2008
Michael Finley,"$18,593,750 ",2008
Dirk Nowitzki,"$16,360,094 ",2008
Erick Dampier,"$10,590,500 ",2008
Josh Howard,"$9,000,000 ",2008
Jason Terry,"$8,898,000 ",2008
Jerry Stackhouse,"$6,750,000 ",2008
Devean George,"$2,369,111 ",2008
Eddie Jones,"$1,830,000 ",2008
Didier Ilunga-Mbenga,"$1,800,000 ",2008
Antoine Wright,"$1,680,600 ",2008
Juwan Howard,"$1,211,197 ",2008
Malik Allen,"$998,398 ",2008
Brandon Bass,"$770,610 ",2008
Jose Barea,"$687,456 ",2008
Nick Fazekas,"$427,163 ",2008
Jason Kidd,"$21,372,000 ",2009
Dirk Nowitzki,"$18,077,904 ",2009
Erick Dampier,"$11,553,000 ",2009
Josh Howard,"$9,945,000 ",2009
Jason Terry,"$9,196,000 ",2009
Jerry Stackhouse,"$7,000,000 ",2009
Matt Carroll,"$5,050,000 ",2009
Didier Ilunga-Mbenga,"$1,971,941 ",2009
Antoine Wright,"$1,800,000 ",2009
Devean George,"$1,600,000 ",2009
Shawne Williams,"$1,572,960 ",2009
Jose Barea,"$1,500,000 ",2009
Ryan Hollins,"$972,581 ",2009
Keith McLeod,"$926,678 ",2009
Gerald Green,"$854,957 ",2009
Brandon Bass,"$826,269 ",2009
James Singleton,"$826,269 ",2009
Dirk Nowitzki,"$19,795,714 ",2010
Erick Dampier,"$12,115,500 ",2010
Jason Terry,"$9,862,500 ",2010
Caron Butler,"$9,780,970 ",2010
Jason Kidd,"$8,000,000 ",2010
Shawn Marion,"$6,635,068 ",2010
Brendan Haywood,"$6,000,000 ",2010
Matt Carroll,"$4,700,000 ",2010
DeShawn Stevenson,"$3,886,928 ",2010
Eduardo Najera,"$3,100,000 ",2010
Jose Barea,"$1,657,500 ",2010
Tim Thomas,"$1,306,455 ",2010
Rodrigue Beaubois,"$1,075,440 ",2010
Greg Buckner,"$1,000,000 ",2010
Dirk Nowitzki,"$17,278,618 ",2011
Tyson Chandler,"$12,600,000 ",2011
Jason Terry,"$10,650,000 ",2011
Caron Butler,"$10,561,960 ",2011
Jason Kidd,"$8,610,500 ",2011
Shawn Marion,"$7,305,500 ",2011
Brendan Haywood,"$6,900,000 ",2011
DeShawn Stevenson,"$4,151,786 ",2011
Jose Barea,"$1,815,000 ",2011
Brian Cardinal,"$1,352,181 ",2011
Rodrigue Beaubois,"$1,156,080 ",2011
Dominique Jones,"$1,110,120 ",2011
Ian Mahinmi,"$762,196 ",2011
Peja Stojakovic,"$636,320 ",2011
Steve Novak,"$384,766 ",2011
Sasha Pavlovic,"$134,863 ",2011
Dirk Nowitzki,"$19,092,873 ",2012
Jason Terry,"$11,158,000 ",2012
Jason Kidd,"$10,121,000 ",2012
Lamar Odom,"$8,900,000 ",2012
Shawn Marion,"$8,022,449 ",2012
Brendan Haywood,"$7,624,500 ",2012
Vince Carter,"$3,000,000 ",2012
Brian Cardinal,"$1,352,181 ",2012
Rodrigue Beaubois,"$1,236,720 ",2012
Dominique Jones,"$1,193,280 ",2012
Delonte West,"$1,146,337 ",2012
Yi Jianlian,"$827,197 ",2012
Andy Rautins,"$788,872 ",2012
Dirk Nowitzki,"$20,907,128 ",2013
Shawn Marion,"$8,646,364 ",2013
Chris Kaman,"$8,000,000 ",2013
Brendan Haywood,"$6,299,000 ",2013
O.J. Mayo,"$4,020,000 ",2013
Anthony Morrow,"$4,000,000 ",2013
Vince Carter,"$3,090,000 ",2013
Darren Collison,"$2,319,344 ",2013
Rodrigue Beaubois,"$2,227,333 ",2013
Elton Brand,"$2,100,500 ",2013
Dominique Jones,"$1,276,560 ",2013
Jared Cunningham,"$1,156,320 ",2013
Delonte West,"$992,680 ",2013
Mike James,"$795,401 ",2013
Jae Crowder,"$600,491 ",2013
Bernard James,"$473,604 ",2013
Troy Murphy,"$214,758 ",2013
Derek Fisher,"$182,942 ",2013
Chris Douglas-Roberts,"$72,892 ",2013
Eddy Curry,"$23,852 ",2013
Dirk Nowitzki,"$22,721,381 ",2014
Shawn Marion,"$9,316,796 ",2014
Monta Ellis,"$8,000,000 ",2014
Jose Calderon,"$6,791,570 ",2014
Brandan Wright,"$5,000,000 ",2014
Samuel Dalembert,"$3,700,748 ",2014
Vince Carter,"$3,180,000 ",2014
Wayne Ellington,"$2,652,000 ",2014
Shane Larkin,"$1,536,960 ",2014
Devin Harris,"$1,272,279 ",2014
DeJuan Blair,"$947,907 ",2014
Bernard James,"$788,872 ",2014
Jae Crowder,"$788,872 ",2014
Fab Melo,"$788,872 ",2014
Ricky Ledo,"$544,000 ",2014
Chandler Parsons,"$14,700,000 ",2015
Tyson Chandler,"$14,598,888 ",2015
Rajon Rondo,"$12,909,091 ",2015
Monta Ellis,"$8,360,000 ",2015
Dirk Nowitzki,"$7,974,482 ",2015
Brendan Haywood,"$7,798,000 ",2015
Devin Harris,"$3,878,000 ",2015
Raymond Felton,"$3,793,693 ",2015
Richard Jefferson,"$1,448,490 ",2015
Charlie Villanueva,"$1,316,809 ",2015
Jose Barea,"$1,310,286 ",2015
Al-Farouq Aminu,"$981,084 ",2015
Greg Smith,"$948,163 ",2015
Bernard James,"$915,243 ",2015
Gal Mekel,"$816,482 ",2015
Ricky Ledo,"$816,482 ",2015
Dwight Powell,"$507,336 ",2015
Amar'e Stoudemire,"$485,670 ",2015
Bernard James,"$236,866 ",2015
Eric Griffin,"$150,000 ",2015
Ivan Johnson,"$25,000 ",2015
Wesley Matthews,"$16,400,000 ",2016
Chandler Parsons,"$15,361,500 ",2016
Dirk Nowitzki,"$8,333,334 ",2016
Deron Williams,"$5,500,000 ",2016
Zaza Pachulia,"$5,200,000 ",2016
Devin Harris,"$4,053,000 ",2016
J.J. Barea,"$4,000,000 ",2016
Raymond Felton,"$3,950,313 ",2016
David Lee,"$2,102,224 ",2016
Charlie Villanueva,"$1,499,187 ",2016
Samuel Dalembert,"$1,499,187 ",2016
Justin Anderson,"$1,449,000 ",2016
JaVale McGee,"$1,270,964 ",2016
Jeremy Evans,"$1,100,602 ",2016
Dwight Powell,"$845,059 ",2016
Maurice Ndour,"$525,094 ",2016
Salah Mejri,"$525,093 ",2016
Gal Mekel,"$315,760 ",2016
Jamil Wilson,"$50,000 ",2016
Brandon Ashley,"$50,000 ",2016
Jarrid Famous,"$10,000 ",2016
Dirk Nowitzki,"$25,000,000 ",2017
Harrison Barnes,"$22,116,750 ",2017
Wesley Matthews,"$17,100,000 ",2017
Deron Williams,"$9,000,000 ",2017
Dwight Powell,"$8,375,000 ",2017
Nerlens Noel,"$4,384,490 ",2017
Devin Harris,"$4,228,000 ",2017
J.J. Barea,"$4,096,950 ",2017
Seth Curry,"$2,898,000 ",2017
Quincy Acy,"$1,050,961 ",2017
DeAndre Liggins,"$1,015,696 ",2017
Salah Mejri,"$874,636 ",2017
Jonathan Gibson,"$680,937 ",2017
A.J. Hammons,"$650,000 ",2017
Dorian Finney-Smith,"$543,471 ",2017
Nicolas Brussino,"$543,471 ",2017
Maurice Ndour,"$437,318 ",2017
Gal Mekel,"$315,760 ",2017
Yogi Ferrell,"$239,767 ",2017
Manny Harris,"$119,494 ",2017
Pierre Jackson,"$105,498 ",2017
Kyle Collinsworth,"$70,000 ",2017
Jarrod Uthoff,"$63,938 ",2017
Quinn Cook,"$31,969 ",2017
Ben Bentil,"$31,969 ",2017
Jameel Warney,"$20,000 ",2017
Harrison Barnes,"$23,112,004 ",2018
Wesley Matthews,"$17,884,176 ",2018
Dwight Powell,"$9,003,125 ",2018
Josh McRoberts,"$6,021,175 ",2018
Dirk Nowitzki,"$5,000,000 ",2018
Nerlens Noel,"$4,187,599 ",2018
J.J. Barea,"$3,903,900 ",2018
Doug McDermott,"$3,294,994 ",2018
Dennis Smith,"$3,218,280 ",2018
Seth Curry,"$3,028,410 ",2018
Jeff Withey,"$1,577,320 ",2018
Salah Mejri,"$1,471,382 ",2018
Dorian Finney-Smith,"$1,312,611 ",2018
Yogi Ferrell,"$1,312,611 ",2018
Maxi Kleber,"$815,615 ",2018
Kyle Collinsworth,"$382,464 ",2018
Gal Mekel,"$315,760 ",2018
Aaron Harrison,"$174,571 ",2018
Scotty Hopson,"$74,159 ",2018
Jameel Warney,"$46,080 ",2018
Jalen Jones,$0 ,2018
Johnathan Motley,$0 ,2018
Antonius Cleveland,$0 ,2018
Gian Clavell,$0 ,2018
Tim Hardaway,"$17,325,000 ",2019
Courtney Lee,"$12,253,780 ",2019
Zach Randolph,"$11,692,308 ",2019
Dwight Powell,"$9,631,250 ",2019
Luka Dončić,"$6,560,640 ",2019
Kristaps Porziņģis,"$5,697,054 ",2019
Dirk Nowitzki,"$5,000,000 ",2019
J.J. Barea,"$3,710,850 ",2019
Justin Jackson,"$2,807,880 ",2019
Devin Harris,"$2,393,887 ",2019
Salah Mejri,"$2,098,196 ",2019
Trey Burke,"$1,795,015 ",2019
Dorian Finney-Smith,"$1,544,951 ",2019
Chinanu Onuaku,"$1,544,951 ",2019
Maxi Kleber,"$1,378,242 ",2019
Jalen Brunson,"$1,230,000 ",2019
Ray Spalding,"$838,464 ",2019
Ryan Broekhoff,"$838,464 ",2019
Terry Larrier,"$6,000 ",2019
Ding Yanyuhang,"$4,737 ",2019
Daryl Macon,$0 ,2019
Kostas Antetokounmpo,$0 ,2019
Kristaps Porziņģis,"$27,285,000 ",2020
Tim Hardaway,"$18,150,000 ",2020
Courtney Lee,"$12,759,670 ",2020
Dwight Powell,"$10,259,375 ",2020
Delon Wright,"$9,473,684 ",2020
Maxi Kleber,"$8,000,000 ",2020
Luka Dončić,"$7,683,360 ",2020
Seth Curry,"$7,461,380 ",2020
Dorian Finney-Smith,"$4,000,000 ",2020
Boban Marjanović,"$3,500,000 ",2020
Justin Jackson,"$3,280,920 ",2020
J.J. Barea,"$2,564,753 ",2020
Willie Cauley-Stein,"$2,177,483 ",2020
Justin Patton,"$1,620,564 ",2020
Jalen Brunson,"$1,416,852 ",2020
Ryan Broekhoff,"$1,416,852 ",2020
Michael Kidd-Gilchrist,"$810,763 ",2020
,"$708,426 ",2020
Trey Burke,"$229,220 ",2020
Antonius Cleveland,$0 ,2020
Josh Reaves,$0 ,2020
Kristaps Porziņģis,"$29,467,800 ",2021
Tim Hardaway,"$18,975,000 ",2021
J.J. Redick,"$13,013,700 ",2021
Dwight Powell,"$11,080,125 ",2021
Josh Richardson,"$10,865,952 ",2021
Maxi Kleber,"$8,325,000 ",2021
Luka Dončić,"$8,049,360 ",2021
Willie Cauley-Stein,"$4,100,000 ",2021
Dorian Finney-Smith,"$4,000,000 ",2021
Nicolò Melli,"$3,897,436 ",2021
Boban Marjanović,"$3,500,000 ",2021
Trey Burke,"$3,000,000 ",2021
Josh Green,"$2,816,760 ",2021
Jalen Brunson,"$1,663,861 ",2021
J.J. Barea,"$1,620,564 ",2021
Tyrell Terry,"$1,289,846 ",2021
Nate Hinton,$0 ,2021
Tyler Bey,$0 ,2021
Tim Hardaway,"$21,306,816 ",2022
Spencer Dinwiddie,"$17,142,857 ",2022
Dāvis Bertāns,"$16,000,000 ",2022
Dwight Powell,"$11,080,125 ",2022
Luka Dončić,"$10,174,391 ",2022
Reggie Bullock,"$9,536,000 ",2022
Maxi Kleber,"$8,750,000 ",2022
Willie Cauley-Stein,"$4,100,000 ",2022
Dorian Finney-Smith,"$4,000,000 ",2022
Boban Marjanović,"$3,500,000 ",2022
Trey Burke,"$3,150,000 ",2022
Sterling Brown,"$3,000,000 ",2022
Josh Green,"$2,957,520 ",2022
Jalen Brunson,"$1,802,057 ",2022
Frank Ntilikina,"$1,789,256 ",2022
Moses Brown,"$1,701,593 ",2022
Tyrell Terry,"$1,517,981 ",2022
Marquese Chriss,"$1,292,900 ",2022
Brandon Knight,"$276,038 ",2022
Theo Pinson,"$197,076 ",2022
Isaiah Thomas,"$138,019 ",2022
Charlie Brown,"$95,930 ",2022
George King,"$85,578 ",2022
Carlik Jones,"$53,176 ",2022
Moses Wright,$0 ,2022
Eugene Omoruyi,$0 ,2022
JaQuori McLaughlin,$0 ,2022
Nate Hinton,$0 ,2022
Kyrie Irving,"$38,917,057 ",2023
Luka Dončić,"$37,096,500 ",2023
Tim Hardaway Jr.,"$19,602,273 ",2023
Dāvis Bertāns,"$16,000,000 ",2023
Christian Wood,"$14,317,459 ",2023
Dwight Powell,"$11,080,125 ",2023
Reggie Bullock,"$10,012,800 ",2023
Maxi Kleber,"$9,000,000 ",2023
JaVale McGee,"$5,461,219 ",2023
Josh Green,"$3,098,400 ",2023
Frank Ntilikina,"$2,036,318 ",2023
Theo Pinson,"$1,836,090 ",2023
Grant Riller,"$1,836,090 ",2023
Markieff Morris,"$1,836,090 ",2023
Tyler Hall,"$1,637,966 ",2023
Jaden Hardy,"$1,017,781 ",2023
Marcus Bingham Jr.,"$1,017,781 ",2023
Mouhamadou Gueye,"$1,017,781 ",2023
Kemba Walker,"$684,712 ",2023
Justin Holiday,"$569,821 ",2023
Facundo Campazzo,"$464,299 ",2023
Chris Silva,"$105,522 ",2023
Chris Silva,"$105,522 ",2023
