,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19780.0,3204.0,6928.0,0.462,46.0,165.0,0.279,3158.0,6763.0,0.467,1868.0,2487.0,0.751,1109.0,2177.0,3286.0,1984.0,561.0,214.0,1439.0,2008.0,8322.0,1981
1,Team/G,,241.2,39.1,84.5,0.462,0.6,2.0,0.279,38.5,82.5,0.467,22.8,30.3,0.751,13.5,26.5,40.1,24.2,6.8,2.6,17.5,24.5,101.5,1981
2,Lg Rank,,11.0,23.0,20.0,23.0,8.0,10.0,5.0,23.0,21.0,23.0,5.0,7.0,12.0,19.0,21.0,23.0,17.0,23.0,23.0,5.0,10.0,21.0,1981
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1981
4,Opponent,82.0,19780.0,3622.0,7060.0,0.513,36.0,137.0,0.263,3586.0,6923.0,0.518,1731.0,2297.0,0.754,1173.0,2498.0,3671.0,2098.0,713.0,480.0,1433.0,2187.0,9011.0,1981
5,Opponent/G,,241.2,44.2,86.1,0.513,0.4,1.7,0.263,43.7,84.4,0.518,21.1,28.0,0.754,14.3,30.5,44.8,25.6,8.7,5.9,17.5,26.7,109.9,1981
6,Lg Rank,,11.0,21.0,5.0,23.0,9.0,3.0,16.0,21.0,7.0,23.0,8.0,9.0,15.0,11.0,18.0,21.0,14.0,9.0,18.0,17.0,4.0,19.0,1981
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1981
0,Team,82.0,19730,3390,7224,0.469,55,190,0.289,3335,7034,0.474,1740,2366,0.735,1213,2228,3441,2117,566,313,1317,2193,8575,1982
1,Team/G,,240.6,41.3,88.1,0.469,0.7,2.3,0.289,40.7,85.8,0.474,21.2,28.9,0.735,14.8,27.2,42.0,25.8,6.9,3.8,16.1,26.7,104.6,1982
2,Lg Rank,,23,20,12,21.0,7,9,6.0,20,12,21.0,10,9,16.0,7,21,18,8,23,22,2,13,19,1982
3,Year/Year,,-0.3%,5.8%,4.3%,0.007,19.6%,15.2%,0.011,5.6%,4.0%,0.007,-6.9%,-4.9%,-0.016,9.4%,2.3%,4.7%,6.7%,0.9%,46.3%,-8.5%,9.2%,3.0%,1982
4,Opponent,82.0,19730,3530,6953,0.508,31,138,0.225,3499,6815,0.513,1847,2491,0.741,1108,2361,3469,1984,643,509,1370,2243,8938,1982
5,Opponent/G,,240.6,43.0,84.8,0.508,0.4,1.7,0.225,42.7,83.1,0.513,22.5,30.4,0.741,13.5,28.8,42.3,24.2,7.8,6.2,16.7,27.4,109.0,1982
6,Lg Rank,,23,11,3,18.0,1,2,3.0,12,3,18.0,15,17,7.0,2,9,5,8,4,19,17,3,13,1982
7,Year/Year,,-0.3%,-2.5%,-1.5%,-0.005,-13.9%,0.7%,-0.038,-2.4%,-1.6%,-0.005,6.7%,8.4%,-0.012,-5.5%,-5.5%,-5.5%,-5.4%,-9.8%,6.0%,-4.4%,2.6%,-0.8%,1982
0,Team,82.0,19730,3674,7550,0.487,43,185,0.232,3631,7365,0.493,1852,2462,0.752,1296,2381,3677,2227,552,348,1348,2067,9243,1983
