,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Larry Jones,25.0,76,,40.6,7.9,18.5,0.427,0.1,0.6,0.19,7.8,18.0,0.435,0.43,7.0,9.0,0.776,,,7.9,3.6,,,3.1,3.5,22.9,1968
1,1,2,Willie Murrell,26.0,71,,35.1,7.0,15.1,0.466,0.0,0.2,0.273,7.0,14.9,0.468,0.467,2.3,3.3,0.703,,,9.0,0.9,,,1.6,2.8,16.4,1968
2,2,3,Wayne Hightower,28.0,74,,33.2,5.8,15.2,0.383,0.0,0.1,0.0,5.8,15.1,0.385,0.383,5.7,7.3,0.773,,,7.2,1.9,,,2.2,3.2,17.3,1968
3,3,4,Grant Simmons,24.0,78,,29.0,3.7,8.8,0.424,0.0,0.3,0.045,3.7,8.5,0.437,0.425,2.7,3.8,0.705,,,3.1,2.3,,,2.0,3.0,10.2,1968
4,4,5,Lonnie Wright,23.0,38,,23.6,3.8,9.1,0.422,0.1,0.2,0.222,3.8,8.9,0.427,0.425,2.1,3.2,0.653,,,2.5,1.8,,,1.1,2.5,9.8,1968
5,5,6,Byron Beck,23.0,71,,22.9,3.9,8.0,0.482,0.0,0.0,0.0,3.9,8.0,0.484,0.482,1.7,2.2,0.748,,,7.9,0.5,,,1.0,3.1,9.4,1968
6,6,7,Tom Hoover,27.0,70,,22.7,2.3,5.1,0.451,0.1,0.1,0.4,2.2,5.0,0.452,0.457,1.8,2.9,0.621,,,7.0,0.9,,,2.0,3.8,6.5,1968
7,7,8,Willis Thomas,,24,,22.6,5.7,12.7,0.446,0.0,0.1,0.0,5.7,12.6,0.449,0.446,0.9,1.3,0.688,,,2.4,1.0,,,2.1,1.9,12.3,1968
8,8,9,Tommie Bowens,27.0,67,,19.2,2.6,6.8,0.391,0.0,0.0,0.5,2.6,6.7,0.39,0.392,0.8,1.3,0.611,,,5.6,0.6,,,1.2,2.4,6.1,1968
9,9,10,Julian Hammond,24.0,74,,18.4,3.0,6.2,0.489,0.0,0.0,,3.0,6.2,0.489,0.489,1.9,2.8,0.684,,,4.4,0.8,,,1.3,1.5,8.0,1968
10,10,11,Richie Moore,,18,,11.7,1.3,3.9,0.338,0.0,0.1,0.0,1.3,3.8,0.348,0.338,1.2,1.6,0.75,,,1.1,0.4,,,1.3,0.9,3.8,1968
11,11,12,Chuck Gardner,23.0,42,,11.6,1.7,4.2,0.406,0.0,0.1,0.0,1.7,4.1,0.415,0.406,1.3,1.9,0.696,,,3.2,0.3,,,1.2,1.8,4.7,1968
12,12,13,Jeff Congdon,24.0,41,,9.7,1.6,4.7,0.351,0.1,0.7,0.167,1.5,3.9,0.385,0.364,0.5,0.6,0.8,,,0.8,1.4,,,1.2,0.9,3.9,1968
13,13,14,John Morrison,22.0,9,,8.4,1.1,3.8,0.294,0.1,0.7,0.167,1.0,3.1,0.321,0.309,0.7,1.0,0.667,,,1.0,0.8,,,1.0,1.7,3.0,1968
14,14,15,Ron Horn,29.0,1,,6.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,,,1.0,0.0,,,1.0,0.0,2.0,1968
15,15,16,R.B. Lynam,,7,,5.6,0.7,2.4,0.294,0.0,0.1,0.0,0.7,2.3,0.313,0.294,1.0,1.1,0.875,,,0.7,0.0,,,0.7,1.4,2.4,1968
16,0,1,Larry Jones,26.0,75,,40.6,10.1,21.7,0.465,0.3,1.3,0.24,9.8,20.4,0.48,0.473,7.9,10.1,0.778,2.2,4.4,6.6,3.4,,,2.9,3.6,28.4,1969
17,1,2,Lonnie Wright,24.0,69,,36.8,6.6,15.8,0.416,0.3,1.2,0.221,6.3,14.5,0.433,0.425,3.0,4.0,0.743,0.7,3.5,4.2,2.5,,,2.3,3.6,16.4,1969
18,2,3,Wayne Hightower,29.0,67,,34.6,4.6,11.4,0.408,0.0,0.0,0.0,4.6,11.3,0.409,0.408,4.6,6.4,0.73,2.3,7.3,9.6,3.0,,,2.6,3.6,13.9,1969
19,3,4,Byron Beck,24.0,71,,32.2,6.0,11.9,0.502,0.0,0.0,0.667,5.9,11.8,0.501,0.503,2.6,3.4,0.765,3.8,7.1,11.0,1.1,,,1.3,3.5,14.5,1969
20,4,5,Julian Hammond,25.0,78,,29.9,4.2,7.7,0.547,0.0,0.0,,4.2,7.7,0.547,0.547,2.1,3.2,0.652,3.4,4.3,7.7,1.6,,,1.9,2.7,10.6,1969
21,5,6,Bob Verga,23.0,6,,25.0,4.0,12.8,0.312,0.2,0.5,0.333,3.8,12.3,0.311,0.318,3.0,4.7,0.643,1.7,1.8,3.5,1.8,,,4.2,2.7,11.2,1969
22,6,7,Walt Piatkowski,23.0,77,,23.6,5.2,12.4,0.417,0.4,1.1,0.329,4.8,11.4,0.426,0.431,1.5,2.0,0.775,1.9,2.8,4.7,0.6,,,1.3,2.9,12.2,1969
23,7,8,Bill McGill,29.0,78,,22.6,5.3,9.6,0.552,0.0,0.0,,5.3,9.6,0.552,0.552,2.3,3.4,0.682,1.9,4.0,5.9,1.3,,,1.9,3.7,12.8,1969
24,8,9,Levern Tart,26.0,20,,17.3,2.8,8.0,0.352,0.0,0.1,0.0,2.8,7.9,0.357,0.352,2.1,2.8,0.75,1.3,1.3,2.6,2.2,,,2.1,2.0,7.7,1969
25,9,10,Jeff Congdon,25.0,59,,16.6,1.8,4.7,0.386,0.1,0.5,0.161,1.7,4.2,0.415,0.395,1.2,1.4,0.812,0.2,1.3,1.6,2.3,,,1.6,1.8,4.9,1969
26,10,11,Grant Simmons,25.0,17,,14.8,1.3,3.5,0.373,0.1,0.1,0.5,1.2,3.4,0.368,0.381,1.2,1.7,0.69,0.4,1.2,1.5,0.9,,,1.0,2.5,3.8,1969
27,11,12,John Fairchild,25.0,11,,12.3,1.1,3.1,0.353,0.0,0.0,,1.1,3.1,0.353,0.353,1.5,2.2,0.667,0.6,1.0,1.6,0.8,,,1.4,0.7,3.6,1969
28,12,13,Ken Wilburn,24.0,37,,11.1,1.9,4.9,0.398,0.0,0.0,,1.9,4.9,0.398,0.398,0.8,1.5,0.526,2.2,2.6,4.8,0.6,,,1.0,1.5,4.7,1969
29,13,14,Larry Bunce,23.0,23,,9.8,1.0,2.6,0.373,0.0,0.0,,1.0,2.6,0.373,0.373,2.1,3.0,0.7,0.7,1.8,2.5,0.1,,,0.9,1.9,4.0,1969
30,14,15,Willie Rogers,23.0,40,,7.4,0.7,2.0,0.338,0.0,0.1,0.0,0.7,1.9,0.351,0.338,0.8,1.3,0.596,0.4,0.8,1.2,0.4,,,0.8,1.3,2.1,1969
31,15,16,Charley Parks,,2,,2.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.5,0.0,1969
