Player,Salary,Year
Antonio McDyess,"$9,900,000 ",2000
Nick Van Exel,"$8,354,614 ",2000
Bryant Stith,"$5,290,000 ",2000
Chris Gatling,"$4,875,200 ",2000
Raef LaFrentz,"$2,777,160 ",2000
Popeye Jones,"$2,531,250 ",2000
George McCloud,"$2,000,000 ",2000
Cory Alexander,"$1,980,000 ",2000
Tariq Abdul-Wahad,"$1,594,920 ",2000
Keon Clark,"$1,289,400 ",2000
James Posey,"$974,520 ",2000
Dwayne Schintzius,"$550,000 ",2000
Roy Rogers,"$485,000 ",2000
Ryan Bowen,"$301,875 ",2000
Chris Herren,"$301,875 ",2000
Antonio McDyess,"$10,800,000 ",2001
Nick Van Exel,"$9,200,000 ",2001
Tariq Abdul-Wahad,"$4,500,000 ",2001
Robert Pack,"$4,320,000 ",2001
Voshon Lenard,"$3,780,000 ",2001
Tracy Murray,"$3,060,000 ",2001
Raef LaFrentz,"$2,970,840 ",2001
Mark Strickland,"$2,400,000 ",2001
Calbert Cheaney,"$2,200,000 ",2001
George McCloud,"$2,200,000 ",2001
Cory Alexander,"$2,160,000 ",2001
Keon Clark,"$1,379,400 ",2001
James Posey,"$1,047,600 ",2001
Terry Davis,"$923,500 ",2001
Mamadou N'Diaye,"$737,880 ",2001
Ryan Bowen,"$510,000 ",2001
Antonio McDyess,"$11,700,000 ",2002
Nick Van Exel,"$10,164,642 ",2002
Tariq Abdul-Wahad,"$5,062,500 ",2002
Scott Williams,"$4,650,000 ",2002
Avery Johnson,"$4,538,000 ",2002
Voshon Lenard,"$4,252,435 ",2002
Raef LaFrentz,"$3,755,142 ",2002
George McCloud,"$2,400,000 ",2002
Calbert Cheaney,"$2,400,000 ",2002
Cory Alexander,"$1,995,741 ",2002
James Posey,"$1,120,680 ",2002
Ryan Bowen,"$630,850 ",2002
Shawnelle Scott,"$590,850 ",2002
Zendon Hamilton,"$465,850 ",2002
Kenny Satterfield,"$332,817 ",2002
Chris Andersen,"$288,171 ",2002
Isaiah Rider,"$112,797 ",2002
Juwan Howard,"$20,625,000 ",2003
Marcus Camby,"$6,750,000 ",2003
