,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Larry Jones,25.0,76,,3085,602,1409,0.427,8.0,42.0,0.19,594,1367,0.435,0.43,530,683,0.776,,,599,270,,,232.0,268,1742,1968
1,1,2.0,Willie Murrell,26.0,71,,2495,498,1069,0.466,3.0,11.0,0.273,495,1058,0.468,0.467,166,236,0.703,,,637,64,,,116.0,200,1165,1968
2,2,3.0,Wayne Hightower,28.0,74,,2459,431,1126,0.383,0.0,6.0,0.0,431,1120,0.385,0.383,420,543,0.773,,,536,143,,,165.0,237,1282,1968
3,3,4.0,Grant Simmons,24.0,78,,2264,292,688,0.424,1.0,22.0,0.045,291,666,0.437,0.425,208,295,0.705,,,240,182,,,153.0,236,793,1968
4,4,5.0,Byron Beck,23.0,71,,1623,275,570,0.482,0.0,2.0,0.0,275,568,0.484,0.482,119,159,0.748,,,559,38,,,72.0,219,669,1968
5,5,6.0,Tom Hoover,27.0,70,,1588,161,357,0.451,4.0,10.0,0.4,157,347,0.452,0.457,128,206,0.621,,,491,64,,,139.0,268,454,1968
6,6,7.0,Julian Hammond,24.0,74,,1364,224,458,0.489,0.0,0.0,,224,458,0.489,0.489,143,209,0.684,,,327,62,,,98.0,112,591,1968
7,7,8.0,Tommie Bowens,27.0,67,,1287,177,453,0.391,1.0,2.0,0.5,176,451,0.39,0.392,55,90,0.611,,,374,41,,,83.0,159,410,1968
8,8,9.0,Lonnie Wright,23.0,38,,896,146,346,0.422,2.0,9.0,0.222,144,337,0.427,0.425,79,121,0.653,,,96,68,,,43.0,96,373,1968
9,9,10.0,Willis Thomas,,24,,542,136,305,0.446,0.0,2.0,0.0,136,303,0.449,0.446,22,32,0.688,,,58,25,,,51.0,45,294,1968
10,10,11.0,Chuck Gardner,23.0,42,,487,71,175,0.406,0.0,4.0,0.0,71,171,0.415,0.406,55,79,0.696,,,136,13,,,52.0,74,197,1968
11,11,12.0,Jeff Congdon,24.0,41,,398,67,191,0.351,5.0,30.0,0.167,62,161,0.385,0.364,20,25,0.8,,,34,59,,,50.0,37,159,1968
12,12,13.0,Richie Moore,,18,,211,24,71,0.338,0.0,2.0,0.0,24,69,0.348,0.338,21,28,0.75,,,19,8,,,24.0,16,69,1968
13,13,14.0,John Morrison,22.0,9,,76,10,34,0.294,1.0,6.0,0.167,9,28,0.321,0.309,6,9,0.667,,,9,7,,,9.0,15,27,1968
14,14,15.0,R.B. Lynam,,7,,39,5,17,0.294,0.0,1.0,0.0,5,16,0.313,0.294,7,8,0.875,,,5,0,,,5.0,10,17,1968
15,15,16.0,Ron Horn,29.0,1,,6,0,2,0.0,0.0,0.0,,0,2,0.0,0.0,2,2,1.0,,,1,0,,,1.0,0,2,1968
16,0,1.0,Larry Jones,26.0,75,,3042,759,1631,0.465,24.0,100.0,0.24,735,1531,0.48,0.473,591,760,0.778,165.0,328.0,493,258,,,218.0,273,2133,1969
17,1,2.0,Lonnie Wright,24.0,69,,2538,453,1089,0.416,19.0,86.0,0.221,434,1003,0.433,0.425,205,276,0.743,50.0,240.0,290,175,,,160.0,250,1130,1969
18,2,3.0,Julian Hammond,25.0,78,,2335,329,601,0.547,0.0,0.0,,329,601,0.547,0.547,165,253,0.652,266.0,334.0,600,124,,,152.0,213,823,1969
19,3,4.0,Wayne Hightower,29.0,67,,2318,311,762,0.408,0.0,2.0,0.0,311,760,0.409,0.408,311,426,0.73,155.0,486.0,641,203,,,176.0,241,933,1969
20,4,5.0,Byron Beck,24.0,71,,2289,423,843,0.502,2.0,3.0,0.667,421,840,0.501,0.503,182,238,0.765,272.0,507.0,779,77,,,92.0,248,1030,1969
21,5,6.0,Walt Piatkowski,23.0,77,,1819,399,956,0.417,27.0,82.0,0.329,372,874,0.426,0.431,117,151,0.775,147.0,216.0,363,46,,,100.0,226,942,1969
22,6,7.0,Bill McGill,29.0,78,,1760,411,745,0.552,0.0,0.0,,411,745,0.552,0.552,180,264,0.682,145.0,315.0,460,102,,,149.0,289,1002,1969
23,7,8.0,Jeff Congdon,25.0,59,,979,107,277,0.386,5.0,31.0,0.161,102,246,0.415,0.395,69,85,0.812,14.0,79.0,93,135,,,97.0,104,288,1969
24,8,9.0,Ken Wilburn,24.0,37,,409,72,181,0.398,0.0,0.0,,72,181,0.398,0.398,30,57,0.526,80.0,97.0,177,22,,,37.0,56,174,1969
25,9,10.0,Levern Tart,26.0,20,,345,56,159,0.352,0.0,2.0,0.0,56,157,0.357,0.352,42,56,0.75,25.0,26.0,51,44,,,42.0,40,154,1969
