,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,78.0,18820.0,3119.0,7271.0,0.429,25.0,149.0,0.168,3094.0,7122.0,0.434,1981.0,2725.0,0.727,,,4121.0,1044.0,1293.0,1992.0,8244.0,1968,,
1,Team/G,,241.3,40.0,93.2,0.429,0.3,1.9,0.168,39.7,91.3,0.434,25.4,34.9,0.727,,,52.8,13.4,16.6,25.5,105.7,1968,,
2,Lg Rank,,5.0,9.0,10.0,4.0,11.0,10.0,11.0,5.0,6.0,4.0,8.0,9.0,5.0,,,9.0,10.0,3.0,8.0,9.0,1968,,
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
4,Opponent,78.0,18820.0,2853.0,7133.0,0.4,116.0,410.0,0.283,2737.0,6723.0,0.407,2092.0,2916.0,0.717,,,3933.0,993.0,1365.0,1903.0,7914.0,1968,,
5,Opponent/G,,241.3,36.6,91.4,0.4,1.5,5.3,0.283,35.1,86.2,0.407,26.8,37.4,0.717,,,50.4,12.7,17.5,24.4,101.5,1968,,
6,Lg Rank,,5.0,1.0,1.0,1.0,8.0,8.0,6.0,1.0,1.0,1.0,8.0,8.0,7.0,,,2.0,1.0,5.0,7.0,1.0,1968,,
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
0,Team,78.0,18895,3427,7554,0.454,79,314,0.252,3348,7240,0.462,2026,2769,0.732,1376.0,2741.0,4117,1239,1331,2102,8959,1969,,
1,Team/G,,242.2,43.9,96.8,0.454,1.0,4.0,0.252,42.9,92.8,0.462,26.0,35.5,0.732,17.6,35.1,52.8,15.9,17.1,26.9,114.9,1969,,
2,Lg Rank,,4,3,9,2.0,8,7,9.0,4,7,2.0,9,10,7.0,10.0,4.0,9,11,2,5,5,1969,,
3,Year/Year,,0.4%,9.9%,3.9%,0.025,216.0%,110.7%,0.084,8.2%,1.7%,0.028,2.3%,1.6%,0.005,,,-0.1%,18.7%,2.9%,5.5%,8.7%,1969,,
4,Opponent,78.0,18895,3269,7438,0.439,172,537,0.32,3097,6901,0.449,2132,3036,0.702,,,4171,1193,1427,2045,8842,1969,,
5,Opponent/G,,242.2,41.9,95.4,0.439,2.2,6.9,0.32,39.7,88.5,0.449,27.3,38.9,0.702,,,53.5,15.3,18.3,26.2,113.4,1969,,
6,Lg Rank,,4,3,3,7.0,11,10,9.0,3,1,7.0,4,7,1.0,,,4,1,10,8,4,1969,,
7,Year/Year,,0.4%,14.6%,4.3%,0.04,48.3%,31.0%,0.037,13.2%,2.6%,0.042,1.9%,4.1%,-0.015,,,6.1%,20.1%,4.5%,7.5%,11.7%,1969,,
0,Team,84.0,20360,3743,8381,0.447,188,684,0.275,3555,7697,0.462,2023,2713,0.746,1621,3224,4845,1621,1404,2064,9697,1970,,
