,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Gene Shue,28,75,,44.5,8.3,20.0,0.413,,,,8.3,20.0,0.413,0.413,6.3,7.2,0.872,,,5.5,3.9,,,,1.9,22.8,1960
1,1,2,Walter Dukes,29,66,,32.4,4.8,13.2,0.361,,,,4.8,13.2,0.361,0.361,5.7,7.7,0.74,,,13.4,1.2,,,,4.7,15.2,1960
2,2,3,Bailey Howell,23,75,,31.3,6.8,14.9,0.456,,,,6.8,14.9,0.456,0.456,4.2,5.6,0.739,,,10.5,0.8,,,,3.8,17.8,1960
3,3,4,Chuck Noble,28,58,,27.9,4.8,13.3,0.357,,,,4.8,13.3,0.357,0.357,1.7,2.4,0.732,,,3.5,4.6,,,,3.0,11.3,1960
4,4,5,Earl Lloyd,31,68,,23.7,3.5,9.8,0.356,,,,3.5,9.8,0.356,0.356,1.9,2.4,0.8,,,4.7,1.3,,,,3.3,8.9,1960
5,5,6,Ed Conlin,26,70,,23.4,4.3,11.9,0.361,,,,4.3,11.9,0.361,0.361,2.6,3.4,0.761,,,4.9,1.8,,,,2.3,11.2,1960
6,6,7,Dick McGuire,34,68,,21.6,2.6,5.9,0.445,,,,2.6,5.9,0.445,0.445,1.8,3.0,0.617,,,3.9,5.3,,,,1.6,7.1,1960
7,7,8,Tony Windis,27,9,,21.4,1.8,6.7,0.267,,,,1.8,6.7,0.267,0.267,0.4,0.7,0.667,,,5.2,3.6,,,,2.2,4.0,1960
8,8,9,Shellie McMillon,23,75,,18.9,3.6,8.4,0.426,,,,3.6,8.4,0.426,0.426,1.8,2.7,0.663,,,5.7,0.7,,,,2.6,8.9,1960
9,9,10,Archie Dees,23,73,,17.0,3.7,8.5,0.439,,,,3.7,8.5,0.439,0.439,2.3,2.8,0.809,,,5.4,0.6,,,,2.6,9.7,1960
10,10,11,Barney Cable,24,7,,16.6,3.1,8.6,0.367,,,,3.1,8.6,0.367,0.367,0.6,1.4,0.4,,,6.9,0.9,,,,2.7,6.9,1960
11,11,12,Billy Kenville,29,25,,14.6,1.9,5.2,0.359,,,,1.9,5.2,0.359,0.359,1.3,1.6,0.805,,,2.8,1.8,,,,1.2,5.1,1960
12,12,13,Gary Alcorn,23,58,,11.6,1.6,5.4,0.292,,,,1.6,5.4,0.292,0.292,0.8,1.4,0.571,,,4.8,0.4,,,,2.1,4.0,1960
13,0,1,Gene Shue,29,78,,43.1,8.3,19.8,0.421,,,,8.3,19.8,0.421,0.421,6.0,7.0,0.856,,,4.3,6.8,,,,2.7,22.6,1961
14,1,2,Bailey Howell,24,77,,38.3,7.9,16.8,0.469,,,,7.9,16.8,0.469,0.469,7.8,10.4,0.753,,,14.4,2.5,,,,3.9,23.6,1961
15,2,3,Walter Dukes,30,73,,28.0,3.9,9.7,0.405,,,,3.9,9.7,0.405,0.405,3.8,5.5,0.703,,,14.1,1.9,,,,4.3,11.7,1961
16,3,4,Don Ohl,24,79,,27.5,5.4,13.7,0.394,,,,5.4,13.7,0.394,0.394,2.5,3.5,0.719,,,3.2,3.4,,,,2.8,13.3,1961
17,4,5,George Lee,24,74,,23.4,4.2,10.5,0.399,,,,4.2,10.5,0.399,0.399,3.7,5.3,0.701,,,6.6,1.2,,,,2.1,12.1,1961
18,5,6,Chuck Noble,29,75,,22.1,2.6,7.5,0.346,,,,2.6,7.5,0.346,0.346,1.1,1.5,0.713,,,2.4,3.8,,,,2.6,6.3,1961
19,6,7,Bob Ferry,23,79,,21.0,4.4,9.8,0.451,,,,4.4,9.8,0.451,0.451,2.4,3.2,0.741,,,6.3,1.6,,,,2.6,11.3,1961
20,7,8,Shellie McMillon,24,78,,21.0,4.1,9.6,0.428,,,,4.1,9.6,0.428,0.428,1.8,2.6,0.697,,,6.2,1.3,,,,3.1,10.1,1961
21,8,9,Jackie Moreland,22,64,,15.7,3.0,7.5,0.4,,,,3.0,7.5,0.4,0.4,1.3,2.1,0.652,,,4.9,0.8,,,,2.7,7.3,1961
22,9,10,Willie Jones,24,35,,12.9,2.2,6.2,0.361,,,,2.2,6.2,0.361,0.361,1.1,1.8,0.635,,,2.7,1.8,,,,2.6,5.6,1961
23,10,11,Archie Dees,24,28,,11.0,1.9,4.8,0.393,,,,1.9,4.8,0.393,0.393,1.4,1.7,0.83,,,3.4,0.6,,,,1.8,5.2,1961
24,11,12,Ron Johnson,22,6,,10.0,1.8,5.0,0.367,,,,1.8,5.0,0.367,0.367,1.5,2.3,0.643,,,2.3,0.2,,,,1.0,5.2,1961
25,0,1,Gene Shue,30,80,,39.3,7.3,17.8,0.408,,,,7.3,17.8,0.408,0.408,4.5,5.6,0.81,,,4.7,5.8,,,,2.4,19.0,1962
26,1,2,Bailey Howell,25,79,,36.2,7.0,15.1,0.464,,,,7.0,15.1,0.464,0.464,5.9,7.7,0.768,,,12.6,2.4,,,,4.0,19.9,1962
27,2,3,Don Ohl,25,77,,32.8,7.2,16.2,0.444,,,,7.2,16.2,0.444,0.444,2.6,3.6,0.718,,,3.5,3.2,,,,2.2,17.0,1962
28,3,4,Ray Scott,23,75,,27.8,4.9,12.7,0.387,,,,4.9,12.7,0.387,0.387,3.4,5.2,0.657,,,11.5,1.8,,,,3.1,13.3,1962
29,4,5,Walter Dukes,31,77,,24.6,3.3,8.4,0.396,,,,3.3,8.4,0.396,0.396,2.7,3.8,0.715,,,10.4,1.6,,,,4.2,9.4,1962
30,5,6,Bob Ferry,24,80,,24.0,5.1,11.7,0.438,,,,5.1,11.7,0.438,0.438,3.6,5.3,0.678,,,6.3,1.8,,,,2.5,13.9,1962
31,6,7,George Lee,25,75,,18.0,2.4,6.7,0.358,,,,2.4,6.7,0.358,0.358,2.8,3.7,0.761,,,4.7,0.9,,,,1.7,7.6,1962
32,7,8,Jackie Moreland,23,74,,16.5,2.8,6.6,0.421,,,,2.8,6.6,0.421,0.421,1.9,2.5,0.747,,,5.8,1.0,,,,2.4,7.4,1962
33,8,9,Willie Jones,25,69,,14.6,2.6,6.9,0.373,,,,2.6,6.9,0.373,0.373,0.9,1.5,0.634,,,2.6,1.7,,,,2.0,6.1,1962
34,9,10,Chuck Noble,30,26,,13.9,1.2,4.3,0.283,,,,1.2,4.3,0.283,0.283,0.3,0.6,0.533,,,1.7,2.4,,,,2.1,2.8,1962
35,10,11,Shellie McMillon,25,14,,13.6,1.9,5.9,0.313,,,,1.9,5.9,0.313,0.313,1.4,2.6,0.556,,,4.6,0.4,,,,2.6,5.1,1962
36,11,12,Johnny Egan,23,58,,12.0,2.2,5.2,0.425,,,,2.2,5.2,0.425,0.425,1.1,1.4,0.762,,,1.5,1.8,,,,1.1,5.5,1962
37,0,1,Bailey Howell,26,79,,37.6,8.1,15.6,0.516,,,,8.1,15.6,0.516,0.516,6.6,8.2,0.798,,,11.5,2.9,,,,3.8,22.7,1963
38,1,2,Don Ohl,26,80,,37.0,8.0,18.1,0.439,,,,8.0,18.1,0.439,0.439,3.4,4.8,0.724,,,3.0,4.1,,,,2.9,19.3,1963
39,2,3,Ray Scott,24,76,,33.4,6.1,14.6,0.414,,,,6.1,14.6,0.414,0.414,4.1,6.0,0.674,,,10.2,2.5,,,,3.5,16.2,1963
40,3,4,Bob Ferry,25,79,,31.4,5.4,12.5,0.433,,,,5.4,12.5,0.433,0.433,2.8,4.3,0.649,,,6.8,2.2,,,,3.1,13.6,1963
41,4,5,Dave DeBusschere,22,80,,29.4,5.1,11.8,0.43,,,,5.1,11.8,0.43,0.43,2.6,3.6,0.718,,,8.7,2.6,,,,3.1,12.7,1963
42,5,6,Jackie Moreland,24,78,,19.4,3.5,8.0,0.436,,,,3.5,8.0,0.436,0.436,1.9,2.7,0.678,,,5.8,1.5,,,,2.9,8.8,1963
43,6,7,Willie Jones,26,79,,18.6,3.9,9.2,0.418,,,,3.9,9.2,0.418,0.418,1.5,2.1,0.72,,,2.9,2.4,,,,2.6,9.2,1963
44,7,8,Johnny Egan,24,46,,16.3,2.4,6.4,0.372,,,,2.4,6.4,0.372,0.372,1.2,1.5,0.768,,,1.3,2.5,,,,1.5,5.9,1963
45,8,9,Kevin Loughery,22,57,,14.8,2.6,7.0,0.368,,,,2.6,7.0,0.368,0.368,1.2,1.8,0.71,,,1.9,1.8,,,,2.4,6.4,1963
46,9,10,Walter Dukes,32,62,,14.7,1.3,4.1,0.325,,,,1.3,4.1,0.325,0.325,1.6,2.2,0.737,,,5.8,0.9,,,,3.0,4.3,1963
47,10,11,Darrall Imhoff,24,45,,10.2,1.1,3.4,0.314,,,,1.1,3.4,0.314,0.314,0.5,1.1,0.48,,,3.4,0.6,,,,1.5,2.7,1963
48,11,12,Danny Doyle,22,4,,6.3,1.5,3.0,0.5,,,,1.5,3.0,0.5,0.5,1.0,1.3,0.8,,,2.0,0.8,,,,1.0,4.0,1963
49,0,1,Ray Scott,25,80,,37.1,6.7,16.3,0.412,,,,6.7,16.3,0.412,0.412,4.1,5.7,0.719,,,13.5,3.1,,,,3.7,17.6,1964
50,1,2,Bailey Howell,27,77,,35.1,7.8,16.5,0.472,,,,7.8,16.5,0.472,0.472,6.1,7.5,0.809,,,10.1,2.7,,,,3.8,21.6,1964
51,2,3,Johnny Egan,25,24,,34.9,4.4,10.7,0.41,,,,4.4,10.7,0.41,0.41,2.4,2.8,0.838,,,2.6,4.8,,,,3.2,11.1,1964
52,3,4,Don Ohl,27,71,,33.3,7.0,17.2,0.408,,,,7.0,17.2,0.408,0.408,3.2,4.7,0.68,,,2.5,3.2,,,,3.1,17.3,1964
53,4,5,Donnie Butcher,27,52,,29.9,3.2,7.5,0.421,,,,3.2,7.5,0.421,0.421,2.3,3.7,0.616,,,5.0,3.4,,,,3.8,8.6,1964
54,5,6,Reggie Harding,21,39,,29.7,4.7,11.8,0.4,,,,4.7,11.8,0.4,0.4,1.6,2.5,0.622,,,10.5,1.3,,,,3.1,11.0,1964
55,6,7,Jackie Moreland,25,78,,22.8,3.5,8.2,0.426,,,,3.5,8.2,0.426,0.426,2.1,2.7,0.781,,,5.2,1.6,,,,3.4,9.1,1964
56,7,8,Bob Ferry,26,74,,20.6,4.0,9.1,0.445,,,,4.0,9.1,0.445,0.445,2.5,3.8,0.667,,,5.8,1.3,,,,2.4,10.6,1964
57,8,9,Dave DeBusschere,23,15,,20.3,3.5,8.9,0.391,,,,3.5,8.9,0.391,0.391,1.7,2.9,0.581,,,7.0,1.5,,,,2.1,8.6,1964
58,9,10,Willie Jones,27,77,,20.0,3.4,8.8,0.39,,,,3.4,8.8,0.39,0.39,1.3,1.8,0.709,,,3.3,2.2,,,,2.7,8.2,1964
59,10,11,Darrall Imhoff,25,58,,15.0,1.8,4.3,0.414,,,,1.8,4.3,0.414,0.414,1.2,2.0,0.605,,,4.9,1.0,,,,2.9,4.8,1964
60,11,12,Bob Duffy,23,42,,14.4,2.1,4.9,0.425,,,,2.1,4.9,0.425,0.425,0.9,1.3,0.679,,,1.3,1.8,,,,1.1,5.1,1964
61,12,13,Eddie Miles,23,60,,13.5,2.2,6.2,0.353,,,,2.2,6.2,0.353,0.353,1.0,1.5,0.713,,,1.6,1.0,,,,1.5,5.4,1964
62,13,14,Larry Staverman,27,20,,12.8,2.2,4.1,0.537,,,,2.2,4.1,0.537,0.537,1.3,2.0,0.667,,,3.5,0.6,,,,2.5,5.7,1964
63,14,15,Kevin Loughery,23,1,,2.0,1.0,4.0,0.25,,,,1.0,4.0,0.25,0.25,0.0,0.0,,,,0.0,0.0,,,,2.0,2.0,1964
64,0,1,Dave DeBusschere,24,79,,35.1,6.4,15.1,0.425,,,,6.4,15.1,0.425,0.425,3.9,5.5,0.7,,,11.1,3.2,,,,3.1,16.7,1965
65,1,2,Reggie Harding,22,78,,34.6,5.2,12.7,0.41,,,,5.2,12.7,0.41,0.41,1.6,2.7,0.612,,,11.6,2.3,,,,3.3,12.0,1965
66,2,3,Terry Dischinger,24,80,,33.7,7.1,14.4,0.493,,,,7.1,14.4,0.493,0.493,4.0,5.3,0.755,,,6.0,2.5,,,,3.2,18.2,1965
67,3,4,Ray Scott,26,66,,32.8,6.1,16.5,0.368,,,,6.1,16.5,0.368,0.368,3.3,4.8,0.701,,,9.6,3.6,,,,3.2,15.5,1965
68,4,5,Eddie Miles,24,76,,27.3,5.8,13.1,0.442,,,,5.8,13.1,0.442,0.442,2.2,2.9,0.744,,,3.4,2.1,,,,2.6,13.7,1965
69,5,6,Rod Thorn,23,74,,23.9,4.3,10.1,0.427,,,,4.3,10.1,0.427,0.427,2.4,3.3,0.724,,,3.6,2.2,,,,1.6,11.0,1965
70,6,7,Joe Caldwell,23,66,,23.4,4.4,11.8,0.374,,,,4.4,11.8,0.374,0.374,2.0,3.2,0.614,,,6.7,1.8,,,,2.6,10.7,1965
71,7,8,Donnie Butcher,28,71,,16.3,2.0,5.0,0.405,,,,2.0,5.0,0.405,0.405,1.8,2.9,0.618,,,2.8,1.7,,,,2.6,5.8,1965
72,8,9,Jackie Moreland,26,54,,13.6,1.9,5.5,0.348,,,,1.9,5.5,0.348,0.348,1.2,1.9,0.635,,,3.4,1.3,,,,2.8,5.0,1965
73,9,10,Don Kojis,26,65,,12.9,2.8,6.4,0.433,,,,2.8,6.4,0.433,0.433,1.0,1.5,0.633,,,3.7,1.0,,,,1.8,6.5,1965
74,10,11,Hub Reed,28,62,,12.1,1.4,3.6,0.38,,,,1.4,3.6,0.38,0.38,0.6,0.9,0.69,,,3.3,0.6,,,,2.2,3.4,1965
75,11,12,Willie Jones,28,12,,8.4,1.8,4.3,0.404,,,,1.8,4.3,0.404,0.404,0.2,0.5,0.333,,,0.8,0.6,,,,1.1,3.7,1965
76,12,13,Bob Duffy,24,4,,6.5,1.0,2.8,0.364,,,,1.0,2.8,0.364,0.364,1.5,1.8,0.857,,,1.0,1.3,,,,1.0,3.5,1965
77,0,1,Eddie Miles,25,80,,34.9,7.9,17.7,0.447,,,,7.9,17.7,0.447,0.447,3.7,5.0,0.741,,,3.8,2.8,,,,2.5,19.6,1966
78,1,2,Dave DeBusschere,25,79,,34.1,6.6,16.3,0.408,,,,6.6,16.3,0.408,0.408,3.2,4.8,0.659,,,11.6,2.6,,,,3.2,16.4,1966
79,2,3,Ray Scott,27,79,,33.6,6.9,16.6,0.416,,,,6.9,16.6,0.416,0.416,4.1,5.5,0.743,,,9.6,3.0,,,,2.6,17.9,1966
80,3,4,Rod Thorn,24,27,,30.2,5.3,12.7,0.417,,,,5.3,12.7,0.417,0.417,3.3,4.6,0.732,,,3.7,2.4,,,,2.5,13.9,1966
81,4,5,Joe Strawder,25,79,,27.6,3.2,7.8,0.408,,,,3.2,7.8,0.408,0.408,2.2,3.2,0.688,,,10.4,1.0,,,,3.9,8.6,1966
82,5,6,Tom Van Arsdale,22,79,,25.8,3.9,10.6,0.374,,,,3.9,10.6,0.374,0.374,2.6,3.7,0.721,,,3.9,2.6,,,,3.2,10.5,1966
83,6,7,Joe Caldwell,24,33,,21.7,4.3,10.2,0.423,,,,4.3,10.2,0.423,0.423,1.8,2.7,0.682,,,5.8,2.0,,,,1.9,10.5,1966
84,7,8,Chico Vaughn,25,37,,20.9,3.0,7.6,0.39,,,,3.0,7.6,0.39,0.39,1.6,2.2,0.732,,,1.7,2.8,,,,1.6,7.6,1966
85,8,9,John Barnhill,27,45,,20.6,3.1,8.1,0.383,,,,3.1,8.1,0.383,0.383,1.3,2.2,0.602,,,2.5,2.5,,,,1.7,7.5,1966
86,9,10,Donnie Butcher,29,15,,19.0,3.0,6.4,0.469,,,,3.0,6.4,0.469,0.469,1.2,2.3,0.529,,,2.2,2.0,,,,2.7,7.2,1966
87,10,11,Ron Reed,23,57,,17.5,3.3,9.2,0.355,,,,3.3,9.2,0.355,0.355,0.9,1.8,0.54,,,5.9,1.6,,,,2.3,7.5,1966
88,11,12,Bill Buntin,23,42,,17.0,2.8,7.1,0.395,,,,2.8,7.1,0.395,0.395,2.1,3.4,0.615,,,6.0,0.9,,,,2.8,7.7,1966
89,12,13,John Tresvant,26,46,,16.4,2.9,7.0,0.416,,,,2.9,7.0,0.416,0.416,2.5,3.4,0.728,,,6.1,1.3,,,,3.0,8.3,1966
90,13,14,Don Kojis,27,60,,13.1,3.0,7.3,0.415,,,,3.0,7.3,0.415,0.415,1.3,2.4,0.539,,,4.3,0.7,,,,1.6,7.3,1966
91,14,15,Bob Warlick,24,10,,7.8,1.1,3.8,0.289,,,,1.1,3.8,0.289,0.289,0.2,0.6,0.333,,,1.6,1.0,,,,0.8,2.4,1966
92,0,1,Dave DeBusschere,26,78,,37.1,6.8,16.4,0.415,,,,6.8,16.4,0.415,0.415,4.6,6.6,0.705,,,11.8,2.8,,,,3.8,18.2,1967
93,1,2,Dave Bing,23,80,,34.5,8.3,19.0,0.436,,,,8.3,19.0,0.436,0.436,3.4,4.6,0.738,,,4.5,4.1,,,,2.7,20.0,1967
94,2,3,Ray Scott,28,45,,32.8,5.6,15.1,0.37,,,,5.6,15.1,0.37,0.37,3.5,4.6,0.757,,,9.0,1.9,,,,2.9,14.7,1967
95,3,4,Eddie Miles,26,81,,29.9,7.2,16.8,0.427,,,,7.2,16.8,0.427,0.427,3.2,4.2,0.772,,,3.7,2.2,,,,2.7,17.6,1967
96,4,5,Joe Strawder,26,79,,27.3,3.6,8.4,0.426,,,,3.6,8.4,0.426,0.426,2.4,3.3,0.718,,,10.0,1.0,,,,4.4,9.5,1967
97,5,6,Tom Van Arsdale,23,79,,27.0,4.4,11.2,0.391,,,,4.4,11.2,0.391,0.391,3.4,4.4,0.784,,,4.3,2.4,,,,3.1,12.2,1967
98,6,7,John Tresvant,27,68,,22.8,3.8,8.6,0.438,,,,3.8,8.6,0.438,0.438,2.4,3.4,0.701,,,7.1,1.3,,,,3.6,9.9,1967
