Player,Salary,Year
Grant Hill,"$6,939,000 ",2000
Christian Laettner,"$6,062,500 ",2000
Bison Dele,"$5,770,000 ",2000
Jerry Stackhouse,"$4,781,250 ",2000
Loy Vaught,"$4,180,000 ",2000
Jerome Williams,"$2,550,000 ",2000
Lindsey Hunter,"$2,350,000 ",2000
Michael Curry,"$2,000,000 ",2000
Eric Montross,"$2,000,000 ",2000
Jud Buechler,"$1,100,000 ",2000
Derek Harper,"$1,100,000 ",2000
Don Reid,"$1,000,000 ",2000
Joe Dumars,"$510,000 ",2000
Terry Mills,"$510,000 ",2000
John Crotty,"$477,000 ",2000
Mikki Moore,"$460,000 ",2000
Jermaine Jackson,"$302,875 ",2000
Marcus Brown,"$43,294 ",2000
Pooh Richardson,"$5,882 ",2000
Jerry Stackhouse,"$5,310,000 ",2001
Ben Wallace,"$4,000,000 ",2001
Dana Barros,"$3,700,000 ",2001
Jud Buechler,"$3,260,000 ",2001
Chucky Atkins,"$3,000,000 ",2001
Jerome Williams,"$2,870,000 ",2001
Mikki Moore,"$2,850,000 ",2001
Joe Smith,"$2,250,000 ",2001
Eric Montross,"$2,240,000 ",2001
Michael Curry,"$2,200,000 ",2001
John Wallace,"$2,200,000 ",2001
Eric Murdock,"$2,100,000 ",2001
Billy Owens,"$2,100,000 ",2001
Mateen Cleaves,"$1,253,400 ",2001
Ansu Sesay,"$508,000 ",2001
Torraye Braggs,"$316,969 ",2001
Brian Cardinal,"$316,969 ",2001
Clifford Robinson,"$7,656,250 ",2002
Jerry Stackhouse,"$5,843,750 ",2002
Ben Wallace,"$4,700,000 ",2002
Corliss Williamson,"$4,000,000 ",2002
Zeljko Rebraca,"$3,500,000 ",2002
Chucky Atkins,"$3,300,000 ",2002
Jon Barry,"$3,175,000 ",2002
Mikki Moore,"$2,531,250 ",2002
Michael Curry,"$2,400,000 ",2002
Rodney White,"$1,693,560 ",2002
Dana Barros,"$1,600,000 ",2002
Victor Alexander,"$653,350 ",2002
Damon Jones,"$565,850 ",2002
Brian Cardinal,"$465,850 ",2002
Ratko Varda,"$332,817 ",2002
Clifford Robinson,"$8,421,875 ",2003
Ben Wallace,"$5,200,000 ",2003
Chauncey Billups,"$4,546,000 ",2003
Corliss Williamson,"$4,500,000 ",2003
Zeljko Rebraca,"$3,850,000 ",2003
Chucky Atkins,"$3,600,000 ",2003
Jon Barry,"$3,175,000 ",2003
Hubert Davis,"$2,687,500 ",2003
Richard Hamilton,"$2,681,783 ",2003
Michael Curry,"$2,600,000 ",2003
Mikki Moore,"$2,412,500 ",2003
Don Reid,"$1,100,000 ",2003
Mehmet Okur,"$1,000,000 ",2003
Tayshaun Prince,"$903,360 ",2003
Pepe Sanchez,"$587,435 ",2003
Bobby Simmons,"$512,435 ",2003
Richard Hamilton,"$6,500,000 ",2004
Bob Sura,"$6,266,666 ",2004
Ben Wallace,"$5,500,000 ",2004
Chauncey Billups,"$5,000,600 ",2004
Corliss Williamson,"$5,000,000 ",2004
Zeljko Rebraca,"$4,200,000 ",2004
Elden Campbell,"$4,000,000 ",2004
Chucky Atkins,"$3,900,000 ",2004
Darko Milicic,"$3,595,800 ",2004
Lindsey Hunter,"$3,000,000 ",2004
Hubert Davis,"$2,956,250 ",2004
Mehmet Okur,"$1,100,000 ",2004
Tayshaun Prince,"$971,160 ",2004
Darvin Ham,"$813,679 ",2004
Tremaine Fowlkes,"$638,679 ",2004
Rasheed Wallace,"$9,720,000 ",2005
Richard Hamilton,"$7,812,500 ",2005
Ben Wallace,"$7,000,000 ",2005
Chauncey Billups,"$5,455,200 ",2005
Antonio McDyess,"$4,903,000 ",2005
Derrick Coleman,"$4,500,000 ",2005
Elden Campbell,"$4,400,000 ",2005
Darko Milicic,"$3,865,440 ",2005
Lindsey Hunter,"$1,600,000 ",2005
Tayshaun Prince,"$1,038,960 ",2005
Darvin Ham,"$932,546 ",2005
Amal McCaskill,"$932,546 ",2005
Carlos Delfino,"$901,920 ",2005
Smush Parker,"$695,046 ",2005
Ronald Dupree,"$620,046 ",2005
Horace Jenkins,"$385,277 ",2005
Rasheed Wallace,"$10,860,000 ",2006
