,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Gene Shue,28.0,75,,3338.0,620,1501,0.413,,,,620,1501,0.413,0.413,472,541,0.872,,,409,295,,,,146,1712,1960
1,1,2.0,Bailey Howell,23.0,75,,2346.0,510,1119,0.456,,,,510,1119,0.456,0.456,312,422,0.739,,,790,63,,,,282,1332,1960
2,2,3.0,Walter Dukes,29.0,66,,2140.0,314,871,0.361,,,,314,871,0.361,0.361,376,508,0.74,,,883,80,,,,310,1004,1960
3,3,4.0,Ed Conlin,26.0,70,,1636.0,300,831,0.361,,,,300,831,0.361,0.361,181,238,0.761,,,346,126,,,,158,781,1960
4,4,5.0,Chuck Noble,28.0,58,,1621.0,276,774,0.357,,,,276,774,0.357,0.357,101,138,0.732,,,201,265,,,,172,653,1960
5,5,6.0,Earl Lloyd,31.0,68,,1610.0,237,665,0.356,,,,237,665,0.356,0.356,128,160,0.8,,,322,89,,,,226,602,1960
6,6,7.0,Dick McGuire,34.0,68,,1466.0,179,402,0.445,,,,179,402,0.445,0.445,124,201,0.617,,,264,358,,,,112,482,1960
7,7,8.0,Shellie McMillon,23.0,75,,1416.0,267,627,0.426,,,,267,627,0.426,0.426,132,199,0.663,,,431,49,,,,198,666,1960
8,8,9.0,Archie Dees,23.0,73,,1244.0,271,617,0.439,,,,271,617,0.439,0.439,165,204,0.809,,,397,43,,,,188,707,1960
9,9,10.0,Gary Alcorn,23.0,58,,670.0,91,312,0.292,,,,91,312,0.292,0.292,48,84,0.571,,,279,22,,,,123,230,1960
10,10,11.0,Billy Kenville,29.0,25,,365.0,47,131,0.359,,,,47,131,0.359,0.359,33,41,0.805,,,71,46,,,,31,127,1960
11,11,12.0,Tony Windis,27.0,9,,193.0,16,60,0.267,,,,16,60,0.267,0.267,4,6,0.667,,,47,32,,,,20,36,1960
12,12,13.0,Barney Cable,24.0,7,,116.0,22,60,0.367,,,,22,60,0.367,0.367,4,10,0.4,,,48,6,,,,19,48,1960
13,0,1.0,Gene Shue,29.0,78,,3361.0,650,1545,0.421,,,,650,1545,0.421,0.421,465,543,0.856,,,334,530,,,,207,1765,1961
14,1,2.0,Bailey Howell,24.0,77,,2952.0,607,1293,0.469,,,,607,1293,0.469,0.469,601,798,0.753,,,1111,196,,,,297,1815,1961
15,2,3.0,Don Ohl,24.0,79,,2172.0,427,1085,0.394,,,,427,1085,0.394,0.394,200,278,0.719,,,256,265,,,,224,1054,1961
16,3,4.0,Walter Dukes,30.0,73,,2044.0,286,706,0.405,,,,286,706,0.405,0.405,281,400,0.703,,,1028,139,,,,313,853,1961
17,4,5.0,George Lee,24.0,74,,1735.0,310,776,0.399,,,,310,776,0.399,0.399,276,394,0.701,,,490,89,,,,158,896,1961
18,5,6.0,Bob Ferry,23.0,79,,1657.0,350,776,0.451,,,,350,776,0.451,0.451,189,255,0.741,,,500,129,,,,205,889,1961
19,6,7.0,Chuck Noble,29.0,75,,1655.0,196,566,0.346,,,,196,566,0.346,0.346,82,115,0.713,,,180,287,,,,195,474,1961
