,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3146,7920,0.397,2075,2847,0.729,,,5491,1472,1983,8367,1960,,,,,,,,,
1,Team/G,,,41.9,105.6,0.397,27.7,38.0,0.729,,,73.2,19.6,26.4,111.6,1960,,,,,,,,,
2,Lg Rank,,,7,5,7.0,3,2,6.0,,,3,7,6,6,1960,,,,,,,,,
3,Year/Year,,,7.4%,4.1%,0.012,2.5%,4.0%,-0.011,,,8.5%,7.3%,1.2%,6.2%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8624,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,115.0,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,3,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,8.1%,1960,,,,,,,,,
0,Team,79.0,,3481,8357,0.417,2408,3240,0.743,,,5813,1866,2157,9370,1961,,,,,,,,,
1,Team/G,,,44.1,105.8,0.417,30.5,41.0,0.743,,,73.6,23.6,27.3,118.6,1961,,,,,,,,,
2,Lg Rank,,,6,6,4.0,1,1,4.0,,,5,5,5,5,1961,,,,,,,,,
3,Year/Year,,,5.0%,0.2%,0.019,10.2%,8.0%,0.014,,,0.5%,20.3%,3.3%,6.3%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9558,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,121.0,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,7,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,5.2%,1961,,,,,,,,,
0,Team,80.0,,3472,8366,0.415,2290,3142,0.729,,,5823,1723,2040,9234,1962,,,,,,,,,
1,Team/G,,,43.4,104.6,0.415,28.6,39.3,0.729,,,72.8,21.5,25.5,115.4,1962,,,,,,,,,
2,Lg Rank,,,8,8,8.0,2,3,5.0,,,3,9,4,7,1962,,,,,,,,,
3,Year/Year,,,-1.5%,-1.1%,-0.002,-6.1%,-4.2%,-0.014,,,-1.1%,-8.8%,-6.6%,-2.7%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9369,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,117.1,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,3,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-3.2%,1962,,,,,,,,,
0,Team,80.0,,3534,8188,0.432,2044,2852,0.717,,,5315,1731,2181,9112,1963,,,,,,,,,
1,Team/G,,,44.2,102.4,0.432,25.6,35.7,0.717,,,66.4,21.6,27.3,113.9,1963,,,,,,,,,
2,Lg Rank,,,5,4,6.0,6,5,6.0,,,5,8,7,6,1963,,,,,,,,,
3,Year/Year,,,1.8%,-2.1%,0.017,-10.7%,-9.2%,-0.012,,,-8.7%,0.5%,6.9%,-1.3%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9408,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,117.6,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,5,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,0.4%,1963,,,,,,,,,
0,Team,80.0,,3346,7943,0.421,1928,2685,0.718,,,5145,1633,2235,8620,1964,,,,,,,,,
1,Team/G,,,41.8,99.3,0.421,24.1,33.6,0.718,,,64.3,20.4,27.9,107.8,1964,,,,,,,,,
2,Lg Rank,,,7,3,7.0,7,8,6.0,,,5,7,7,8,1964,,,,,,,,,
3,Year/Year,,,-5.3%,-3.0%,-0.01,-5.7%,-5.9%,0.001,,,-3.2%,-5.7%,2.5%,-5.4%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9238,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,115.5,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,7,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-1.8%,1964,,,,,,,,,
0,Team,80.0,19325.0,3467,8297,0.418,1747,2537,0.689,,,5394,1609,2058,8681,1965,,,,,,,,,
1,Team/G,,241.6,43.3,103.7,0.418,21.8,31.7,0.689,,,67.4,20.1,25.7,108.5,1965,,,,,,,,,
2,Lg Rank,,5.0,3,2,7.0,9,9,8.0,,,3,7,4,7,1965,,,,,,,,,
3,Year/Year,,,3.6%,4.5%,-0.003,-9.4%,-5.5%,-0.029,,,4.8%,-1.5%,-7.9%,0.7%,1965,,,,,,,,,
4,Opponent,80.0,19325.0,,,,,,,,,,,,8954,1965,,,,,,,,,
5,Opponent/G,,241.6,,,,,,,,,,,,111.9,1965,,,,,,,,,
6,Lg Rank,,5.0,,,,,,,,,,,,6,1965,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-3.1%,1965,,,,,,,,,
0,Team,80.0,19200,3475,8502,0.409,1877,2734,0.687,,,5427,1569,2016,8827,1966,,,,,,,,,
1,Team/G,,240.0,43.4,106.3,0.409,23.5,34.2,0.687,,,67.8,19.6,25.2,110.3,1966,,,,,,,,,
2,Lg Rank,,8,8,2,9.0,9,9,8.0,,,6,9,2,9,1966,,,,,,,,,
3,Year/Year,,-0.6%,0.2%,2.5%,-0.009,7.4%,7.8%,-0.002,,,0.6%,-2.5%,-2.0%,1.7%,1966,,,,,,,,,
4,Opponent,80.0,19200,,,,,,,,,,,,9373,1966,,,,,,,,,
5,Opponent/G,,240.0,,,,,,,,,,,,117.2,1966,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,6,1966,,,,,,,,,
7,Year/Year,,-0.6%,,,,,,,,,,,,4.7%,1966,,,,,,,,,
0,Team,81.0,19590,3523,8542,0.412,1969,2725,0.723,,,5511,1465,2198,9015,1967,,,,,,,,,
1,Team/G,,241.9,43.5,105.5,0.412,24.3,33.6,0.723,,,68.0,18.1,27.1,111.3,1967,,,,,,,,,
2,Lg Rank,,2,10,3,10.0,10,10,7.0,,,4,10,9,10,1967,,,,,,,,,
3,Year/Year,,0.8%,0.1%,-0.8%,0.004,3.6%,-1.6%,0.036,,,0.3%,-7.8%,7.7%,0.9%,1967,,,,,,,,,
4,Opponent,81.0,19590,,,,,,,,,,,,9463,1967,,,,,,,,,
5,Opponent/G,,241.9,,,,,,,,,,,,116.8,1967,,,,,,,,,
6,Lg Rank,,2,,,,,,,,,,,,4,1967,,,,,,,,,
7,Year/Year,,0.8%,,,,,,,,,,,,-0.3%,1967,,,,,,,,,
0,Team,82.0,19780,3755,8386,0.448,2215,3129,0.708,,,5452,1700,2240,9725,1968,,,,,,,,,
1,Team/G,,241.2,45.8,102.3,0.448,27.0,38.2,0.708,,,66.5,20.7,27.3,118.6,1968,,,,,,,,,
2,Lg Rank,,7,4,6,6.0,5,4,11.0,,,4,10,9,4,1968,,,,,,,,,
3,Year/Year,,-0.3%,5.3%,-3.0%,0.035,11.1%,13.4%,-0.015,,,-2.3%,14.6%,0.7%,6.6%,1968,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9889,1968,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,120.6,1968,,,,,,,,,
6,Lg Rank,,7,,,,,,,,,,,,10,1968,,,,,,,,,
7,Year/Year,,-0.3%,,,,,,,,,,,,3.2%,1968,,,,,,,,,
0,Team,82.0,19755,3609,7997,0.451,2141,3025,0.708,,,4471,1757,2105,9359,1969,,,,,,,,,
1,Team/G,,240.9,44.0,97.5,0.451,26.1,36.9,0.708,,,54.5,21.4,25.7,114.1,1969,,,,,,,,,
2,Lg Rank,,9,4,10,6.0,3,4,9.0,,,13,12,9,5,1969,,,,,,,,,
3,Year/Year,,-0.1%,-3.9%,-4.6%,0.004,-3.3%,-3.3%,-0.0,,,-18.0%,3.4%,-6.0%,-3.8%,1969,,,,,,,,,
4,Opponent,82.0,19755,,,,,,,,,,,,9618,1969,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,117.3,1969,,,,,,,,,
6,Lg Rank,,9,,,,,,,,,,,,13,1969,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,-2.7%,1969,,,,,,,,,
0,Team,82.0,19855,3565,7657,0.466,2116,2881,0.734,,,3831,1709,1930,9246,1970,,,,,,,,,
1,Team/G,,242.1,43.5,93.4,0.466,25.8,35.1,0.734,,,46.7,20.8,23.5,112.8,1970,,,,,,,,,
2,Lg Rank,,4,13,14,6.0,6,3,10.0,,,14,14,4,13,1970,,,,,,,,,
3,Year/Year,,0.5%,-1.2%,-4.3%,0.014,-1.2%,-4.8%,0.027,,,-14.3%,-2.7%,-8.3%,-1.2%,1970,,,,,,,,,
4,Opponent,82.0,19855,,,,,,,,,,,,9518,1970,,,,,,,,,
5,Opponent/G,,242.1,,,,,,,,,,,,116.1,1970,,,,,,,,,
6,Lg Rank,,4,,,,,,,,,,,,5,1970,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,-1.0%,1970,,,,,,,,,
0,Team,82.0,19855,3468,7730,0.449,2093,2808,0.745,,,3923,1696,1969,9029,1971,,,,,,,,,
1,Team/G,,242.1,42.3,94.3,0.449,25.5,34.2,0.745,,,47.8,20.7,24.0,110.1,1971,,,,,,,,,
2,Lg Rank,,1,13,15,9.0,7,5,10.0,,,17,17,9,13,1971,,,,,,,,,
3,Year/Year,,0.0%,-2.7%,1.0%,-0.017,-1.1%,-2.5%,0.011,,,2.4%,-0.8%,2.0%,-2.3%,1971,,,,,,,,,
4,Opponent,82.0,19855,3525,7713,0.457,2040,2703,0.755,,,4292,1912,2087,9090,1971,,,,,,,,,
5,Opponent/G,,242.1,43.0,94.1,0.457,24.9,33.0,0.755,,,52.3,23.3,25.5,110.9,1971,,,,,,,,,
6,Lg Rank,,1,8,4,13.0,11,9,16.0,,,7,4,5,5,1971,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,-4.5%,1971,,,,,,,,,
0,Team,82.0,19805,3482,7665,0.454,1981,2653,0.747,,,3970,1687,1954,8945,1972,,,,,,,,,
1,Team/G,,241.5,42.5,93.5,0.454,24.2,32.4,0.747,,,48.4,20.6,23.8,109.1,1972,,,,,,,,,
2,Lg Rank,,2,10,12,8.0,7,7,10.0,,,15,17,9,10,1972,,,,,,,,,
3,Year/Year,,-0.3%,0.4%,-0.8%,0.006,-5.4%,-5.5%,0.001,,,1.2%,-0.5%,-0.8%,-0.9%,1972,,,,,,,,,
4,Opponent,82.0,19805,3822,8106,0.472,1862,2474,0.753,,,4377,2214,1931,9506,1972,,,,,,,,,
5,Opponent/G,,241.5,46.6,98.9,0.472,22.7,30.2,0.753,,,53.4,27.0,23.5,115.9,1972,,,,,,,,,
6,Lg Rank,,2,16,16,15.0,6,6,12.0,,,14,15,10,16,1972,,,,,,,,,
7,Year/Year,,-0.3%,8.4%,5.1%,0.014,-8.7%,-8.5%,-0.002,,,2.0%,15.8%,-7.5%,4.6%,1972,,,,,,,,,
0,Team,82.0,19780,3666,7916,0.463,1710,2294,0.745,,,4105,1882,1812,9042,1973,,,,,,,,,
1,Team/G,,241.2,44.7,96.5,0.463,20.9,28.0,0.745,,,50.1,23.0,22.1,110.3,1973,,,,,,,,,
