,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Wilt Chamberlain,23,72,,46.4,14.8,32.1,0.461,,,,14.8,32.1,0.461,0.461,8.0,13.8,0.582,,,27.0,2.3,,,,2.1,37.6,1960
1,1,2,Tom Gola,27,75,,38.3,5.7,13.1,0.433,,,,5.7,13.1,0.433,0.433,3.6,4.5,0.794,,,10.4,5.5,,,,4.1,15.0,1960
2,2,3,Guy Rodgers,24,68,,36.5,5.0,12.8,0.389,,,,5.0,12.8,0.389,0.389,1.6,2.7,0.613,,,5.8,7.1,,,,2.9,11.6,1960
3,3,4,Paul Arizin,31,72,,36.4,8.2,19.4,0.424,,,,8.2,19.4,0.424,0.424,5.8,7.3,0.798,,,8.6,2.3,,,,3.7,22.3,1960
4,4,5,Woody Sauldsberry,25,71,,26.0,4.6,13.7,0.334,,,,4.6,13.7,0.334,0.334,0.8,1.5,0.534,,,6.3,1.6,,,,2.9,9.9,1960
5,5,6,Andy Johnson,27,75,,18.9,3.3,8.6,0.378,,,,3.3,8.6,0.378,0.378,1.7,2.8,0.601,,,3.8,2.0,,,,2.6,8.2,1960
6,6,7,Joe Graboski,30,73,,17.4,3.0,8.0,0.372,,,,3.0,8.0,0.372,0.372,1.8,2.4,0.753,,,4.9,1.5,,,,2.0,7.7,1960
7,7,8,Vern Hatton,24,67,,15.7,1.9,5.3,0.357,,,,1.9,5.3,0.357,0.357,0.8,1.3,0.609,,,2.4,1.2,,,,0.9,4.6,1960
8,8,9,Ernie Beck,28,66,,12.3,1.7,4.5,0.388,,,,1.7,4.5,0.388,0.388,0.4,0.5,0.844,,,1.9,1.1,,,,1.4,3.9,1960
9,9,10,Joe Ruklick,21,39,,9.8,2.2,5.5,0.397,,,,2.2,5.5,0.397,0.397,0.7,0.9,0.722,,,3.5,0.6,,,,1.8,5.0,1960
10,10,11,Guy Sparrow,27,11,,7.3,1.3,4.1,0.311,,,,1.3,4.1,0.311,0.311,0.2,0.7,0.25,,,2.1,0.5,,,,1.8,2.7,1960
11,0,1,Wilt Chamberlain,24,79,,47.8,15.8,31.1,0.509,,,,15.8,31.1,0.509,0.509,6.7,13.3,0.504,,,27.2,1.9,,,,1.6,38.4,1961
12,1,2,Paul Arizin,32,79,,37.2,8.2,19.4,0.425,,,,8.2,19.4,0.425,0.425,6.7,8.1,0.833,,,8.6,2.4,,,,4.2,23.2,1961
13,2,3,Guy Rodgers,25,78,,37.2,5.1,13.2,0.386,,,,5.1,13.2,0.386,0.386,2.6,3.8,0.687,,,6.5,8.7,,,,3.4,12.8,1961
14,3,4,Tom Gola,28,74,,36.6,5.7,12.7,0.447,,,,5.7,12.7,0.447,0.447,2.8,3.8,0.747,,,9.4,3.9,,,,4.3,14.2,1961
15,4,5,Andy Johnson,28,79,,25.3,3.8,10.6,0.359,,,,3.8,10.6,0.359,0.359,2.0,3.5,0.571,,,4.4,2.6,,,,3.2,9.6,1961
16,5,6,Al Attles,24,77,,20.1,2.9,7.1,0.409,,,,2.9,7.1,0.409,0.409,1.3,2.1,0.599,,,2.8,2.3,,,,3.1,7.0,1961
