Player,Salary,Year
Donyell Marshall,"$5,250,000 ",2000
Erick Dampier,"$4,988,000 ",2000
Mookie Blaylock,"$4,200,000 ",2000
Chris Mills,"$4,200,000 ",2000
Jason Caffey,"$3,937,500 ",2000
Terry Cummings,"$2,600,000 ",2000
Antawn Jamison,"$2,503,800 ",2000
Billy Owens,"$2,090,000 ",2000
Adonal Foyle,"$1,922,520 ",2000
Larry Hughes,"$1,722,240 ",2000
Vonteego Cummings,"$704,400 ",2000
Tony Farmer,"$510,000 ",2000
Tim Legler,"$510,000 ",2000
Sam Mack,"$315,000 ",2000
Tim Young,"$301,875 ",2000
Bill Curley,"$117,867 ",2000
Damon Jones,"$70,206 ",2000
Drew Barry,"$62,765 ",2000
Chris Carr,"$60,000 ",2000
Jamel Thomas,"$31,963 ",2000
Sam Jacobson,"$22,647 ",2000
John Morton,"$6,735 ",2000
Mark Davis,"$6,000 ",2000
Erick Dampier,"$5,610,000 ",2001
Mookie Blaylock,"$4,800,000 ",2001
Chris Mills,"$4,800,000 ",2001
Bob Sura,"$4,390,000 ",2001
Danny Fortson,"$3,950,000 ",2001
Adonal Foyle,"$3,580,000 ",2001
Adam Keefe,"$3,390,000 ",2001
Antawn Jamison,"$2,678,400 ",2001
Terry Cummings,"$2,200,000 ",2001
Vinny Del Negro,"$2,100,000 ",2001
Larry Hughes,"$1,842,480 ",2001
Chris Mullin,"$1,000,000 ",2001
Vonteego Cummings,"$757,200 ",2001
Bill Curley,"$611,000 ",2001
Marc Jackson,"$316,969 ",2001
Chris Porter,"$316,969 ",2001
Randy Livingston,"$20,000 ",2001
Erick Dampier,"$6,235,000 ",2002
Mookie Blaylock,"$5,400,000 ",2002
Chris Mills,"$5,400,000 ",2002
Bob Sura,"$5,213,333 ",2002
Danny Fortson,"$4,649,534 ",2002
Adonal Foyle,"$4,400,000 ",2002
Antawn Jamison,"$3,388,176 ",2002
Marc Jackson,"$3,250,000 ",2002
Cedric Henderson,"$3,000,000 ",2002
Jason Richardson,"$2,425,440 ",2002
Larry Hughes,"$2,343,635 ",2002
Troy Murphy,"$1,310,400 ",2002
Gilbert Arenas,"$332,817 ",2002
Dean Oliver,"$332,817 ",2002
Antawn Jamison,"$10,067,750 ",2003
Erick Dampier,"$6,858,500 ",2003
Chris Mills,"$6,000,000 ",2003
Bob Sura,"$5,639,999 ",2003
Danny Fortson,"$5,039,068 ",2003
Adonal Foyle,"$4,400,000 ",2003
Mike Dunleavy,"$3,100,080 ",2003
Jason Richardson,"$2,607,360 ",2003
Troy Murphy,"$1,408,680 ",2003
Jiri Welsch,"$1,234,080 ",2003
Earl Boykins,"$528,605 ",2003
Gilbert Arenas,"$512,435 ",2003
Oscar Torres,"$168,729 ",2003
Dean Oliver,"$118,735 ",2003
Guy Rucker,"$34,946 ",2003
A.J. Guyton,"$18,748 ",2003
Nick Van Exel,"$11,956,625 ",2004
Erick Dampier,"$7,842,000 ",2004
Avery Johnson,"$5,445,600 ",2004
Clifford Robinson,"$4,700,000 ",2004
Adonal Foyle,"$4,400,000 ",2004
Mike Dunleavy,"$3,332,520 ",2004
Evan Eschmeyer,"$3,017,266 ",2004
Speedy Claxton,"$3,000,000 ",2004
Jason Richardson,"$2,789,280 ",2004
Mickael Pietrus,"$1,527,946 ",2004
Troy Murphy,"$1,506,960 ",2004
