,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3549,8678,0.409,1797,2686,0.669,,,5916,1796,1715,8895,1960,,,,,,,,,
1,Team/G,,,47.3,115.7,0.409,24.0,35.8,0.669,,,78.9,23.9,22.9,118.6,1960,,,,,,,,,
2,Lg Rank,,,2,2,6.0,8,4,8.0,,,2,3,1,3,1960,,,,,,,,,
3,Year/Year,,,20.6%,12.2%,0.028,-3.2%,6.3%,-0.066,,,15.7%,25.4%,-7.3%,14.9%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8698,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,116.0,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,4,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,9.1%,1960,,,,,,,,,
0,Team,79.0,,3768,8883,0.424,2022,3108,0.651,,,5938,1959,1936,9558,1961,,,,,,,,,
1,Team/G,,,47.7,112.4,0.424,25.6,39.3,0.651,,,75.2,24.8,24.5,121.0,1961,,,,,,,,,
2,Lg Rank,,,1,2,2.0,8,2,8.0,,,3,3,1,2,1961,,,,,,,,,
3,Year/Year,,,0.8%,-2.8%,0.015,6.8%,9.9%,-0.018,,,-4.7%,3.6%,7.2%,2.0%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9484,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,120.1,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,5,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,3.5%,1961,,,,,,,,,
0,Team,80.0,,3917,8929,0.439,2201,3207,0.686,,,5939,2073,2013,10035,1962,,,,,,,,,
1,Team/G,,,49.0,111.6,0.439,27.5,40.1,0.686,,,74.2,25.9,25.2,125.4,1962,,,,,,,,,
2,Lg Rank,,,1,2,2.0,6,2,8.0,,,2,2,3,1,1962,,,,,,,,,
3,Year/Year,,,2.7%,-0.7%,0.015,7.5%,1.9%,0.036,,,-1.2%,4.5%,2.7%,3.7%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9813,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,122.7,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,9,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,2.2%,1962,,,,,,,,,
0,Team,80.0,,3805,8449,0.45,1870,2797,0.669,,,5359,1906,1882,9480,1963,,,,,,,,,
1,Team/G,,,47.6,105.6,0.45,23.4,35.0,0.669,,,67.0,23.8,23.5,118.5,1963,,,,,,,,,
2,Lg Rank,,,1,2,3.0,9,7,9.0,,,4,3,2,4,1963,,,,,,,,,
3,Year/Year,,,-2.9%,-5.4%,0.012,-15.0%,-12.8%,-0.018,,,-9.8%,-8.1%,-6.5%,-5.5%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9647,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,120.6,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,9,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-1.7%,1963,,,,,,,,,
0,Team,80.0,,3407,7779,0.438,1800,2821,0.638,,,5499,1899,1978,8614,1964,,,,,,,,,
1,Team/G,,,42.6,97.2,0.438,22.5,35.3,0.638,,,68.7,23.7,24.7,107.7,1964,,,,,,,,,
2,Lg Rank,,,5,6,5.0,9,6,9.0,,,2,3,1,9,1964,,,,,,,,,
3,Year/Year,,,-10.5%,-7.9%,-0.012,-3.7%,0.9%,-0.031,,,2.6%,-0.4%,5.1%,-9.1%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8205,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,102.6,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,1,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-14.9%,1964,,,,,,,,,
0,Team,80.0,19350.0,3323,8245,0.403,1819,2844,0.64,,,5715,1653,2002,8465,1965,,,,,,,,,
1,Team/G,,241.9,41.5,103.1,0.403,22.7,35.6,0.64,,,71.4,20.7,25.0,105.8,1965,,,,,,,,,
2,Lg Rank,,3.0,8,3,9.0,8,6,9.0,,,2,6,3,9,1965,,,,,,,,,
3,Year/Year,,,-2.5%,6.0%,-0.035,1.1%,0.8%,0.002,,,3.9%,-13.0%,1.2%,-1.7%,1965,,,,,,,,,
4,Opponent,80.0,19350.0,,,,,,,,,,,,8960,1965,,,,,,,,,
5,Opponent/G,,241.9,,,,,,,,,,,,112.0,1965,,,,,,,,,
6,Lg Rank,,3.0,,,,,,,,,,,,7,1965,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,9.2%,1965,,,,,,,,,
0,Team,80.0,19225,3557,8512,0.418,2129,2879,0.739,,,5727,1872,2069,9243,1966,,,,,,,,,
1,Team/G,,240.3,44.5,106.4,0.418,26.6,36.0,0.739,,,71.6,23.4,25.9,115.5,1966,,,,,,,,,
2,Lg Rank,,6,6,1,7.0,6,6,4.0,,,1,5,5,6,1966,,,,,,,,,
3,Year/Year,,-0.6%,7.0%,3.2%,0.015,17.0%,1.2%,0.1,,,0.2%,13.2%,3.3%,9.2%,1966,,,,,,,,,
