,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Don Kojis,29,69,,36.9,7.7,17.2,0.446,,,,7.7,17.2,0.446,0.446,4.3,6.0,0.726,,,10.3,2.6,,,,3.8,19.7,1968
1,1,2,John Block,23,52,,34.7,7.0,16.6,0.423,,,,7.0,16.6,0.423,0.423,6.1,7.6,0.802,,,11.0,1.4,,,,3.6,20.2,1968
2,2,3,Toby Kimball,25,81,,31.1,4.4,11.0,0.396,,,,4.4,11.0,0.396,0.396,2.2,3.8,0.592,,,11.7,1.8,,,,3.4,11.0,1968
3,3,4,Jon McGlocklin,24,65,,28.9,4.9,11.6,0.417,,,,4.9,11.6,0.417,0.417,2.4,2.8,0.867,,,3.1,2.7,,,,1.8,12.1,1968
4,4,5,Johnny Green,34,42,,25.5,5.7,12.5,0.458,,,,5.7,12.5,0.458,0.458,2.4,5.0,0.472,,,10.1,1.4,,,,2.7,13.9,1968
5,5,6,John Barnhill,29,75,,25.1,3.9,9.3,0.421,,,,3.9,9.3,0.421,0.421,2.1,3.1,0.658,,,2.3,3.5,,,,1.9,9.9,1968
6,6,7,Jim Barnett,23,47,,22.7,3.8,9.7,0.393,,,,3.8,9.7,0.393,0.393,1.8,2.5,0.712,,,3.3,2.9,,,,2.1,9.4,1968
7,7,8,Art Williams,28,79,,22.0,3.4,9.1,0.369,,,,3.4,9.1,0.369,0.369,1.4,2.1,0.685,,,3.6,4.9,,,,2.6,8.1,1968
8,8,9,Dave Gambee,30,80,,21.9,4.7,10.7,0.44,,,,4.7,10.7,0.44,0.44,4.0,4.7,0.847,,,5.8,1.2,,,,3.2,13.4,1968
9,9,10,Hank Finkel,25,53,,21.1,4.6,9.3,0.492,,,,4.6,9.3,0.492,0.492,2.5,3.6,0.686,,,7.1,1.4,,,,3.3,11.6,1968
10,10,11,Pat Riley,22,80,,15.8,3.1,8.3,0.379,,,,3.1,8.3,0.379,0.379,1.6,2.5,0.634,,,2.2,1.7,,,,2.6,7.9,1968
11,11,12,Nick Jones,22,42,,14.4,2.0,5.5,0.371,,,,2.0,5.5,0.371,0.371,1.3,1.6,0.797,,,1.6,2.1,,,,2.0,5.4,1968
12,12,13,Bud Acton,26,23,,8.5,1.3,3.2,0.392,,,,1.3,3.2,0.392,0.392,0.8,1.3,0.655,,,2.0,0.5,,,,1.5,3.3,1968
13,13,14,Tyrone Britt,23,11,,7.6,1.2,3.1,0.382,,,,1.2,3.1,0.382,0.382,0.2,0.3,0.667,,,1.4,1.1,,,,0.9,2.5,1968
14,14,15,Jim Ware,23,30,,7.6,0.8,3.2,0.258,,,,0.8,3.2,0.258,0.258,0.8,1.1,0.676,,,2.6,0.2,,,,0.9,2.4,1968
15,0,1,Elvin Hayes,23,82,,45.1,11.3,25.4,0.447,,,,11.3,25.4,0.447,0.447,5.7,9.1,0.626,,,17.1,1.4,,,,3.2,28.4,1969
16,1,2,Don Kojis,30,81,,38.6,8.5,19.5,0.434,,,,8.5,19.5,0.434,0.434,5.5,7.4,0.748,,,9.6,2.6,,,,3.7,22.5,1969
17,2,3,John Block,24,78,,31.9,5.7,13.6,0.422,,,,5.7,13.6,0.422,0.422,3.8,5.1,0.748,,,9.0,1.8,,,,3.2,15.3,1969
18,3,4,Jim Barnett,24,80,,29.3,5.8,13.7,0.425,,,,5.8,13.7,0.425,0.425,2.9,3.9,0.752,,,4.5,4.2,,,,3.0,14.5,1969
19,4,5,Art Williams,29,79,,25.2,2.9,7.5,0.383,,,,2.9,7.5,0.383,0.383,1.3,1.9,0.705,,,4.6,6.6,,,,3.0,7.1,1969
20,5,6,Toby Kimball,26,76,,22.1,3.1,7.1,0.445,,,,3.1,7.1,0.445,0.445,1.5,3.3,0.468,,,8.8,1.2,,,,2.8,7.8,1969
21,6,7,Stu Lantz,22,73,,18.9,3.0,6.6,0.456,,,,3.0,6.6,0.456,0.456,1.8,2.3,0.772,,,3.2,1.4,,,,2.4,7.8,1969
22,7,8,Rick Adelman,22,77,,18.8,2.3,5.8,0.394,,,,2.3,5.8,0.394,0.394,1.7,2.6,0.642,,,2.8,3.1,,,,2.1,6.3,1969
23,8,9,Pat Riley,23,56,,18.3,3.6,8.9,0.406,,,,3.6,8.9,0.406,0.406,1.6,2.4,0.672,,,2.0,2.4,,,,2.6,8.8,1969
24,9,10,Hank Finkel,26,35,,9.5,1.4,3.2,0.441,,,,1.4,3.2,0.441,0.441,0.9,1.2,0.756,,,3.1,0.6,,,,1.5,3.7,1969
25,10,11,Harry Barnes,23,22,,5.7,0.8,2.9,0.281,,,,0.8,2.9,0.281,0.281,0.3,0.6,0.538,,,1.2,0.2,,,,1.1,2.0,1969
26,11,12,John Trapp,23,25,,5.7,1.2,3.2,0.363,,,,1.2,3.2,0.363,0.363,0.8,1.2,0.655,,,2.0,0.2,,,,1.5,3.1,1969
27,0,1,Elvin Hayes,24,82,,44.7,11.1,24.6,0.452,,,,11.1,24.6,0.452,0.452,5.2,7.6,0.688,,,16.9,2.0,,,,3.3,27.5,1970
28,1,2,Stu Lantz,23,82,,30.1,5.5,12.5,0.443,,,,5.5,12.5,0.443,0.443,3.4,4.4,0.77,,,3.1,3.5,,,,2.9,14.5,1970
