Player,Salary,Year
Hakeem Olajuwon,"$14,302,001 ",2000
Charles Barkley,"$9,000,000 ",2000
Walt Williams,"$3,750,000 ",2000
Stacey Augmon,"$3,450,000 ",2000
Steve Francis,"$3,020,520 ",2000
Don MacLean,"$2,800,000 ",2000
Carlos Rogers,"$2,100,000 ",2000
Matt Maloney,"$2,081,250 ",2000
Shandon Anderson,"$2,000,000 ",2000
Matt Bullard,"$1,333,333 ",2000
Kelvin Cato,"$1,299,000 ",2000
Tony Massenburg,"$1,150,000 ",2000
Bryce Drew,"$1,105,560 ",2000
Brian Shaw,"$1,100,000 ",2000
Eddie Johnson,"$1,000,000 ",2000
Ed Gray,"$941,040 ",2000
Kenny Thomas,"$823,440 ",2000
Thomas Hamilton,"$510,000 ",2000
Cuttino Mobley,"$385,000 ",2000
Devin Gray,"$88,223 ",2000
Anthony Miller,"$30,000 ",2000
Hakeem Olajuwon,"$16,700,000 ",2001
Kelvin Cato,"$5,330,000 ",2001
Walt Williams,"$4,250,000 ",2001
Cuttino Mobley,"$3,920,000 ",2001
Steve Francis,"$3,246,960 ",2001
Don MacLean,"$2,380,000 ",2001
Maurice Taylor,"$2,250,000 ",2001
Shandon Anderson,"$2,200,000 ",2001
Carlos Rogers,"$2,200,000 ",2001
Matt Bullard,"$2,100,000 ",2001
Matt Maloney,"$1,790,000 ",2001
Jason Collier,"$1,190,760 ",2001
Kenny Thomas,"$885,120 ",2001
Moochie Norris,"$523,500 ",2001
Dan Langhi,"$316,969 ",2001
Glen Rice,"$8,800,000 ",2002
Maurice Taylor,"$6,500,000 ",2002
Kelvin Cato,"$6,048,000 ",2002
Walt Williams,"$5,000,000 ",2002
Cuttino Mobley,"$4,413,375 ",2002
Moochie Norris,"$3,600,000 ",2002
Steve Francis,"$3,473,520 ",2002
Kevin Willis,"$3,000,000 ",2002
Matt Maloney,"$2,543,750 ",2002
Eddie Griffin,"$2,011,080 ",2002
Jason Collier,"$1,280,040 ",2002
Kenny Thomas,"$946,920 ",2002
Dan Langhi,"$465,850 ",2002
Terence Morris,"$420,000 ",2002
Tierre Brown,"$332,817 ",2002
Oscar Torres,"$332,817 ",2002
Glen Rice,"$9,200,000 ",2003
Maurice Taylor,"$7,150,000 ",2003
Kelvin Cato,"$6,696,000 ",2003
Cuttino Mobley,"$4,903,750 ",2003
Steve Francis,"$4,383,581 ",2003
Yao Ming,"$3,858,240 ",2003
Moochie Norris,"$3,150,000 ",2003
Matt Maloney,"$2,775,000 ",2003
Eddie Griffin,"$2,161,920 ",2003
James Posey,"$1,723,606 ",2003
Jason Collier,"$1,369,440 ",2003
Bostjan Nachbar,"$1,224,000 ",2003
Juaquin Hawkins,"$587,435 ",2003
Terence Morris,"$512,435 ",2003
Tito Maddox,"$349,458 ",2003
Pete Mickeal,"$136,374 ",2003
Steve Francis,"$10,960,000 ",2004
Maurice Taylor,"$7,800,000 ",2004
Kelvin Cato,"$7,344,000 ",2004
Clarence Weatherspoon,"$5,445,600 ",2004
Cuttino Mobley,"$5,394,125 ",2004
Yao Ming,"$4,147,560 ",2004
Matt Maloney,"$3,006,260 ",2004
Eric Piatkowski,"$2,500,000 ",2004
Eddie Griffin,"$2,312,760 ",2004
Jim Jackson,"$2,200,000 ",2004
Bostjan Nachbar,"$1,396,440 ",2004
Adrian Griffin,"$751,179 ",2004
Scott Padgett,"$688,679 ",2004
Mike Wilks,"$638,679 ",2004
Alton Ford,"$586,082 ",2004
Ben Davis,"$176,369 ",2004
Torraye Braggs,"$53,697 ",2004
Tracy McGrady,"$14,487,000 ",2005
Maurice Taylor,"$8,450,000 ",2005
Clarence Weatherspoon,"$5,899,400 ",2005
Juwan Howard,"$5,408,700 ",2005
Dikembe Mutombo,"$4,496,434 ",2005
Yao Ming,"$4,436,880 ",2005
Matt Maloney,"$3,237,500 ",2005
Bob Sura,"$3,200,000 ",2005
Jim Jackson,"$2,420,000 ",2005
Charlie Ward,"$1,700,000 ",2005
Tyronn Lue,"$1,600,000 ",2005
Bostjan Nachbar,"$1,493,880 ",2005
Reece Gaines,"$1,454,640 ",2005
Scott Padgett,"$807,546 ",2005
Ryan Bowen,"$807,046 ",2005
Andre Barrett,"$385,277 ",2005
Tracy McGrady,"$15,694,250 ",2006
Clarence Weatherspoon,"$6,353,200 ",2006
Juwan Howard,"$5,900,400 ",2006
Yao Ming,"$5,594,906 ",2006
David Wesley,"$5,070,000 ",2006
Stromile Swift,"$5,000,000 ",2006
Moochie Norris,"$4,200,000 ",2006
Rafer Alston,"$3,850,000 ",2006
Vin Baker,"$3,850,000 ",2006
Bob Sura,"$3,520,000 ",2006
Dikembe Mutombo,"$2,000,000 ",2006
Charlie Ward,"$1,870,000 ",2006
Jon Barry,"$1,800,000 ",2006
Derek Anderson,"$1,670,000 ",2006
Luther Head,"$975,600 ",2006
Ryan Bowen,"$900,498 ",2006
Lonny Baxter,"$745,248 ",2006
Dion Glover,"$163,085 ",2006
Stephen Graham,"$48,630 ",2006
John Lucas,"$34,041 ",2006
Josh Davis,"$17,546 ",2006
Tracy McGrady,"$16,901,500 ",2007
Yao Ming,"$12,455,000 ",2007
Juwan Howard,"$6,392,100 ",2007
Shane Battier,"$5,393,300 ",2007
Rafer Alston,"$4,200,000 ",2007
Bob Sura,"$3,840,000 ",2007
Jake Tsakalidis,"$2,900,000 ",2007
Dikembe Mutombo,"$2,210,000 ",2007
Bonzi Wells,"$2,115,000 ",2007
Vassilis Spanoulis,"$1,800,000 ",2007
Kirk Snyder,"$1,537,440 ",2007
Luther Head,"$1,048,800 ",2007
Ryan Bowen,"$998,967 ",2007
John Lucas,"$700,000 ",2007
Chuck Hayes,"$664,209 ",2007
Steve Novak,"$600,000 ",2007
Kelenna Azubuike,"$50,000 ",2007
Casey Jacobsen,"$31,250 ",2007
Tracy McGrady,"$19,014,187 ",2008
Yao Ming,"$13,762,775 ",2008
Shane Battier,"$5,883,600 ",2008
Bobby Jackson,"$5,670,000 ",2008
Rafer Alston,"$4,550,000 ",2008
Bob Sura,"$3,840,000 ",2008
Luis Scola,"$2,910,000 ",2008
Steve Francis,"$2,430,000 ",2008
Jackie Butler,"$2,350,000 ",2008
Chuck Hayes,"$1,750,000 ",2008
Gerald Green,"$1,440,960 ",2008
Justin Reed,"$1,436,500 ",2008
Dikembe Mutombo,"$1,219,590 ",2008
Luther Head,"$1,122,000 ",2008
Aaron Brooks,"$972,720 ",2008
Steve Novak,"$687,456 ",2008
Adam Haluska,"$427,163 ",2008
Carl Landry,"$427,163 ",2008
Tracy McGrady,"$20,370,437 ",2009
Yao Ming,"$15,070,550 ",2009
Metta World Peace,"$7,400,000 ",2009
Shane Battier,"$6,448,900 ",2009
Brian Cook,"$3,500,000 ",2009
Luis Scola,"$3,100,667 ",2009
Carl Landry,"$3,000,000 ",2009
Jackie Butler,"$2,552,000 ",2009
Luther Head,"$1,962,378 ",2009
Brent Barry,"$1,910,000 ",2009
Chuck Hayes,"$1,768,000 ",2009
Justin Reed,"$1,573,000 ",2009
Kyle Lowry,"$1,163,520 ",2009
Aaron Brooks,"$1,045,560 ",2009
Von Wafer,"$826,269 ",2009
Joey Dorsey,"$816,500 ",2009
Dikembe Mutombo,"$794,491 ",2009
Yao Ming,"$16,378,325 ",2010
Kevin Martin,"$10,180,170 ",2010
Shane Battier,"$6,864,200 ",2010
Jared Jeffries,"$6,466,600 ",2010
Trevor Ariza,"$5,854,000 ",2010
Brian Cook,"$3,500,000 ",2010
Luis Scola,"$3,375,600 ",2010
Hilton Armstrong,"$2,801,198 ",2010
Jordan Hill,"$2,483,280 ",2010
David Andersen,"$2,300,000 ",2010
Chuck Hayes,"$2,111,750 ",2010
Brent Barry,"$2,062,800 ",2010
Kyle Lowry,"$2,034,997 ",2010
Aaron Brooks,"$1,118,520 ",2010
Jermaine Taylor,"$725,000 ",2010
Chase Budinger,"$457,588 ",2010
Pops Mensah-Bonsu,"$87,406 ",2010
Mike Harris,"$64,978 ",2010
Will Conroy,"$48,559 ",2010
Yao Ming,"$17,686,100 ",2011
Kevin Martin,"$11,100,005 ",2011
Luis Scola,"$7,775,378 ",2011
Jared Jeffries,"$6,883,800 ",2011
Kyle Lowry,"$5,750,000 ",2011
Hasheem Thabeet,"$4,793,280 ",2011
Brad Miller,"$4,400,000 ",2011
Jordan Hill,"$2,669,520 ",2011
Terrence Williams,"$2,214,480 ",2011
Chuck Hayes,"$1,972,500 ",2011
Goran Dragic,"$1,972,000 ",2011
Patrick Patterson,"$1,823,280 ",2011
Courtney Lee,"$1,409,040 ",2011
