,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Don Kojis,29.0,69,,2548,530,1189,0.446,,,,530,1189,0.446,0.446,300,413,0.726,,,710,176,,,,259,1360,1968
1,1,2.0,Toby Kimball,25.0,81,,2519,354,894,0.396,,,,354,894,0.396,0.396,181,306,0.592,,,947,147,,,,273,889,1968
2,2,3.0,John Barnhill,29.0,75,,1883,295,700,0.421,,,,295,700,0.421,0.421,154,234,0.658,,,173,259,,,,143,744,1968
3,3,4.0,Jon McGlocklin,24.0,65,,1876,316,757,0.417,,,,316,757,0.417,0.417,156,180,0.867,,,199,178,,,,117,788,1968
4,4,5.0,John Block,23.0,52,,1805,366,865,0.423,,,,366,865,0.423,0.423,316,394,0.802,,,571,71,,,,189,1048,1968
5,5,6.0,Dave Gambee,30.0,80,,1755,375,853,0.44,,,,375,853,0.44,0.44,321,379,0.847,,,464,93,,,,253,1071,1968
6,6,7.0,Art Williams,28.0,79,,1739,265,718,0.369,,,,265,718,0.369,0.369,113,165,0.685,,,286,391,,,,204,643,1968
7,7,8.0,Pat Riley,22.0,80,,1263,250,660,0.379,,,,250,660,0.379,0.379,128,202,0.634,,,177,138,,,,205,628,1968
8,8,9.0,Hank Finkel,25.0,53,,1116,242,492,0.492,,,,242,492,0.492,0.492,131,191,0.686,,,375,72,,,,175,615,1968
9,9,10.0,Johnny Green,34.0,42,,1073,241,526,0.458,,,,241,526,0.458,0.458,100,212,0.472,,,423,59,,,,112,582,1968
10,10,11.0,Jim Barnett,23.0,47,,1068,179,456,0.393,,,,179,456,0.393,0.393,84,118,0.712,,,155,134,,,,101,442,1968
11,11,12.0,Nick Jones,22.0,42,,603,86,232,0.371,,,,86,232,0.371,0.371,55,69,0.797,,,67,89,,,,84,227,1968
12,12,13.0,Jim Ware,23.0,30,,228,25,97,0.258,,,,25,97,0.258,0.258,23,34,0.676,,,77,7,,,,28,73,1968
13,13,14.0,Bud Acton,26.0,23,,195,29,74,0.392,,,,29,74,0.392,0.392,19,29,0.655,,,47,11,,,,35,77,1968
14,14,15.0,Tyrone Britt,23.0,11,,84,13,34,0.382,,,,13,34,0.382,0.382,2,3,0.667,,,15,12,,,,10,28,1968
15,0,1.0,Elvin Hayes,23.0,82,,3695,930,2082,0.447,,,,930,2082,0.447,0.447,467,746,0.626,,,1406,113,,,,266,2327,1969
16,1,2.0,Don Kojis,30.0,81,,3130,687,1582,0.434,,,,687,1582,0.434,0.434,446,596,0.748,,,776,214,,,,303,1820,1969
17,2,3.0,John Block,24.0,78,,2489,448,1061,0.422,,,,448,1061,0.422,0.422,299,400,0.748,,,703,141,,,,249,1195,1969
18,3,4.0,Jim Barnett,24.0,80,,2346,465,1093,0.425,,,,465,1093,0.425,0.425,233,310,0.752,,,362,339,,,,240,1163,1969
19,4,5.0,Art Williams,29.0,79,,1987,227,592,0.383,,,,227,592,0.383,0.383,105,149,0.705,,,364,524,,,,238,559,1969
20,5,6.0,Toby Kimball,26.0,76,,1680,239,537,0.445,,,,239,537,0.445,0.445,117,250,0.468,,,669,90,,,,216,595,1969
21,6,7.0,Rick Adelman,22.0,77,,1448,177,449,0.394,,,,177,449,0.394,0.394,131,204,0.642,,,216,238,,,,158,485,1969
22,7,8.0,Stu Lantz,22.0,73,,1378,220,482,0.456,,,,220,482,0.456,0.456,129,167,0.772,,,236,99,,,,178,569,1969
23,8,9.0,Pat Riley,23.0,56,,1027,202,498,0.406,,,,202,498,0.406,0.406,90,134,0.672,,,112,136,,,,146,494,1969
24,9,10.0,Hank Finkel,26.0,35,,332,49,111,0.441,,,,49,111,0.441,0.441,31,41,0.756,,,107,21,,,,53,129,1969
25,10,11.0,John Trapp,23.0,25,,142,29,80,0.363,,,,29,80,0.363,0.363,19,29,0.655,,,49,5,,,,38,77,1969
26,11,12.0,Harry Barnes,23.0,22,,126,18,64,0.281,,,,18,64,0.281,0.281,7,13,0.538,,,26,5,,,,25,43,1969
27,0,1.0,Elvin Hayes,24.0,82,,3665,914,2020,0.452,,,,914,2020,0.452,0.452,428,622,0.688,,,1386,162,,,,270,2256,1970
28,1,2.0,Stu Lantz,23.0,82,,2471,455,1027,0.443,,,,455,1027,0.443,0.443,278,361,0.77,,,255,287,,,,238,1188,1970
29,2,3.0,John Block,25.0,82,,2152,453,1025,0.442,,,,453,1025,0.442,0.442,287,367,0.782,,,609,137,,,,275,1193,1970
30,3,4.0,Jim Barnett,25.0,80,,2105,450,998,0.451,,,,450,998,0.451,0.451,289,366,0.79,,,305,287,,,,222,1189,1970
31,4,5.0,Toby Kimball,27.0,77,,1622,218,508,0.429,,,,218,508,0.429,0.429,107,185,0.578,,,621,95,,,,187,543,1970
32,5,6.0,Don Kojis,31.0,56,,1578,338,756,0.447,,,,338,756,0.447,0.447,181,241,0.751,,,388,78,,,,135,857,1970
33,6,7.0,Art Williams,30.0,80,,1545,189,464,0.407,,,,189,464,0.407,0.407,88,118,0.746,,,292,503,,,,168,466,1970
34,7,8.0,Bernie Williams,24.0,72,,1228,251,641,0.392,,,,251,641,0.392,0.392,96,122,0.787,,,155,165,,,,124,598,1970
35,8,9.0,Bingo Smith,23.0,75,,1198,242,567,0.427,,,,242,567,0.427,0.427,66,96,0.688,,,328,75,,,,119,550,1970
36,9,10.0,John Trapp,24.0,70,,1025,185,434,0.426,,,,185,434,0.426,0.426,72,104,0.692,,,309,49,,,,200,442,1970
37,10,11.0,Rick Adelman,23.0,35,,717,96,247,0.389,,,,96,247,0.389,0.389,68,91,0.747,,,81,113,,,,90,260,1970
38,11,12.0,Pat Riley,24.0,36,,474,75,180,0.417,,,,75,180,0.417,0.417,40,55,0.727,,,57,85,,,,68,190,1970
39,0,1.0,Elvin Hayes,25.0,82,,3633,948,2215,0.428,,,,948,2215,0.428,0.428,454,676,0.672,,,1362,186,,,,225,2350,1971
40,1,2.0,Stu Lantz,24.0,82,,3102,585,1305,0.448,,,,585,1305,0.448,0.448,519,644,0.806,,,406,344,,,,230,1689,1971
41,2,3.0,Don Adams,23.0,82,,2374,391,957,0.409,,,,391,957,0.409,0.409,155,212,0.731,,,581,173,,,,344,937,1971
42,3,4.0,John Trapp,25.0,82,,2080,322,766,0.42,,,,322,766,0.42,0.42,142,188,0.755,,,510,138,,,,337,786,1971
43,4,5.0,Calvin Murphy,22.0,82,,2020,471,1029,0.458,,,,471,1029,0.458,0.458,356,434,0.82,,,245,329,,,,263,1298,1971
44,5,6.0,Larry Siegfried,31.0,53,,1673,146,378,0.386,,,,146,378,0.386,0.386,130,153,0.85,,,207,346,,,,146,422,1971
45,6,7.0,John Block,26.0,73,,1464,245,584,0.42,,,,245,584,0.42,0.42,212,270,0.785,,,442,98,,,,193,702,1971
46,7,8.0,Toby Kimball,28.0,80,,1100,111,287,0.387,,,,111,287,0.387,0.387,51,108,0.472,,,406,62,,,,128,273,1971
47,8,9.0,Rudy Tomjanovich,22.0,77,,1062,168,439,0.383,,,,168,439,0.383,0.383,73,112,0.652,,,381,73,,,,124,409,1971
48,9,10.0,Bernie Williams,25.0,56,,708,112,338,0.331,,,,112,338,0.331,0.331,68,81,0.84,,,85,113,,,,76,292,1971
49,10,11.0,Johnny Egan,32.0,36,,414,27,80,0.338,,,,27,80,0.338,0.338,17,23,0.739,,,31,54,,,,40,71,1971
50,11,12.0,Curtis Perry,22.0,18,,100,21,48,0.438,,,,21,48,0.438,0.438,11,20,0.55,,,30,5,,,,22,53,1971
51,0,1.0,Elvin Hayes,26.0,82,,3461,832,1918,0.434,,,,832,1918,0.434,0.434,399,615,0.649,,,1197,270,,,,233,2063,1972
52,1,2.0,Stu Lantz,25.0,81,,3097,557,1279,0.435,,,,557,1279,0.435,0.435,387,462,0.838,,,345,337,,,,211,1501,1972
53,2,3.0,Rudy Tomjanovich,23.0,78,,2689,500,1010,0.495,,,,500,1010,0.495,0.495,172,238,0.723,,,923,117,,,,193,1172,1972
54,3,4.0,Calvin Murphy,23.0,82,,2538,571,1255,0.455,,,,571,1255,0.455,0.455,349,392,0.89,,,258,393,,,,298,1491,1972
