,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19755.0,3566.0,8547.0,0.417,2083.0,2929.0,0.711,,,5418.0,1837.0,2188.0,9215.0,1968,,,,,,,,,
1,Team/G,,240.9,43.5,104.2,0.417,25.4,35.7,0.711,,,66.1,22.4,26.7,112.4,1968,,,,,,,,,
2,Lg Rank,,9.0,10.0,3.0,12.0,11.0,10.0,9.0,,,6.0,8.0,8.0,11.0,1968,,,,,,,,,
3,Year/Year,,,,,,,,,,,,,,,1968,,,,,,,,,
4,Opponent,82.0,19755.0,,,,,,,,,,,,9919.0,1968,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,121.0,1968,,,,,,,,,
6,Lg Rank,,9.0,,,,,,,,,,,,11.0,1968,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,,1968,,,,,,,,,
0,Team,82.0,19780,3691,8631,0.428,2074,3039,0.682,,,5026,1925,2110,9456,1969,,,,,,,,,
1,Team/G,,241.2,45.0,105.3,0.428,25.3,37.1,0.682,,,61.3,23.5,25.7,115.3,1969,,,,,,,,,
2,Lg Rank,,8,3,1,12.0,7,3,13.0,,,2,7,10,3,1969,,,,,,,,,
3,Year/Year,,0.1%,3.5%,1.0%,0.01,-0.4%,3.8%,-0.029,,,-7.2%,4.8%,-3.6%,2.6%,1969,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9472,1969,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,115.5,1969,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,10,1969,,,,,,,,,
7,Year/Year,,0.1%,,,,,,,,,,,,-4.5%,1969,,,,,,,,,
0,Team,82.0,19780,3866,8867,0.436,2000,2728,0.733,,,4786,2036,2096,9732,1970,,,,,,,,,
1,Team/G,,241.2,47.1,108.1,0.436,24.4,33.3,0.733,,,58.4,24.8,25.6,118.7,1970,,,,,,,,,
2,Lg Rank,,8,4,1,13.0,11,7,11.0,,,1,8,9,5,1970,,,,,,,,,
3,Year/Year,,0.0%,4.7%,2.7%,0.008,-3.6%,-10.2%,0.051,,,-4.8%,5.8%,-0.7%,2.9%,1970,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9986,1970,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,121.8,1970,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,14,1970,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,5.4%,1970,,,,,,,,,
0,Team,82.0,19730,3547,8426,0.421,2188,2921,0.749,,,4686,1921,2128,9282,1971,,,,,,,,,
1,Team/G,,240.6,43.3,102.8,0.421,26.7,35.6,0.749,,,57.1,23.4,26.0,113.2,1971,,,,,,,,,
2,Lg Rank,,14,11,3,17.0,3,4,8.0,,,2,12,13,10,1971,,,,,,,,,
3,Year/Year,,-0.3%,-8.3%,-5.0%,-0.015,9.4%,7.1%,0.016,,,-2.1%,-5.6%,1.5%,-4.6%,1971,,,,,,,,,
4,Opponent,82.0,19730,3639,8102,0.449,2024,2745,0.737,,,4345,2135,2141,9302,1971,,,,,,,,,
5,Opponent/G,,240.6,44.4,98.8,0.449,24.7,33.5,0.737,,,53.0,26.0,26.1,113.4,1971,,,,,,,,,
6,Lg Rank,,14,11,8,9.0,9,10,4.0,,,10,15,2,12,1971,,,,,,,,,
7,Year/Year,,-0.3%,,,,,,,,,,,,-6.8%,1971,,,,,,,,,
0,Team,82.0,19730,3590,8277,0.434,1813,2424,0.748,,,4433,1777,1992,8993,1972,,,,,,,,,
1,Team/G,,240.6,43.8,100.9,0.434,22.1,29.6,0.748,,,54.1,21.7,24.3,109.7,1972,,,,,,,,,
2,Lg Rank,,14,5,2,16.0,12,11,9.0,,,4,15,12,7,1972,,,,,,,,,
