,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Roger Brown,25,76,,39.1,7.2,16.9,0.423,0.2,0.7,0.259,7.0,16.2,0.43,0.428,5.1,6.8,0.754,,,8.5,4.3,,,3.5,3.9,19.6,1968
1,1,2,Freddie Lewis,24,76,,38.4,7.1,16.9,0.421,0.2,1.0,0.216,6.9,16.0,0.434,0.427,6.1,7.7,0.798,,,5.8,2.4,,,2.8,2.9,20.6,1968
2,2,3,Reggie Harding,25,25,,33.6,5.7,12.6,0.452,0.0,0.0,0.0,5.7,12.5,0.454,0.452,2.1,3.6,0.578,,,13.4,2.1,,,3.1,2.4,13.4,1968
3,3,4,Bob Netolicky,25,71,,33.6,6.6,13.1,0.504,0.0,0.0,0.0,6.6,13.1,0.505,0.504,3.1,5.2,0.596,4.4,7.1,11.5,1.0,,,2.0,2.3,16.3,1968
4,4,5,Jimmy Rayl,26,74,,29.6,4.3,11.1,0.387,0.8,2.4,0.326,3.5,8.7,0.404,0.422,2.6,3.3,0.802,,,3.2,2.8,,,2.6,2.7,12.0,1968
5,5,6,Ollie Darden,23,77,,26.6,4.8,10.8,0.446,0.0,0.0,0.0,4.8,10.8,0.447,0.446,2.3,3.5,0.667,,,6.8,0.9,,,1.8,3.6,12.0,1968
6,6,7,Bobby Edmonds,26,72,,18.6,3.0,6.8,0.436,0.0,0.1,0.167,2.9,6.7,0.44,0.438,2.1,3.2,0.655,,,5.2,0.4,,,1.7,2.5,8.0,1968
7,7,8,George Peeples,24,65,,18.5,2.1,5.2,0.407,0.0,0.0,0.0,2.1,5.2,0.411,0.407,1.8,2.9,0.612,,,5.8,0.4,,,1.1,2.1,6.0,1968
8,8,9,Jerry Harkness,27,71,,17.5,2.4,5.5,0.437,0.0,0.1,0.2,2.4,5.5,0.44,0.438,2.1,3.1,0.682,,,2.7,1.8,,,1.1,1.5,7.0,1968
9,9,10,Matt Aitch,23,45,,14.2,2.2,5.5,0.405,0.0,0.0,0.0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,,,3.6,0.4,,,0.8,1.5,5.6,1968
10,10,11,Jimmy Dawson,22,21,,13.7,2.2,6.3,0.346,0.0,0.3,0.143,2.1,6.0,0.357,0.35,1.2,2.0,0.581,,,1.0,1.5,,,0.8,0.8,5.6,1968
11,11,12,Ron Bonham,25,42,,10.1,1.9,5.0,0.381,0.0,0.0,0.0,1.9,5.0,0.385,0.381,2.0,2.5,0.81,,,1.4,0.3,,,0.8,0.9,5.8,1968
12,12,13,Ron Kozlicki,23,37,,9.6,1.1,3.3,0.339,0.2,0.8,0.207,0.9,2.5,0.38,0.364,0.6,0.9,0.618,,,1.9,0.4,,,0.5,0.8,2.9,1968
13,0,1,Freddie Lewis,25,78,,39.2,7.3,16.7,0.44,0.3,1.1,0.265,7.1,15.6,0.452,0.448,5.4,6.5,0.822,1.5,3.3,4.8,4.4,,,2.9,3.7,20.3,1969
14,1,2,Mel Daniels,24,76,,38.6,9.4,19.7,0.476,0.0,0.1,0.0,9.4,19.6,0.477,0.476,5.3,8.7,0.604,5.0,11.5,16.5,1.5,,,3.6,3.6,24.0,1969
15,2,3,Roger Brown,26,75,,35.4,7.5,15.6,0.482,0.1,0.2,0.313,7.4,15.4,0.484,0.484,5.9,7.5,0.785,3.0,3.8,6.8,4.6,,,2.9,3.7,21.0,1969
16,3,4,Bob Netolicky,26,78,,34.9,7.5,14.7,0.509,0.0,0.1,0.0,7.5,14.6,0.511,0.509,3.9,6.3,0.623,4.0,6.2,10.2,1.1,,,2.3,3.0,18.9,1969
17,4,5,Ron Perry,25,27,,32.0,5.1,12.4,0.408,1.2,3.4,0.363,3.9,9.1,0.424,0.457,2.1,2.6,0.829,0.9,1.8,2.7,3.6,,,2.5,4.0,13.5,1969
18,5,6,Steve Chubin,24,24,,30.2,4.2,10.2,0.412,0.0,0.3,0.167,4.2,10.0,0.418,0.414,5.4,6.8,0.796,1.7,2.3,4.0,5.2,,,3.6,4.3,13.8,1969
19,6,7,Jerry Harkness,28,10,,27.2,3.1,6.7,0.463,0.0,0.0,,3.1,6.7,0.463,0.463,3.0,4.7,0.638,1.0,2.4,3.4,2.1,,,2.0,2.7,9.2,1969
20,7,8,Jimmy Rayl,27,27,,21.0,2.7,7.5,0.356,1.3,3.4,0.37,1.4,4.1,0.345,0.441,2.3,2.5,0.897,0.9,1.6,2.5,2.3,,,1.9,3.0,8.9,1969
21,8,9,Tom Thacker,29,18,,19.2,2.2,6.5,0.342,0.0,0.1,0.0,2.2,6.4,0.348,0.342,1.0,1.7,0.581,1.7,2.0,3.7,2.9,,,1.4,2.8,5.4,1969
22,9,10,Mike Lewis,22,24,,19.0,3.1,6.8,0.46,0.0,0.1,0.0,3.1,6.7,0.466,0.46,2.0,2.8,0.691,3.3,4.3,7.5,1.2,,,2.0,2.8,8.2,1969
23,10,11,Bobby Hooper,22,54,,17.7,2.1,5.0,0.413,0.1,0.6,0.125,2.0,4.4,0.452,0.421,0.8,1.1,0.729,0.6,1.4,2.0,2.6,,,1.0,1.7,5.0,1969
24,11,12,George Peeples,25,64,,17.4,1.9,4.3,0.439,0.0,0.0,,1.9,4.3,0.439,0.439,1.6,2.2,0.711,2.0,3.6,5.6,0.5,,,1.1,2.1,5.4,1969
25,12,13,Don Dee,25,58,,17.1,2.4,6.7,0.357,0.0,0.0,0.0,2.4,6.7,0.358,0.357,1.0,1.3,0.747,1.8,3.2,5.0,0.6,,,1.2,3.1,5.7,1969
26,13,14,Phil Wagner,23,12,,15.0,0.9,3.4,0.268,0.1,0.3,0.25,0.8,3.1,0.27,0.28,1.1,1.4,0.765,0.7,1.3,1.9,1.2,,,1.5,2.3,3.0,1969
27,14,15,Jay Miller,25,41,,12.0,2.5,5.6,0.45,0.0,0.0,,2.5,5.6,0.45,0.45,1.9,2.7,0.688,1.0,1.0,2.0,0.5,,,1.3,1.6,6.9,1969
28,15,16,John Fairchild,25,52,,11.2,1.9,5.0,0.388,0.2,0.6,0.345,1.8,4.4,0.394,0.408,1.4,2.0,0.709,0.8,1.3,2.1,0.5,,,1.1,1.7,5.5,1969
29,16,17,Butch Joyner,23,2,,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,,,0.0,0.5,0.0,1969
30,17,18,Jack Thompson,22,2,,2.0,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.333,0.0,0.0,,0.5,0.0,0.5,1.0,,,1.0,0.0,1.0,1969
31,0,1,Roger Brown,27,84,,41.6,8.6,17.2,0.498,0.5,1.4,0.333,8.1,15.8,0.513,0.512,5.4,6.7,0.813,2.1,5.3,7.4,4.7,,,2.7,3.7,23.0,1970
32,1,2,Bob Netolicky,27,82,,39.3,8.2,17.0,0.483,0.0,0.1,0.286,8.2,16.9,0.484,0.484,4.2,6.1,0.683,4.1,6.6,10.7,1.5,,,2.3,2.5,20.6,1970
33,2,3,Mel Daniels,25,83,,36.6,7.4,15.6,0.473,0.0,0.0,0.0,7.4,15.6,0.474,0.473,4.0,5.9,0.675,5.1,12.5,17.6,1.6,,,3.7,3.7,18.7,1970
34,3,4,Freddie Lewis,26,81,,35.5,5.5,13.1,0.421,0.6,2.2,0.266,5.0,11.0,0.452,0.443,4.7,6.0,0.79,1.5,2.0,3.4,3.6,,,2.3,3.6,16.4,1970
35,4,5,John Barnhill,31,77,,30.8,4.2,10.7,0.394,0.9,3.5,0.261,3.3,7.2,0.46,0.438,2.1,3.1,0.664,0.8,1.5,2.2,4.1,,,2.0,2.5,11.4,1970
36,5,6,Art Becker,28,82,,18.3,3.8,7.2,0.521,0.0,0.0,0.0,3.8,7.2,0.522,0.521,1.4,1.7,0.81,1.3,3.3,4.6,0.5,,,0.7,3.0,8.9,1970
37,6,7,Bill Keller,22,82,,18.1,3.1,7.7,0.397,0.5,1.9,0.273,2.6,5.9,0.438,0.431,2.0,2.4,0.85,0.9,1.2,2.1,2.9,,,1.4,1.9,8.7,1970
38,7,8,Barry Orms,23,9,,15.9,1.9,4.4,0.425,0.0,0.3,0.0,1.9,4.1,0.459,0.425,1.9,2.9,0.654,1.4,2.7,4.1,1.4,,,0.9,3.3,5.7,1970
39,8,9,Tom Thacker,30,70,,14.5,1.0,3.0,0.33,0.1,0.6,0.256,0.9,2.5,0.347,0.354,0.5,1.0,0.551,1.3,1.7,3.0,2.6,,,1.6,2.5,2.7,1970
40,9,10,Steve Chubin,25,32,,11.9,1.3,2.9,0.441,0.1,0.1,0.5,1.2,2.8,0.438,0.452,1.6,1.9,0.833,0.7,0.6,1.3,2.2,,,2.0,2.3,4.2,1970
41,10,11,Ollie Darden,25,26,,11.1,1.8,4.7,0.388,0.0,0.2,0.25,1.8,4.5,0.393,0.393,0.6,0.9,0.696,0.8,2.6,3.5,0.5,,,1.0,1.8,4.3,1970
42,11,12,John Fairchild,26,3,,8.7,0.3,2.0,0.167,0.0,0.0,,0.3,2.0,0.167,0.167,0.3,0.7,0.5,0.3,2.7,3.0,0.7,,,0.3,2.7,1.0,1970
43,12,13,Jay Miller,26,52,,8.0,1.4,3.2,0.449,0.0,0.0,0.0,1.4,3.2,0.452,0.449,0.8,1.1,0.719,0.8,0.7,1.5,0.3,,,0.5,1.4,3.7,1970
44,13,14,Bobby Edmonds,28,3,,4.0,0.3,1.7,0.2,0.0,0.0,,0.3,1.7,0.2,0.2,0.3,1.0,0.333,0.7,0.7,1.3,0.0,,,0.0,0.3,1.0,1970
45,14,15,Dick Grubar,22,2,,4.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.0,0.0,0.0,0.5,,,0.0,0.5,2.0,1970
46,15,16,Jerry McKee,23,1,,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1970
