Player,Salary,Year
Rik Smits,"$12,250,000 ",2000
Reggie Miller,"$9,031,850 ",2000
Derrick McKey,"$4,800,000 ",2000
Dale Davis,"$4,490,000 ",2000
Chris Mullin,"$4,079,100 ",2000
Mark Jackson,"$4,000,000 ",2000
Travis Best,"$3,250,000 ",2000
Jalen Rose,"$2,437,500 ",2000
Jonathan Bender,"$2,214,600 ",2000
Sam Perkins,"$1,925,000 ",2000
Austin Croshere,"$1,515,120 ",2000
Zan Tabak,"$1,100,000 ",2000
Jeff Foster,"$857,760 ",2000
Al Harrington,"$745,800 ",2000
LaSalle Thompson,"$510,000 ",2000
Mark Pope,"$460,000 ",2000
Brent Scott,"$385,000 ",2000
Mate Skelin,"$385,000 ",2000
Shannon Smith,"$301,875 ",2000
Mitchell Butler,"$150,000 ",2000
Adrian Caldwell,"$50,000 ",2000
Terry Dehere,"$50,000 ",2000
Reggie Miller,"$10,670,000 ",2001
Jalen Rose,"$9,660,000 ",2001
Jermaine O'Neal,"$5,710,000 ",2001
Derrick McKey,"$5,400,000 ",2001
Austin Croshere,"$5,300,000 ",2001
Chris Mullin,"$3,650,000 ",2001
Travis Best,"$3,500,000 ",2001
Jonathan Bender,"$2,380,680 ",2001
Sam Perkins,"$2,250,000 ",2001
Joe Kleine,"$1,200,000 ",2001
Zan Tabak,"$1,200,000 ",2001
Terry Mills,"$1,000,000 ",2001
Jeff Foster,"$922,080 ",2001
Al Harrington,"$797,880 ",2001
Tyus Edney,"$523,500 ",2001
Bruno Sundov,"$498,500 ",2001
Lari Ketner,"$423,500 ",2001
Reggie Miller,"$12,045,075 ",2002
Jalen Rose,"$10,865,250 ",2002
Jermaine O'Neal,"$6,325,000 ",2002
Austin Croshere,"$6,310,000 ",2002
Derrick McKey,"$6,000,000 ",2002
Travis Best,"$3,375,000 ",2002
Jonathan Bender,"$2,546,760 ",2002
Al Harrington,"$1,436,982 ",2002
Jeff Foster,"$986,400 ",2002
Carlos Rogers,"$778,350 ",2002
Primoz Brezec,"$749,160 ",2002
Jamaal Tinsley,"$749,160 ",2002
Bruno Sundov,"$565,850 ",2002
Jamison Brewer,"$332,817 ",2002
Norm Richardson,"$332,817 ",2002
Reggie Miller,"$12,046,473 ",2003
Austin Croshere,"$6,960,000 ",2003
Jermaine O'Neal,"$6,900,000 ",2003
Ron Mercer,"$6,750,000 ",2003
Al Harrington,"$5,060,000 ",2003
Brad Miller,"$4,800,000 ",2003
Jonathan Bender,"$3,226,745 ",2003
Metta World Peace,"$1,904,860 ",2003
Jeff Foster,"$1,571,335 ",2003
Fred Jones,"$1,367,400 ",2003
Primoz Brezec,"$805,320 ",2003
Jamaal Tinsley,"$805,320 ",2003
Erick Strickland,"$762,435 ",2003
Jamison Brewer,"$512,435 ",2003
Jermaine O'Neal,"$13,152,000 ",2004
Austin Croshere,"$7,610,000 ",2004
Jonathan Bender,"$5,800,000 ",2004
Al Harrington,"$5,692,500 ",2004
Metta World Peace,"$5,473,684 ",2004
Scot Pollard,"$5,309,563 ",2004
Reggie Miller,"$5,000,000 ",2004
Jeff Foster,"$4,000,000 ",2004
Fred Jones,"$1,506,000 ",2004
Kenny Anderson,"$1,070,000 ",2004
Primoz Brezec,"$861,600 ",2004
Jamaal Tinsley,"$861,600 ",2004
Anthony Johnson,"$813,679 ",2004
Jamison Brewer,"$638,679 ",2004
James Jones,"$366,931 ",2004
Jermaine O'Neal,"$14,796,000 ",2005
Austin Croshere,"$8,260,000 ",2005
Jonathan Bender,"$6,525,000 ",2005
Metta World Peace,"$6,157,895 ",2005
Scot Pollard,"$5,792,250 ",2005
Reggie Miller,"$5,500,000 ",2005
Stephen Jackson,"$5,100,000 ",2005
Jeff Foster,"$4,500,000 ",2005
Anthony Johnson,"$2,200,000 ",2005
Fred Jones,"$1,572,480 ",2005
Jamaal Tinsley,"$1,554,326 ",2005
Michael Curry,"$845,122 ",2005
David Harrison,"$835,560 ",2005
Eddie Gill,"$720,046 ",2005
James Jones,"$620,046 ",2005
Marcus Haislip,"$576,380 ",2005
John Edwards,"$385,277 ",2005
Tremaine Fowlkes,"$79,029 ",2005
Britton Johnsen,"$45,369 ",2005
Jermaine O'Neal,"$16,440,000 ",2006
Austin Croshere,"$7,900,000 ",2006
Jonathan Bender,"$7,175,000 ",2006
Metta World Peace,"$6,842,105 ",2006
Scot Pollard,"$6,274,937 ",2006
Reggie Miller,"$6,000,000 ",2006
Stephen Jackson,"$5,610,000 ",2006
Jamaal Tinsley,"$5,400,000 ",2006
Jeff Foster,"$5,000,000 ",2006
Sarunas Jasikevicius,"$4,000,000 ",2006
Anthony Johnson,"$2,420,000 ",2006
Fred Jones,"$2,328,843 ",2006
Danny Granger,"$1,318,920 ",2006
David Harrison,"$898,200 ",2006
Eddie Gill,"$819,551 ",2006
Samaki Walker,"$364,223 ",2006
Jermaine O'Neal,"$18,084,000 ",2007
Troy Murphy,"$8,285,714 ",2007
Mike Dunleavy,"$7,438,016 ",2007
Marquis Daniels,"$5,883,600 ",2007
Jamaal Tinsley,"$5,850,000 ",2007
Jeff Foster,"$5,500,000 ",2007
Ike Diogu,"$2,137,200 ",2007
Danny Granger,"$1,417,800 ",2007
Shawne Williams,"$1,367,760 ",2007
Keith McLeod,"$1,350,000 ",2007
Darrell Armstrong,"$1,178,348 ",2007
John Edwards,"$1,080,000 ",2007
David Harrison,"$960,840 ",2007
Maceo Baston,"$744,551 ",2007
Orien Greene,"$664,209 ",2007
Rawle Marshall,"$664,209 ",2007
James White,"$412,718 ",2007
Jimmie Hunter,"$100,000 ",2007
Jermaine O'Neal,"$19,728,000 ",2008
Troy Murphy,"$9,206,349 ",2008
Mike Dunleavy,"$8,219,008 ",2008
Marquis Daniels,"$6,373,900 ",2008
Jamaal Tinsley,"$6,300,000 ",2008
Jeff Foster,"$5,500,000 ",2008
Ike Diogu,"$2,286,360 ",2008
David Harrison,"$1,734,316 ",2008
Danny Granger,"$1,516,800 ",2008
Travis Diener,"$1,500,000 ",2008
Shawne Williams,"$1,470,360 ",2008
Kareem Rush,"$854,957 ",2008
Stephen Graham,"$770,610 ",2008
Andre Owens,"$687,456 ",2008
Courtney Sims,"$112,130 ",2008
Troy Murphy,"$10,126,984 ",2009
Mike Dunleavy,"$9,000,000 ",2009
Rasho Nesterovic,"$8,400,000 ",2009
T.J. Ford,"$8,000,000 ",2009
Marquis Daniels,"$6,864,200 ",2009
Jamaal Tinsley,"$6,750,000 ",2009
Jeff Foster,"$5,500,000 ",2009
Danny Granger,"$2,329,805 ",2009
Maceo Baston,"$2,272,860 ",2009
Jarrett Jack,"$2,002,623 ",2009
Eddie Jones,"$2,000,000 ",2009
Brandon Rush,"$1,799,160 ",2009
Travis Diener,"$1,620,000 ",2009
Roy Hibbert,"$1,465,400 ",2009
Stephen Graham,"$826,269 ",2009
Josh McRoberts,"$711,517 ",2009
Troy Murphy,"$11,047,619 ",2010
Danny Granger,"$9,930,500 ",2010
Mike Dunleavy,"$9,780,992 ",2010
T.J. Ford,"$8,500,000 ",2010
Jeff Foster,"$6,077,500 ",2010
Jamaal Tinsley,"$5,200,000 ",2010
Earl Watson,"$2,800,000 ",2010
Dahntay Jones,"$2,500,000 ",2010
Brandon Rush,"$1,934,160 ",2010
Tyler Hansbrough,"$1,859,160 ",2010
Travis Diener,"$1,740,000 ",2010
Solomon Jones,"$1,620,000 ",2010
Roy Hibbert,"$1,575,360 ",2010
Luther Head,"$884,881 ",2010
Josh McRoberts,"$825,497 ",2010
A.J. Price,"$457,588 ",2010
Danny Granger,"$10,973,202 ",2011
Mike Dunleavy,"$10,561,984 ",2011
T.J. Ford,"$8,500,000 ",2011
James Posey,"$7,148,800 ",2011
Jeff Foster,"$6,655,000 ",2011
Jamaal Tinsley,"$5,500,000 ",2011
Dahntay Jones,"$2,500,000 ",2011
Paul George,"$2,238,360 ",2011
Brandon Rush,"$2,069,049 ",2011
Tyler Hansbrough,"$1,998,600 ",2011
Roy Hibbert,"$1,685,280 ",2011
Solomon Jones,"$1,500,000 ",2011
Darren Collison,"$1,361,040 ",2011
Josh McRoberts,"$885,120 ",2011
A.J. Price,"$762,195 ",2011
Lance Stephenson,"$750,000 ",2011
Danny Granger,"$12,015,904 ",2012
David West,"$10,000,000 ",2012
James Posey,"$7,595,600 ",2012
Jeff Foster,"$3,000,000 ",2012
Dahntay Jones,"$2,700,000 ",2012
Roy Hibbert,"$2,588,590 ",2012
Paul George,"$2,406,240 ",2012
Louis Amundson,"$2,403,000 ",2012
Tyler Hansbrough,"$2,138,040 ",2012
George Hill,"$2,086,360 ",2012
Jeff Pendergraph,"$1,500,000 ",2012
Darren Collison,"$1,455,960 ",2012
A.J. Price,"$854,389 ",2012
Lance Stephenson,"$810,000 ",2012
Roy Hibbert,"$13,686,750 ",2013
Danny Granger,"$13,058,606 ",2013
David West,"$10,000,000 ",2013
George Hill,"$8,000,000 ",2013
Ian Mahinmi,"$4,000,000 ",2013
D.J. Augustin,"$3,500,000 ",2013
Gerald Green,"$3,500,000 ",2013
Tyler Hansbrough,"$3,055,259 ",2013
Paul George,"$2,574,120 ",2013
Jeff Pendergraph,"$1,500,000 ",2013
Miles Plumlee,"$1,073,280 ",2013
Lance Stephenson,"$870,000 ",2013
Sam Young,"$723,716 ",2013
Orlando Johnson,"$550,000 ",2013
Ben Hansbrough,"$473,604 ",2013
Dominic McGuire,"$122,625 ",2013
Roy Hibbert,"$14,283,844 ",2014
David West,"$12,000,000 ",2014
George Hill,"$8,000,000 ",2014
Luis Scola,"$4,508,504 ",2014
Ian Mahinmi,"$4,000,000 ",2014
Paul George,"$3,282,003 ",2014
Chris Copeland,"$3,000,000 ",2014
C.J. Watson,"$2,016,000 ",2014
Solomon Hill,"$1,246,680 ",2014
Lance Stephenson,"$1,005,000 ",2014
Donald Sloan,"$884,293 ",2014
Orlando Johnson,"$788,872 ",2014
Paul George,"$15,925,680 ",2015
Roy Hibbert,"$14,898,938 ",2015
David West,"$12,000,000 ",2015
George Hill,"$8,000,000 ",2015
Luis Scola,"$4,868,499 ",2015
C.J. Miles,"$4,205,000 ",2015
Ian Mahinmi,"$4,000,000 ",2015
Chris Copeland,"$3,135,000 ",2015
C.J. Watson,"$2,106,720 ",2015
Solomon Hill,"$1,302,840 ",2015
Rodney Stuckey,"$1,227,985 ",2015
Damjan Rudez,"$1,100,000 ",2015
Lavoy Allen,"$948,163 ",2015
Donald Sloan,"$948,163 ",2015
Shayne Whittington,"$507,336 ",2015
Paul George,"$17,120,106 ",2016
Monta Ellis,"$10,300,000 ",2016
George Hill,"$8,000,000 ",2016
Rodney Stuckey,"$6,500,000 ",2016
Chase Budinger,"$5,000,000 ",2016
C.J. Miles,"$4,394,225 ",2016
Jordan Hill,"$4,000,000 ",2016
Ian Mahinmi,"$4,000,000 ",2016
Lavoy Allen,"$3,700,000 ",2016
Myles Turner,"$2,357,760 ",2016
Solomon Hill,"$1,358,880 ",2016
Rakeem Christmas,"$1,000,000 ",2016
Joseph Young,"$1,000,000 ",2016
Shayne Whittington,"$845,059 ",2016
Glenn Robinson,"$845,000 ",2016
Toney Douglas,"$600,000 ",2016
Ty Lawson,"$265,058 ",2016
Paul George,"$18,314,532 ",2017
Thaddeus Young,"$14,153,652 ",2017
Monta Ellis,"$10,770,000 ",2017
Al Jefferson,"$10,230,179 ",2017
Jeff Teague,"$8,800,000 ",2017
Rodney Stuckey,"$7,000,000 ",2017
C.J. Miles,"$4,583,450 ",2017
Lavoy Allen,"$4,000,000 ",2017
Lance Stephenson,"$4,000,000 ",2017
Aaron Brooks,"$2,700,000 ",2017
Myles Turner,"$2,463,840 ",2017
Kevin Seraphin,"$1,800,000 ",2017
Jeremy Evans,"$1,227,286 ",2017
Rakeem Christmas,"$1,052,342 ",2017
Joe Young,"$1,052,342 ",2017
Glenn Robinson,"$1,050,500 ",2017
Georges Niang,"$650,000 ",2017
Julyan Stone,"$50,000 ",2017
Ben Bentil,"$50,000 ",2017
Alex Poythress,"$35,381 ",2017
Nick Zeisloft,"$25,000 ",2017
Victor Oladipo,"$21,000,000 ",2018
Thaddeus Young,"$14,796,348 ",2018
Bojan Bogdanovic,"$10,500,000 ",2018
Darren Collison,"$10,000,000 ",2018
Al Jefferson,"$9,769,821 ",2018
Cory Joseph,"$7,630,000 ",2018
Lance Stephenson,"$4,180,000 ",2018
Myles Turner,"$2,569,920 ",2018
Domantas Sabonis,"$2,550,000 ",2018
Monta Ellis,"$2,245,400 ",2018
T.J. Leaf,"$2,028,360 ",2018
Glenn Robinson,"$1,524,305 ",2018
Joe Young,"$1,471,382 ",2018
Damien Wilkins,"$1,016,617 ",2018
Ike Anigbogu,"$950,000 ",2018
Alex Poythress,"$778,668 ",2018
Trevor Booker,"$332,516 ",2018
Rakeem Christmas,"$172,552 ",2018
Georges Niang,"$100,000 ",2018
Trey McKinney-Jones,"$46,080 ",2018
Jarrod Uthoff,"$7,416 ",2018
Edmond Sumner,$0 ,2018
Ben Moore,$0 ,2018
Victor Oladipo,"$21,000,000 ",2019
Thaddeus Young,"$13,764,045 ",2019
Tyreke Evans,"$12,400,000 ",2019
Bojan Bogdanovic,"$10,500,000 ",2019
Darren Collison,"$10,000,000 ",2019
Cory Joseph,"$7,945,000 ",2019
Doug McDermott,"$7,333,334 ",2019
Kyle O'Quinn,"$4,449,000 ",2019
Al Jefferson,"$4,000,000 ",2019
Myles Turner,"$3,410,284 ",2019
Domantas Sabonis,"$2,659,800 ",2019
T.J. Leaf,"$2,407,560 ",2019
Monta Ellis,"$2,245,400 ",2019
Aaron Holiday,"$1,911,960 ",2019
Nik Stauskas,"$1,621,415 ",2019
Wade Baldwin,"$1,544,951 ",2019
Ike Anigbogu,"$1,378,242 ",2019
