,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Roger Brown,25.0,76,,2974,544,1286,0.423,14.0,54.0,0.259,530,1232,0.43,0.428,390,517,0.754,,,647,327,,,265.0,296,1492,1968
1,1,2.0,Freddie Lewis,24.0,76,,2921,542,1287,0.421,16.0,74.0,0.216,526,1213,0.434,0.427,465,583,0.798,,,440,183,,,209.0,217,1565,1968
2,2,3.0,Bob Netolicky,25.0,71,,2385,468,928,0.504,0.0,1.0,0.0,468,927,0.505,0.504,220,369,0.596,313.0,506.0,819,69,,,143.0,162,1156,1968
3,3,4.0,Jimmy Rayl,26.0,74,,2193,317,819,0.387,57.0,175.0,0.326,260,644,0.404,0.422,195,243,0.802,,,238,210,,,193.0,197,886,1968
4,4,5.0,Ollie Darden,23.0,77,,2045,371,831,0.446,0.0,1.0,0.0,371,830,0.447,0.446,180,270,0.667,,,527,69,,,140.0,277,922,1968
5,5,6.0,Bobby Edmonds,26.0,72,,1338,213,488,0.436,1.0,6.0,0.167,212,482,0.44,0.438,150,229,0.655,,,374,29,,,123.0,183,577,1968
6,6,7.0,Jerry Harkness,27.0,71,,1241,172,394,0.437,1.0,5.0,0.2,171,389,0.44,0.438,152,223,0.682,,,193,129,,,77.0,109,497,1968
7,7,8.0,George Peeples,24.0,65,,1203,138,339,0.407,0.0,3.0,0.0,138,336,0.411,0.407,115,188,0.612,,,378,29,,,71.0,136,391,1968
8,8,9.0,Reggie Harding,25.0,25,,840,142,314,0.452,0.0,1.0,0.0,142,313,0.454,0.452,52,90,0.578,,,334,53,,,77.0,59,336,1968
9,9,10.0,Matt Aitch,23.0,45,,637,100,247,0.405,0.0,2.0,0.0,100,245,0.408,0.405,52,77,0.675,,,160,18,,,37.0,69,252,1968
10,10,11.0,Ron Bonham,25.0,42,,426,80,210,0.381,0.0,2.0,0.0,80,208,0.385,0.381,85,105,0.81,,,57,14,,,32.0,36,245,1968
11,11,12.0,Ron Kozlicki,23.0,37,,354,41,121,0.339,6.0,29.0,0.207,35,92,0.38,0.364,21,34,0.618,,,69,14,,,19.0,31,109,1968
12,12,13.0,Jimmy Dawson,22.0,21,,288,46,133,0.346,1.0,7.0,0.143,45,126,0.357,0.35,25,43,0.581,,,21,32,,,16.0,16,118,1968
13,0,1.0,Freddie Lewis,25.0,78,,3055,572,1300,0.44,22.0,83.0,0.265,550,1217,0.452,0.448,419,510,0.822,119.0,255.0,374,346,,,224.0,289,1585,1969
14,1,2.0,Mel Daniels,24.0,76,,2934,712,1496,0.476,0.0,4.0,0.0,712,1492,0.477,0.476,400,662,0.604,383.0,873.0,1256,116,,,272.0,276,1824,1969
15,2,3.0,Bob Netolicky,26.0,78,,2721,583,1145,0.509,0.0,5.0,0.0,583,1140,0.511,0.509,306,491,0.623,313.0,485.0,798,87,,,178.0,231,1472,1969
16,3,4.0,Roger Brown,26.0,75,,2658,563,1169,0.482,5.0,16.0,0.313,558,1153,0.484,0.484,442,563,0.785,223.0,287.0,510,345,,,215.0,281,1573,1969
17,4,5.0,George Peeples,25.0,64,,1111,122,278,0.439,0.0,0.0,,122,278,0.439,0.439,101,142,0.711,126.0,232.0,358,33,,,73.0,137,345,1969
18,5,6.0,Don Dee,25.0,58,,989,138,387,0.357,0.0,1.0,0.0,138,386,0.358,0.357,56,75,0.747,104.0,188.0,292,33,,,72.0,179,332,1969
19,6,7.0,Bobby Hooper,22.0,54,,955,112,271,0.413,4.0,32.0,0.125,108,239,0.452,0.421,43,59,0.729,35.0,74.0,109,142,,,52.0,91,271,1969
20,7,8.0,Ron Perry,25.0,27,,865,137,336,0.408,33.0,91.0,0.363,104,245,0.424,0.457,58,70,0.829,24.0,49.0,73,97,,,67.0,108,365,1969
21,8,9.0,Steve Chubin,24.0,24,,725,101,245,0.412,1.0,6.0,0.167,100,239,0.418,0.414,129,162,0.796,40.0,55.0,95,125,,,86.0,104,332,1969
22,9,10.0,John Fairchild,25.0,52,,582,101,260,0.388,10.0,29.0,0.345,91,231,0.394,0.408,73,103,0.709,42.0,69.0,111,28,,,59.0,90,285,1969
23,10,11.0,Jimmy Rayl,27.0,27,,567,72,202,0.356,34.0,92.0,0.37,38,110,0.345,0.441,61,68,0.897,25.0,42.0,67,63,,,50.0,80,239,1969
24,11,12.0,Jay Miller,25.0,41,,494,103,229,0.45,0.0,0.0,,103,229,0.45,0.45,77,112,0.688,42.0,39.0,81,20,,,55.0,65,283,1969
25,12,13.0,Mike Lewis,22.0,24,,457,75,163,0.46,0.0,2.0,0.0,75,161,0.466,0.46,47,68,0.691,78.0,103.0,181,29,,,49.0,68,197,1969
26,13,14.0,Tom Thacker,29.0,18,,346,40,117,0.342,0.0,2.0,0.0,40,115,0.348,0.342,18,31,0.581,31.0,36.0,67,52,,,26.0,51,98,1969
27,14,15.0,Jerry Harkness,28.0,10,,272,31,67,0.463,0.0,0.0,,31,67,0.463,0.463,30,47,0.638,10.0,24.0,34,21,,,20.0,27,92,1969
28,15,16.0,Phil Wagner,23.0,12,,180,11,41,0.268,1.0,4.0,0.25,10,37,0.27,0.28,13,17,0.765,8.0,15.0,23,14,,,18.0,28,36,1969
