,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,78.0,18845.0,3174.0,7397.0,0.429,96.0,360.0,0.267,3078.0,7037.0,0.437,2102.0,2971.0,0.708,,,4257.0,1176.0,1402.0,1788.0,8546.0,1968,,
1,Team/G,,241.6,40.7,94.8,0.429,1.2,4.6,0.267,39.5,90.2,0.437,26.9,38.1,0.708,,,54.6,15.1,18.0,22.9,109.6,1968,,
2,Lg Rank,,3.0,7.0,9.0,2.0,7.0,6.0,8.0,6.0,8.0,3.0,5.0,2.0,9.0,,,5.0,6.0,7.0,1.0,7.0,1968,,
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
4,Opponent,78.0,18845.0,3311.0,7844.0,0.422,141.0,417.0,0.338,3170.0,7427.0,0.427,1767.0,2473.0,0.715,,,4131.0,1257.0,1290.0,2013.0,8530.0,1968,,
5,Opponent/G,,241.6,42.4,100.6,0.422,1.8,5.3,0.338,40.6,95.2,0.427,22.7,31.7,0.715,,,53.0,16.1,16.5,25.8,109.4,1968,,
6,Lg Rank,,3.0,9.0,10.0,6.0,11.0,9.0,11.0,8.0,9.0,6.0,1.0,1.0,5.0,,,4.0,7.0,9.0,2.0,8.0,1968,,
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
0,Team,78.0,18920,3474,7709,0.451,110,368,0.299,3364,7341,0.458,2273,3180,0.715,1604.0,2827.0,4431,1553,1518,2106,9331,1969,,
1,Team/G,,242.6,44.5,98.8,0.451,1.4,4.7,0.299,43.1,94.1,0.458,29.1,40.8,0.715,20.6,36.2,56.8,19.9,19.5,27.0,119.6,1969,,
2,Lg Rank,,2,2,3,3.0,6,6,5.0,3,3,3.0,3,3,9.0,3.0,2.0,2,3,8,6,2,1969,,
3,Year/Year,,0.4%,9.5%,4.2%,0.022,14.6%,2.2%,0.032,9.3%,4.3%,0.021,8.1%,7.0%,0.007,,,4.1%,32.1%,8.3%,17.8%,9.2%,1969,,
4,Opponent,78.0,18920,3356,7829,0.429,141,506,0.279,3215,7323,0.439,2157,2939,0.734,,,4288,1469,1450,2172,9010,1969,,
5,Opponent/G,,242.6,43.0,100.4,0.429,1.8,6.5,0.279,41.2,93.9,0.439,27.7,37.7,0.734,,,55.0,18.8,18.6,27.8,115.5,1969,,
6,Lg Rank,,2,9,10,4.0,7,9,3.0,7,10,5.0,5,5,6.0,,,7,7,9,3,7,1969,,
7,Year/Year,,0.4%,1.4%,-0.2%,0.007,0.0%,21.3%,-0.059,1.4%,-1.4%,0.012,22.1%,18.8%,0.019,,,3.8%,16.9%,12.4%,7.9%,5.6%,1969,,
0,Team,84.0,20285,3593,7896,0.455,215,784,0.274,3378,7112,0.475,2110,2846,0.741,1496,2937,4433,1826,1485,2125,9511,1970,,
1,Team/G,,241.5,42.8,94.0,0.455,2.6,9.3,0.274,40.2,84.7,0.475,25.1,33.9,0.741,17.8,35.0,52.8,21.7,17.7,25.3,113.2,1970,,
2,Lg Rank,,8,6,9,3.0,2,2,6.0,9,11,1.0,5,5,7.0,8,8,9,2,2,3,6,1970,,
3,Year/Year,,-0.4%,-4.0%,-4.9%,0.004,81.5%,97.8%,-0.025,-6.8%,-10.0%,0.017,-13.8%,-16.9%,0.027,-13.4%,-3.5%,-7.1%,9.2%,-9.2%,-6.3%,-5.4%,1970,,
4,Opponent,84.0,20285,3568,8181,0.436,125,507,0.247,3443,7674,0.449,1959,2731,0.717,,,4572,1726,1516,2224,9220,1970,,
5,Opponent/G,,241.5,42.5,97.4,0.436,1.5,6.0,0.247,41.0,91.4,0.449,23.3,32.5,0.717,,,54.4,20.5,18.0,26.5,109.8,1970,,
6,Lg Rank,,8,5,6,2.0,1,6,1.0,5,7,4.0,2,4,1.0,,,7,7,10,5,4,1970,,
7,Year/Year,,-0.4%,-1.3%,-3.0%,0.007,-17.7%,-7.0%,-0.032,-0.6%,-2.7%,0.01,-15.7%,-13.7%,-0.017,,,-1.0%,9.1%,-2.9%,-4.9%,-5.0%,1970,,
0,Team,84.0,20360,3796,8202,0.463,306,1024,0.299,3490,7178,0.486,2104,2741,0.768,1420,2953,4373,2068,1429,1953,10002,1971,,
1,Team/G,,242.4,45.2,97.6,0.463,3.6,12.2,0.299,41.5,85.5,0.486,25.0,32.6,0.768,16.9,35.2,52.1,24.6,17.0,23.3,119.1,1971,,
2,Lg Rank,,3,7,9,3.0,1,1,6.0,11,11,1.0,6,7,2.0,10,8,8,2,2,1,4,1971,,
3,Year/Year,,0.4%,5.6%,3.9%,0.008,42.3%,30.6%,0.025,3.3%,0.9%,0.011,-0.3%,-3.7%,0.026,-5.1%,0.5%,-1.4%,13.3%,-3.8%,-8.1%,5.2%,1971,,
4,Opponent,84.0,20360,3768,8463,0.445,118,412,0.286,3650,8051,0.453,1847,2489,0.742,,,4653,1954,1535,2138,9501,1971,,
5,Opponent/G,,242.4,44.9,100.8,0.445,1.4,4.9,0.286,43.5,95.8,0.453,22.0,29.6,0.742,,,55.4,23.3,18.3,25.5,113.1,1971,,
6,Lg Rank,,3,5,7,3.0,2,2,2.0,6,8,3.0,2,2,2.0,,,6,9,8,7,4,1971,,
7,Year/Year,,0.4%,5.6%,3.4%,0.009,-5.6%,-18.7%,0.04,6.0%,4.9%,0.005,-5.7%,-8.9%,0.025,,,1.8%,13.2%,1.3%,-3.9%,3.0%,1971,,
0,Team,84.0,20360,3601,7805,0.461,220,750,0.293,3381,7055,0.479,2065,2756,0.749,1574,3004,4578,1731,1524,1908,9487,1972,,
1,Team/G,,242.4,42.9,92.9,0.461,2.6,8.9,0.293,40.3,84.0,0.479,24.6,32.8,0.749,18.7,35.8,54.5,20.6,18.1,22.7,112.9,1972,,
2,Lg Rank,,5,8,6,6.0,1,1,6.0,8,11,5.0,4,4,8.0,5,3,3,9,6,1,6,1972,,
3,Year/Year,,0.0%,-5.1%,-4.8%,-0.001,-28.1%,-26.8%,-0.005,-3.1%,-1.7%,-0.007,-1.9%,0.5%,-0.018,10.8%,1.7%,4.7%,-16.3%,6.6%,-2.3%,-5.1%,1972,,
4,Opponent,84.0,20360,3718,8183,0.454,104,369,0.282,3614,7814,0.463,1726,2298,0.751,1617,2719,4336,1918,1345,2180,9266,1972,,
5,Opponent/G,,242.4,44.3,97.4,0.454,1.2,4.4,0.282,43.0,93.0,0.463,20.5,27.4,0.751,19.3,32.4,51.6,22.8,16.0,26.0,110.3,1972,,
6,Lg Rank,,5,8,8,6.0,1,1,3.0,8,9,5.0,2,2,3.0,9,1,4,10,11,3,3,1972,,
7,Year/Year,,0.0%,-1.3%,-3.3%,0.009,-11.9%,-10.4%,-0.005,-1.0%,-2.9%,0.009,-6.6%,-7.7%,0.009,,,-6.8%,-1.8%,-12.4%,2.0%,-2.5%,1972,,
0,Team,84.0,20360,3668,7948,0.461,172,551,0.312,3496,7397,0.473,2123,2874,0.739,1612,2941,4553,1860,1609,2056,9631,1973,,
