,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Bob Kauffman,24,78,,35.6,7.9,16.8,0.471,,,,7.9,16.8,0.471,0.471,4.6,6.2,0.74,,,10.7,4.5,,,,3.4,20.4,1971
1,1,2,Don May,25,76,,35.1,8.3,17.6,0.471,,,,8.3,17.6,0.471,0.471,3.6,4.6,0.791,,,7.5,2.0,,,,2.9,20.2,1971
2,2,3,John Hummer,22,81,,32.6,4.2,9.4,0.444,,,,4.2,9.4,0.444,0.444,2.9,5.0,0.58,,,8.9,2.0,,,,3.5,11.3,1971
3,3,4,Dick Garrett,24,75,,31.7,5.0,12.0,0.414,,,,5.0,12.0,0.414,0.414,2.9,3.3,0.869,,,3.9,3.5,,,,3.9,12.9,1971
4,4,5,Em Bryant,32,73,,29.3,3.9,9.4,0.421,,,,3.9,9.4,0.421,0.421,2.1,2.8,0.744,,,3.6,4.8,,,,3.6,10.0,1971
5,5,6,Herm Gilliam,24,80,,26.0,4.7,11.2,0.422,,,,4.7,11.2,0.422,0.422,1.8,2.4,0.751,,,4.2,3.6,,,,3.1,11.2,1971
6,6,7,Mike Davis,24,73,,22.2,4.3,10.6,0.41,,,,4.3,10.6,0.41,0.41,2.7,3.6,0.76,,,2.6,2.1,,,,3.0,11.4,1971
7,7,8,Cornell Warner,22,65,,19.9,2.4,5.8,0.415,,,,2.4,5.8,0.415,0.415,1.2,2.2,0.552,,,7.0,0.8,,,,2.2,6.0,1971
8,8,9,Bill Hosket,24,13,,16.7,3.6,6.9,0.522,,,,3.6,6.9,0.522,0.522,0.8,1.3,0.647,,,5.8,1.5,,,,2.1,8.1,1971
9,9,10,George Wilson,28,46,,15.5,2.0,5.8,0.342,,,,2.0,5.8,0.342,0.342,1.2,1.5,0.812,,,5.0,1.0,,,,2.2,5.2,1971
