Player,Salary,Year
Michael Olowokandi,"$3,456,240 ",2000
Tyrone Nesby,"$2,716,667 ",2000
Lamar Odom,"$2,445,480 ",2000
Eric Piatkowski,"$2,000,000 ",2000
Eric Murdock,"$1,925,000 ",2000
James Robinson,"$1,866,667 ",2000
Keith Closs,"$1,680,000 ",2000
Derek Anderson,"$1,439,400 ",2000
Maurice Taylor,"$1,367,400 ",2000
Brian Skinner,"$843,000 ",2000
Charles Smith,"$779,960 ",2000
Anthony Avent,"$510,000 ",2000
Pooh Richardson,"$500,000 ",2000
Troy Hudson,"$460,000 ",2000
Charles Jones,"$385,000 ",2000
Marty Conlon,"$114,529 ",2000
Michael Olowokandi,"$3,697,440 ",2001
Derek Strong,"$3,510,000 ",2001
Darius Miles,"$2,841,720 ",2001
Lamar Odom,"$2,628,960 ",2001
Eric Piatkowski,"$2,200,000 ",2001
Sean Rooks,"$2,160,000 ",2001
Cherokee Parks,"$2,100,000 ",2001
Keith Closs,"$1,920,000 ",2001
James Robinson,"$1,870,000 ",2001
Keyon Dooling,"$1,538,880 ",2001
Corey Maggette,"$1,353,960 ",2001
Quentin Richardson,"$1,020,960 ",2001
Brian Skinner,"$901,800 ",2001
Etdrick Bohannon,"$523,500 ",2001
Jeff McInnis,"$523,500 ",2001
Earl Boykins,"$498,500 ",2001
Zendon Hamilton,"$316,969 ",2001
Michael Olowokandi,"$4,662,472 ",2002
Elton Brand,"$3,882,360 ",2002
Derek Strong,"$3,861,000 ",2002
Darius Miles,"$3,054,840 ",2002
Eric Piatkowski,"$3,000,000 ",2002
Lamar Odom,"$2,812,320 ",2002
Sean Rooks,"$2,400,000 ",2002
Vinny Del Negro,"$2,275,000 ",2002
Keyon Dooling,"$1,654,320 ",2002
Corey Maggette,"$1,448,400 ",2002
Will Perdue,"$1,320,000 ",2002
Quentin Richardson,"$1,097,520 ",2002
Earl Boykins,"$650,000 ",2002
Harold Jamison,"$600,000 ",2002
Jeff McInnis,"$590,850 ",2002
Obinna Ekezie,"$540,850 ",2002
Michael Olowokandi,"$6,061,213 ",2003
Elton Brand,"$4,895,656 ",2003
Derek Strong,"$4,212,000 ",2003
Lamar Odom,"$3,557,585 ",2003
Eric Piatkowski,"$3,000,000 ",2003
Sean Rooks,"$2,640,000 ",2003
Andre Miller,"$2,460,709 ",2003
Corey Maggette,"$2,069,764 ",2003
Bryant Stith,"$2,000,000 ",2003
Chris Wilcox,"$1,922,520 ",2003
Wang Zhizhi,"$1,900,000 ",2003
Keyon Dooling,"$1,769,760 ",2003
Marko Jaric,"$1,750,000 ",2003
Melvin Ely,"$1,490,120 ",2003
Quentin Richardson,"$1,174,080 ",2003
Cherokee Parks,"$824,935 ",2003
Earl Boykins,"$715,000 ",2003
Tremaine Fowlkes,"$512,435 ",2003
Elton Brand,"$10,960,000 ",2004
Corey Maggette,"$7,000,000 ",2004
Predrag Drobnjak,"$2,500,000 ",2004
Chris Kaman,"$2,394,600 ",2004
Keyon Dooling,"$2,256,444 ",2004
Wang Zhizhi,"$2,090,000 ",2004
Chris Wilcox,"$2,066,760 ",2004
Marko Jaric,"$1,925,000 ",2004
Quentin Richardson,"$1,805,735 ",2004
Melvin Ely,"$1,628,760 ",2004
Olden Polynice,"$1,070,000 ",2004
Glen Rice,"$1,070,000 ",2004
Eddie House,"$750,000 ",2004
Bobby Simmons,"$638,679 ",2004
Doug Overton,"$591,454 ",2004
Josh Moore,"$366,931 ",2004
Elton Brand,"$12,056,000 ",2005
Kerry Kittles,"$9,566,667 ",2005
Corey Maggette,"$7,000,000 ",2005
Shaun Livingston,"$3,027,840 ",2005
Chris Kaman,"$2,574,240 ",2005
Zeljko Rebraca,"$2,500,000 ",2005
Chris Wilcox,"$2,210,880 ",2005
Marko Jaric,"$2,100,000 ",2005
Rick Brunson,"$932,546 ",2005
Mikki Moore,"$870,046 ",2005
Bobby Simmons,"$825,000 ",2005
Mamadou N'Diaye,"$750,000 ",2005
Quinton Ross,"$620,046 ",2005
Lionel Chalmers,"$450,000 ",2005
Elton Brand,"$13,152,000 ",2006
Cuttino Mobley,"$7,200,000 ",2006
Corey Maggette,"$7,000,000 ",2006
Sam Cassell,"$6,875,000 ",2006
Shaun Livingston,"$3,254,880 ",2006
Zeljko Rebraca,"$3,000,000 ",2006
Chris Wilcox,"$2,812,239 ",2006
Chris Kaman,"$2,753,760 ",2006
Yaroslav Korolev,"$1,704,480 ",2006
Walter McCarty,"$1,035,000 ",2006
Quinton Ross,"$700,000 ",2006
James Singleton,"$625,000 ",2006
Daniel Ewing,"$450,000 ",2006
Boniface N'Dong,"$398,762 ",2006
Howard Eisley,"$291,567 ",2006
Anthony Goldwire,"$74,652 ",2006
Kaniel Dickens,"$31,305 ",2006
Elton Brand,"$14,248,000 ",2007
Cuttino Mobley,"$8,125,000 ",2007
Corey Maggette,"$7,000,000 ",2007
Sam Cassell,"$6,850,000 ",2007
Tim Thomas,"$5,215,000 ",2007
Chris Kaman,"$3,491,768 ",2007
Shaun Livingston,"$3,481,920 ",2007
Zeljko Rebraca,"$3,240,000 ",2007
Yaroslav Korolev,"$1,832,280 ",2007
Aaron Williams,"$1,750,000 ",2007
Boniface N'Dong,"$839,209 ",2007
Quinton Ross,"$771,331 ",2007
James Singleton,"$675,000 ",2007
Daniel Ewing,"$664,209 ",2007
Paul Davis,"$412,718 ",2007
Jason Hart,"$242,640 ",2007
Doug Christie,"$158,071 ",2007
Alvin Williams,"$103,992 ",2007
Luke Jackson,"$40,501 ",2007
Von Wafer,"$24,300 ",2007
Will Conroy,"$15,099 ",2007
Elton Brand,"$15,344,000 ",2008
Chris Kaman,"$8,600,000 ",2008
Cuttino Mobley,"$8,350,000 ",2008
Corey Maggette,"$7,000,000 ",2008
Sam Cassell,"$6,150,000 ",2008
Tim Thomas,"$5,632,200 ",2008
Shaun Livingston,"$4,404,629 ",2008
Aaron Williams,"$1,890,000 ",2008
Al Thornton,"$1,652,280 ",2008
Brevin Knight,"$1,600,000 ",2008
Dan Dickau,"$926,678 ",2008
Quinton Ross,"$826,046 ",2008
Josh Powell,"$800,000 ",2008
Paul Davis,"$687,456 ",2008
Richie Frahm,"$623,694 ",2008
Ruben Patterson,"$304,897 ",2008
Guillermo Diaz,"$56,065 ",2008
Zach Randolph,"$14,666,667 ",2009
Baron Davis,"$11,250,000 ",2009
Marcus Camby,"$10,000,000 ",2009
Chris Kaman,"$9,500,000 ",2009
Eric Gordon,"$2,623,200 ",2009
Jason Hart,"$2,484,000 ",2009
Ricky Davis,"$2,300,000 ",2009
Al Thornton,"$1,776,240 ",2009
Jason Williams,"$1,262,275 ",2009
Brian Skinner,"$1,262,275 ",2009
Mardy Collins,"$1,034,760 ",2009
Steve Novak,"$797,581 ",2009
Cheikh Samb,"$797,581 ",2009
Alex Acker,"$711,517 ",2009
Fred Jones,"$622,531 ",2009
DeAndre Jordan,"$550,000 ",2009
Mike Taylor,"$500,000 ",2009
Paul Davis,"$328,416 ",2009
Hassan Adams,"$297,163 ",2009
Baron Davis,"$12,150,000 ",2010
Chris Kaman,"$10,400,000 ",2010
Blake Griffin,"$4,983,480 ",2010
Steve Blake,"$4,930,000 ",2010
Drew Gooden,"$4,500,000 ",2010
Travis Outlaw,"$4,000,000 ",2010
Rasual Butler,"$3,945,000 ",2010
Mark Madsen,"$2,840,000 ",2010
Eric Gordon,"$2,819,880 ",2010
Craig Smith,"$2,500,000 ",2010
Ricky Davis,"$2,484,000 ",2010
Mardy Collins,"$1,867,742 ",2010
Brian Skinner,"$1,306,455 ",2010
Steve Novak,"$855,189 ",2010
Bobby Brown,"$736,420 ",2010
DeAndre Jordan,"$736,420 ",2010
Kareem Rush,"$534,906 ",2010
JamesOn Curry,"$26,917 ",2010
Chris Kaman,"$11,800,000 ",2011
Mo Williams,"$9,300,000 ",2011
Blake Griffin,"$5,357,280 ",2011
Randy Foye,"$4,250,000 ",2011
Ryan Gomes,"$4,000,000 ",2011
Eric Gordon,"$3,016,680 ",2011
Jamario Moon,"$3,000,000 ",2011
Al-Farouq Aminu,"$2,563,320 ",2011
Rasual Butler,"$2,400,000 ",2011
Craig Smith,"$2,300,000 ",2011
Eric Bledsoe,"$1,485,000 ",2011
Brian Cook,"$1,146,337 ",2011
DeAndre Jordan,"$854,389 ",2011
Jarron Collins,"$643,551 ",2011
