,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Bob Kauffman,24.0,78,,2778,616,1309,0.471,,,,616,1309,0.471,0.471,359,485,0.74,,,837,354,,,,263,1591,1971
1,1,2.0,Don May,25.0,76,,2666,629,1336,0.471,,,,629,1336,0.471,0.471,277,350,0.791,,,567,150,,,,219,1535,1971
2,2,3.0,John Hummer,22.0,81,,2637,339,764,0.444,,,,339,764,0.444,0.444,235,405,0.58,,,717,163,,,,284,913,1971
3,3,4.0,Dick Garrett,24.0,75,,2375,373,902,0.414,,,,373,902,0.414,0.414,218,251,0.869,,,295,264,,,,290,964,1971
4,4,5.0,Em Bryant,32.0,73,,2137,288,684,0.421,,,,288,684,0.421,0.421,151,203,0.744,,,262,352,,,,266,727,1971
5,5,6.0,Herm Gilliam,24.0,80,,2082,378,896,0.422,,,,378,896,0.422,0.422,142,189,0.751,,,334,291,,,,246,898,1971
6,6,7.0,Mike Davis,24.0,73,,1617,317,774,0.41,,,,317,774,0.41,0.41,199,262,0.76,,,187,153,,,,220,833,1971
7,7,8.0,Cornell Warner,22.0,65,,1293,156,376,0.415,,,,156,376,0.415,0.415,79,143,0.552,,,452,53,,,,140,391,1971
8,8,9.0,George Wilson,28.0,46,,713,92,269,0.342,,,,92,269,0.342,0.342,56,69,0.812,,,230,48,,,,99,240,1971
9,9,10.0,Nate Bowman,27.0,44,,483,58,148,0.392,,,,58,148,0.392,0.392,20,38,0.526,,,173,41,,,,91,136,1971
10,10,11.0,Mike Silliman,26.0,36,,366,36,79,0.456,,,,36,79,0.456,0.456,19,39,0.487,,,62,23,,,,37,91,1971
11,11,12.0,Bill Hosket,24.0,13,,217,47,90,0.522,,,,47,90,0.522,0.522,11,17,0.647,,,75,20,,,,27,105,1971
12,12,13.0,Paul Long,26.0,30,,213,57,120,0.475,,,,57,120,0.475,0.475,20,24,0.833,,,31,25,,,,23,134,1971
13,13,14.0,Freddie Crawford,29.0,15,,203,36,106,0.34,,,,36,106,0.34,0.34,16,26,0.615,,,35,24,,,,18,88,1971
14,14,15.0,Mike Lynn,25.0,5,,25,2,7,0.286,,,,2,7,0.286,0.286,3,3,1.0,,,4,1,,,,9,7,1971
15,0,1.0,Bob Kauffman,25.0,77,,3205,558,1123,0.497,,,,558,1123,0.497,0.497,341,429,0.795,,,787,297,,,,273,1457,1972
16,1,2.0,Elmore Smith,22.0,78,,3186,579,1275,0.454,,,,579,1275,0.454,0.454,194,363,0.534,,,1184,111,,,,306,1352,1972
17,2,3.0,Walt Hazzard,29.0,72,,2389,450,998,0.451,,,,450,998,0.451,0.451,237,303,0.782,,,213,406,,,,230,1137,1972
18,3,4.0,Randy Smith,23.0,76,,2094,432,896,0.482,,,,432,896,0.482,0.482,158,254,0.622,,,368,189,,,,202,1022,1972
19,4,5.0,Dick Garrett,25.0,73,,1905,325,735,0.442,,,,325,735,0.442,0.442,136,157,0.866,,,225,165,,,,225,786,1972
20,5,6.0,Fred Hilton,24.0,61,,1349,309,795,0.389,,,,309,795,0.389,0.389,90,122,0.738,,,156,116,,,,145,708,1972
21,6,7.0,Cornell Warner,23.0,62,,1239,162,366,0.443,,,,162,366,0.443,0.443,58,78,0.744,,,379,54,,,,125,382,1972
