,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19805.0,3424.0,7860.0,0.436,1805.0,2504.0,0.721,,,4261.0,1962.0,2232.0,8653.0,1971,,,,,,,,,
1,Team/G,,241.5,41.8,95.9,0.436,22.0,30.5,0.721,,,52.0,23.9,27.2,105.5,1971,,,,,,,,,
2,Lg Rank,,3.0,16.0,10.0,14.0,14.0,12.0,15.0,,,12.0,10.0,17.0,16.0,1971,,,,,,,,,
3,Year/Year,,,,,,,,,,,,,,,1971,,,,,,,,,
4,Opponent,82.0,19805.0,3486.0,7666.0,0.455,2224.0,3018.0,0.737,,,4447.0,1998.0,1956.0,9196.0,1971,,,,,,,,,
5,Opponent/G,,241.5,42.5,93.5,0.455,27.1,36.8,0.737,,,54.2,24.4,23.9,112.1,1971,,,,,,,,,
6,Lg Rank,,3.0,3.0,2.0,12.0,15.0,15.0,3.0,,,13.0,11.0,11.0,8.0,1971,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,,1971,,,,,,,,,
0,Team,82.0,19805,3409,7560,0.451,1549,2219,0.698,,,3978,1759,2110,8367,1972,,,,,,,,,
1,Team/G,,241.5,41.6,92.2,0.451,18.9,27.1,0.698,,,48.5,21.5,25.7,102.0,1972,,,,,,,,,
2,Lg Rank,,2,17,15,10.0,17,17,17.0,,,14,16,16,17,1972,,,,,,,,,
3,Year/Year,,0.0%,-0.4%,-3.8%,0.015,-14.2%,-11.4%,-0.023,,,-6.6%,-10.3%,-5.5%,-3.3%,1972,,,,,,,,,
4,Opponent,82.0,19805,3479,7557,0.46,2167,2842,0.762,,,4187,1918,1728,9125,1972,,,,,,,,,
5,Opponent/G,,241.5,42.4,92.2,0.46,26.4,34.7,0.762,,,51.1,23.4,21.1,111.3,1972,,,,,,,,,
6,Lg Rank,,2,4,4,12.0,16,16,15.0,,,9,7,17,11,1972,,,,,,,,,
7,Year/Year,,0.0%,-0.2%,-1.4%,0.006,-2.6%,-5.8%,0.026,,,-5.8%,-4.0%,-11.7%,-0.8%,1972,,,,,,,,,
0,Team,82.0,19730,3536,7877,0.449,1399,1966,0.712,,,4158,2218,2034,8471,1973,,,,,,,,,
1,Team/G,,240.6,43.1,96.1,0.449,17.1,24.0,0.712,,,50.7,27.0,24.8,103.3,1973,,,,,,,,,
