,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Elgin Baylor,25,70,,41.0,10.8,25.4,0.424,,,,10.8,25.4,0.424,0.424,8.1,11.0,0.732,,,16.4,3.5,,,,3.3,29.6,1960
1,1,2,Hot Rod Hundley,25,73,,31.2,5.0,14.0,0.358,,,,5.0,14.0,0.358,0.358,2.8,3.7,0.744,,,5.3,4.6,,,,2.7,12.8,1960
2,2,3,Larry Foust,31,47,,29.7,4.8,12.4,0.387,,,,4.8,12.4,0.387,0.387,3.7,4.7,0.786,,,9.3,1.6,,,,3.7,13.3,1960
3,3,4,Rudy LaRusso,22,71,,29.5,5.0,12.9,0.389,,,,5.0,12.9,0.389,0.389,3.7,5.0,0.742,,,9.6,1.2,,,,3.1,13.7,1960
4,4,5,Slick Leonard,27,73,,28.4,3.2,9.8,0.322,,,,3.2,9.8,0.322,0.322,1.9,2.6,0.705,,,3.4,3.5,,,,2.3,8.2,1960
5,5,6,Dick Garmaker,27,44,,27.0,4.5,11.9,0.377,,,,4.5,11.9,0.377,0.377,2.7,3.7,0.718,,,4.3,3.0,,,,2.9,11.7,1960
6,6,7,Frank Selvy,27,43,,25.4,3.9,9.9,0.396,,,,3.9,9.9,0.396,0.396,2.8,3.7,0.763,,,3.0,1.9,,,,1.8,10.7,1960
7,7,8,Ray Felix,29,31,,22.5,3.4,8.4,0.402,,,,3.4,8.4,0.402,0.402,1.6,2.5,0.646,,,8.3,0.9,,,,4.3,8.4,1960
8,8,9,Tom Hawkins,23,69,,21.3,3.2,8.4,0.38,,,,3.2,8.4,0.38,0.38,1.5,2.4,0.646,,,6.2,0.8,,,,2.7,7.9,1960
9,9,10,Jim Krebs,24,75,,16.9,3.2,8.1,0.392,,,,3.2,8.1,0.392,0.392,1.3,1.8,0.721,,,4.4,0.5,,,,2.8,7.6,1960
10,10,11,Steve Hamilton,25,15,,16.5,1.9,5.1,0.377,,,,1.9,5.1,0.377,0.377,1.2,1.5,0.783,,,3.9,0.5,,,,2.6,5.1,1960
11,11,12,Ed Fleming,26,27,,15.3,2.2,5.2,0.418,,,,2.2,5.2,0.418,0.418,2.0,2.6,0.768,,,3.2,1.4,,,,1.7,6.3,1960
12,12,13,Boo Ellis,23,46,,14.6,1.4,4.0,0.346,,,,1.4,4.0,0.346,0.346,1.1,1.7,0.671,,,5.1,0.6,,,,1.4,3.9,1960
13,13,14,Bobby Smith,22,10,,13.0,1.3,5.4,0.241,,,,1.3,5.4,0.241,0.241,1.1,1.6,0.688,,,3.3,1.4,,,,1.0,3.7,1960
14,14,15,Ron Sobie,25,1,,13.0,1.0,4.0,0.25,,,,1.0,4.0,0.25,0.25,0.0,1.0,0.0,,,2.0,2.0,,,,4.0,2.0,1960
15,15,16,Nick Mantis,24,10,,7.1,1.0,3.9,0.256,,,,1.0,3.9,0.256,0.256,0.1,0.2,0.5,,,0.6,0.9,,,,0.8,2.1,1960
16,16,17,Chuck Share,32,3,,6.0,1.0,1.3,0.75,,,,1.0,1.3,0.75,0.75,0.3,0.3,1.0,,,2.0,0.7,,,,1.3,2.3,1960
17,0,1,Elgin Baylor,26,73,,42.9,12.8,29.7,0.43,,,,12.8,29.7,0.43,0.43,9.3,11.8,0.783,,,19.8,5.1,,,,3.8,34.8,1961
18,1,2,Jerry West,22,79,,35.4,6.7,16.0,0.419,,,,6.7,16.0,0.419,0.419,4.2,6.3,0.666,,,7.7,4.2,,,,2.7,17.6,1961
19,2,3,Rudy LaRusso,23,79,,32.8,5.3,12.6,0.419,,,,5.3,12.6,0.419,0.419,4.1,5.2,0.79,,,9.9,1.7,,,,3.5,14.6,1961
