,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3040,7884,0.386,1965,2691,0.73,,,5432,1444,1813,8045,1960,,,,,,,,,
1,Team/G,,,40.5,105.1,0.386,26.2,35.9,0.73,,,72.4,19.3,24.2,107.3,1960,,,,,,,,,
2,Lg Rank,,,8,6,8.0,4,3,5.0,,,4,8,2,8,1960,,,,,,,,,
3,Year/Year,,,5.0%,6.8%,-0.007,-8.9%,-5.0%,-0.032,,,1.3%,1.0%,-7.1%,1.2%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8362,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,111.5,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,2,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,3.9%,1960,,,,,,,,,
0,Team,79.0,,3401,8430,0.403,2204,2999,0.735,,,5816,1728,2043,9006,1961,,,,,,,,,
1,Team/G,,,43.1,106.7,0.403,27.9,38.0,0.735,,,73.6,21.9,25.9,114.0,1961,,,,,,,,,
2,Lg Rank,,,8,5,7.0,3,3,7.0,,,4,8,3,7,1961,,,,,,,,,
3,Year/Year,,,6.2%,1.5%,0.018,6.5%,5.8%,0.005,,,1.6%,13.6%,7.0%,6.3%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9010,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,114.1,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,1,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,2.3%,1961,,,,,,,,,
0,Team,80.0,,3552,8315,0.427,2378,3240,0.734,,,5600,1878,2057,9482,1962,,,,,,,,,
1,Team/G,,,44.4,103.9,0.427,29.7,40.5,0.734,,,70.0,23.5,25.7,118.5,1962,,,,,,,,,
2,Lg Rank,,,7,9,4.0,1,1,4.0,,,6,5,6,6,1962,,,,,,,,,
3,Year/Year,,,3.1%,-2.6%,0.024,6.5%,6.7%,-0.001,,,-4.9%,7.3%,-0.6%,4.0%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9306,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,116.3,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,2,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,2.0%,1962,,,,,,,,,
0,Team,80.0,,3506,7948,0.441,2230,2931,0.761,,,5282,1739,1775,9242,1963,,,,,,,,,
1,Team/G,,,43.8,99.4,0.441,27.9,36.6,0.761,,,66.0,21.7,22.2,115.5,1963,,,,,,,,,
2,Lg Rank,,,6,7,5.0,2,3,2.0,,,6,7,1,5,1963,,,,,,,,,
3,Year/Year,,,-1.3%,-4.4%,0.014,-6.2%,-9.5%,0.027,,,-5.7%,-7.4%,-13.7%,-2.5%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8992,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,112.4,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,3,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-3.4%,1963,,,,,,,,,
0,Team,80.0,,3272,7438,0.44,2230,2910,0.766,,,5025,1676,1997,8774,1964,,,,,,,,,
1,Team/G,,,40.9,93.0,0.44,27.9,36.4,0.766,,,62.8,21.0,25.0,109.7,1964,,,,,,,,,
2,Lg Rank,,,9,9,3.0,1,2,1.0,,,8,5,2,7,1964,,,,,,,,,
3,Year/Year,,,-6.7%,-6.4%,-0.001,0.0%,-0.7%,0.005,,,-4.9%,-3.6%,12.5%,-5.1%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8692,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,108.7,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,4,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-3.3%,1964,,,,,,,,,
0,Team,80.0,19350.0,3336,7628,0.437,2276,2984,0.763,,,5231,1601,1998,8948,1965,,,,,,,,,
1,Team/G,,241.9,41.7,95.4,0.437,28.5,37.3,0.763,,,65.4,20.0,25.0,111.9,1965,,,,,,,,,
2,Lg Rank,,3.0,7,9,3.0,1,3,1.0,,,7,8,2,5,1965,,,,,,,,,
3,Year/Year,,,2.0%,2.6%,-0.003,2.1%,2.5%,-0.004,,,4.1%,-4.5%,0.1%,2.0%,1965,,,,,,,,,
4,Opponent,80.0,19350.0,,,,,,,,,,,,8795,1965,,,,,,,,,
5,Opponent/G,,241.9,,,,,,,,,,,,109.9,1965,,,,,,,,,
6,Lg Rank,,3.0,,,,,,,,,,,,3,1965,,,,,,,,,
