Player,Salary,Year
Shareef Abdur-Rahim,"$9,000,000 ",2000
Bryant Reeves,"$8,666,666 ",2000
Doug West,"$3,295,000 ",2000
Mike Bibby,"$3,092,400 ",2000
Brent Price,"$2,944,000 ",2000
Othella Harrington,"$2,025,000 ",2000
Grant Long,"$2,000,000 ",2000
Cherokee Parks,"$1,925,000 ",2000
Michael Dickerson,"$1,224,960 ",2000
Dennis Scott,"$1,100,000 ",2000
Antoine Carr,"$1,000,000 ",2000
DeJuan Wheat,"$460,000 ",2000
Obinna Ekezie,"$301,875 ",2000
Milt Palacio,"$301,875 ",2000
Joe Stephens,"$88,441 ",2000
Robert Werdann,"$7,471 ",2000
Shareef Abdur-Rahim,"$10,130,000 ",2001
Bryant Reeves,"$10,110,000 ",2001
Isaac Austin,"$5,500,000 ",2001
Doug West,"$3,680,000 ",2001
Mike Bibby,"$3,308,160 ",2001
Stromile Swift,"$3,164,280 ",2001
Brent Price,"$2,880,000 ",2001
Othella Harrington,"$2,250,000 ",2001
Grant Long,"$2,200,000 ",2001
Tony Massenburg,"$1,360,000 ",2001
Michael Dickerson,"$1,310,400 ",2001
Kevin Edwards,"$1,000,000 ",2001
Mahmoud Abdul-Rauf,"$798,500 ",2001
Damon Jones,"$710,000 ",2001
William Cunningham,"$498,500 ",2001
Bryant Reeves,"$11,555,554 ",2002
Isaac Austin,"$5,695,715 ",2002
Lorenzen Wright,"$5,500,000 ",2002
Nick Anderson,"$5,401,906 ",2002
Brevin Knight,"$4,500,000 ",2002
Stromile Swift,"$3,401,640 ",2002
Pau Gasol,"$2,970,840 ",2002
Jason Williams,"$2,554,072 ",2002
Grant Long,"$2,400,000 ",2002
Shane Battier,"$2,203,080 ",2002
Michael Dickerson,"$1,940,702 ",2002
Tony Massenburg,"$1,650,000 ",2002
Rodney Buford,"$481,488 ",2002
Antonis Fotsis,"$332,817 ",2002
Will Solomon,"$332,817 ",2002
Bryant Reeves,"$12,999,998 ",2003
Wesley Person,"$7,000,000 ",2003
Lorenzen Wright,"$6,050,000 ",2003
Michael Dickerson,"$5,500,000 ",2003
Jason Williams,"$5,500,000 ",2003
Brevin Knight,"$5,000,000 ",2003
Stromile Swift,"$3,639,000 ",2003
Pau Gasol,"$3,193,680 ",2003
Drew Gooden,"$2,794,920 ",2003
Shane Battier,"$2,368,200 ",2003
Tony Massenburg,"$1,800,000 ",2003
Cezary Trybanski,"$1,500,000 ",2003
Gordan Giricek,"$1,400,000 ",2003
Earl Watson,"$1,215,000 ",2003
Robert Archibald,"$349,458 ",2003
Mike Batiste,"$349,458 ",2003
Chris Owens,"$349,458 ",2003
Bonzi Wells,"$7,000,000 ",2004
Lorenzen Wright,"$6,600,000 ",2004
Bo Outlaw,"$6,585,000 ",2004
Michael Dickerson,"$6,187,500 ",2004
Jason Williams,"$6,187,500 ",2004
James Posey,"$4,917,000 ",2004
Stromile Swift,"$4,592,418 ",2004
Pau Gasol,"$3,417,000 ",2004
Mike Miller,"$3,380,457 ",2004
Shane Battier,"$2,533,440 ",2004
Jake Tsakalidis,"$1,580,702 ",2004
Earl Watson,"$1,336,500 ",2004
Troy Bell,"$1,285,440 ",2004
Ryan Humphrey,"$1,143,360 ",2004
Dahntay Jones,"$1,063,680 ",2004
Theron Smith,"$366,931 ",2004
Bonzi Wells,"$7,700,000 ",2005
Lorenzen Wright,"$7,150,000 ",2005
Jason Williams,"$6,875,000 ",2005
Bo Outlaw,"$6,573,148 ",2005
Mike Miller,"$6,000,000 ",2005
Stromile Swift,"$5,993,105 ",2005
James Posey,"$5,408,700 ",2005
Brian Cardinal,"$4,903,000 ",2005
Pau Gasol,"$4,318,481 ",2005
Shane Battier,"$3,212,402 ",2005
Jake Tsakalidis,"$2,900,000 ",2005
Earl Watson,"$1,458,000 ",2005
Troy Bell,"$1,381,920 ",2005
Ryan Humphrey,"$1,223,160 ",2005
Dahntay Jones,"$1,143,360 ",2005
Antonio Burks,"$385,277 ",2005
Andre Emmett,"$385,277 ",2005
Eddie Jones,"$14,576,250 ",2006
Pau Gasol,"$10,993,000 ",2006
Lorenzen Wright,"$7,700,000 ",2006
Mike Miller,"$6,750,000 ",2006
Brian Cardinal,"$5,393,300 ",2006
Shane Battier,"$4,903,000 ",2006
Damon Stoudamire,"$3,750,000 ",2006
Bobby Jackson,"$3,375,000 ",2006
Jake Tsakalidis,"$2,900,000 ",2006
Raul Lopez,"$1,744,313 ",2006
Troy Bell,"$1,478,280 ",2006
Dahntay Jones,"$1,223,160 ",2006
Hakim Warrick,"$1,196,520 ",2006
Antonio Burks,"$641,748 ",2006
Anthony Roberson,"$398,762 ",2006
Lawrence Roberts,"$398,762 ",2006
John Thomas,"$103,443 ",2006
Eddie Jones,"$14,863,778 ",2007
Pau Gasol,"$12,364,000 ",2007
Mike Miller,"$7,623,813 ",2007
Brian Cardinal,"$5,400,000 ",2007
Stromile Swift,"$5,400,000 ",2007
Damon Stoudamire,"$4,050,000 ",2007
Chucky Atkins,"$3,000,000 ",2007
Rudy Gay,"$2,242,290 ",2007
Dahntay Jones,"$1,886,113 ",2007
Hakim Warrick,"$1,286,280 ",2007
Kyle Lowry,"$1,011,720 ",2007
Scott Padgett,"$932,015 ",2007
Lawrence Roberts,"$664,209 ",2007
Alexander Johnson,"$412,718 ",2007
Tarence Kinsey,"$412,718 ",2007
Junior Harrington,"$390,556 ",2007
Will Conroy,"$20,279 ",2007
Kwame Brown,"$9,075,000 ",2008
Mike Miller,"$8,376,194 ",2008
Darko Milicic,"$6,500,000 ",2008
Jason Collins,"$6,100,000 ",2008
Brian Cardinal,"$5,850,000 ",2008
Damon Stoudamire,"$4,350,000 ",2008
Mike Conley,"$3,377,160 ",2008
Rudy Gay,"$2,411,160 ",2008
Hakim Warrick,"$1,376,040 ",2008
Javaris Crittenton,"$1,285,200 ",2008
Kyle Lowry,"$1,087,680 ",2008
Casey Jacobsen,"$826,269 ",2008
Aaron McKie,"$750,000 ",2008
Andre Brown,"$711,517 ",2008
Marcus Vinicius,"$687,456 ",2008
Juan Carlos Navarro,"$538,090 ",2008
Jeremy Richardson,"$511,295 ",2008
Tarence Kinsey,"$219,533 ",2008
Bobby Jones,"$85,932 ",2008
Antoine Walker,"$8,854,475 ",2009
Darko Milicic,"$7,020,000 ",2009
Marko Jaric,"$6,575,000 ",2009
Greg Buckner,"$4,010,005 ",2009
O.J. Mayo,"$3,875,040 ",2009
Mike Conley,"$3,630,480 ",2009
Marc Gasol,"$3,093,333 ",2009
Steve Francis,"$2,636,550 ",2009
Rudy Gay,"$2,579,400 ",2009
Chris Mihm,"$2,500,000 ",2009
Damon Stoudamire,"$2,325,000 ",2009
Hakim Warrick,"$2,119,102 ",2009
Hamed Haddadi,"$1,572,221 ",2009
Adonal Foyle,"$1,262,275 ",2009
Mike Wilks,"$998,398 ",2009
Darrell Arthur,"$977,160 ",2009
Quinton Ross,"$854,957 ",2009
Darius Miles,"$704,752 ",2009
Shaun Livingston,"$370,000 ",2009
Zach Randolph,"$16,000,000 ",2010
Marko Jaric,"$7,100,000 ",2010
Hasheem Thabeet,"$4,458,840 ",2010
O.J. Mayo,"$4,165,560 ",2010
Mike Conley,"$3,883,800 ",2010
Steven Hunter,"$3,696,000 ",2010
Rudy Gay,"$3,280,997 ",2010
Marc Gasol,"$3,240,000 ",2010
Ronnie Brewer,"$2,717,161 ",2010
Jerry Stackhouse,"$2,000,000 ",2010
Hamed Haddadi,"$1,627,779 ",2010
Darrell Arthur,"$1,050,480 ",2010
DeMarre Carroll,"$1,009,680 ",2010
Jamaal Tinsley,"$990,300 ",2010
Marcus Williams,"$855,189 ",2010
Sam Young,"$824,200 ",2010
Lester Hudson,"$199,185 ",2010
Allen Iverson,"$161,386 ",2010
Trey Gilder,"$26,917 ",2010
Zach Randolph,"$17,666,666 ",2011
Rudy Gay,"$13,603,750 ",2011
Marko Jaric,"$7,625,000 ",2011
Shane Battier,"$7,354,500 ",2011
Mike Conley,"$4,913,007 ",2011
O.J. Mayo,"$4,456,200 ",2011
Marc Gasol,"$3,480,000 ",2011
Tony Allen,"$3,000,000 ",2011
Xavier Henry,"$2,020,200 ",2011
Hamed Haddadi,"$1,600,000 ",2011
Darrell Arthur,"$1,123,680 ",2011
Greivis Vasquez,"$1,035,960 ",2011
Sam Young,"$886,000 ",2011
Jason Williams,"$524,964 ",2011
Ishmael Smith,"$473,604 ",2011
Rodney Carney,"$274,756 ",2011
Acie Law,"$203,057 ",2011
Zach Randolph,"$15,200,000 ",2012
Rudy Gay,"$15,032,144 ",2012
Marc Gasol,"$12,922,194 ",2012
Mike Conley,"$6,611,571 ",2012
O.J. Mayo,"$5,632,637 ",2012
Tony Allen,"$3,150,000 ",2012
Marreese Speights,"$2,721,255 ",2012
Darrell Arthur,"$2,027,119 ",2012
Dante Cunningham,"$2,000,000 ",2012
Hamed Haddadi,"$1,300,000 ",2012
Quincy Pondexter,"$1,153,800 ",2012
Jeremy Pargo,"$1,000,000 ",2012
Sam Young,"$947,800 ",2012
Josh Selby,"$550,000 ",2012
Josh Davis,"$314,041 ",2012
Gilbert Arenas,"$312,342 ",2012
Brian Skinner,"$65,446 ",2012
Zach Randolph,"$16,500,000 ",2013
Marc Gasol,"$13,891,359 ",2013
Mike Conley,"$7,305,786 ",2013
Tayshaun Prince,"$6,764,045 ",2013
Tony Allen,"$3,300,000 ",2013
Darrell Arthur,"$3,006,217 ",2013
