,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Blue Edwards,30.0,82,82.0,2773,401,956,0.419,84,245,0.343,317,711,0.446,0.463,157,208,0.755,98,248,346,212,118,46,170,243,1043,1996
1,1,2.0,Bryant Reeves,22.0,77,63.0,2460,401,877,0.457,0,3,0.0,401,874,0.459,0.457,219,299,0.732,178,392,570,109,43,55,157,226,1021,1996
2,2,3.0,Greg Anthony,28.0,69,68.0,2096,324,781,0.415,90,271,0.332,234,510,0.459,0.472,229,297,0.771,29,145,174,476,116,11,160,137,967,1996
3,3,4.0,Chris King,26.0,80,66.0,1930,250,585,0.427,44,113,0.389,206,472,0.436,0.465,90,136,0.662,102,183,285,104,68,33,103,163,634,1996
4,4,5.0,Byron Scott,34.0,80,0.0,1894,271,676,0.401,74,221,0.335,197,455,0.433,0.456,203,243,0.835,40,152,192,123,63,22,100,126,819,1996
5,5,6.0,Anthony Avent,26.0,71,32.0,1586,179,466,0.384,0,0,,179,466,0.384,0.384,57,77,0.74,108,247,355,69,30,42,107,202,415,1996
6,6,7.0,Eric Murdock,27.0,64,14.0,1480,220,521,0.422,39,122,0.32,181,399,0.454,0.46,106,131,0.809,21,134,155,292,129,9,120,124,585,1996
7,7,8.0,Ashraf Amaya,24.0,54,34.0,1104,121,252,0.48,0,1,0.0,121,251,0.482,0.48,97,149,0.651,114,189,303,33,22,10,57,151,339,1996
8,8,9.0,Gerald Wilkins,32.0,28,14.0,738,77,205,0.376,14,64,0.219,63,141,0.447,0.41,20,23,0.87,22,43,65,68,22,2,37,55,188,1996
9,9,10.0,Eric Mobley,25.0,34,1.0,611,72,131,0.55,1,2,0.5,71,129,0.55,0.553,37,83,0.446,51,77,128,22,13,23,49,82,182,1996
10,10,11.0,Lawrence Moten,23.0,44,3.0,573,112,247,0.453,18,55,0.327,94,192,0.49,0.49,49,75,0.653,36,25,61,50,29,8,44,54,291,1996
11,11,12.0,Kenny Gattison,31.0,25,14.0,570,91,190,0.479,0,0,,91,190,0.479,0.479,47,78,0.603,35,79,114,14,10,11,40,75,229,1996
12,12,13.0,Doug Edwards,25.0,31,0.0,519,32,91,0.352,0,4,0.0,32,87,0.368,0.352,29,38,0.763,35,52,87,39,10,18,29,51,93,1996
