,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19880.0,2772.0,6483.0,0.428,372.0,1129.0,0.329,2400.0,5354.0,0.448,1446.0,1998.0,0.724,957.0,2170.0,3127.0,1706.0,728.0,333.0,1347.0,1852.0,7362.0,1996
1,Team/G,,242.4,33.8,79.1,0.428,4.5,13.8,0.329,29.3,65.3,0.448,17.6,24.4,0.724,11.7,26.5,38.1,20.8,8.9,4.1,16.4,22.6,89.8,1996
2,Lg Rank,,6.0,28.0,20.0,27.0,24.0,23.0,28.0,24.0,13.0,27.0,24.0,23.0,22.0,22.0,25.0,28.0,25.0,5.0,24.0,20.0,13.0,29.0,1996
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1996
4,Opponent,82.0,19880.0,3080.0,6486.0,0.475,459.0,1226.0,0.374,2621.0,5260.0,0.498,1561.0,2129.0,0.733,1102.0,2550.0,3652.0,1988.0,698.0,474.0,1423.0,1785.0,8180.0,1996
5,Opponent/G,,242.4,37.6,79.1,0.475,5.6,15.0,0.374,32.0,64.1,0.498,19.0,26.0,0.733,13.4,31.1,44.5,24.2,8.5,5.8,17.4,21.8,99.8,1996
6,Lg Rank,,6.0,16.0,12.0,22.0,10.0,7.0,21.0,17.0,15.0,19.0,14.0,17.0,8.0,23.0,27.0,28.0,23.0,21.0,22.0,2.0,25.0,15.0,1996
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1996
0,Team,82.0,19780,2819,6453,0.437,445,1274,0.349,2374,5179,0.458,1230,1734,0.709,1023,2155,3178,1862,657,464,1301,1755,7313,1997
1,Team/G,,241.2,34.4,78.7,0.437,5.4,15.5,0.349,29.0,63.2,0.458,15.0,21.1,0.709,12.5,26.3,38.8,22.7,8.0,5.7,15.9,21.4,89.2,1997
2,Lg Rank,,22,26,16,26.0,20,22,23.0,21,14,28.0,29,29,27.0,15,28,27,10,15,6,16,9,28,1997
3,Year/Year,,-0.5%,1.7%,-0.5%,0.009,19.6%,12.8%,0.02,-1.1%,-3.3%,0.01,-14.9%,-13.2%,-0.014,6.9%,-0.7%,1.6%,9.1%,-9.8%,39.3%,-3.4%,-5.2%,-0.7%,1997
4,Opponent,82.0,19780,3092,6556,0.472,500,1369,0.365,2592,5187,0.5,1468,2018,0.727,1206,2426,3632,1974,725,461,1251,1593,8152,1997
5,Opponent/G,,241.2,37.7,80.0,0.472,6.1,16.7,0.365,31.6,63.3,0.5,17.9,24.6,0.727,14.7,29.6,44.3,24.1,8.8,5.6,15.3,19.4,99.4,1997
6,Lg Rank,,22,23,18,26.0,19,13,19.0,23,16,27.0,9,11,4.0,29,22,27,25,24,26,22,29,21,1997
7,Year/Year,,-0.5%,0.4%,1.1%,-0.003,8.9%,11.7%,-0.009,-1.1%,-1.4%,0.001,-6.0%,-5.2%,-0.006,9.4%,-4.9%,-0.5%,-0.7%,3.9%,-2.7%,-12.1%,-10.8%,-0.3%,1997
0,Team,82.0,19830,3006,6567,0.458,325,898,0.362,2681,5669,0.473,1586,2145,0.739,1081,2313,3394,1960,614,349,1405,1809,7923,1998
1,Team/G,,241.8,36.7,80.1,0.458,4.0,11.0,0.362,32.7,69.1,0.473,19.3,26.2,0.739,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6,1998
2,Lg Rank,,10,9,12,9.0,14,20,6.0,7,10,13.0,15,15,16.0,12,18,15,6,26,24,28,10,10,1998
3,Year/Year,,0.3%,6.6%,1.8%,0.021,-27.0%,-29.5%,0.013,12.9%,9.5%,0.015,28.9%,23.7%,0.03,5.7%,7.3%,6.8%,5.3%,-6.5%,-24.8%,8.0%,3.1%,8.3%,1998
4,Opponent,82.0,19830,3230,6797,0.475,428,1111,0.385,2802,5686,0.493,1634,2233,0.732,1146,2356,3502,2101,836,538,1163,1832,8522,1998
5,Opponent/G,,241.8,39.4,82.9,0.475,5.2,13.5,0.385,34.2,69.3,0.493,19.9,27.2,0.732,14.0,28.7,42.7,25.6,10.2,6.6,14.2,22.3,103.9,1998
6,Lg Rank,,10,27,24,27.0,28,23,29.0,27,23,25.0,17,18,11.0,25,20,23,28,29,29,23,15,28,1998
7,Year/Year,,0.3%,4.5%,3.7%,0.004,-14.4%,-18.8%,0.02,8.1%,9.6%,-0.007,11.3%,10.7%,0.004,-5.0%,-2.9%,-3.6%,6.4%,15.3%,16.7%,-7.0%,15.0%,4.5%,1998
0,Team,50.0,12175,1643,3838,0.428,148,453,0.327,1495,3385,0.442,1009,1408,0.717,650,1359,2009,964,420,199,848,1123,4443,1999
1,Team/G,,243.5,32.9,76.8,0.428,3.0,9.1,0.327,29.9,67.7,0.442,20.2,28.2,0.717,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5,88.9,1999
2,Lg Rank,,2,24,18,19.0,26,26,21.0,15,8,23.0,9,6,20.0,12,27,23,23,16,27,29,13,24,1999
3,Year/Year,,0.7%,-10.4%,-4.2%,-0.03,-25.3%,-17.3%,-0.035,-8.5%,-2.1%,-0.031,4.3%,7.7%,-0.023,-1.4%,-3.6%,-2.9%,-19.3%,12.2%,-6.5%,-1.0%,1.8%,-8.0%,1999
4,Opponent,50.0,12175,1813,3917,0.463,229,653,0.351,1584,3264,0.485,1021,1400,0.729,673,1456,2129,1189,490,328,779,1165,4876,1999
5,Opponent/G,,243.5,36.3,78.3,0.463,4.6,13.1,0.351,31.7,65.3,0.485,20.4,28.0,0.729,13.5,29.1,42.6,23.8,9.8,6.6,15.6,23.3,97.5,1999
6,Lg Rank,,2,24,17,27.0,18,14,22.0,25,18,27.0,22,23,16.0,27,17,20,29,28,29,14,6,26,1999
7,Year/Year,,0.7%,-7.9%,-5.5%,-0.012,-12.3%,-3.6%,-0.035,-7.3%,-5.9%,-0.007,2.5%,2.8%,-0.002,-3.7%,1.4%,-0.3%,-7.2%,-3.9%,-0.0%,9.9%,4.3%,-6.2%,1999
0,Team,82.0,19855,2892,6441,0.449,324,898,0.361,2568,5543,0.463,1594,2060,0.774,1005,2324,3329,1700,608,346,1381,1881,7702,2000
1,Team/G,,242.1,35.3,78.5,0.449,4.0,11.0,0.361,31.3,67.6,0.463,19.4,25.1,0.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9,2000
2,Lg Rank,,2,27,24,18.0,25,22,13.0,20,14,20.0,10,16,8.0,19,27,28,24,21,26,25,12,26,2000
3,Year/Year,,-0.6%,7.3%,2.3%,0.021,33.5%,20.9%,0.034,4.7%,-0.2%,0.022,-3.7%,-10.8%,0.057,-5.7%,4.3%,1.0%,7.5%,-11.7%,6.0%,-0.7%,2.1%,5.7%,2000
4,Opponent,82.0,19855,3136,6613,0.474,361,1083,0.333,2775,5530,0.502,1530,1989,0.769,970,2336,3306,1932,725,519,1234,1912,8163,2000
5,Opponent/G,,242.1,38.2,80.6,0.474,4.4,13.2,0.333,33.8,67.4,0.502,18.7,24.3,0.769,11.8,28.5,40.3,23.6,8.8,6.3,15.0,23.3,99.5,2000
6,Lg Rank,,2,23,10,28.0,7,12,4.0,23,14,29.0,15,9,27.0,8,3,3,21,25,28,17,13,17,2000
7,Year/Year,,-0.6%,5.5%,2.9%,0.011,-3.9%,1.1%,-0.017,6.8%,3.3%,0.017,-8.6%,-13.4%,0.04,-12.1%,-2.2%,-5.3%,-0.9%,-9.8%,-3.5%,-3.4%,0.1%,2.1%,2000
0,Team,82.0,19780,2870,6539,0.439,325,947,0.343,2545,5592,0.455,1457,1892,0.77,894,2431,3325,1899,586,359,1291,1733,7522,2001
1,Team/G,,241.2,35.0,79.7,0.439,4.0,11.5,0.343,31.0,68.2,0.455,17.8,23.1,0.77,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1,91.7,2001
2,Lg Rank,,21,21,15,17.0,23,23,21.0,15,11,18.0,19,24,6.0,26,22,24,8,23,25,20,7,25,2001
