,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Rory Sparrow,30.0,80,79.0,2613,444,982,0.452,18,74,0.243,426,908,0.469,0.461,94,107,0.879,55,161,216,429,103,17,204,168,1000,1989
1,1,2.0,Grant Long,22.0,82,73.0,2435,336,692,0.486,0,5,0.0,336,687,0.489,0.486,304,406,0.749,240,306,546,149,122,48,201,337,976,1989
2,2,3.0,Kevin Edwards,23.0,79,62.0,2349,470,1105,0.425,10,37,0.27,460,1068,0.431,0.43,144,193,0.746,85,177,262,349,139,27,246,154,1094,1989
3,3,4.0,Billy Thompson,25.0,79,58.0,2273,349,716,0.487,0,4,0.0,349,712,0.49,0.487,156,224,0.696,241,331,572,176,56,105,189,260,854,1989
4,4,5.0,Rony Seikaly,23.0,78,62.0,1962,333,744,0.448,1,4,0.25,332,740,0.449,0.448,181,354,0.511,204,345,549,55,46,96,200,258,848,1989
5,5,6.0,Jon Sundvold,27.0,68,8.0,1338,307,675,0.455,48,92,0.522,259,583,0.444,0.49,47,57,0.825,18,69,87,137,27,1,87,78,709,1989
6,6,7.0,Sylvester Gray,21.0,55,15.0,1220,167,398,0.42,1,4,0.25,166,394,0.421,0.421,105,156,0.673,117,169,286,117,36,25,102,144,440,1989
7,7,8.0,Scott Hastings,28.0,75,6.0,1206,143,328,0.436,9,28,0.321,134,300,0.447,0.45,91,107,0.85,72,159,231,59,32,42,68,203,386,1989
8,8,9.0,Pat Cummings,32.0,53,28.0,1096,197,394,0.5,0,2,0.0,197,392,0.503,0.5,72,97,0.742,84,197,281,47,29,18,111,160,466,1989
9,9,10.0,Pearl Washington,25.0,54,8.0,1065,164,387,0.424,1,14,0.071,163,373,0.437,0.425,82,104,0.788,49,74,123,226,73,4,122,101,411,1989
10,10,11.0,John Shasky,24.0,65,4.0,944,121,248,0.488,0,2,0.0,121,246,0.492,0.488,115,167,0.689,96,136,232,22,14,13,46,94,357,1989
11,11,12.0,Anthony Taylor,23.0,21,7.0,368,60,151,0.397,0,2,0.0,60,149,0.403,0.397,24,32,0.75,11,23,34,43,22,5,20,37,144,1989
12,12,13.0,Craig Neal,24.0,32,0.0,341,34,88,0.386,8,25,0.32,26,63,0.413,0.432,13,21,0.619,4,14,18,86,15,4,40,46,89,1989
13,13,14.0,Todd Mitchell,22.0,22,0.0,320,41,88,0.466,0,0,,41,88,0.466,0.466,36,60,0.6,17,30,47,20,15,2,29,49,118,1989
14,14,15.0,Kelvin Upshaw,26.0,9,0.0,144,26,63,0.413,1,5,0.2,25,58,0.431,0.421,4,6,0.667,4,9,13,20,7,0,13,18,57,1989
15,15,16.0,Clinton Wheeler,29.0,8,0.0,143,24,42,0.571,0,0,,24,42,0.571,0.571,8,10,0.8,5,7,12,21,8,0,6,9,56,1989
16,16,17.0,Dave Popson,24.0,7,0.0,38,5,15,0.333,0,0,,5,15,0.333,0.333,1,2,0.5,7,4,11,2,0,1,4,8,11,1989
17,0,1.0,Sherman Douglas,23.0,81,66.0,2470,463,938,0.494,5,31,0.161,458,907,0.505,0.496,224,326,0.687,70,136,206,619,145,10,246,187,1155,1990
18,1,2.0,Rony Seikaly,24.0,74,72.0,2409,486,968,0.502,0,1,0.0,486,967,0.503,0.502,256,431,0.594,253,513,766,78,78,124,236,258,1228,1990
19,2,3.0,Glen Rice,22.0,77,60.0,2311,470,1071,0.439,17,69,0.246,453,1002,0.452,0.447,91,124,0.734,100,252,352,138,67,27,113,198,1048,1990
20,3,4.0,Kevin Edwards,24.0,78,54.0,2211,395,959,0.412,9,30,0.3,386,929,0.416,0.417,139,183,0.76,77,205,282,252,125,33,180,149,938,1990
21,4,5.0,Billy Thompson,26.0,79,45.0,2142,375,727,0.516,2,4,0.5,373,723,0.516,0.517,115,185,0.622,238,313,551,166,54,89,156,237,867,1990
22,5,6.0,Grant Long,23.0,81,31.0,1856,257,532,0.483,0,3,0.0,257,529,0.486,0.483,172,241,0.714,156,246,402,96,91,38,139,300,686,1990
23,6,7.0,Tellis Frank,24.0,77,39.0,1762,278,607,0.458,0,0,,278,607,0.458,0.458,179,234,0.765,151,234,385,85,51,27,134,282,735,1990
24,7,8.0,Rory Sparrow,31.0,82,25.0,1756,210,510,0.412,8,40,0.2,202,470,0.43,0.42,59,77,0.766,37,101,138,298,49,4,99,140,487,1990
25,8,9.0,Terry Davis,22.0,63,9.0,884,122,262,0.466,0,1,0.0,122,261,0.467,0.466,54,87,0.621,93,136,229,25,25,28,68,171,298,1990
26,9,10.0,Jon Sundvold,28.0,63,2.0,867,148,363,0.408,44,100,0.44,104,263,0.395,0.468,44,52,0.846,15,56,71,102,25,0,52,69,384,1990
27,10,11.0,Scott Haffner,23.0,43,6.0,559,88,217,0.406,3,21,0.143,85,196,0.434,0.412,17,25,0.68,7,44,51,80,13,2,33,53,196,1990
28,11,12.0,Pat Cummings,33.0,37,1.0,391,77,159,0.484,0,0,,77,159,0.484,0.484,21,37,0.568,28,65,93,13,12,4,32,60,175,1990
29,12,13.0,Jim Rowinski,29.0,14,0.0,112,14,32,0.438,0,0,,14,32,0.438,0.438,22,26,0.846,17,12,29,5,1,2,10,19,50,1990
30,0,1.0,Glen Rice,23.0,77,77.0,2646,550,1193,0.461,71,184,0.386,479,1009,0.475,0.491,171,209,0.818,85,296,381,189,101,26,166,216,1342,1991
31,1,2.0,Sherman Douglas,24.0,73,73.0,2562,532,1055,0.504,4,31,0.129,528,1024,0.516,0.506,284,414,0.686,78,131,209,624,121,5,270,178,1352,1991
32,2,3.0,Grant Long,24.0,80,66.0,2514,276,561,0.492,1,6,0.167,275,555,0.495,0.493,181,230,0.787,225,343,568,176,119,43,156,295,734,1991
33,3,4.0,Rony Seikaly,25.0,64,59.0,2171,395,822,0.481,2,6,0.333,393,816,0.482,0.482,258,417,0.619,207,502,709,95,51,86,205,213,1050,1991
34,4,5.0,Kevin Edwards,25.0,79,16.0,2000,380,927,0.41,24,84,0.286,356,843,0.422,0.423,171,213,0.803,80,125,205,240,129,46,163,151,955,1991
35,5,6.0,Willie Burton,22.0,76,26.0,1928,341,773,0.441,4,30,0.133,337,743,0.454,0.444,229,293,0.782,111,151,262,107,72,24,144,275,915,1991
36,6,7.0,Billy Thompson,27.0,73,46.0,1481,205,411,0.499,0,4,0.0,205,407,0.504,0.499,89,124,0.718,120,192,312,111,32,48,117,161,499,1991
37,7,8.0,Bimbo Coles,22.0,82,9.0,1355,162,393,0.412,6,34,0.176,156,359,0.435,0.42,71,95,0.747,56,97,153,232,65,12,98,149,401,1991
38,8,9.0,Alec Kessler,24.0,78,18.0,1259,199,468,0.425,0,4,0.0,199,464,0.429,0.425,88,131,0.672,115,221,336,31,17,26,108,189,486,1991
39,9,10.0,Terry Davis,23.0,55,17.0,996,115,236,0.487,1,2,0.5,114,234,0.487,0.489,69,124,0.556,107,159,266,39,18,28,36,129,300,1991
40,10,11.0,Keith Askins,23.0,39,1.0,266,34,81,0.42,6,25,0.24,28,56,0.5,0.457,12,25,0.48,30,38,68,19,16,13,11,46,86,1991
41,11,12.0,Alan Ogg,23.0,31,1.0,261,24,55,0.436,0,2,0.0,24,53,0.453,0.436,6,10,0.6,15,34,49,2,6,27,8,53,54,1991
42,12,13.0,Jon Sundvold,29.0,24,0.0,225,43,107,0.402,15,35,0.429,28,72,0.389,0.472,11,11,1.0,3,6,9,24,7,0,16,11,112,1991
43,13,14.0,Milt Wagner,27.0,13,1.0,116,24,57,0.421,6,17,0.353,18,40,0.45,0.474,9,11,0.818,0,7,7,15,2,3,12,14,63,1991
44,0,1.0,Grant Long,25.0,82,82.0,3063,440,890,0.494,6,22,0.273,434,868,0.5,0.498,326,404,0.807,259,432,691,225,139,40,185,248,1212,1992
45,1,2.0,Glen Rice,24.0,79,79.0,3007,672,1432,0.469,155,396,0.391,517,1036,0.499,0.523,266,318,0.836,84,310,394,184,90,35,145,170,1765,1992
46,2,3.0,Rony Seikaly,26.0,79,78.0,2800,463,947,0.489,0,3,0.0,463,944,0.49,0.489,370,505,0.733,307,627,934,109,40,121,216,278,1296,1992
47,3,4.0,Bimbo Coles,23.0,81,28.0,1976,295,649,0.455,10,52,0.192,285,597,0.477,0.462,216,262,0.824,69,120,189,366,73,13,167,151,816,1992
48,4,5.0,Kevin Edwards,26.0,81,1.0,1840,325,716,0.454,7,32,0.219,318,684,0.465,0.459,162,191,0.848,56,155,211,170,99,20,120,138,819,1992
49,5,6.0,Steve Smith,22.0,61,59.0,1806,297,654,0.454,40,125,0.32,257,529,0.486,0.485,95,127,0.748,81,107,188,278,59,19,152,162,729,1992
50,6,7.0,Willie Burton,23.0,68,50.0,1585,280,622,0.45,6,15,0.4,274,607,0.451,0.455,196,245,0.8,76,168,244,123,46,37,119,186,762,1992
51,7,8.0,Alec Kessler,25.0,77,4.0,1197,158,383,0.413,0,0,,158,383,0.413,0.413,94,115,0.817,114,200,314,34,17,32,58,185,410,1992
52,8,9.0,Brian Shaw,25.0,46,23.0,987,139,349,0.398,5,16,0.313,134,333,0.402,0.405,37,51,0.725,39,96,135,161,45,12,67,86,320,1992
53,9,10.0,Keith Askins,24.0,59,4.0,843,84,205,0.41,25,73,0.342,59,132,0.447,0.471,26,37,0.703,65,77,142,38,40,15,47,109,219,1992
54,10,11.0,Alan Ogg,24.0,43,0.0,367,46,84,0.548,0,0,,46,84,0.548,0.548,16,30,0.533,30,44,74,7,5,28,19,73,108,1992
55,11,12.0,John Morton,24.0,21,0.0,216,33,81,0.407,2,15,0.133,31,66,0.47,0.42,24,29,0.828,3,16,19,27,12,1,24,20,92,1992
56,12,13.0,Sherman Douglas,25.0,5,2.0,98,16,31,0.516,0,1,0.0,16,30,0.533,0.516,5,7,0.714,1,5,6,19,4,0,8,10,37,1992
57,13,14.0,Milos Babic,23.0,9,0.0,35,6,13,0.462,0,0,,6,13,0.462,0.462,6,8,0.75,2,9,11,6,1,0,5,0,18,1992
58,14,15.0,Jon Sundvold,30.0,3,0.0,8,1,3,0.333,1,1,1.0,0,2,0.0,0.5,0,0,,0,0,0,2,0,0,0,2,3,1992
59,15,16.0,Winston Bennett,26.0,2,0.0,2,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,0,0,0,1,2,1992
60,0,1.0,Glen Rice,25.0,82,82.0,3082,582,1324,0.44,148,386,0.383,434,938,0.463,0.495,242,295,0.82,92,332,424,180,92,25,157,201,1554,1993
61,1,2.0,Grant Long,26.0,76,62.0,2728,397,847,0.469,6,26,0.231,391,821,0.476,0.472,261,341,0.765,197,371,568,182,104,31,133,264,1061,1993
62,2,3.0,Rony Seikaly,27.0,72,64.0,2456,417,868,0.48,1,8,0.125,416,860,0.484,0.481,397,540,0.735,259,587,846,100,38,83,203,260,1232,1993
63,3,4.0,Bimbo Coles,24.0,81,37.0,2232,318,686,0.464,42,137,0.307,276,549,0.503,0.494,177,220,0.805,58,108,166,373,80,11,108,199,855,1993
64,4,5.0,Steve Smith,23.0,48,43.0,1610,279,619,0.451,53,132,0.402,226,487,0.464,0.494,155,197,0.787,56,141,197,267,50,16,129,148,766,1993
65,5,6.0,Brian Shaw,26.0,68,45.0,1603,197,501,0.393,43,130,0.331,154,371,0.415,0.436,61,78,0.782,70,187,257,235,48,19,96,163,498,1993
66,6,7.0,John Salley,28.0,51,34.0,1422,154,307,0.502,0,0,,154,307,0.502,0.502,115,144,0.799,113,200,313,83,32,70,101,192,423,1993
67,7,8.0,Harold Miner,21.0,73,0.0,1383,292,615,0.475,3,9,0.333,289,606,0.477,0.477,163,214,0.762,74,73,147,73,34,8,92,130,750,1993
68,8,9.0,Kevin Edwards,27.0,40,30.0,1134,216,462,0.468,5,17,0.294,211,445,0.474,0.473,119,141,0.844,48,73,121,120,68,12,75,69,556,1993
69,9,10.0,Keith Askins,25.0,69,1.0,935,88,213,0.413,22,65,0.338,66,148,0.446,0.465,29,40,0.725,74,124,198,31,31,29,37,141,227,1993
70,10,11.0,Matt Geiger,23.0,48,2.0,554,76,145,0.524,0,4,0.0,76,141,0.539,0.524,62,92,0.674,46,74,120,14,15,18,36,123,214,1993
71,11,12.0,Willie Burton,24.0,26,8.0,451,54,141,0.383,5,15,0.333,49,126,0.389,0.401,91,127,0.717,22,48,70,16,13,16,50,58,204,1993
72,12,13.0,Alec Kessler,26.0,40,2.0,415,57,122,0.467,5,11,0.455,52,111,0.468,0.488,36,47,0.766,25,66,91,14,4,12,21,63,155,1993
73,0,1.0,Glen Rice,26.0,81,81.0,2999,663,1421,0.467,132,346,0.382,531,1075,0.494,0.513,250,284,0.88,76,358,434,184,110,32,130,186,1708,1994
74,1,2.0,Steve Smith,24.0,78,77.0,2776,491,1076,0.456,91,262,0.347,400,814,0.491,0.499,273,327,0.835,156,196,352,394,84,35,202,217,1346,1994
75,2,3.0,Rony Seikaly,28.0,72,60.0,2410,392,803,0.488,0,2,0.0,392,801,0.489,0.488,304,422,0.72,244,496,740,136,59,100,195,279,1088,1994
76,3,4.0,Grant Long,27.0,69,59.0,2201,300,672,0.446,1,6,0.167,299,666,0.449,0.447,187,238,0.786,190,305,495,170,89,26,125,244,788,1994
