,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19855.0,3221.0,7116.0,0.453,97.0,298.0,0.326,3124.0,6818.0,0.458,1477.0,2103.0,0.702,1309.0,2211.0,3520.0,1958.0,744.0,408.0,1728.0,2124.0,8016.0,1989
1,Team/G,,242.1,39.3,86.8,0.453,1.2,3.6,0.326,38.1,83.1,0.458,18.0,25.6,0.702,16.0,27.0,42.9,23.9,9.1,5.0,21.1,25.9,97.8,1989
2,Lg Rank,,3.0,24.0,19.0,25.0,21.0,22.0,12.0,22.0,11.0,25.0,25.0,24.0,24.0,6.0,23.0,18.0,23.0,13.0,18.0,25.0,24.0,25.0,1989
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1989
4,Opponent,82.0,19855.0,3384.0,6928.0,0.488,148.0,432.0,0.343,3236.0,6496.0,0.498,2021.0,2613.0,0.773,1188.0,2366.0,3554.0,2062.0,926.0,553.0,1543.0,1830.0,8937.0,1989
5,Opponent/G,,242.1,41.3,84.5,0.488,1.8,5.3,0.343,39.5,79.2,0.498,24.6,31.9,0.773,14.5,28.9,43.3,25.1,11.3,6.7,18.8,22.3,109.0,1989
6,Lg Rank,,3.0,6.0,2.0,20.0,4.0,2.0,20.0,8.0,3.0,18.0,22.0,22.0,16.0,13.0,12.0,12.0,9.0,24.0,25.0,7.0,22.0,11.0,1989
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1989
0,Team,82.0,19730,3383,7345,0.461,88,300,0.293,3295,7045,0.468,1393,2028,0.687,1242,2313,3555,1957,736,388,1557,2123,8247,1990
1,Team/G,,240.6,41.3,89.6,0.461,1.1,3.7,0.293,40.2,85.9,0.468,17.0,24.7,0.687,15.1,28.2,43.4,23.9,9.0,4.7,19.0,25.9,100.6,1990
2,Lg Rank,,22,16,6,23.0,23,23,21.0,9,4,24.0,27,25,27.0,6,21,14,21,12,16,27,27,24,1990
3,Year/Year,,-0.6%,5.0%,3.2%,0.008,-9.3%,0.7%,-0.032,5.5%,3.3%,0.01,-5.7%,-3.6%,-0.015,-5.1%,4.6%,1.0%,-0.1%,-1.1%,-4.9%,-9.9%,-0.0%,2.9%,1990
4,Opponent,82.0,19730,3418,7010,0.488,158,462,0.342,3260,6548,0.498,2050,2716,0.755,1125,2467,3592,2076,860,477,1473,1781,9044,1990
5,Opponent/G,,240.6,41.7,85.5,0.488,1.9,5.6,0.342,39.8,79.9,0.498,25.0,33.1,0.755,13.7,30.1,43.8,25.3,10.5,5.8,18.0,21.7,110.3,1990
6,Lg Rank,,22,15,9,22.0,6,4,20.0,16,13,21.0,27,27,7.0,11,20,19,17,27,24,4,22,24,1990
7,Year/Year,,-0.6%,1.0%,1.2%,-0.001,6.8%,6.9%,-0.001,0.7%,0.8%,-0.0,1.4%,3.9%,-0.019,-5.3%,4.3%,1.1%,0.7%,-7.1%,-13.7%,-4.5%,-2.7%,1.2%,1990
0,Team,82.0,19780,3280,7139,0.459,140,464,0.302,3140,6675,0.47,1649,2307,0.715,1232,2302,3534,1904,756,387,1551,2080,8349,1991
1,Team/G,,241.2,40.0,87.1,0.459,1.7,5.7,0.302,38.3,81.4,0.47,20.1,28.1,0.715,15.0,28.1,43.1,23.2,9.2,4.7,18.9,25.4,101.8,1991
2,Lg Rank,,20,21,13,22.0,18,16,20.0,15,11,22.0,18,10,26.0,8,22,13,20,8,18,27,24,21,1991
3,Year/Year,,0.3%,-3.0%,-2.8%,-0.001,59.1%,54.7%,0.008,-4.7%,-5.3%,0.003,18.4%,13.8%,0.028,-0.8%,-0.5%,-0.6%,-2.7%,2.7%,-0.3%,-0.4%,-2.0%,1.2%,1991
4,Opponent,82.0,19780,3335,6974,0.478,173,514,0.337,3162,6460,0.489,1997,2603,0.767,1176,2364,3540,2006,853,502,1466,1960,8840,1991
5,Opponent/G,,241.2,40.7,85.0,0.478,2.1,6.3,0.337,38.6,78.8,0.489,24.4,31.7,0.767,14.3,28.8,43.2,24.5,10.4,6.1,17.9,23.9,107.8,1991
