,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Jon McGlocklin,25,80,,36.1,8.3,17.0,0.487,,,,8.3,17.0,0.487,0.487,3.1,3.7,0.842,,,4.3,3.9,,,,2.3,19.6,1969
1,1,2,Flynn Robinson,27,65,,31.8,7.7,17.7,0.436,,,,7.7,17.7,0.436,0.436,4.9,5.8,0.841,,,3.6,4.9,,,,3.2,20.3,1969
2,2,3,Wayne Embry,31,78,,30.2,4.9,11.5,0.427,,,,4.9,11.5,0.427,0.427,3.3,5.0,0.664,,,8.6,1.9,,,,3.9,13.1,1969
3,3,4,Fred Hetzel,26,53,,30.0,6.0,14.3,0.416,,,,6.0,14.3,0.416,0.416,4.0,4.8,0.837,,,8.9,1.6,,,,3.6,15.9,1969
4,4,5,Zaid Abdul-Aziz,22,29,,28.9,4.3,12.0,0.363,,,,4.3,12.0,0.363,0.363,2.3,3.7,0.642,,,13.0,1.1,,,,3.4,11.0,1969
5,5,6,Greg Smith,22,79,,27.9,3.5,7.8,0.45,,,,3.5,7.8,0.45,0.45,1.2,2.0,0.587,,,10.2,1.7,,,,3.3,8.1,1969
6,6,7,Len Chappell,28,80,,27.6,5.7,12.6,0.454,,,,5.7,12.6,0.454,0.454,3.1,4.2,0.737,,,8.0,1.2,,,,3.1,14.6,1969
7,7,8,Guy Rodgers,33,81,,26.6,4.0,10.6,0.377,,,,4.0,10.6,0.377,0.377,2.3,2.9,0.793,,,2.8,6.9,,,,2.6,10.3,1969
8,8,9,Dave Gambee,31,34,,18.4,4.4,9.5,0.464,,,,4.4,9.5,0.464,0.464,3.2,3.9,0.827,,,5.3,0.9,,,,2.9,12.1,1969
9,9,10,Bob Love,26,14,,16.2,2.8,7.6,0.368,,,,2.8,7.6,0.368,0.368,2.1,2.7,0.763,,,4.6,0.2,,,,1.6,7.6,1969
10,10,11,Dick Cunningham,22,77,,16.1,1.8,4.3,0.425,,,,1.8,4.3,0.425,0.425,0.9,1.4,0.651,,,5.7,0.8,,,,2.2,4.6,1969
11,11,12,Bob Weiss,26,15,,16.1,2.4,7.6,0.316,,,,2.4,7.6,0.316,0.316,1.8,2.3,0.794,,,1.8,1.8,,,,1.6,6.6,1969
12,12,13,Charlie Paulk,22,17,,12.8,1.1,4.9,0.226,,,,1.1,4.9,0.226,0.226,0.8,1.4,0.565,,,4.6,0.2,,,,1.5,3.0,1969
13,13,14,Sam Williams,24,55,,11.4,1.4,4.1,0.342,,,,1.4,4.1,0.342,0.342,1.3,2.4,0.537,,,2.0,1.1,,,,1.9,4.1,1969
14,14,15,Jay Miller,25,3,,9.0,0.7,3.3,0.2,,,,0.7,3.3,0.2,0.2,1.7,2.3,0.714,,,0.7,0.0,,,,1.3,3.0,1969
15,15,16,Rich Niemann,22,18,,8.3,1.3,3.3,0.407,,,,1.3,3.3,0.407,0.407,0.6,0.8,0.733,,,3.3,0.4,,,,1.7,3.3,1969
16,16,17,Bob Warlick,27,3,,7.3,0.3,2.7,0.125,,,,0.3,2.7,0.125,0.125,1.3,1.7,0.8,,,0.3,0.3,,,,1.0,2.0,1969
17,0,1,Kareem Abdul-Jabbar,22,82,,43.1,11.4,22.1,0.518,,,,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8,1970
18,1,2,Jon McGlocklin,26,82,,36.2,7.8,14.7,0.53,,,,7.8,14.7,0.53,0.53,2.1,2.4,0.854,,,3.1,3.7,,,,2.0,17.6,1970
19,2,3,Flynn Robinson,28,81,,34.1,8.2,17.2,0.477,,,,8.2,17.2,0.477,0.477,5.4,6.0,0.898,,,3.2,5.5,,,,3.1,21.8,1970
20,3,4,Bob Dandridge,22,81,,30.4,5.4,11.0,0.485,,,,5.4,11.0,0.485,0.485,2.5,3.3,0.754,,,7.7,3.6,,,,3.4,13.2,1970
21,4,5,Greg Smith,23,82,,28.9,4.1,8.1,0.511,,,,4.1,8.1,0.511,0.511,1.5,2.1,0.718,,,8.7,1.9,,,,3.7,9.8,1970
22,5,6,Zaid Abdul-Aziz,23,80,,20.5,3.0,6.8,0.434,,,,3.0,6.8,0.434,0.434,1.5,2.3,0.643,,,7.5,0.8,,,,2.1,7.4,1970
23,6,7,Freddie Crawford,28,77,,17.3,3.2,6.6,0.48,,,,3.2,6.6,0.48,0.48,1.3,1.9,0.682,,,2.4,2.9,,,,2.4,7.6,1970
24,7,8,Len Chappell,29,75,,15.1,3.2,7.0,0.465,,,,3.2,7.0,0.465,0.465,1.8,2.8,0.64,,,3.7,0.7,,,,1.7,8.3,1970
25,8,9,Guy Rodgers,34,64,,11.7,1.1,3.0,0.356,,,,1.1,3.0,0.356,0.356,1.0,1.4,0.744,,,1.2,3.3,,,,1.1,3.2,1970
26,9,10,John Arthurs,22,11,,7.8,1.1,3.2,0.343,,,,1.1,3.2,0.343,0.343,1.0,1.4,0.733,,,1.3,1.5,,,,1.4,3.2,1970
27,10,11,Bob Greacen,22,41,,7.1,1.1,2.7,0.404,,,,1.1,2.7,0.404,0.404,0.4,0.7,0.643,,,1.4,0.7,,,,1.2,2.6,1970
28,11,12,Dick Cunningham,23,60,,6.9,0.9,2.4,0.369,,,,0.9,2.4,0.369,0.369,0.4,0.6,0.667,,,2.7,0.5,,,,1.2,2.1,1970
29,12,13,Sam Williams,25,11,,4.0,1.0,2.2,0.458,,,,1.0,2.2,0.458,0.458,0.5,1.0,0.455,,,0.6,0.3,,,,0.5,2.5,1970
30,0,1,Kareem Abdul-Jabbar,23,82,,40.1,13.0,22.5,0.577,,,,13.0,22.5,0.577,0.577,5.7,8.3,0.69,,,16.0,3.3,,,,3.2,31.7,1971
31,1,2,Oscar Robertson,32,81,,39.4,7.3,14.7,0.496,,,,7.3,14.7,0.496,0.496,4.8,5.6,0.85,,,5.7,8.2,,,,2.5,19.4,1971
