Player,Salary,Year
Ray Allen,"$9,000,000 ",2000
Glenn Robinson,"$7,250,000 ",2000
Danny Manning,"$6,833,333 ",2000
Scott Williams,"$3,750,000 ",2000
Sam Cassell,"$3,500,000 ",2000
Ervin Johnson,"$2,951,029 ",2000
Tim Thomas,"$2,098,560 ",2000
Robert Traylor,"$2,059,320 ",2000
J.R. Reid,"$2,000,000 ",2000
Vinny Del Negro,"$1,925,000 ",2000
Paul Grant,"$1,021,080 ",2000
Jerome Allen,"$510,000 ",2000
Ricky Pierce,"$510,000 ",2000
Haywoode Workman,"$510,000 ",2000
Darvin Ham,"$460,000 ",2000
Rafer Alston,"$301,875 ",2000
Ray Allen,"$10,130,000 ",2001
Tim Thomas,"$8,510,000 ",2001
Glenn Robinson,"$8,120,000 ",2001
Danny Manning,"$6,830,000 ",2001
Jason Caffey,"$4,380,000 ",2001
Scott Williams,"$4,200,000 ",2001
Sam Cassell,"$4,000,000 ",2001
Ervin Johnson,"$2,700,000 ",2001
Lindsey Hunter,"$2,650,000 ",2001
Darvin Ham,"$1,700,000 ",2001
Joel Przybilla,"$1,619,880 ",2001
Jerome Kersey,"$1,000,000 ",2001
Mark Pope,"$498,500 ",2001
Rafer Alston,"$423,500 ",2001
Maceo Baston,"$423,500 ",2001
Jason Hart,"$316,969 ",2001
Michael Redd,"$316,969 ",2001
Ray Allen,"$11,250,000 ",2002
Tim Thomas,"$9,675,000 ",2002
Glenn Robinson,"$8,990,000 ",2002
Jason Caffey,"$4,812,500 ",2002
Anthony Mason,"$4,538,000 ",2002
Sam Cassell,"$4,350,000 ",2002
Ervin Johnson,"$3,670,929 ",2002
Greg Foster,"$1,764,247 ",2002
Darvin Ham,"$1,760,000 ",2002
Joel Przybilla,"$1,741,440 ",2002
Aleksandar Radojevic,"$1,524,600 ",2002
Rafer Alston,"$625,000 ",2002
Mark Pope,"$590,850 ",2002
Jason Hart,"$465,850 ",2002
Michael Redd,"$465,850 ",2002
Ray Allen,"$12,375,000 ",2003
Tim Thomas,"$10,750,000 ",2003
Toni Kukoc,"$8,050,000 ",2003
Jason Caffey,"$5,250,000 ",2003
Sam Cassell,"$4,850,000 ",2003
Anthony Mason,"$4,370,819 ",2003
Ervin Johnson,"$3,998,679 ",2003
Michael Redd,"$3,000,000 ",2003
Joel Przybilla,"$1,862,880 ",2003
Marcus Haislip,"$1,439,400 ",2003
Kevin Ollie,"$1,000,000 ",2003
Dan Gadzuric,"$349,458 ",2003
Ronald Murray,"$349,458 ",2003
Jamal Sampson,"$349,458 ",2003
Tim Thomas,"$11,825,000 ",2004
Toni Kukoc,"$9,056,250 ",2004
Jason Caffey,"$5,687,500 ",2004
Joe Smith,"$5,445,600 ",2004
Anthony Mason,"$4,348,094 ",2004
Michael Redd,"$3,000,000 ",2004
Joel Przybilla,"$2,373,309 ",2004
T.J. Ford,"$2,002,680 ",2004
Desmond Mason,"$1,898,312 ",2004
Marcus Haislip,"$1,547,280 ",2004
Brian Skinner,"$1,500,000 ",2004
Erick Strickland,"$1,500,000 ",2004
Daniel Santiago,"$1,200,000 ",2004
Damon Jones,"$751,179 ",2004
Dan Gadzuric,"$563,679 ",2004
Dan Langhi,"$530,943 ",2004
Keith Van Horn,"$14,487,000 ",2005
Desmond Mason,"$6,529,630 ",2005
Joe Smith,"$5,899,400 ",2005
Anthony Mason,"$4,710,435 ",2005
Jason Caffey,"$4,148,148 ",2005
Mike James,"$3,100,000 ",2005
Toni Kukoc,"$3,000,000 ",2005
Michael Redd,"$3,000,000 ",2005
T.J. Ford,"$2,152,800 ",2005
Erick Strickland,"$1,650,000 ",2005
Mo Williams,"$1,600,000 ",2005
Marcus Haislip,"$1,400,000 ",2005
Daniel Santiago,"$1,320,000 ",2005
Kendall Gill,"$912,195 ",2005
Zendon Hamilton,"$807,546 ",2005
Marcus Fizer,"$735,960 ",2005
Dan Gadzuric,"$695,046 ",2005
Zaza Pachulia,"$620,046 ",2005
Eddie House,"$563,327 ",2005
Anthony Goldwire,"$116,713 ",2005
Michael Redd,"$12,000,000 ",2006
Jamaal Magloire,"$8,533,333 ",2006
Bobby Simmons,"$8,000,000 ",2006
Calvin Booth,"$6,354,600 ",2006
Joe Smith,"$6,353,200 ",2006
Dan Gadzuric,"$4,750,000 ",2006
Andrew Bogut,"$4,340,520 ",2006
T.J. Ford,"$2,303,040 ",2006
Jiri Welsch,"$2,177,114 ",2006
Toni Kukoc,"$2,000,000 ",2006
Mo Williams,"$1,760,000 ",2006
Reece Gaines,"$1,556,160 ",2006
Ervin Johnson,"$1,138,500 ",2006
Charlie Bell,"$641,748 ",2006
Jermaine Jackson,"$583,944 ",2006
Ersan Ilyasova,"$398,762 ",2006
Josh Davis,"$131,593 ",2006
Michael Redd,"$13,260,000 ",2007
Bobby Simmons,"$8,640,000 ",2007
Ruben Patterson,"$6,807,000 ",2007
Calvin Booth,"$6,629,891 ",2007
Brian Skinner,"$5,400,000 ",2007
Dan Gadzuric,"$5,252,065 ",2007
Andrew Bogut,"$4,665,960 ",2007
Earl Boykins,"$2,950,000 ",2007
Charlie Villanueva,"$2,537,880 ",2007
Mo Williams,"$1,920,000 ",2007
Julius Hodge,"$1,234,800 ",2007
Charlie Bell,"$744,551 ",2007
Ha Seung-Jin,"$744,551 ",2007
Lynn Greer,"$664,209 ",2007
Ersan Ilyasova,"$664,209 ",2007
Damir Markota,"$412,718 ",2007
David Noel,"$412,718 ",2007
Jared Reiner,"$396,905 ",2007
Chris McCray,"$161,061 ",2007
Michael Redd,"$14,520,000 ",2008
Bobby Simmons,"$9,280,000 ",2008
Mo Williams,"$7,750,000 ",2008
Dan Gadzuric,"$5,751,130 ",2008
Desmond Mason,"$5,000,000 ",2008
Andrew Bogut,"$4,991,520 ",2008
Charlie Bell,"$3,100,000 ",2008
Jake Voskuhl,"$3,000,000 ",2008
Yi Jianlian,"$2,777,760 ",2008
Charlie Villanueva,"$2,715,000 ",2008
