,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19680.0,3537.0,8258.0,0.428,1966.0,2638.0,0.745,,,4727.0,1882.0,2187.0,9040.0,1969,,,,,,,,,
1,Team/G,,240.0,43.1,100.7,0.428,24.0,32.2,0.745,,,57.6,23.0,26.7,110.2,1969,,,,,,,,,
2,Lg Rank,,14.0,12.0,5.0,11.0,10.0,12.0,2.0,,,6.0,10.0,13.0,12.0,1969,,,,,,,,,
3,Year/Year,,,,,,,,,,,,,,,1969,,,,,,,,,
4,Opponent,82.0,19680.0,,,,,,,,,,,,9460.0,1969,,,,,,,,,
5,Opponent/G,,240.0,,,,,,,,,,,,115.4,1969,,,,,,,,,
6,Lg Rank,,14.0,,,,,,,,,,,,9.0,1969,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,,1969,,,,,,,,,
0,Team,82.0,19780,3923,8041,0.488,1895,2589,0.732,,,4419,2168,1971,9741,1970,,,,,,,,,
1,Team/G,,241.2,47.8,98.1,0.488,23.1,31.6,0.732,,,53.9,26.4,24.0,118.8,1970,,,,,,,,,
2,Lg Rank,,8,2,8,1.0,13,13,14.0,,,5,2,5,4,1970,,,,,,,,,
3,Year/Year,,0.5%,10.9%,-2.6%,0.06,-3.6%,-1.9%,-0.013,,,-6.5%,15.2%,-9.9%,7.8%,1970,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9363,1970,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,114.2,1970,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,3,1970,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,-1.0%,1970,,,,,,,,,
0,Team,82.0,19780,3972,7803,0.509,1766,2379,0.742,,,4344,2249,1847,9710,1971,,,,,,,,,
1,Team/G,,241.2,48.4,95.2,0.509,21.5,29.0,0.742,,,53.0,27.4,22.5,118.4,1971,,,,,,,,,
2,Lg Rank,,5,1,12,1.0,16,16,11.0,,,9,1,4,1,1971,,,,,,,,,
3,Year/Year,,0.0%,1.2%,-3.0%,0.021,-6.8%,-8.1%,0.01,,,-1.7%,3.7%,-6.3%,-0.3%,1971,,,,,,,,,
4,Opponent,82.0,19780,3489,8224,0.424,1727,2322,0.744,,,4004,1923,1770,8705,1971,,,,,,,,,
5,Opponent/G,,241.2,42.5,100.3,0.424,21.1,28.3,0.744,,,48.8,23.5,21.6,106.2,1971,,,,,,,,,
6,Lg Rank,,5,4,13,1.0,3,4,10.0,,,1,6,17,3,1971,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,-7.0%,1971,,,,,,,,,
0,Team,82.0,19780,3813,7653,0.498,1774,2399,0.739,,,4269,2160,1862,9400,1972,,,,,,,,,
1,Team/G,,241.2,46.5,93.3,0.498,21.6,29.3,0.739,,,52.1,26.3,22.7,114.6,1972,,,,,,,,,
2,Lg Rank,,6,3,13,1.0,14,12,12.0,,,8,3,5,4,1972,,,,,,,,,
3,Year/Year,,0.0%,-4.0%,-1.9%,-0.011,0.5%,0.8%,-0.003,,,-1.7%,-4.0%,0.8%,-3.2%,1972,,,,,,,,,
4,Opponent,82.0,19780,3370,8025,0.42,1745,2358,0.74,,,3922,1843,1788,8485,1972,,,,,,,,,
5,Opponent/G,,241.2,41.1,97.9,0.42,21.3,28.8,0.74,,,47.8,22.5,21.8,103.5,1972,,,,,,,,,
6,Lg Rank,,6,3,13,1.0,4,4,4.0,,,1,3,16,2,1972,,,,,,,,,
7,Year/Year,,0.0%,-3.4%,-2.4%,-0.004,1.0%,1.6%,-0.004,,,-2.0%,-4.2%,1.0%,-2.5%,1972,,,,,,,,,
0,Team,82.0,19755,3759,7808,0.481,1271,1687,0.753,,,4245,2226,1763,8789,1973,,,,,,,,,
1,Team/G,,240.9,45.8,95.2,0.481,15.5,20.6,0.753,,,51.8,27.1,21.5,107.2,1973,,,,,,,,,
2,Lg Rank,,7,3,14,1.0,17,17,9.0,,,4,3,4,9,1973,,,,,,,,,
3,Year/Year,,-0.1%,-1.4%,2.0%,-0.017,-28.4%,-29.7%,0.014,,,-0.6%,3.1%,-5.3%,-6.5%,1973,,,,,,,,,
4,Opponent,82.0,19755,3385,8028,0.422,1345,1783,0.754,,,3916,1906,1601,8115,1973,,,,,,,,,
5,Opponent/G,,240.9,41.3,97.9,0.422,16.4,21.7,0.754,,,47.8,23.2,19.5,99.0,1973,,,,,,,,,
6,Lg Rank,,7,3,9,1.0,3,3,8.0,,,2,4,17,2,1973,,,,,,,,,
7,Year/Year,,-0.1%,0.4%,0.0%,0.002,-22.9%,-24.4%,0.014,,,-0.2%,3.4%,-10.5%,-4.4%,1973,,,,,,,,,
0,Team,82.0,19755,3726,7571,0.492,1328,1741,0.763,1133.0,2881.0,4014,2225,1864,8780,1974,726.0,519.0,1694.0,,,,,,
1,Team/G,,240.9,45.4,92.3,0.492,16.2,21.2,0.763,13.8,35.1,49.0,27.1,22.7,107.1,1974,8.9,6.3,20.7,,,,,,
2,Lg Rank,,6,2,12,1.0,17,16,14.0,13.0,5.0,6,1,2,8,1974,10.0,3.0,10.0,,,,,,
3,Year/Year,,0.0%,-0.9%,-3.0%,0.011,4.5%,3.2%,0.009,,,-5.4%,-0.0%,5.7%,-0.1%,1974,,,,,,,,,
4,Opponent,82.0,19755,3311,7799,0.425,1499,1969,0.761,1269.0,2487.0,3756,1909,1707,8121,1974,719.0,312.0,1554.0,,,,,,
5,Opponent/G,,240.9,40.4,95.1,0.425,18.3,24.0,0.761,15.5,30.3,45.8,23.3,20.8,99.0,1974,8.8,3.8,19.0,,,,,,
6,Lg Rank,,6,2,12,1.0,6,6,6.0,14.0,1.0,2,4,17,3,1974,8.0,2.0,16.0,,,,,,
7,Year/Year,,0.0%,-2.2%,-2.9%,0.003,11.4%,10.4%,0.007,,,-4.1%,0.2%,6.6%,0.1%,1974,,,,,,,,,
0,Team,82.0,19805,3450,7367,0.468,1354,1746,0.775,1021,2766,3787,1932,1949,8254,1975,596,400,1540,,,,,,
1,Team/G,,241.5,42.1,89.8,0.468,16.5,21.3,0.775,12.5,33.7,46.2,23.6,23.8,100.7,1975,7.3,4.9,18.8,,,,,,
2,Lg Rank,,6,6,13,4.0,17,18,7.0,15,4,11,9,5,13,1975,17,4,4,,,,,,
3,Year/Year,,0.3%,-7.4%,-2.7%,-0.024,2.0%,0.3%,0.013,-9.9%,-4.0%,-5.7%,-13.2%,4.6%,-6.0%,1975,-17.9%,-22.9%,-9.1%,,,,,,
4,Opponent,82.0,19805,3371,7600,0.444,1495,1910,0.783,1153,2645,3798,1960,1704,8237,1975,660,298,1379,,,,,,
5,Opponent/G,,241.5,41.1,92.7,0.444,18.2,23.3,0.783,14.1,32.3,46.3,23.9,20.8,100.5,1975,8.0,3.6,16.8,,,,,,
6,Lg Rank,,6,6,13,2.0,4,4,16.0,8,7,7,10,18,5,1975,5,4,18,,,,,,
7,Year/Year,,0.3%,1.8%,-2.6%,0.019,-0.3%,-3.0%,0.021,-9.1%,6.4%,1.1%,2.7%,-0.2%,1.4%,1975,-8.2%,-4.5%,-11.3%,,,,,,
0,Team,82.0,19830,3456,7435,0.465,1437,1952,0.736,1094,2688,3782,1817,2041,8349,1976,715,468,1624,,,,,,
1,Team/G,,241.8,42.1,90.7,0.465,17.5,23.8,0.736,13.3,32.8,46.1,22.2,24.9,101.8,1976,8.7,5.7,19.8,,,,,,
2,Lg Rank,,5,10,11,7.0,17,17,13.0,14,10,10,12,11,16,1976,11,3,11,,,,,,
3,Year/Year,,0.1%,0.2%,0.9%,-0.003,6.1%,11.8%,-0.039,7.1%,-2.8%,-0.1%,-6.0%,4.7%,1.2%,1976,20.0%,17.0%,5.5%,,,,,,
4,Opponent,82.0,19830,3402,7624,0.446,1664,2182,0.763,1229,2604,3833,1897,1828,8468,1976,683,325,1503,,,,,,
5,Opponent/G,,241.8,41.5,93.0,0.446,20.3,26.6,0.763,15.0,31.8,46.7,23.1,22.3,103.3,1976,8.3,4.0,18.3,,,,,,
6,Lg Rank,,5,5,12,3.0,10,10,15.0,14,3,8,10,18,5,1976,6,4,15,,,,,,
7,Year/Year,,0.1%,0.9%,0.3%,0.003,11.3%,14.2%,-0.02,6.6%,-1.6%,0.9%,-3.2%,7.3%,2.8%,1976,3.5%,9.1%,9.0%,,,,,,
0,Team,82.0,19705,3668,7840,0.468,1553,2072,0.75,1220,2519,3739,1970,2094,8889,1977,790,342,1648,,,,,,
1,Team/G,,240.3,44.7,95.6,0.468,18.9,25.3,0.75,14.9,30.7,45.6,24.0,25.5,108.4,1977,9.6,4.2,20.1,,,,,,
2,Lg Rank,,21,4,1,12.0,19,19,11.0,14,18,17,12,13,8,1977,12,19,9,,,,,,
3,Year/Year,,-0.6%,6.1%,5.4%,0.003,8.1%,6.1%,0.013,11.5%,-6.3%,-1.1%,8.4%,2.6%,6.5%,1977,10.5%,-26.9%,1.5%,,,,,,
