,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Tony Campbell,27,82,81,38.6,8.8,19.3,0.457,0.1,0.7,0.167,8.7,18.6,0.468,0.46,5.5,6.9,0.787,2.5,3.0,5.5,2.6,1.4,0.4,3.1,3.2,23.2,1990
1,1,2,Tyrone Corbin,27,82,80,36.7,6.4,13.2,0.481,0.0,0.1,0.0,6.4,13.1,0.486,0.481,2.0,2.5,0.77,2.7,4.7,7.4,2.6,2.1,0.5,1.7,3.5,14.7,1990
2,2,3,Pooh Richardson,23,82,48,31.5,5.2,11.3,0.461,0.3,1.0,0.277,4.9,10.3,0.479,0.473,0.8,1.3,0.589,0.7,2.0,2.6,6.8,1.6,0.3,1.7,1.7,11.4,1990
3,3,4,Tod Murphy,26,82,59,30.4,3.2,6.7,0.471,0.2,0.5,0.372,3.0,6.2,0.479,0.486,1.8,2.5,0.709,2.5,4.4,6.9,1.3,0.9,0.7,0.7,2.8,8.3,1990
4,4,5,Sam Mitchell,26,80,30,30.2,4.7,10.4,0.446,0.0,0.1,0.0,4.7,10.3,0.451,0.446,3.4,4.4,0.768,2.3,3.5,5.8,1.1,0.8,0.7,1.2,3.8,12.7,1990
5,5,6,Randy Breuer,29,51,47,26.0,4.2,10.0,0.416,0.0,0.0,0.0,4.2,10.0,0.417,0.416,1.8,2.8,0.662,2.2,3.5,5.7,1.6,0.6,1.5,1.3,2.6,10.2,1990
6,6,7,Sidney Lowe,30,80,38,21.8,0.9,2.9,0.319,0.0,0.1,0.222,0.9,2.8,0.323,0.323,0.5,0.7,0.722,0.5,1.5,2.0,4.2,0.9,0.1,0.8,1.4,2.3,1990
7,7,8,Brad Lohaus,25,28,24,21.1,3.4,7.2,0.465,0.0,0.6,0.063,3.3,6.6,0.5,0.468,0.8,0.9,0.808,0.8,3.2,3.9,2.2,0.5,0.8,1.6,2.4,7.5,1990
8,8,9,Scott Roth,26,71,3,14.9,2.2,5.9,0.379,0.3,0.7,0.346,2.0,5.2,0.383,0.4,2.1,2.8,0.746,0.5,1.1,1.6,1.6,0.7,0.1,1.2,2.0,6.8,1990
9,9,10,Donald Royal,23,66,0,11.3,1.8,3.9,0.459,0.0,0.0,0.0,1.8,3.8,0.461,0.459,2.3,3.0,0.777,1.0,1.0,2.1,0.7,0.5,0.1,1.2,1.6,5.9,1990
10,10,11,Adrian Branch,26,11,0,8.3,2.3,5.5,0.41,0.1,0.1,1.0,2.2,5.5,0.4,0.418,1.3,2.0,0.636,0.7,1.1,1.8,0.4,0.5,0.0,0.7,1.3,5.9,1990
11,11,12,Brad Sellers,27,14,0,8.1,1.4,4.0,0.339,0.0,0.1,0.0,1.4,3.9,0.352,0.339,0.6,0.9,0.75,0.6,0.8,1.4,0.1,0.4,0.2,0.9,0.8,3.4,1990
12,12,13,Doug West,22,52,0,7.3,1.0,2.6,0.393,0.1,0.2,0.273,1.0,2.4,0.403,0.404,0.5,0.6,0.813,0.5,0.9,1.3,0.3,0.2,0.1,0.6,1.2,2.6,1990
13,13,14,Gary Leonard,22,22,0,5.8,0.6,1.4,0.419,0.0,0.0,0.0,0.6,1.4,0.433,0.419,0.3,0.6,0.429,0.5,0.8,1.2,0.0,0.1,0.4,0.4,1.2,1.5,1990
14,14,15,Steve Johnson,32,4,0,4.3,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,1.5,1.0,0.0,1990
15,0,1,Tyrone Corbin,28,82,82,39.0,7.2,16.0,0.448,0.0,0.1,0.2,7.1,15.9,0.45,0.449,3.6,4.5,0.798,2.3,4.9,7.2,4.2,2.0,0.6,2.5,3.1,18.0,1991
16,1,2,Pooh Richardson,24,82,82,38.5,7.7,16.5,0.47,0.5,1.6,0.328,7.2,14.9,0.485,0.486,1.1,2.0,0.539,1.0,2.5,3.5,9.0,1.6,0.2,2.1,1.4,17.1,1991
17,2,3,Sam Mitchell,27,82,60,38.1,5.4,12.3,0.441,0.0,0.1,0.0,5.4,12.2,0.445,0.441,3.7,4.8,0.775,2.3,4.0,6.3,1.6,0.8,0.7,1.3,4.1,14.6,1991
