Player,Salary,Year
Kevin Garnett,"$16,806,300 ",2000
Terrell Brandon,"$7,400,000 ",2000
Dean Garrett,"$2,520,000 ",2000
Anthony Peeler,"$2,495,500 ",2000
Joe Smith,"$2,100,000 ",2000
Wally Szczerbiak,"$2,011,440 ",2000
Sam Mitchell,"$2,000,000 ",2000
Tom Hammonds,"$1,800,000 ",2000
William Avery,"$1,196,520 ",2000
Malik Sealy,"$1,100,000 ",2000
Rasho Nesterovic,"$1,050,240 ",2000
Bobby Jackson,"$903,360 ",2000
James Robinson,"$510,000 ",2000
Andrae Patterson,"$385,000 ",2000
Danny Schayes,"$211,765 ",2000
Lou Roe,"$97,412 ",2000
Eric Riley,"$50,206 ",2000
Trevor Winter,"$4,529 ",2000
Kevin Garnett,"$19,610,000 ",2001
Terrell Brandon,"$8,330,000 ",2001
Dean Garrett,"$2,880,000 ",2001
Anthony Peeler,"$2,740,000 ",2001
Sam Mitchell,"$2,370,000 ",2001
Chauncey Billups,"$2,250,000 ",2001
Wally Szczerbiak,"$2,162,280 ",2001
William Avery,"$1,286,160 ",2001
LaPhonso Ellis,"$1,200,000 ",2001
Tom Hammonds,"$1,130,000 ",2001
Rasho Nesterovic,"$1,123,560 ",2001
Todd Day,"$736,000 ",2001
Reggie Slater,"$673,500 ",2001
Sam Jacobson,"$498,500 ",2001
Andrae Patterson,"$498,500 ",2001
Kevin Garnett,"$22,400,000 ",2002
Terrell Brandon,"$9,300,000 ",2002
Joe Smith,"$4,538,000 ",2002
Dean Garrett,"$3,240,000 ",2002
Anthony Peeler,"$2,978,500 ",2002
Chauncey Billups,"$2,475,000 ",2002
Wally Szczerbiak,"$2,313,240 ",2002
Tom Hammonds,"$1,800,000 ",2002
Rasho Nesterovic,"$1,725,788 ",2002
William Avery,"$1,375,920 ",2002
Sam Mitchell,"$1,000,000 ",2002
Gary Trent,"$715,850 ",2002
Felipe Lopez,"$565,850 ",2002
Maurice Evans,"$332,817 ",2002
Loren Woods,"$332,817 ",2002
Kevin Garnett,"$25,200,000 ",2003
Terrell Brandon,"$10,175,000 ",2003
Joe Smith,"$4,991,800 ",2003
Marc Jackson,"$3,575,000 ",2003
Anthony Peeler,"$3,350,812 ",2003
Wally Szczerbiak,"$2,933,187 ",2003
Rasho Nesterovic,"$2,436,813 ",2003
Troy Hudson,"$2,000,000 ",2003
Kendall Gill,"$1,030,000 ",2003
Rod Strickland,"$1,030,000 ",2003
Gary Trent,"$824,935 ",2003
Loren Woods,"$662,435 ",2003
Felipe Lopez,"$637,435 ",2003
Igor Rakocevic,"$349,458 ",2003
Reggie Slater,"$321,926 ",2003
