,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19855.0,3067.0,6876.0,0.446,73.0,294.0,0.248,2994.0,6582.0,0.455,1596.0,2137.0,0.747,1196.0,2053.0,3249.0,1844.0,789.0,344.0,1197.0,1901.0,7803.0,1990
1,Team/G,,242.1,37.4,83.9,0.446,0.9,3.6,0.248,36.5,80.3,0.455,19.5,26.1,0.747,14.6,25.0,39.6,22.5,9.6,4.2,14.6,23.2,95.2,1990
2,Lg Rank,,5.0,27.0,23.0,26.0,24.0,24.0,24.0,26.0,14.0,26.0,24.0,23.0,19.0,9.0,27.0,26.0,24.0,6.0,22.0,2.0,13.0,27.0,1990
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1990
4,Opponent,82.0,19855.0,3081.0,6391.0,0.482,129.0,391.0,0.33,2952.0,6000.0,0.492,1859.0,2420.0,0.768,1050.0,2322.0,3372.0,1880.0,578.0,489.0,1366.0,1748.0,8150.0,1990
5,Opponent/G,,242.1,37.6,77.9,0.482,1.6,4.8,0.33,36.0,73.2,0.492,22.7,29.5,0.768,12.8,28.3,41.1,22.9,7.0,6.0,16.7,21.3,99.4,1990
6,Lg Rank,,5.0,2.0,1.0,18.0,1.0,1.0,14.0,2.0,1.0,17.0,17.0,18.0,17.0,5.0,11.0,7.0,4.0,1.0,26.0,11.0,25.0,2.0,1990
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1990
0,Team,82.0,19905,3265,7276,0.449,108,381,0.283,3157,6895,0.458,1531,2082,0.735,1275,2113,3388,1885,712,440,1062,1864,8169,1991
1,Team/G,,242.7,39.8,88.7,0.449,1.3,4.6,0.283,38.5,84.1,0.458,18.7,25.4,0.735,15.5,25.8,41.3,23.0,8.7,5.4,13.0,22.7,99.6,1991
2,Lg Rank,,3,22,7,25.0,25,24,22.0,12,3,27.0,25,24,23.0,3,27,21,21,13,11,1,11,26,1991
3,Year/Year,,0.3%,6.5%,5.8%,0.003,47.9%,29.6%,0.035,5.4%,4.8%,0.003,-4.1%,-2.6%,-0.011,6.6%,2.9%,4.3%,2.2%,-9.8%,27.9%,-11.3%,-1.9%,4.7%,1991
4,Opponent,82.0,19905,3320,6778,0.49,171,505,0.339,3149,6273,0.502,1680,2219,0.757,1094,2379,3473,2142,512,511,1238,1692,8491,1991
5,Opponent/G,,242.7,40.5,82.7,0.49,2.1,6.2,0.339,38.4,76.5,0.502,20.5,27.1,0.757,13.3,29.0,42.4,26.1,6.2,6.2,15.1,20.6,103.5,1991
