,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Tony Jackson,25.0,74,,35.6,6.1,15.8,0.383,1.2,4.1,0.301,4.8,11.7,0.412,0.422,6.1,7.3,0.829,,,6.8,1.9,,,1.9,2.5,19.4,1968
1,1,2,Levern Tart,25.0,31,,35.0,6.8,16.7,0.41,0.0,0.1,0.0,6.8,16.6,0.412,0.41,5.3,6.4,0.829,,,3.9,3.3,,,2.6,2.9,19.0,1968
2,2,3,Dan Anderson,24.0,78,,33.7,5.9,12.0,0.494,0.0,0.0,,5.9,12.0,0.494,0.494,2.9,4.1,0.697,3.9,7.1,11.0,1.2,,,1.7,4.2,14.7,1968
3,3,4,Walt Simon,28.0,78,,32.3,5.6,12.2,0.453,0.0,0.2,0.067,5.5,12.1,0.46,0.454,2.2,3.4,0.635,,,6.7,2.7,,,2.2,3.5,13.3,1968
4,4,5,Hank Whitney,28.0,37,,31.3,5.9,14.9,0.393,0.0,0.0,,5.9,14.9,0.393,0.393,4.2,5.9,0.714,,,12.9,1.5,,,1.5,4.3,16.0,1968
5,5,6,Barry Leibowitz,22.0,24,,29.5,4.1,12.0,0.341,0.0,0.3,0.0,4.1,11.7,0.35,0.341,3.2,4.0,0.802,,,3.0,3.9,,,2.6,2.8,11.4,1968
6,6,7,Art Heyman,26.0,19,,23.1,5.1,13.3,0.385,0.2,0.9,0.176,4.9,12.4,0.4,0.391,3.4,5.3,0.644,,,3.7,1.9,,,2.8,1.8,13.8,1968
7,7,8,Bruce Spraggins,28.0,70,,22.7,4.4,9.8,0.446,0.0,0.1,0.4,4.3,9.7,0.446,0.448,3.4,4.8,0.708,,,4.7,0.9,,,1.2,2.5,12.2,1968
8,8,9,Jim Caldwell,25.0,12,,21.8,1.9,5.5,0.348,0.0,0.0,,1.9,5.5,0.348,0.348,0.8,1.8,0.455,,,7.1,0.9,,,1.6,2.4,4.7,1968
9,9,10,Stew Johnson,23.0,55,,21.7,3.6,10.6,0.344,0.3,1.0,0.302,3.3,9.6,0.348,0.358,1.0,1.6,0.625,,,5.9,0.8,,,1.3,2.3,8.6,1968
10,10,11,Bob McIntyre,24.0,21,,21.5,3.3,8.9,0.374,0.0,0.0,0.0,3.3,8.9,0.376,0.374,1.6,2.8,0.586,,,4.8,0.5,,,1.3,1.3,8.3,1968
11,11,12,Mel Nowell,28.0,76,,20.5,3.6,8.9,0.402,0.1,0.4,0.281,3.5,8.5,0.408,0.409,2.3,2.8,0.826,,,2.5,2.0,,,1.9,2.5,9.6,1968
12,12,13,Bobby Lloyd,22.0,58,,17.2,2.5,6.0,0.421,0.1,0.1,0.375,2.5,5.9,0.422,0.426,2.9,3.4,0.854,,,1.9,1.6,,,1.3,2.0,8.1,1968
13,13,14,Johnny Austin,23.0,41,,16.9,2.6,6.8,0.387,0.0,0.3,0.0,2.6,6.5,0.403,0.387,2.5,3.4,0.721,,,1.6,1.4,,,1.4,2.7,7.7,1968
14,14,15,Johnny Mathis,24.0,51,,12.9,1.4,3.6,0.371,0.0,0.0,0.0,1.4,3.6,0.375,0.371,0.7,1.1,0.636,,,3.8,0.5,,,0.8,2.0,3.4,1968
15,15,16,Al Beard,25.0,12,,9.8,1.0,1.9,0.522,0.0,0.0,,1.0,1.9,0.522,0.522,0.5,0.9,0.545,,,3.8,0.0,,,1.0,2.4,2.5,1968
16,16,17,Dexter Westbrook,,7,,8.4,1.7,2.7,0.632,0.0,0.0,,1.7,2.7,0.632,0.632,1.0,1.3,0.778,,,1.3,0.3,,,1.0,2.3,4.4,1968
17,0,1,Willie Somerset,26.0,31,,42.7,9.1,21.2,0.429,0.6,2.1,0.297,8.5,19.1,0.444,0.444,5.3,6.5,0.82,2.0,2.4,4.4,3.4,,,3.0,3.3,24.1,1969
18,1,2,Walt Simon,29.0,68,,40.4,8.4,19.1,0.44,0.1,0.4,0.222,8.3,18.7,0.444,0.442,4.3,6.1,0.695,2.7,5.5,8.1,3.4,,,2.7,4.3,21.1,1969
19,2,3,Manny Leaks,23.0,20,,35.7,4.8,14.5,0.332,0.0,0.1,0.0,4.8,14.4,0.333,0.332,2.9,4.1,0.716,6.7,7.5,14.2,2.0,,,1.7,3.1,12.5,1969
20,3,4,Ron Perry,25.0,23,,35.3,7.2,18.5,0.388,1.0,2.5,0.386,6.2,16.0,0.389,0.414,4.0,5.7,0.702,1.4,2.7,4.1,3.7,,,3.2,3.5,19.3,1969
21,4,5,Randy Mahaffey,23.0,48,,33.2,5.2,12.0,0.432,0.0,0.0,0.0,5.2,12.0,0.432,0.432,3.4,4.8,0.719,2.9,5.2,8.1,1.3,,,3.1,3.4,13.8,1969
22,5,6,Tom Hoover,28.0,40,,31.4,4.1,8.9,0.466,0.0,0.1,0.0,4.1,8.8,0.469,0.466,2.8,4.1,0.679,3.0,7.3,10.3,2.7,,,3.9,4.7,11.0,1969
23,6,7,Steve Chubin,24.0,28,,29.6,5.5,14.1,0.388,0.0,0.6,0.059,5.4,13.5,0.403,0.39,4.9,6.0,0.817,1.9,1.8,3.7,5.0,,,4.0,3.9,15.9,1969
24,7,8,Dan Anderson,25.0,25,,27.1,4.0,9.3,0.433,0.0,0.0,,4.0,9.3,0.433,0.433,3.0,3.6,0.824,3.2,5.5,8.7,1.4,,,1.7,3.3,11.1,1969
25,8,9,Maurice McHartley,26.0,24,,26.9,4.5,11.1,0.402,0.0,0.2,0.0,4.5,10.9,0.408,0.402,3.5,4.5,0.776,1.1,2.0,3.2,3.2,,,3.3,3.6,12.4,1969
26,9,10,Levern Tart,26.0,35,,26.3,5.4,12.2,0.445,0.0,0.0,0.0,5.4,12.2,0.446,0.445,3.8,4.9,0.782,1.9,1.7,3.7,2.5,,,2.5,2.4,14.7,1969
