Player,Salary,Year
Jayson Williams,"$12,375,000 ",2000
Stephon Marbury,"$9,000,000 ",2000
Kerry Kittles,"$7,166,666 ",2000
Kendall Gill,"$5,600,000 ",2000
Jim McIlvaine,"$4,800,000 ",2000
Keith Van Horn,"$3,451,920 ",2000
Jamie Feick,"$2,000,000 ",2000
Elliot Perry,"$2,000,000 ",2000
Lucious Harris,"$1,920,000 ",2000
Johnny Newman,"$1,100,000 ",2000
Scott Burrell,"$1,000,000 ",2000
Sherman Douglas,"$1,000,000 ",2000
Michael Cage,"$510,000 ",2000
Jack Haley,"$510,000 ",2000
Gheorghe Muresan,"$510,000 ",2000
Evan Eschmeyer,"$301,875 ",2000
Jayson Williams,"$13,800,000 ",2001
Stephon Marbury,"$10,130,000 ",2001
Keith Van Horn,"$9,000,000 ",2001
Kerry Kittles,"$7,770,000 ",2001
Kendall Gill,"$7,000,000 ",2001
Jim McIlvaine,"$5,400,000 ",2001
Kenyon Martin,"$3,536,640 ",2001
Aaron Williams,"$2,250,000 ",2001
Jamie Feick,"$2,200,000 ",2001
Lucious Harris,"$2,160,000 ",2001
Johnny Newman,"$2,000,000 ",2001
Sherman Douglas,"$1,100,000 ",2001
Elliot Perry,"$1,050,000 ",2001
Kevin Ollie,"$523,500 ",2001
Evan Eschmeyer,"$423,500 ",2001
Stephen Jackson,"$316,969 ",2001
Soumaila Samake,"$316,969 ",2001
Jayson Williams,"$15,125,000 ",2002
Keith Van Horn,"$10,865,250 ",2002
Jason Kidd,"$8,447,500 ",2002
Kerry Kittles,"$8,166,667 ",2002
Chris Dudley,"$6,200,000 ",2002
Jim McIlvaine,"$6,000,000 ",2002
Todd MacCulloch,"$4,538,000 ",2002
Kenyon Martin,"$3,801,960 ",2002
Aaron Williams,"$2,475,000 ",2002
Jamie Feick,"$2,400,000 ",2002
Lucious Harris,"$2,400,000 ",2002
Richard Jefferson,"$1,379,400 ",2002
Jason Collins,"$1,067,400 ",2002
Brandon Armstrong,"$865,800 ",2002
Derrick Dial,"$540,850 ",2002
Steve Goodrich,"$465,850 ",2002
Brian Scalabrine,"$332,817 ",2002
Reggie Slater,"$122,218 ",2002
Dikembe Mutombo,"$16,105,264 ",2003
Jason Kidd,"$9,265,000 ",2003
Kerry Kittles,"$8,966,667 ",2003
Jim McIlvaine,"$4,400,000 ",2003
Kenyon Martin,"$4,067,160 ",2003
Rodney Rogers,"$2,796,000 ",2003
Aaron Williams,"$2,700,000 ",2003
Lucious Harris,"$2,640,000 ",2003
Jamie Feick,"$2,600,000 ",2003
Chris Childs,"$1,750,000 ",2003
Richard Jefferson,"$1,482,840 ",2003
Jason Collins,"$1,147,440 ",2003
Brandon Armstrong,"$930,720 ",2003
Anthony Johnson,"$699,935 ",2003
Brian Scalabrine,"$512,435 ",2003
Tamar Slay,"$349,458 ",2003
Dikembe Mutombo,"$13,626,624 ",2004
Jason Kidd,"$13,152,000 ",2004
Kerry Kittles,"$9,266,666 ",2004
Kenyon Martin,"$5,128,689 ",2004
Alonzo Mourning,"$4,917,000 ",2004
Rodney Rogers,"$3,075,600 ",2004
Aaron Williams,"$2,925,000 ",2004
Lucious Harris,"$2,500,000 ",2004
Richard Jefferson,"$1,586,280 ",2004
Jason Collins,"$1,227,480 ",2004
Chris Childs,"$1,166,667 ",2004
Brandon Armstrong,"$995,650 ",2004
Zoran Planinic,"$980,280 ",2004
Robert Pack,"$965,610 ",2004
Brian Scalabrine,"$800,000 ",2004
Tamar Slay,"$563,679 ",2004
Mikki Moore,"$513,000 ",2004
Damone Brown,"$202,508 ",2004
Doug Overton,"$104,390 ",2004
Dikembe Mutombo,"$14,989,285 ",2005
Jason Kidd,"$14,796,000 ",2005
Vince Carter,"$12,584,688 ",2005
Richard Jefferson,"$2,266,794 ",2005
Jason Collins,"$1,887,864 ",2005
Ron Mercer,"$1,600,000 ",2005
Zoran Planinic,"$1,053,720 ",2005
Travis Best,"$1,000,000 ",2005
Nenad Krstic,"$939,480 ",2005
Jacque Vaughn,"$932,546 ",2005
Brian Scalabrine,"$900,000 ",2005
Rodney Buford,"$745,046 ",2005
Jabari Smith,"$720,046 ",2005
Kaniel Dickens,"$483,938 ",2005
Awvee Storey,"$84,573 ",2005
Jason Kidd,"$16,440,000 ",2006
Vince Carter,"$13,843,156 ",2006
Richard Jefferson,"$10,200,000 ",2006
Jason Collins,"$5,500,000 ",2006
Marc Jackson,"$4,550,000 ",2006
Jeff McInnis,"$3,400,000 ",2006
Clifford Robinson,"$2,500,000 ",2006
Ron Mercer,"$1,760,000 ",2006
Scott Padgett,"$1,670,000 ",2006
Antoine Wright,"$1,461,360 ",2006
Lamond Murray,"$1,138,500 ",2006
Zoran Planinic,"$1,127,280 ",2006
Jacque Vaughn,"$1,094,550 ",2006
Nenad Krstic,"$1,010,040 ",2006
Linton Johnson,"$719,373 ",2006
Ben Handlogten,"$35,091 ",2006
Jason Kidd,"$18,084,000 ",2007
Vince Carter,"$15,101,625 ",2007
Richard Jefferson,"$11,200,000 ",2007
Jason Collins,"$5,800,000 ",2007
Bostjan Nachbar,"$2,500,000 ",2007
Clifford Robinson,"$1,600,000 ",2007
Antoine Wright,"$1,570,920 ",2007
Eddie House,"$1,400,000 ",2007
Marcus Williams,"$1,097,880 ",2007
Nenad Krstic,"$1,080,480 ",2007
Mikki Moore,"$1,071,225 ",2007
Josh Boone,"$1,053,960 ",2007
Bernard Robinson,"$1,000,000 ",2007
Mile Ilic,"$800,000 ",2007
Scott Padgett,"$563,302 ",2007
Hassan Adams,"$412,718 ",2007
Zoran Planinic,"$150,000 ",2007
Vince Carter,"$13,320,000 ",2008
Richard Jefferson,"$12,200,000 ",2008
Stromile Swift,"$5,800,000 ",2008
Trenton Hassell,"$4,350,000 ",2008
Keith Van Horn,"$4,300,000 ",2008
Jamaal Magloire,"$4,000,000 ",2008
Devin Harris,"$3,995,003 ",2008
Bostjan Nachbar,"$2,500,000 ",2008
DeSagana Diop,"$2,146,000 ",2008
Nenad Krstic,"$1,889,760 ",2008
Sean Williams,"$1,416,600 ",2008
Darrell Armstrong,"$1,219,590 ",2008
Marcus Williams,"$1,180,200 ",2008
Josh Boone,"$1,133,040 ",2008
Maurice Ager,"$974,400 ",2008
Billy Thomas,"$510,529 ",2008
Clifford Robinson,"$500,000 ",2008
David Wesley,"$250,000 ",2008
Eddie Gill,"$151,089 ",2008
Vince Carter,"$14,724,125 ",2009
Bobby Simmons,"$10,602,667 ",2009
Devin Harris,"$7,800,000 ",2009
Stromile Swift,"$6,200,000 ",2009
Trenton Hassell,"$4,350,000 ",2009
Keyon Dooling,"$3,300,000 ",2009
Eduardo Najera,"$3,250,000 ",2009
Yi Jianlian,"$2,986,080 ",2009
Brook Lopez,"$2,098,560 ",2009
Jarvis Hayes,"$1,910,000 ",2009
Sean Williams,"$1,522,920 ",2009
Ryan Anderson,"$1,225,200 ",2009
Josh Boone,"$1,212,120 ",2009
Maurice Ager,"$1,042,440 ",2009
Chris Douglas-Roberts,"$442,411 ",2009
Bobby Simmons,"$10,560,000 ",2010
Devin Harris,"$8,400,000 ",2010
Tony Battie,"$6,292,000 ",2010
Trenton Hassell,"$4,350,000 ",2010
Rafer Alston,"$4,300,000 ",2010
Keyon Dooling,"$3,564,000 ",2010
Kris Humphries,"$3,200,000 ",2010
Yi Jianlian,"$3,194,400 ",2010
Shawne Williams,"$2,416,067 ",2010
Brook Lopez,"$2,225,880 ",2010
Jarvis Hayes,"$2,062,800 ",2010
Terrence Williams,"$2,060,040 ",2010
Josh Boone,"$2,056,968 ",2010
Sean Williams,"$1,629,120 ",2010
Courtney Lee,"$1,264,440 ",2010
Chris Quinn,"$1,055,000 ",2010
Chris Douglas-Roberts,"$736,000 ",2010
Deron Williams,"$14,940,152 ",2011
Dan Gadzuric,"$7,248,325 ",2011
Travis Outlaw,"$7,000,000 ",2011
Sasha Vujacic,"$5,475,113 ",2011
Anthony Morrow,"$4,000,000 ",2011
Jordan Farmar,"$3,750,000 ",2011
Brandan Wright,"$3,398,072 ",2011
Johan Petro,"$3,250,000 ",2011
Kris Humphries,"$3,200,000 ",2011
Brook Lopez,"$2,413,320 ",2011
Damion James,"$1,156,320 ",2011
Quinton Ross,"$1,146,337 ",2011
Stephen Graham,"$992,680 ",2011
Ben Uzoh,"$473,604 ",2011
Orien Greene,"$52,066 ",2011
Deron Williams,"$16,359,805 ",2012
Mehmet Okur,"$10,890,000 ",2012
Kris Humphries,"$8,000,000 ",2012
Jordan Farmar,"$4,000,000 ",2012
Anthony Morrow,"$4,000,000 ",2012
Travis Outlaw,"$4,000,000 ",2012
Johan Petro,"$3,250,000 ",2012
Brook Lopez,"$3,076,983 ",2012
Shawne Williams,"$3,000,000 ",2012
DeShawn Stevenson,"$2,500,000 ",2012
Damion James,"$1,243,080 ",2012
MarShon Brooks,"$1,110,120 ",2012
Shelden Williams,"$992,680 ",2012
Sundiata Gaines,"$854,389 ",2012
Keith Bogans,"$848,266 ",2012
Jordan Williams,"$473,604 ",2012
Gerald Green,"$443,181 ",2012
Dennis Horner,"$91,642 ",2012
Larry Owens,"$86,052 ",2012
Andre Emmett,"$61,433 ",2012
Joe Johnson,"$19,752,645 ",2013
Deron Williams,"$17,177,795 ",2013
Brook Lopez,"$13,668,750 ",2013
