,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,78.0,18745.0,3189.0,7727.0,0.413,125.0,456.0,0.274,3064.0,7271.0,0.421,2138.0,2876.0,0.743,,,4075.0,1200.0,1231.0,2051.0,8641.0,1968,,
1,Team/G,,240.3,40.9,99.1,0.413,1.6,5.8,0.274,39.3,93.2,0.421,27.4,36.9,0.743,,,52.2,15.4,15.8,26.3,110.8,1968,,
2,Lg Rank,,11.0,6.0,3.0,8.0,4.0,4.0,7.0,7.0,5.0,8.0,3.0,5.0,2.0,,,10.0,5.0,2.0,10.0,5.0,1968,,
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
4,Opponent,78.0,18745.0,3285.0,7659.0,0.429,112.0,369.0,0.304,3173.0,7290.0,0.435,2086.0,2955.0,0.706,,,4406.0,1095.0,1292.0,1952.0,8768.0,1968,,
5,Opponent/G,,240.3,42.1,98.2,0.429,1.4,4.7,0.304,40.7,93.5,0.435,26.7,37.9,0.706,,,56.5,14.0,16.6,25.0,112.4,1968,,
6,Lg Rank,,11.0,8.0,7.0,8.0,7.0,6.0,8.0,9.0,7.0,7.0,7.0,10.0,3.0,,,7.0,4.0,8.0,5.0,9.0,1968,,
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
0,Team,78.0,18870,3148,7563,0.416,77,264,0.292,3071,7299,0.421,2090,2816,0.742,1459.0,2576.0,4035,1409,1537,2260,8463,1969,,
1,Team/G,,241.9,40.4,97.0,0.416,1.0,3.4,0.292,39.4,93.6,0.421,26.8,36.1,0.742,18.7,33.0,51.7,18.1,19.7,29.0,108.5,1969,,
2,Lg Rank,,6,11,8,9.0,9,9,6.0,7,4,11.0,8,9,4.0,9.0,10.0,11,6,10,10,11,1969,,
3,Year/Year,,0.7%,-1.3%,-2.1%,0.004,-38.4%,-42.1%,0.018,0.2%,0.4%,-0.001,-2.2%,-2.1%,-0.001,,,-1.0%,17.4%,24.9%,10.2%,-2.1%,1969,,
4,Opponent,78.0,18870,3324,7396,0.449,126,412,0.306,3198,6984,0.458,2369,3273,0.724,,,4401,1489,1571,1962,9143,1969,,
5,Opponent/G,,241.9,42.6,94.8,0.449,1.6,5.3,0.306,41.0,89.5,0.458,30.4,42.0,0.724,,,56.4,19.1,20.1,25.2,117.2,1969,,
6,Lg Rank,,6,6,1,10.0,4,4,8.0,6,2,10.0,11,11,3.0,,,9,8,2,11,9,1969,,
