,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Jamal Mashburn,30,82,81,40.5,8.2,19.3,0.422,1.5,3.7,0.389,6.7,15.6,0.43,0.46,3.8,4.5,0.848,0.8,5.3,6.1,5.6,1.0,0.2,2.8,2.4,21.6,2003
1,1,2,Baron Davis,23,50,47,37.8,6.6,16.0,0.416,2.0,5.7,0.35,4.7,10.3,0.452,0.478,1.9,2.6,0.71,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3.0,17.1,2003
2,2,3,David Wesley,32,73,73,37.1,6.2,14.2,0.433,1.8,4.3,0.424,4.3,9.9,0.437,0.498,2.5,3.2,0.781,0.5,1.9,2.4,3.4,1.5,0.1,1.8,2.4,16.7,2003
3,3,4,P.J. Brown,33,78,78,33.4,4.1,7.7,0.531,0.0,0.0,0.0,4.1,7.7,0.533,0.531,2.5,3.0,0.836,3.1,5.9,9.0,1.9,0.9,1.0,1.3,2.6,10.7,2003
4,4,5,Jamaal Magloire,24,82,82,29.8,3.7,7.7,0.48,0.0,0.0,0.0,3.7,7.7,0.483,0.48,2.8,3.9,0.717,3.2,5.7,8.8,1.1,0.6,1.4,1.9,3.4,10.3,2003
5,5,6,Courtney Alexander,25,66,7,20.6,2.9,7.7,0.382,0.3,0.9,0.333,2.6,6.8,0.388,0.401,1.8,2.2,0.808,0.6,1.2,1.8,1.2,0.5,0.1,1.0,1.9,7.9,2003
6,6,7,Kenny Anderson,32,23,1,19.4,2.7,6.5,0.407,0.0,0.1,0.5,2.6,6.4,0.405,0.41,0.7,1.0,0.727,0.6,1.3,2.0,3.3,0.8,0.2,1.8,1.9,6.0,2003
7,7,8,George Lynch,32,81,32,18.5,1.8,4.4,0.409,0.3,1.0,0.354,1.5,3.5,0.425,0.448,0.5,0.9,0.554,1.7,2.6,4.4,1.3,0.8,0.2,0.6,1.7,4.5,2003
8,8,9,Elden Campbell,34,41,1,16.7,2.5,6.0,0.409,0.0,0.0,0.0,2.5,6.0,0.411,0.409,2.3,2.8,0.809,0.8,2.6,3.5,1.0,0.6,0.8,1.0,2.5,7.2,2003
9,9,10,Robert Pack,33,28,4,15.7,1.9,4.6,0.403,0.0,0.2,0.0,1.9,4.4,0.419,0.403,1.5,2.0,0.745,0.4,1.4,1.8,2.9,0.9,0.0,1.4,1.3,5.2,2003
10,10,11,Jerome Moiso,24,51,1,12.6,1.7,3.4,0.52,0.0,0.0,,1.7,3.4,0.52,0.52,0.5,0.8,0.659,1.2,2.3,3.5,0.4,0.4,0.9,0.9,1.7,4.0,2003
11,11,12,Stacey Augmon,34,70,3,12.3,1.1,2.7,0.411,0.0,0.1,0.0,1.1,2.6,0.427,0.411,0.8,1.0,0.75,0.4,1.3,1.7,1.0,0.4,0.1,0.6,1.1,3.0,2003
12,12,13,Robert Traylor,25,69,0,12.3,1.5,3.4,0.443,0.0,0.0,0.333,1.5,3.4,0.444,0.445,0.8,1.3,0.648,1.6,2.2,3.8,0.7,0.7,0.5,0.8,2.2,3.9,2003
13,13,14,Bryce Drew,28,13,0,6.1,0.6,2.1,0.296,0.2,0.5,0.429,0.4,1.5,0.25,0.352,0.0,0.0,,0.3,0.7,1.0,0.8,0.2,0.0,0.2,0.2,1.5,2003
14,14,15,Randy Livingston,27,2,0,6.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,2003
15,15,16,Kirk Haston,23,12,0,4.8,0.2,1.4,0.118,0.0,0.3,0.0,0.2,1.2,0.143,0.118,0.2,0.3,0.5,0.0,0.6,0.6,0.3,0.0,0.4,0.6,0.8,0.5,2003
16,0,1,Baron Davis,24,67,66,40.1,8.3,20.9,0.395,2.8,8.7,0.321,5.5,12.2,0.448,0.462,3.5,5.3,0.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,2004
17,1,2,Jamal Mashburn,31,19,18,38.4,8.2,20.9,0.392,1.0,3.5,0.284,7.2,17.4,0.414,0.416,3.4,4.2,0.813,1.0,5.2,6.2,2.5,0.7,0.3,1.9,2.2,20.8,2004
18,2,3,P.J. Brown,34,80,80,34.4,4.2,8.9,0.476,0.0,0.0,0.0,4.2,8.9,0.477,0.476,2.0,2.3,0.854,3.0,5.7,8.6,1.9,1.0,0.9,1.3,2.5,10.5,2004
19,3,4,Jamaal Magloire,25,82,82,33.9,4.7,9.9,0.473,0.0,0.0,0.0,4.7,9.9,0.474,0.473,4.3,5.7,0.751,3.3,7.1,10.3,1.0,0.5,1.2,2.5,3.4,13.6,2004
20,4,5,David Wesley,33,61,60,32.8,5.1,13.1,0.389,1.5,4.7,0.323,3.6,8.4,0.425,0.446,2.2,3.0,0.753,0.5,1.7,2.2,2.9,1.2,0.2,1.6,2.4,14.0,2004
21,5,6,Darrell Armstrong,35,79,22,28.4,3.7,9.3,0.395,1.7,5.4,0.315,2.0,3.9,0.508,0.487,1.6,1.8,0.854,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6,2004
22,6,7,George Lynch,33,78,51,21.8,1.9,4.8,0.397,0.6,1.8,0.309,1.4,3.0,0.449,0.455,0.4,0.7,0.667,1.2,2.8,4.0,1.5,0.6,0.2,0.8,2.0,4.8,2004
23,7,8,Stacey Augmon,35,69,24,20.5,2.1,5.0,0.412,0.0,0.1,0.143,2.1,4.9,0.418,0.414,1.6,2.0,0.791,0.8,1.8,2.5,1.2,0.8,0.2,1.1,1.7,5.8,2004
24,8,9,Shammond Williams,28,16,2,14.9,1.8,5.1,0.346,0.3,1.6,0.192,1.4,3.4,0.418,0.377,0.7,0.8,0.846,0.0,1.1,1.1,3.3,0.9,0.1,1.3,1.4,4.5,2004
25,9,10,Robert Traylor,26,71,0,13.3,2.0,4.0,0.505,0.0,0.1,0.4,2.0,4.0,0.507,0.509,1.0,1.8,0.547,1.5,2.2,3.7,0.6,0.5,0.5,0.9,2.3,5.1,2004
