,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Jamal Mashburn,30.0,82,81.0,3321,670,1586,0.422,119,306,0.389,551,1280,0.43,0.46,313,369,0.848,66,432,498,462,83,17,230,196,1772,2003
1,1,2.0,David Wesley,32.0,73,73.0,2710,449,1037,0.433,134,316,0.424,315,721,0.437,0.498,185,237,0.781,38,137,175,251,109,9,132,173,1217,2003
2,2,3.0,P.J. Brown,33.0,78,78.0,2609,319,601,0.531,0,3,0.0,319,598,0.533,0.531,194,232,0.836,243,458,701,147,67,80,98,203,832,2003
3,3,4.0,Jamaal Magloire,24.0,82,82.0,2443,305,635,0.48,0,3,0.0,305,632,0.483,0.48,231,322,0.717,260,464,724,88,49,111,158,276,841,2003
4,4,5.0,Baron Davis,23.0,50,47.0,1889,332,798,0.416,99,283,0.35,233,515,0.452,0.478,93,131,0.71,56,130,186,320,91,22,140,148,856,2003
5,5,6.0,George Lynch,32.0,81,32.0,1497,147,359,0.409,28,79,0.354,119,280,0.425,0.448,41,74,0.554,139,214,353,104,66,19,52,136,363,2003
6,6,7.0,Courtney Alexander,25.0,66,7.0,1360,193,505,0.382,19,57,0.333,174,448,0.388,0.401,118,146,0.808,39,79,118,79,31,6,68,125,523,2003
7,7,8.0,Stacey Augmon,34.0,70,3.0,862,79,192,0.411,0,7,0.0,79,185,0.427,0.411,54,72,0.75,26,93,119,69,27,9,40,80,212,2003
8,8,9.0,Robert Traylor,25.0,69,0.0,851,105,237,0.443,1,3,0.333,104,234,0.444,0.445,57,88,0.648,108,154,262,50,45,37,53,153,268,2003
9,9,10.0,Elden Campbell,34.0,41,1.0,685,101,247,0.409,0,1,0.0,101,246,0.411,0.409,93,115,0.809,34,108,142,42,24,31,42,102,295,2003
10,10,11.0,Jerome Moiso,24.0,51,1.0,644,89,171,0.52,0,0,,89,171,0.52,0.52,27,41,0.659,59,119,178,22,19,44,46,87,205,2003
11,11,12.0,Kenny Anderson,32.0,23,1.0,446,61,150,0.407,1,2,0.5,60,148,0.405,0.41,16,22,0.727,14,31,45,77,18,4,42,43,139,2003
12,12,13.0,Robert Pack,33.0,28,4.0,440,52,129,0.403,0,5,0.0,52,124,0.419,0.403,41,55,0.745,11,40,51,81,25,0,40,35,145,2003
