,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19905.0,2914.0,6695.0,0.435,404.0,1075.0,0.376,2510.0,5620.0,0.447,1467.0,1910.0,0.768,1097.0,2475.0,3572.0,1807.0,656.0,394.0,1212.0,1769.0,7699.0,2003
1,Team/G,,242.7,35.5,81.6,0.435,4.9,13.1,0.376,30.6,68.5,0.447,17.9,23.3,0.768,13.4,30.2,43.6,22.0,8.0,4.8,14.8,21.6,93.9,2003
2,Lg Rank,,5.0,14.0,12.0,23.0,15.0,21.0,5.0,16.0,9.0,25.0,18.0,21.0,11.0,4.0,13.0,8.0,11.0,13.0,18.0,16.0,13.0,19.0,2003
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,2003
4,Opponent,82.0,19905.0,2857.0,6518.0,0.438,338.0,1001.0,0.338,2519.0,5517.0,0.457,1474.0,1925.0,0.766,909.0,2368.0,3277.0,1630.0,647.0,427.0,1196.0,1754.0,7526.0,2003
5,Opponent/G,,242.7,34.8,79.5,0.438,4.1,12.2,0.338,30.7,67.3,0.457,18.0,23.5,0.766,11.1,28.9,40.0,19.9,7.9,5.2,14.6,21.4,91.8,2003
6,Lg Rank,,5.0,7.0,11.0,14.0,2.0,3.0,6.0,17.0,20.0,11.0,11.0,9.0,21.0,5.0,5.0,3.0,6.0,16.0,20.0,16.0,18.0,5.0,2003
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,2003
0,Team,82.0,19830,2772,6605,0.42,531,1666,0.319,2241,4939,0.454,1454,1937,0.751,1091,2418,3509,1716,708,346,1228,1715,7529,2004
1,Team/G,,241.8,33.8,80.5,0.42,6.5,20.3,0.319,27.3,60.2,0.454,17.7,23.6,0.751,13.3,29.5,42.8,20.9,8.6,4.2,15.0,20.9,91.8,2004
2,Lg Rank,,11,21,11,27.0,4,2,28.0,26,26,19.0,19,18,17.0,6,19,9,14,9,24,17,11,17,2004
3,Year/Year,,-0.4%,-4.9%,-1.3%,-0.016,31.4%,55.0%,-0.057,-10.7%,-12.1%,0.007,-0.9%,1.4%,-0.017,-0.5%,-2.3%,-1.8%,-5.0%,7.9%,-12.2%,1.3%,-3.1%,-2.2%,2004
4,Opponent,82.0,19830,2843,6443,0.441,444,1301,0.341,2399,5142,0.467,1407,1877,0.75,972,2477,3449,1790,613,429,1282,1734,7537,2004
5,Opponent/G,,241.8,34.7,78.6,0.441,5.4,15.9,0.341,29.3,62.7,0.467,17.2,22.9,0.75,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9,2004
6,Lg Rank,,11,12,10,18.0,20,22,12.0,12,6,19.0,8,9,17.0,10,15,14,19,6,17,9,16,11,2004
7,Year/Year,,-0.4%,-0.5%,-1.2%,0.003,31.4%,30.0%,0.004,-4.8%,-6.8%,0.01,-4.5%,-2.5%,-0.016,6.9%,4.6%,5.2%,9.8%,-5.3%,0.5%,7.2%,-1.1%,0.1%,2004
0,Team,82.0,19930,2718,6556,0.415,415,1316,0.315,2303,5240,0.44,1401,1830,0.766,1019,2281,3300,1724,550,310,1217,1883,7252,2005
1,Team/G,,243.0,33.1,80.0,0.415,5.1,16.0,0.315,28.1,63.9,0.44,17.1,22.3,0.766,12.4,27.8,40.2,21.0,6.7,3.8,14.8,23.0,88.4,2005
2,Lg Rank,,4,29,18,30.0,20,14,29.0,25,19,30.0,30,29,13.0,12,29,25,17,25,27,21,19,30,2005
3,Year/Year,,0.5%,-1.9%,-0.7%,-0.005,-21.8%,-21.0%,-0.003,2.8%,6.1%,-0.014,-3.6%,-5.5%,0.015,-6.6%,-5.7%,-6.0%,0.5%,-22.3%,-10.4%,-0.9%,9.8%,-3.7%,2005
4,Opponent,82.0,19930,2847,6299,0.452,494,1346,0.367,2353,4953,0.475,1644,2122,0.775,947,2485,3432,1742,634,452,1168,1728,7832,2005
5,Opponent/G,,243.0,34.7,76.8,0.452,6.0,16.4,0.367,28.7,60.4,0.475,20.0,25.9,0.775,11.5,30.3,41.9,21.2,7.7,5.5,14.2,21.1,95.5,2005
6,Lg Rank,,4,9,5,18.0,26,23,25.0,6,3,18.0,20,13,29.0,11,21,17,16,21,26,19,28,10,2005
7,Year/Year,,0.5%,0.1%,-2.2%,0.011,11.3%,3.5%,0.026,-1.9%,-3.7%,0.009,16.8%,13.1%,0.025,-2.6%,0.3%,-0.5%,-2.7%,3.4%,5.4%,-8.9%,-0.3%,3.9%,2005
0,Team,82.0,19805,2831,6428,0.44,300,885,0.339,2531,5543,0.457,1649,2176,0.758,918,2379,3297,1519,611,311,1095,1786,7611,2006
1,Team/G,,241.5,34.5,78.4,0.44,3.7,10.8,0.339,30.9,67.6,0.457,20.1,26.5,0.758,11.2,29.0,40.2,18.5,7.5,3.8,13.4,21.8,92.8,2006
2,Lg Rank,,24,23,16,26.0,28,27,25.0,10,4,29.0,16,15,10.0,13,21,22,26,7,24,4,8,25,2006
3,Year/Year,,-0.6%,4.2%,-2.0%,0.026,-27.7%,-32.8%,0.024,9.9%,5.8%,0.017,17.7%,18.9%,-0.008,-9.9%,4.3%,-0.1%,-11.9%,11.1%,0.3%,-10.0%,-5.2%,5.0%,2006
4,Opponent,82.0,19805,2883,6286,0.459,546,1486,0.367,2337,4800,0.487,1530,2014,0.76,860,2498,3358,1584,527,432,1197,1910,7842,2006
5,Opponent/G,,241.5,35.2,76.7,0.459,6.7,18.1,0.367,28.5,58.5,0.487,18.7,24.6,0.76,10.5,30.5,41.0,19.3,6.4,5.3,14.6,23.3,95.6,2006
6,Lg Rank,,24,12,4,21.0,29,29,23.0,6,2,21.0,10,8,27.0,7,22,17,8,3,25,12,11,12,2006
7,Year/Year,,-0.6%,1.3%,-0.2%,0.007,10.5%,10.4%,0.0,-0.7%,-3.1%,0.012,-6.9%,-5.1%,-0.015,-9.2%,0.5%,-2.2%,-9.1%,-16.9%,-4.4%,2.5%,10.5%,0.1%,2006
0,Team,82.0,19880,2971,6674,0.445,455,1256,0.362,2516,5418,0.464,1436,1941,0.74,1025,2512,3537,1537,522,347,1187,1620,7833,2007
1,Team/G,,242.4,36.2,81.4,0.445,5.5,15.3,0.362,30.7,66.1,0.464,17.5,23.7,0.74,12.5,30.6,43.1,18.7,6.4,4.2,14.5,19.8,95.5,2007
2,Lg Rank,,8,16,6,26.0,22,22,10.0,12,3,28.0,27,25,21.0,4,11,6,27,29,21,8,2,25,2007
3,Year/Year,,0.4%,4.9%,3.8%,0.005,51.7%,41.9%,0.023,-0.6%,-2.3%,0.008,-12.9%,-10.8%,-0.018,11.7%,5.6%,7.3%,1.2%,-14.6%,11.6%,8.4%,-9.3%,2.9%,2007
4,Opponent,82.0,19880,3004,6579,0.457,559,1575,0.355,2445,5004,0.489,1395,1839,0.759,853,2493,3346,1703,554,392,1119,1733,7962,2007
5,Opponent/G,,242.4,36.6,80.2,0.457,6.8,19.2,0.355,29.8,61.0,0.489,17.0,22.4,0.759,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,97.1,2007
6,Lg Rank,,8,17,20,12.0,25,28,13.0,10,4,16.0,2,2,21.0,10,20,11,12,6,17,30,25,10,2007
7,Year/Year,,0.4%,4.2%,4.7%,-0.002,2.4%,6.0%,-0.013,4.6%,4.2%,0.002,-8.8%,-8.7%,-0.001,-0.8%,-0.2%,-0.4%,7.5%,5.1%,-9.3%,-6.5%,-9.3%,1.5%,2007
0,Team,82.0,19805,3164,6796,0.466,630,1621,0.389,2534,5175,0.49,1312,1707,0.769,937,2494,3431,1785,637,321,974,1531,8270,2008
1,Team/G,,241.5,38.6,82.9,0.466,7.7,19.8,0.389,30.9,63.1,0.49,16.0,20.8,0.769,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,100.9,2008
2,Lg Rank,,14,6,8,8.0,6,8,3.0,12,15,10.0,29,28,11.0,14,16,16,13,8,28,3,1,9,2008
3,Year/Year,,-0.4%,6.5%,1.8%,0.02,38.5%,29.1%,0.026,0.7%,-4.5%,0.025,-8.6%,-12.1%,0.029,-8.6%,-0.7%,-3.0%,16.1%,22.0%,-7.5%,-17.9%,-5.5%,5.6%,2008
4,Opponent,82.0,19805,3038,6604,0.46,544,1552,0.351,2494,5052,0.494,1217,1579,0.771,815,2533,3348,1779,470,331,1136,1573,7837,2008
