,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Willie Naulls,25,65,,34.6,8.5,19.8,0.428,,,,8.5,19.8,0.428,0.428,4.4,5.3,0.836,,,14.2,2.1,,,,3.3,21.4,1960
1,1,2,Richie Guerin,27,74,,32.8,7.8,18.6,0.42,,,,7.8,18.6,0.42,0.42,6.2,8.0,0.773,,,6.8,6.3,,,,3.3,21.8,1960
2,2,3,Kenny Sears,26,64,,32.8,6.4,13.5,0.477,,,,6.4,13.5,0.477,0.477,5.7,6.5,0.868,,,13.7,2.0,,,,3.0,18.5,1960
3,3,4,Dick Garmaker,27,26,,28.7,4.8,11.2,0.431,,,,4.8,11.2,0.431,0.431,3.3,3.8,0.86,,,4.8,2.8,,,,2.3,12.9,1960
4,4,5,Carl Braun,32,54,,28.0,5.3,12.2,0.432,,,,5.3,12.2,0.432,0.432,2.4,2.9,0.838,,,3.1,5.0,,,,2.4,12.9,1960
5,5,6,Charlie Tyra,24,74,,27.5,5.5,12.9,0.426,,,,5.5,12.9,0.426,0.426,1.8,2.6,0.704,,,8.1,1.1,,,,3.5,12.8,1960
6,6,7,Jack George,31,69,,23.2,3.6,9.4,0.385,,,,3.6,9.4,0.385,0.385,2.2,2.9,0.767,,,2.9,3.5,,,,2.1,9.5,1960
7,7,8,Mike Farmer,23,67,,22.9,3.2,8.5,0.373,,,,3.2,8.5,0.373,0.373,1.0,1.2,0.843,,,5.7,0.9,,,,1.9,7.4,1960
8,8,9,Cal Ramsey,22,7,,22.9,4.6,11.0,0.416,,,,4.6,11.0,0.416,0.416,2.3,4.1,0.552,,,6.7,1.3,,,,3.0,11.4,1960
9,9,10,Jim Palmer,26,54,,20.0,3.2,7.8,0.418,,,,3.2,7.8,0.418,0.418,1.5,2.2,0.672,,,5.1,1.0,,,,2.9,8.0,1960
10,10,11,Johnny Green,26,69,,17.9,3.0,6.8,0.447,,,,3.0,6.8,0.447,0.447,0.9,2.2,0.406,,,7.8,0.8,,,,2.8,7.0,1960
11,11,12,Ron Sobie,25,15,,14.7,2.4,6.9,0.346,,,,2.4,6.9,0.346,0.346,2.1,2.4,0.861,,,3.1,1.3,,,,1.9,6.9,1960
12,12,13,Whitey Bell,27,31,,14.5,2.3,6.0,0.378,,,,2.3,6.0,0.378,0.378,0.9,1.4,0.651,,,2.8,1.8,,,,1.9,5.4,1960
13,13,14,Ray Felix,29,16,,11.6,1.9,5.9,0.33,,,,1.9,5.9,0.33,0.33,1.2,2.1,0.576,,,5.1,0.1,,,,2.8,5.1,1960
14,14,15,Bob Anderegg,22,33,,11.3,1.7,4.3,0.385,,,,1.7,4.3,0.385,0.385,0.7,1.3,0.548,,,2.1,0.9,,,,1.0,4.0,1960
15,15,16,Brendan McCann,24,4,,7.3,0.3,2.5,0.1,,,,0.3,2.5,0.1,0.1,0.8,0.8,1.0,,,1.0,2.5,,,,0.5,1.3,1960
16,0,1,Richie Guerin,28,79,,38.3,7.7,19.6,0.396,,,,7.7,19.6,0.396,0.396,6.3,7.9,0.792,,,7.9,6.4,,,,3.9,21.8,1961
17,1,2,Willie Naulls,26,79,,37.7,9.3,21.8,0.428,,,,9.3,21.8,0.428,0.428,4.7,5.8,0.816,,,13.4,2.4,,,,3.4,23.4,1961
18,2,3,Dick Garmaker,28,71,,31.5,5.8,13.3,0.44,,,,5.8,13.3,0.44,0.44,3.9,5.0,0.768,,,3.9,3.1,,,,3.4,15.6,1961
19,3,4,Phil Jordon,27,31,,29.8,5.1,13.6,0.374,,,,5.1,13.6,0.374,0.374,2.9,4.1,0.701,,,8.1,2.4,,,,4.0,13.1,1961
