,Unnamed: 0,Rk,Unnamed: 1,Salary,Year
0,0,1,Patrick Ewing,"$15,000,000",2000
1,1,2,Larry Johnson,"$11,910,714",2000
2,2,3,Latrell Sprewell,"$9,000,000",2000
3,3,4,Allan Houston,"$8,000,000",2000
4,4,5,Chris Dudley,"$7,100,000",2000
5,5,6,Marcus Camby,"$5,250,000",2000
6,6,7,Charlie Ward,"$4,540,000",2000
7,7,8,Chris Childs,"$4,160,000",2000
8,8,9,John Wallace,"$2,000,000",2000
9,9,10,Kurt Thomas,"$1,925,000",2000
10,10,11,Frederic Weis,"$947,200",2000
11,11,12,Mirsad Turkcan,"$830,745",2000
12,12,13,Andrew Lang,"$510,000",2000
13,13,14,David Wingate,"$510,000",2000
14,14,15,Rick Brunson,"$485,000",2000
15,15,16,DeMarco Johnson,"$111,871",2000
16,16,17,Jimmy Oliver,"$7,471",2000
17,0,1,Larry Johnson,"$11,000,000",2001
18,1,2,Latrell Sprewell,"$10,125,000",2001
19,2,3,Allan Houston,"$9,000,000",2001
20,3,4,Glen Rice,"$7,578,900",2001
21,4,5,Marcus Camby,"$5,750,000",2001
22,5,6,Luc Longley,"$5,750,000",2001
23,6,7,Charlie Ward,"$5,040,000",2001
24,7,8,Chris Childs,"$4,680,000",2001
25,8,9,Kurt Thomas,"$3,680,000",2001
26,9,10,Travis Knight,"$3,200,000",2001
27,10,11,Erick Strickland,"$2,560,000",2001
28,11,12,Vernon Maxwell,"$1,570,000",2001
29,12,13,Mirsad Turkcan,"$1,069,400",2001
30,13,14,Felton Spencer,"$1,000,000",2001
31,14,15,Rick Brunson,"$523,500",2001
32,15,16,Lazero Borrell,"$423,500",2001
33,16,17,Jonathan Kerner,"$423,500",2001
34,17,18,Pete Mickeal,"$316,969",2001
35,18,19,Lavor Postell,"$316,969",2001
36,0,1,Allan Houston,"$12,750,000",2002
37,1,2,Larry Johnson,"$11,335,714",2002
38,2,3,Latrell Sprewell,"$11,250,000",2002
39,3,4,Marcus Camby,"$7,300,000",2002
40,4,5,Luc Longley,"$6,325,000",2002
41,5,6,Shandon Anderson,"$5,500,000",2002
42,6,7,Charlie Ward,"$5,110,000",2002
43,7,8,Howard Eisley,"$4,781,250",2002
44,8,9,Clarence Weatherspoon,"$4,638,000",2002
45,9,10,Kurt Thomas,"$4,413,375",2002
46,10,11,Mark Jackson,"$3,860,000",2002
47,11,12,Travis Knight,"$3,600,000",2002
48,12,13,Othella Harrington,"$2,475,000",2002
49,13,14,Felton Spencer,"$1,000,000",2002
50,14,15,Larry Robinson,"$715,850",2002
51,15,16,Vernon Maxwell,"$473,000",2002
52,16,17,Lavor Postell,"$465,850",2002
53,0,1,Allan Houston,"$14,343,750",2003
54,1,2,Antonio McDyess,"$12,600,000",2003
55,2,3,Latrell Sprewell,"$12,375,000",2003
56,3,4,Larry Johnson,"$9,610,714",2003
57,4,5,Luc Longley,"$6,900,000",2003
58,5,6,Shandon Anderson,"$6,100,000",2003
59,6,7,Charlie Ward,"$5,570,000",2003
60,7,8,Howard Eisley,"$5,312,500",2003
61,8,9,Clarence Weatherspoon,"$4,991,800",2003
62,9,10,Kurt Thomas,"$4,903,750",2003
63,10,11,Travis Knight,"$4,000,000",2003
64,11,12,Othella Harrington,"$2,700,000",2003
65,12,13,Michael Doleac,"$1,400,000",2003
66,13,14,Frank Williams,"$832,560",2003
67,14,15,Mark Pope,"$637,435",2003
68,15,16,Lee Nailon,"$587,435",2003
69,16,17,Lavor Postell,"$587,435",2003
70,0,1,Allan Houston,"$15,937,500",2004
71,1,2,Antonio McDyess,"$13,500,000",2004
72,2,3,Keith Van Horn,"$13,279,750",2004
73,3,4,Shandon Anderson,"$6,700,000",2004
74,4,5,Charlie Ward,"$6,030,000",2004
75,5,6,Howard Eisley,"$5,843,750",2004
76,6,7,Kurt Thomas,"$5,394,125",2004
77,7,8,Travis Knight,"$4,402,500",2004
78,8,9,Dikembe Mutombo,"$4,087,667",2004
79,9,10,Moochie Norris,"$3,500,000",2004
80,10,11,Othella Harrington,"$2,925,000",2004
81,11,12,John Amaechi,"$2,610,000",2004
82,12,13,Mike Sweetney,"$1,840,800",2004
83,13,14,Michael Doleac,"$1,540,000",2004
