,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3429,8153,0.421,1942,2539,0.765,,,5251,1667,1940,8800,1960,,,,,,,,,
1,Team/G,,,45.7,108.7,0.421,25.9,33.9,0.765,,,70.0,22.2,25.9,117.3,1960,,,,,,,,,
2,Lg Rank,,,3,4,1.0,5,7,2.0,,,7,6,5,4,1960,,,,,,,,,
3,Year/Year,,,15.0%,9.2%,0.021,-15.9%,-13.0%,-0.026,,,1.0%,15.7%,-1.9%,6.4%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8973,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,119.6,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,8,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,8.7%,1960,,,,,,,,,
0,Team,79.0,,3422,8347,0.41,2135,2838,0.752,,,5315,1822,2223,8979,1961,,,,,,,,,
1,Team/G,,,43.3,105.7,0.41,27.0,35.9,0.752,,,67.3,23.1,28.1,113.7,1961,,,,,,,,,
2,Lg Rank,,,7,7,6.0,5,6,2.0,,,8,6,7,8,1961,,,,,,,,,
3,Year/Year,,,-5.3%,-2.8%,-0.011,4.4%,6.1%,-0.013,,,-3.9%,3.8%,8.8%,-3.1%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9486,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,120.1,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,6,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,0.4%,1961,,,,,,,,,
0,Team,80.0,,3638,8696,0.418,1911,2693,0.71,,,5440,1765,2056,9187,1962,,,,,,,,,
1,Team/G,,,45.5,108.7,0.418,23.9,33.7,0.71,,,68.0,22.1,25.7,114.8,1962,,,,,,,,,
2,Lg Rank,,,6,4,6.0,9,9,7.0,,,9,8,5,8,1962,,,,,,,,,
3,Year/Year,,,5.0%,2.9%,0.008,-11.6%,-6.3%,-0.043,,,1.1%,-4.3%,-8.7%,1.0%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9574,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,119.7,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,6,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-0.3%,1962,,,,,,,,,
0,Team,80.0,,3433,8007,0.429,1971,2778,0.71,,,4952,1658,2144,8837,1963,,,,,,,,,
1,Team/G,,,42.9,100.1,0.429,24.6,34.7,0.71,,,61.9,20.7,26.8,110.5,1963,,,,,,,,,
2,Lg Rank,,,7,5,8.0,8,8,7.0,,,9,9,6,7,1963,,,,,,,,,
3,Year/Year,,,-5.6%,-7.9%,0.01,3.1%,3.2%,-0.0,,,-9.0%,-6.1%,4.3%,-3.8%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9417,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,117.7,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,6,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-1.6%,1963,,,,,,,,,
0,Team,80.0,,3512,7888,0.445,1952,2852,0.684,,,5067,1563,2222,8976,1964,,,,,,,,,
1,Team/G,,,43.9,98.6,0.445,24.4,35.7,0.684,,,63.3,19.5,27.8,112.2,1964,,,,,,,,,
2,Lg Rank,,,3,4,2.0,6,3,8.0,,,7,8,6,3,1964,,,,,,,,,
3,Year/Year,,,2.3%,-1.5%,0.016,-1.0%,2.7%,-0.025,,,2.3%,-5.7%,3.6%,1.6%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9521,1964,,,,,,,,,
