,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Tom Meschery,29,82,,34.8,5.8,12.3,0.469,,,,5.8,12.3,0.469,0.469,3.0,4.2,0.707,,,10.2,2.4,,,,3.9,14.5,1968
1,1,2,Walt Hazzard,25,79,,33.7,9.3,21.0,0.441,,,,9.3,21.0,0.441,0.441,5.4,7.0,0.774,,,4.2,6.2,,,,3.1,24.0,1968
2,2,3,Bob Rule,23,82,,29.6,6.9,14.2,0.489,,,,6.9,14.2,0.489,0.489,4.2,6.5,0.658,,,9.5,1.2,,,,3.9,18.1,1968
3,3,4,Al Tucker,24,81,,29.2,5.4,12.2,0.442,,,,5.4,12.2,0.442,0.442,2.3,3.2,0.707,,,7.5,1.4,,,,3.2,13.1,1968
4,4,5,Rod Thorn,26,66,,25.3,5.7,12.7,0.451,,,,5.7,12.7,0.451,0.451,3.8,5.2,0.737,,,4.0,3.5,,,,1.8,15.2,1968
5,5,6,Tommy Kron,24,76,,23.6,3.6,9.2,0.396,,,,3.6,9.2,0.396,0.396,2.4,3.1,0.79,,,4.7,3.7,,,,3.0,9.7,1968
6,6,7,Bob Weiss,25,82,,19.7,3.6,8.4,0.43,,,,3.6,8.4,0.43,0.43,2.6,3.1,0.839,,,1.8,4.2,,,,1.7,9.8,1968
7,7,8,Dorie Murrey,24,81,,18.4,2.6,6.0,0.436,,,,2.6,6.0,0.436,0.436,2.1,3.0,0.689,,,7.4,0.8,,,,3.4,7.3,1968
8,8,9,George Wilson,25,77,,16.1,2.3,6.5,0.359,,,,2.3,6.5,0.359,0.359,1.4,2.0,0.703,,,6.1,0.7,,,,2.8,6.1,1968
9,9,10,Bud Olsen,27,73,,12.3,1.8,3.9,0.456,,,,1.8,3.9,0.456,0.456,0.2,0.8,0.274,,,2.8,1.0,,,,1.9,3.8,1968
10,10,11,Plummer Lott,22,44,,10.9,1.0,3.4,0.311,,,,1.0,3.4,0.311,0.311,0.4,0.7,0.613,,,2.1,0.8,,,,1.5,2.5,1968
11,11,12,Henry Akin,23,36,,7.2,1.3,3.8,0.336,,,,1.3,3.8,0.336,0.336,0.6,0.9,0.645,,,1.6,0.4,,,,1.3,3.1,1968
12,0,1,Lenny Wilkens,31,82,,42.2,7.9,17.8,0.44,,,,7.9,17.8,0.44,0.44,6.7,8.7,0.77,,,6.2,8.2,,,,3.6,22.4,1969
13,1,2,Bob Rule,24,82,,37.9,9.5,20.2,0.469,,,,9.5,20.2,0.469,0.469,5.0,7.4,0.682,,,11.5,1.7,,,,3.9,24.0,1969
14,2,3,Tom Meschery,30,82,,32.6,5.6,12.4,0.453,,,,5.6,12.4,0.453,0.453,2.7,3.6,0.736,,,10.0,2.4,,,,3.7,14.0,1969
15,3,4,Art Harris,22,80,,32.0,5.2,13.2,0.395,,,,5.2,13.2,0.395,0.395,2.0,3.1,0.641,,,3.8,3.2,,,,4.1,12.4,1969
16,4,5,John Tresvant,29,26,,30.8,5.4,11.1,0.488,,,,5.4,11.1,0.488,0.488,2.8,4.1,0.673,,,10.3,2.4,,,,4.1,13.6,1969
17,5,6,Al Tucker,25,56,,22.5,4.2,9.7,0.432,,,,4.2,9.7,0.432,0.432,1.9,3.1,0.637,,,5.7,1.0,,,,2.0,10.3,1969
18,6,7,Bob Kauffman,22,82,,20.2,2.7,6.0,0.442,,,,2.7,6.0,0.442,0.442,2.5,3.5,0.702,,,5.9,1.0,,,,3.1,7.8,1969
19,7,8,Rod Thorn,27,29,,19.6,4.5,9.8,0.463,,,,4.5,9.8,0.463,0.463,2.4,3.3,0.732,,,2.9,2.8,,,,2.0,11.5,1969
20,8,9,Erwin Mueller,24,26,,18.6,2.7,6.2,0.431,,,,2.7,6.2,0.431,0.431,1.7,2.8,0.597,,,4.0,2.4,,,,1.7,7.0,1969
21,9,10,Joe Kennedy,22,72,,17.2,2.4,6.1,0.395,,,,2.4,6.1,0.395,0.395,1.4,1.7,0.79,,,3.3,0.8,,,,2.2,6.2,1969
22,10,11,Tommy Kron,25,76,,14.8,1.9,4.9,0.392,,,,1.9,4.9,0.392,0.392,1.3,1.8,0.701,,,2.8,2.5,,,,2.4,5.1,1969
23,11,12,Dorie Murrey,25,38,,12.2,2.0,5.1,0.387,,,,2.0,5.1,0.387,0.387,1.6,2.6,0.639,,,3.9,0.6,,,,2.1,5.6,1969
24,12,13,Al Hairston,23,39,,7.0,1.0,2.9,0.333,,,,1.0,2.9,0.333,0.333,0.2,0.4,0.571,,,0.9,1.0,,,,0.9,2.2,1969
25,13,14,Plummer Lott,23,23,,7.0,0.7,2.9,0.258,,,,0.7,2.9,0.258,0.258,0.1,0.2,0.4,,,1.3,0.3,,,,0.4,1.6,1969
26,0,1,Lenny Wilkens,32,75,,37.4,6.0,14.2,0.42,,,,6.0,14.2,0.42,0.42,5.8,7.4,0.788,,,5.0,9.1,,,,2.8,17.8,1970
27,1,2,Bob Rule,25,80,,37.0,9.9,21.3,0.463,,,,9.9,21.3,0.463,0.463,4.8,6.8,0.714,,,10.3,1.8,,,,3.5,24.6,1970
28,2,3,Art Harris,23,5,,35.6,5.6,14.6,0.384,,,,5.6,14.6,0.384,0.384,0.8,1.8,0.444,,,3.8,4.0,,,,2.2,12.0,1970
29,3,4,Bob Boozer,32,82,,31.1,6.0,12.3,0.491,,,,6.0,12.3,0.491,0.491,3.2,3.9,0.822,,,8.7,1.3,,,,2.9,15.2,1970
30,4,5,Dick Snyder,25,76,,30.1,5.7,10.8,0.531,,,,5.7,10.8,0.531,0.531,2.1,2.6,0.81,,,4.1,4.4,,,,3.4,13.6,1970
31,5,6,Tom Meschery,31,80,,28.7,4.9,10.2,0.482,,,,4.9,10.2,0.482,0.482,2.5,3.1,0.79,,,8.3,2.0,,,,4.0,12.3,1970
32,6,7,John Tresvant,30,49,,26.1,4.4,10.3,0.428,,,,4.4,10.3,0.428,0.428,3.7,5.1,0.735,,,7.4,1.9,,,,3.3,12.6,1970
33,7,8,Lucius Allen,22,81,,22.4,3.8,8.5,0.442,,,,3.8,8.5,0.442,0.442,2.2,3.1,0.731,,,2.6,4.2,,,,2.5,9.8,1970
34,8,9,Barry Clemens,26,78,,19.1,3.5,7.6,0.454,,,,3.5,7.6,0.454,0.454,1.4,1.8,0.793,,,4.1,1.5,,,,2.4,8.3,1970
35,9,10,Erwin Mueller,25,4,,17.3,3.3,8.0,0.406,,,,3.3,8.0,0.406,0.406,1.0,2.3,0.444,,,3.5,1.5,,,,1.5,7.5,1970
36,10,11,Dorie Murrey,26,81,,13.3,1.9,4.2,0.446,,,,1.9,4.2,0.446,0.446,1.7,2.3,0.731,,,4.4,0.9,,,,2.4,5.5,1970
37,11,12,Lee Winfield,22,64,,12.0,2.2,4.5,0.479,,,,2.2,4.5,0.479,0.479,1.4,1.8,0.75,,,1.5,1.6,,,,1.5,5.7,1970
38,12,13,Al Hairston,24,3,,6.7,1.0,2.7,0.375,,,,1.0,2.7,0.375,0.375,0.3,0.3,1.0,,,1.7,2.0,,,,1.0,2.3,1970
39,13,14,Joe Kennedy,23,14,,5.9,0.2,2.4,0.088,,,,0.2,2.4,0.088,0.088,0.1,0.1,1.0,,,1.4,0.5,,,,0.5,0.6,1970
40,14,15,Rod Thorn,28,19,,5.5,1.1,2.4,0.444,,,,1.1,2.4,0.444,0.444,0.8,1.3,0.625,,,0.8,0.9,,,,0.4,2.9,1970
41,0,1,Lenny Wilkens,33,71,,37.2,6.6,15.8,0.419,,,,6.6,15.8,0.419,0.419,6.5,8.1,0.803,,,4.5,9.2,,,,2.8,19.8,1971
42,1,2,Bob Rule,26,4,,35.5,11.8,24.5,0.48,,,,11.8,24.5,0.48,0.48,6.3,7.5,0.833,,,11.5,1.8,,,,3.5,29.8,1971
43,2,3,Spencer Haywood,21,33,,35.2,7.9,17.5,0.449,,,,7.9,17.5,0.449,0.449,4.8,6.6,0.734,,,12.0,1.5,,,,2.5,20.6,1971
44,3,4,Dick Snyder,26,82,,34.4,7.9,14.8,0.531,,,,7.9,14.8,0.531,0.531,3.7,4.4,0.837,,,3.1,4.3,,,,3.0,19.4,1971
45,4,5,Pete Cross,22,79,,27.8,3.1,7.0,0.442,,,,3.1,7.0,0.442,0.442,1.8,2.6,0.69,,,12.0,1.4,,,,2.7,8.0,1971
46,5,6,Don Kojis,32,79,,27.1,5.7,12.9,0.446,,,,5.7,12.9,0.446,0.446,3.2,4.1,0.778,,,5.5,1.6,,,,2.8,14.6,1971
47,6,7,Tom Meschery,32,79,,23.1,3.6,7.8,0.463,,,,3.6,7.8,0.463,0.463,2.1,2.7,0.75,,,6.1,1.4,,,,2.6,9.3,1971
48,7,8,Zaid Abdul-Aziz,24,61,,20.9,4.3,9.8,0.441,,,,4.3,9.8,0.441,0.441,2.3,3.1,0.739,,,7.7,0.7,,,,1.9,10.9,1971
49,8,9,Lee Winfield,23,79,,20.3,4.2,9.1,0.466,,,,4.2,9.1,0.466,0.466,2.1,3.1,0.664,,,2.4,2.8,,,,1.7,10.5,1971
50,9,10,Barry Clemens,27,78,,16.5,3.2,6.7,0.47,,,,3.2,6.7,0.47,0.47,1.1,1.5,0.728,,,3.1,1.2,,,,2.2,7.4,1971
51,10,11,Gar Heard,22,65,,15.8,2.3,6.1,0.381,,,,2.3,6.1,0.381,0.381,1.3,1.9,0.656,,,5.0,0.7,,,,1.9,5.9,1971
52,11,12,Tom Black,29,55,,14.1,2.0,4.9,0.414,,,,2.0,4.9,0.414,0.414,0.9,1.3,0.699,,,4.1,0.8,,,,2.1,5.0,1971
53,12,13,Jake Ford,25,5,,13.6,1.8,5.0,0.36,,,,1.8,5.0,0.36,0.36,3.2,4.4,0.727,,,1.8,1.8,,,,2.2,6.8,1971
54,13,14,Rod Thorn,29,63,,12.2,2.2,4.7,0.472,,,,2.2,4.7,0.472,0.472,1.1,1.6,0.676,,,1.6,2.9,,,,1.0,5.6,1971
55,0,1,Spencer Haywood,22,73,,43.4,9.8,21.3,0.461,,,,9.8,21.3,0.461,0.461,6.6,8.0,0.819,,,12.7,2.0,,,,2.8,26.2,1972
56,1,2,Lenny Wilkens,34,80,,37.4,6.0,12.8,0.466,,,,6.0,12.8,0.466,0.466,6.0,7.8,0.774,,,4.2,9.6,,,,2.6,18.0,1972
57,2,3,Dick Snyder,27,73,,34.7,6.8,12.8,0.529,,,,6.8,12.8,0.529,0.529,3.0,3.5,0.842,,,3.1,3.9,,,,2.7,16.6,1972
58,3,4,Zaid Abdul-Aziz,25,58,,30.7,5.6,12.9,0.429,,,,5.6,12.9,0.429,0.429,2.7,3.7,0.72,,,11.3,2.1,,,,3.1,13.8,1972
59,4,5,Gar Heard,23,58,,25.8,3.3,8.2,0.401,,,,3.3,8.2,0.401,0.401,1.4,2.2,0.617,,,7.6,0.9,,,,2.2,7.9,1972
60,5,6,Don Kojis,33,73,,25.4,4.4,9.4,0.469,,,,4.4,9.4,0.469,0.469,2.6,3.2,0.793,,,4.6,1.1,,,,2.3,11.4,1972
61,6,7,Lee Winfield,24,81,,25.2,4.2,8.5,0.496,,,,4.2,8.5,0.496,0.496,2.2,3.2,0.668,,,2.7,3.6,,,,2.4,10.6,1972
62,7,8,Jim McDaniels,23,12,,19.6,4.3,10.3,0.415,,,,4.3,10.3,0.415,0.415,0.9,1.5,0.611,,,6.8,0.8,,,,2.2,9.4,1972
63,8,9,Pete Cross,23,74,,19.2,2.1,4.8,0.428,,,,2.1,4.8,0.428,0.428,1.4,1.9,0.736,,,6.9,0.9,,,,1.8,5.5,1972
64,9,10,Barry Clemens,28,82,,17.6,3.1,5.9,0.521,,,,3.1,5.9,0.521,0.521,0.9,1.1,0.844,,,3.5,0.8,,,,2.4,7.1,1972
65,10,11,Bob Rule,27,16,,15.2,2.8,7.8,0.363,,,,2.8,7.8,0.363,0.363,1.4,2.7,0.535,,,3.4,0.4,,,,1.7,7.1,1972
66,11,12,Fred Brown,23,33,,10.9,1.8,5.5,0.328,,,,1.8,5.5,0.328,0.328,0.7,0.9,0.759,,,1.1,1.8,,,,1.3,4.2,1972
67,12,13,Jake Ford,26,26,,7.0,1.3,2.5,0.5,,,,1.3,2.5,0.5,0.5,1.0,1.3,0.788,,,0.4,1.0,,,,0.8,3.5,1972
68,0,1,Spencer Haywood,23,77,,42.3,11.5,24.3,0.476,,,,11.5,24.3,0.476,0.476,6.1,7.3,0.839,,,12.9,2.5,,,,2.8,29.2,1973
